tweet,dates
I had the opportunity to meet with members of the New River Public Health Task Force yesterday and visit a PPE decontamination site. https://t.co/wHjKRw74xB,2020-05-09 13:23:10
"More coronavirus testing will advance public health and help the safe reopening of our economy. The award of $1,603,213 from @HHSGov to Ninth District Community Health Centers means expanded testing capacity and more personal protective equipment. https://t.co/7qUGEf9HTj",2020-05-08 15:27:06
"Americans have often turned to prayer, whether in thanksgiving or in petition. We do so again on this National Day of Prayer. https://t.co/59R3RyZtF7",2020-05-07 19:55:22
"Find answers to frequently asked questions about coronavirus Economic Impact Payments, including address changes, how to return payments made to people who have died, and more, at the IRS Economic Impact Payment Information Center. https://t.co/7MFHuy9lbd",2020-05-07 15:30:36
".@US_EDA’s support for the Floyd Growth Center Building is a significant investment in our region’s economic development. It will promote long-term growth and job creation, as well as build capacity for resilience and recovery in the face of natural disasters. https://t.co/6MHeJvlLSD",2020-05-05 19:05:19
"This week is Teacher Appreciation Week. My mother was a teacher, so I learned early what an important and demanding profession it is. Whether in a classroom or by remote learning, teachers are committed to the education and growth of students, and we thank them for their work. https://t.co/IXJE8HcIjg",2020-05-05 14:37:10
Congressman Griffith’s Weekly E-Newsletter 5.4.20 Topic: Getting Ready to Reopen https://t.co/CJ4xc4UU9b,2020-05-04 19:16:36
I’m calling on Governor Northam to reopen churches in Virginia. https://t.co/DrveEWLu0P,2020-05-03 23:13:11
"ICYMI: ""'Fortunately PPP, the program that helps takes care of payroll...has been a fairly good success, not perfect, but a fairly good success,' said Rep. Griffith."" https://t.co/5RZAgXszX2",2020-05-01 14:00:00
"Responding to the #2020Census is important. An accurate count is essential for our region’s representation in Richmond and Washington, as well as receiving our share of federal funding. https://t.co/I5dorY6M9p",2020-04-30 15:56:26
"""What I learned from that weekend was that Heath is hard working, humble and kind, in part because that is who the people of Honaker are – a small town of people with big hearts and strong hands.” https://t.co/qUwA0tuNnz",2020-04-30 13:55:34
