tweet,dates
"Happy Mother’s Day 🌺 🌸 💐.

These are challenging times.

We are thankful for your love, strength, guidance and compassion 🙏🏾🙏🏾🙏🏾.

You have been there for us. 

We will always be there for you ❤️❤️❤️. https://t.co/72vFbM4pnU",2020-05-10 14:08:14
"There is a looming showdown in Washington.

House Dems are fighting to provide pandemic relief to essential workers, first responders, displaced workers and everyday Americans.

Will McConnell continue to fight for the wealthy &amp; well-connected?

We must prevail #ForThePeople.",2020-05-09 17:13:56
"40 people have been arrested for alleged social distancing violations in NYC.

35 of those arrested were black.

That’s outrageous. 

We will not allow social distancing enforcement to become the new Stop &amp; Frisk.

Equal. Protection. Under. The. Law.

https://t.co/uxsCbzbBff",2020-05-08 13:45:56
Justice. For. Ahmaud. https://t.co/AmcWutP95F,2020-05-07 12:41:53
"Drastic cuts to state and local budgets will devastate traditionally underserved communities.

Public Health. Public Safety. Public Transportation. Public Education.

The public interest will be gravely injured.

We will not allow that to happen. https://t.co/4JAd9e13f5",2020-05-06 15:02:46
"Police officers aggressively “enforcing” social distancing in our community.

This occurred in East New York last evening. 

Why are sunbathers who violate social distancing guidelines treated one way and young men in certain communities another?

This MUST end. https://t.co/aEU1H4bcdn",2020-05-05 14:05:23
"Selective enforcement will not be tolerated. 

Donni Wright was viciously assaulted.

The phony criminal charges against Mr. Wright must be DROPPED immediately.

And the police officer who brutalized him should be criminally investigated.

NOW. 

https://t.co/SUuhuanWNF",2020-05-04 23:20:41
"2017: GOP Tax Scam signed into law.

2018: Children put in cages. 

2019: Corruptly abuses power by trying to cheat in the next election. 

2020: COVID-19 response a total disaster.

Welcome to Trump’s America.",2020-05-04 15:59:35
"Thankful for the hard work and sacrifice of our #HealthcareHeroes.

They fight for us.

We stand with them.

#ForThePeople https://t.co/VbBwEo1hFo",2020-05-03 15:59:49
"The pandemic has exposed deep injustices in our social, racial and economic fabric.

It has also revealed that we barely manufacture essential items in America.

During World War II we built everything.

Things. Must. Change.

#ForThePeople",2020-05-02 15:46:38
"Florida Senator Rick Scott believes states like New York hit hard by #COVID19 should be left on their own.

What a fraud.

Do you think the Federal government should stop sending billions to Florida every time you’re hit by a hurricane?

Take. A. Hike.",2020-05-01 17:58:31
"The Black Community has been hit particularly hard by the COVID-19 pandemic.

All. Hands. On. Deck.

#ForThePeople 

https://t.co/a4Cu26lxjY",2020-04-30 16:31:50
"House Dems are fighting to lift up essential workers and everyday Americans.

McConnell wants blanket immunity so multinational corporations can violate the law without consequence.

Get. Lost.",2020-04-29 17:48:18
"The #COVID19 pandemic is a public health crisis. 

Tens of thousands have died.

Millions w/ pre-existing health conditions are at greater risk. 

Trump administration continues its effort to eradicate healthcare protections in court. 

They. Must. Be. Stopped. #ProtectOurCare",2020-04-28 21:21:11
"Calls to poison control hotlines throughout America have apparently increased significantly. 

Ignorance in high places is a dangerous thing.

House Dems are pushing evidence and data-based solutions to the #coronavirus pandemic.

#ForThePeople",2020-04-27 14:20:41
"New York sends tens of billions more every year to the fed gov than we get back in return.

We are a donor state.

Alabama, Mississippi &amp; Kentucky are exactly the opposite.

They take billions more from the fed gov than they provide in return. 

Get your FACTS straight Mitch.",2020-04-26 18:26:01
"The Paycheck Protection Program is meant to provide relief to small businesses. 

That means Mom and Pop shops, Women &amp; Minority owned businesses, local entrepreneurs and small family farmers.

Not high end steakhouses and publicly traded companies. 

Return. The. Money.",2020-04-25 12:38:15
"The President suggested injecting Lysol into the human body to treat #COVID19. 

Something is very wrong with this guy.

No really.

We should be very concerned.

Intervention? https://t.co/hOyy8S0wSi",2020-04-24 14:11:32
"#RamadanMubarak to all who are celebrating in Brooklyn, Queens &amp; throughout the world. 

Have a blessed and peaceful season. 

Stay healthy &amp; prosperous, inshallah. https://t.co/qnBipcE833",2020-04-24 01:34:03
"Thousands are dying.

Millions are unemployed.

Rome is burning.

McConnell thinks states should declare bankruptcy.

House Dems are fighting to end this pandemic and revive the economy #ForThePeople. https://t.co/2tlAUfh9fc",2020-04-23 17:01:47
"Heading back to DC to vote on interim emergency COVID-19 legislation.

$370 billion for small businesses ✅ 

$25 billion to strengthen testing ✅ 

$75 billion for hospitals &amp; nursing homes ✅ 

Important step in the right direction. So much more to do #FlattenTheCurve.",2020-04-22 13:32:30
"America produced an unprecedented amount of warplanes, tanks and battleships in the effort to crush Nazi Germany. 

But now we can’t manufacture enough cloth masks and cotton swabs to defeat #coronavirus?

Leadership matters.

FDR had it. 

It’s missing right now.",2020-04-21 14:03:14
Xenophobe. In. Chief. https://t.co/zluqbqG6DQ,2020-04-21 03:27:24
