tweet,dates
"To all the moms who are juggling new roles through this pandemic and finding new ways to educate and entertain children at home, while also teleworking in many cases, we celebrate your strength and creativity. Thank… https://t.co/j9Rv0E5vP6",2020-05-10 12:33:11
"COVID-19 RELIEF FUNDING UPDATE:
The House just passed the bipartisan Paycheck Protection Program &amp; Health Care Enhancement Act, adding more than $480 billion in emergency COVID-19 relief funds for small businesses, hospitals &amp; expanded testing. Details @ https://t.co/Vb958QsaNT",2020-04-23 23:01:59
"I agree with @realDonaldTrump's concerns about accountability &amp; transparency at the World Health Organization. Last year, I released a report exposing the WHO’s dangerously misleading and, in some instances, outright false claims about the safety &amp; efficacy of rx opioids. (1/3)",2020-04-15 21:23:18
"UPDATE ON ECONOMIC IMPACT PAYMENTS: 
The first stimulus deposits are being made this week. Secretary Mnuchin announced more than 80 million Americans will receive Economic Impact Payments by Wednesday, April 15th. Learn more @ https://t.co/X8aVkKwAua https://t.co/RP87pfkzqk",2020-04-13 22:48:22
"STAY UP-TO-DATE: https://t.co/J44hhc3oPS
Find details about federal resources that are now available for families and businesses in Kentucky by visiting my website, along with frequently asked questions and rumor control. https://t.co/6Am93UqFfb",2020-04-03 22:17:50
"SMALL BUSINESS UPDATE: Applications open TODAY for small businesses and sole proprietorships to access Paycheck Protection Program loans, which were a part of the CARES Act passed by Congress and signed into law by the President last week. Apply at https://t.co/AFVHJMwR59. https://t.co/LAlnU38iRV",2020-04-03 16:09:46
Kentucky's Congressional Delegation sent a letter to President Trump in support of @GovAndyBeshear's request for a federal major disaster declaration as a result of deadly severe storms in February. Learn more @   https://t.co/1g3ZdiTdBc,2020-03-31 20:12:39
"I'm proud to see companies, like SEKRI in Southeastern Ky, stepping up to help w/ the shortage of personal protection gear by producing masks for healthcare workers. Special thanks to all the companies that are lending support during this pandemic! https://t.co/qnicl3xGWt",2020-03-31 19:17:42
The House just passed the historic CARES Act by voice vote! I applaud my colleagues for rallying together to extend hope and much-needed funding directly to families and individuals across the country. Read my statement at https://t.co/X8aVkKwAua https://t.co/CaGpbA5Twp,2020-03-27 18:08:15
"One single no vote on the CARES Act will not stop this critical COVID-19 relief package. It would be a disappointing and unnecessary delay, but I want to assure Kentuckians that this bill will pass despite those who choose to put politics above the American people. #PassTheBill",2020-03-27 14:46:16
"I applaud the Senate for passing the Families First Coronavirus Response Act, the 2nd round of legislation that has now been approved by this Congress to combat the COVID-19 crisis. Learn more about our united efforts at https://t.co/R784aaJgmB.",2020-03-18 21:08:26
"Stay up to date on news related to the Coronavirus at https://t.co/KIEJs3hfop. If you need assistance, all of my Kentucky District Offices remain open in Somerset, Hazard and Prestonsburg. Office information is available at https://t.co/q4qhhAF5Su.",2020-03-16 16:19:02
"The House just passed the bipartisan Families First Coronavirus Response Act to help protect American families and businesses during this pandemic. 
Highlights include:
✅Free testing for COVID-19
✅Additional paid sick leave
✅Extended food aid
Details @ https://t.co/X8aVkKwAua",2020-03-14 05:42:29
"This morning, I asked Sec. Mnuchin about actions to address how the coronavirus is impacting the health of the U.S. economy. Learn more about this responses:
https://t.co/5xkrv6w7Ha",2020-03-11 19:03:12
ATTN HIGH SCHOOL STUDENTS: We need your artwork on Capitol Hill! Who will represent So. &amp; E. Kentucky in the 2020 Congressional Art Competition. Learn how to register here: https://t.co/2wfqL1MtE9,2020-03-10 18:42:23
I'm pleased to report the release of $2 million from @USDOT's Emergency Relief program to help rebuild roads in Southern and Eastern Kentucky that were severely damaged by flooding last month. Get details here: https://t.co/RhAHlKt8c4,2020-03-09 22:05:35
I convened a meeting today in Corbin to discuss flood control successes and necessary improvements with local leaders who serve communities along the Cumberland River. Learn more about our meeting at https://t.co/X8aVkKwAua https://t.co/j6n2I6u9gQ,2020-03-06 21:27:45
"I met with leaders from Hazard today to discuss future plans for the city. It was great to see Mayor Happy Mobelini, Carlos Campbell, Derrick Hall and Betsy Clemons. https://t.co/xyERqjLSGq",2020-03-06 18:17:50
"It was a pleasure to meet with the National Multiple Sclerosis Society’s Kentucky Government Relations Advisory Committee today, including Dinah Ward from Tyner, KY. https://t.co/pRbgvkew4i",2020-03-04 23:02:20
"The House just passed an emergency funding package to address the coronavirus at home and overseas. It will expedite vaccine development, provide funds to purchase equipment and supplies, &amp; includes $1 billion for state and local response efforts. Details@ https://t.co/X8aVkKwAua https://t.co/J24HX49ShH",2020-03-04 22:03:26
"Today, I had the pleasure to meet with the 40th Chief of Staff of the U.S. Army, General James C. McConville. We discussed army modernization plans to ensure it remains the world’s premier fighting force. As a… https://t.co/oBP1zRSFYn",2020-02-27 21:31:30
"It is always a pleasure to welcome local leaders to Washington, DC. Today, I had the opportunity to meet with our friends from Corbin to discuss vital projects for the city and the entire tri-county area. 
Special… https://t.co/9DtENrmqxb",2020-02-26 21:37:35
"The National Peace Corps Association presented me with the Sam Farr Congressional Leadership Award today. I’m honored to stand with these global advocates for peace!

@pcorpsconnect https://t.co/QlqFdBx412",2020-02-26 21:29:17
I was honored to speak to my friends with @KYFB today during their annual congressional breakfast in Washington and personally lead them on a tour of the Capitol Building. We must stay focused on expanding rural… https://t.co/jbB8rPkv2f,2020-02-25 20:16:48
"Pleased to have @NASA Administrator @JimBridenstine at Morehead State University for the Terry McBrayer Lecture Series to encourage students and staff at the @MSUSpaceScience Karen Kelly, my District Director &amp; Adam Rice, Field Rep. welcomed Mr. Bridenstine to Ky’s 5th District. https://t.co/dd1aj6oXwN",2020-02-20 22:23:38
These grants help bring our coalfields full circle by providing funds to rehabilitate the same land that generated affordable power and infused our economy through coal mining for generations. Learn more at https://t.co/X8aVkKwAua. https://t.co/CjpnI9iI4h,2020-02-06 20:38:05
"I'm embarrassed at the Speaker's childish &amp; partisan stunt. She showed great disrespect for the House &amp; the President. I cosponsored H.Res.832, not only on behalf of the President &amp; this institution, but also for the American heroes &amp; families who were honored during the speech. https://t.co/Qa8DwXaVz3",2020-02-06 20:30:58
"This phony impeachment process essentially held hostage much of the real work of this congressional body for months, but it is finally ‘game over’ for the Democrats’ politically-motivated charade. Read my full statement on President Trump's acquittal at https://t.co/X8aVkKwAua",2020-02-05 22:15:23
Pleased to welcome @marciahawkinsUC to DC today to talk about higher education in KY-05. https://t.co/TiN8rXvQ9Z,2020-02-04 22:31:01
"Congratulations to Jon Moore, a senior at Somerset Christian School for earning the Congressional Award Silver Medal. Read how he earned the award and how you can earn one too, at https://t.co/X8aVkKeZ5A. 
_scs_official https://t.co/TlZcSvQLAf",2020-02-03 22:10:26
I made a special trip to Frankfort today to meet with the Kentucky Mountain Caucus &amp; @GovAndyBeshear to discuss opportunities to uplift Eastern Kentucky &amp; improve our economy. Special thanks to Chairmen @Smithkysenate &amp; Rep. John Blanton for their leadership on the Mtn. Caucus. https://t.co/LAAxkGroEd,2020-01-31 17:56:05
"Proud to receive an A rating on the @SBAList's 1st National Pro-Life Scorecard. I count it a distinct honor &amp; duty to protect the sanctity of life &amp; to provide a voice for our innocent, unborn children. Learn more at https://t.co/X8aVkKwAua. https://t.co/L0RKtZIyoP",2020-01-22 21:51:09
"(3/3)...President Trump rightfully stood firm against tyranny, sending a clear message that no nation should tolerate “Iran’s destructive and destabilizing behavior,” and I pray that we can continue forward with efforts to deescalate tensions in the Middle East.",2020-01-09 03:13:16
"(2/3) I was relieved, along w/ the rest of America to know that none of our troops were wounded by Iran’s retaliating strikes. Clearly, Iran has improved its military force and missile range &amp; we must remain vigilant in our efforts to demonstrate our nation’s strong sovereignty.",2020-01-09 03:12:50
"After receiving a briefing this afternoon from the head of Joint Chiefs, the Dept. of Defense, the CIA and State Department, I feel reassured that President Trump’s fortitude with Iran is appropriate and necessary...(1/3)",2020-01-09 03:10:59
"Soleimani ordered the killings of Americans and facilitated the siege of our embassy in Iraq. With this enemy of our country and our democracy now vanquished, I hope Iran appreciates the strength of our military as well our desire for peace and stability in the Middle East.",2020-01-03 18:59:45
"From our family to yours, have a very Merry Christmas and a Happy New Year! https://t.co/zTsE16JdmB",2019-12-25 14:09:34
I voted against the articles of impeachment because this is a shameful political charade that has divided our nation. Read my full statement at https://t.co/X8aVkKwAua or https://t.co/yYE1oof43U https://t.co/5zeL5sxmr6,2019-12-19 02:21:20
"Proud to work with @senatemajldr to bring Kentucky one step closer to earning its 1st National Heritage Area designation for the ""Kentucky Wildlands"" through our final federal funding bills for FY2020. Learn more at https://t.co/kW4cYr1FlL",2019-12-17 20:14:04
"The House just approved the final federal funding packages for Fiscal Year 2020, and the people of Southern and Eastern Kentucky have a lot to celebrate! Click here for details: https://t.co/rk5h5KVmm7 https://t.co/JhDuAQQkg6",2019-12-17 19:56:16
Congratulations to Maj. Gen. Stephen R. Hogan on his recent retirement from the @kentuckyguard. I'm especially thankful for his work to combat the drug abuse epidemic in https://t.co/zcyU4Dek5x. through the KG Drug Eradication Program. Thank you! https://t.co/SvYZmGxSqV,2019-12-13 20:23:45
"East Ky teams won 4 of the State’s High School Football Championships! Proud of our mountain teams: Pikeville, Belfry, Somerset &amp; Johnson Central - all of which are also exemplary academic schools. Johnson Central is now 4A Football Champs &amp; reigning Governor’s Cup Champs!",2019-12-08 18:12:31
Proud to join @senatemajldr today to file legislation in the U.S. House &amp; Senate to have Kentucky's 1st National Heritage Area designated in Eastern Kentucky. Click the link to learn more about the Kentucky Wildlands National Heritage Area Study Act. https://t.co/lu8QW6yCDz,2019-12-05 20:23:11
Congratulations @senatemajldr! Earning the Distinguished Rural Kentuckian Award is a testament of a champion who has tirelessly gone to bat for our region! https://t.co/kWsappdb4d,2019-11-19 15:12:48
"Congratulations to Ky State Rep. David Meade for being recognized today in DC as one of our nation's Angels in Adoption. Click the link to learn why I nominated him. #AdoptionAngels #Angels2019
https://t.co/zCID64f3v6 https://t.co/68vouukKU1",2019-11-14 23:06:20
HAPPENING NOW: Tune into @WVLK for a comprehensive discussion on the opioid epidemic today as part of a special series this week with @larrygloverlive.,2019-11-13 19:35:03
I stand in agreement with @VP as Israel rightfully defends itself against the escalated threat of terrorism and the barrage of nearly 200 rockets from Gaza. https://t.co/gTmhdcyfmD,2019-11-13 00:27:44
"To all of our war heroes and those who signed up to serve this great nation at all costs, I salute you and pray that you feel the immense gratitude of a nation who enjoys the freedoms that you helped secure. Happy Veterans Day! https://t.co/BfPG73FL7L",2019-11-11 16:58:40
"Exciting news for students in McCreary, Clay, Laurel, Pulaski and surrounding counties in southern Ky: new nursing and EMS-paramedic programs are scheduled to begin in Fall 2020! Learn more at @https://halrogers.house.gov/
@ARCgov @SomersetCC_News https://t.co/0KbVfyX3kU",2019-11-08 19:51:47
ICYMI: @GovMattBevin &amp; I joined the ground-breaking ceremony for @DAJCOR's new facility at the Coalfields Regional Industrial Park in Perry County on Saturday. It will soon to be the home of 265 new jobs! It's an honor to welcome our Canadian partners to https://t.co/zcyU4Dek5x. https://t.co/R3pEXjqWMn,2019-11-04 16:30:00
