tweet,dates
"Every May, we recognize our incredible mothers. We are indebted to their sacrifice, inspired by their wisdom and emboldened by their love. Today and every day, we honor the mothers who guide us and push us forward. #MothersDay https://t.co/mDzG9arDV0",2020-05-10 13:19:51
".@USPS is working hard to continue providing a vital public service to Americans. USPS has extended all Hold Mail requests until May 30 so customers can rest assured knowing their mail and packages will be held safely at their local Post Office.
https://t.co/3omZUndTJY",2020-05-09 19:59:14
"The Congressional Art Challenge is a great way for students to show their artistic capabilities, esp. since schools moved to online learning. If you’re a high school student in TX-28, don’t forget the deadline to submit is May 15 at 5PM CT. For more info: https://t.co/qwO3VTzd11",2020-05-09 15:44:03
"Today marks the 75 year anniversary of #VEDay – the end of #WWII in Europe.

The country is thankful for the servicemembers, and the allies who fought alongside them, for their bravery and sacrifice. #VEDay75 https://t.co/D3lHOfBlYK",2020-05-08 17:21:05
These challenging times have reminded us of the incredible value of our nation’s teachers. That’s why I treated all Dr. Henry Cuellar Elementary teachers and staff to @tacopalenque as a way to thank them for continuing to empower and inspire our students.  #ThankATeacher https://t.co/oDDX1LhIT1,2020-05-08 14:56:07
"Along with the Members of the @HispanicCaucus, I wrote a letter to the @NatlGovsAssoc and the @leagueofcities, reaffirming Congress’ commitment to ensuring that state and local governments receive the resources they need to meet combat the COVID-19 pandemic. https://t.co/OF7NMgDpbu",2020-05-07 20:48:56
"🎥 ATTENTION WILSON COUNTY: We’re live to discuss #COVID19 resources for small businesses, ranchers and farmers. https://t.co/YyZbXXDDAO",2020-05-07 16:05:00
"#COVID19 has revealed the tireless dedication of our nation’s teachers. This #TeacherAppreciationWeek, we thank our teachers who are going above and beyond to serve their students. #ThankATeacher https://t.co/oX4obhXRCa",2020-05-07 15:14:14
📹 ATTENTION LA SALLE/MCMULLEN COUNTIES: We’re live to discuss #COVID19 resources for small businesses &amp; farmers https://t.co/zlOlPlQdUq,2020-05-06 20:36:32
"It is critical that we stand for the men and women in the @USPS who have supported us through this pandemic. We must fully fund the Postal Service so it can continue to bind our country together &amp; deliver necessities to all Americans. 
https://t.co/liA7MHZWQj",2020-05-06 20:02:55
"Our nation’s nurses have shown us time and time again what true dedication, compassion and hard work really mean. 
 
This #NationalNursesDay, we must honor our health care professionals by making sure they have the resources they need to save lives. https://t.co/x7Yx08wzei",2020-05-06 17:37:51
"Today, we recognize the resiliency and bravery of the Mexican militia at the Battle of Puebla as well as celebrate how deep the Mexican-American culture is woven into the fabric of this country. https://t.co/XRDgsM3uC5",2020-05-05 18:59:19
"When Congress replenished the Paycheck Protection Program with $310 billion, it allowed for @SBA to give additional financial support to milions of hardworking Americans.",2020-05-05 01:04:53
"59 years ago today, 13 courageous Americans started a dangerous journey through the south.
 
As we honor the #FreedomRiders, we must recommit ourselves to their fight for justice and equality for all, especially as we face a global crisis. https://t.co/48Fv4L8x5g",2020-05-04 21:39:51
.@RepGonzalez is a great friend and colleague who tirelessly works to improve the quality of life for his constituents in the Valley. I hope he has a full and speedy recovery so we can continue to fight for the people of South Texas. https://t.co/AoM4dFGGVW,2020-05-04 18:49:52
"During this #TeacherAppreciationWeek, we recognize teachers across the U.S. who continue to prioritize the education of our students despite the overwhelming challenges. Thank you to all the teachers who are showing incredible strength &amp; dedication to our students &amp; communities. https://t.co/2T7gbRqNBE",2020-05-04 15:36:37
"Texans deserve affordable, stable places to live but finding housing can be challenging for people with disabilities. The funding each of these housing authorities received, will ensure people with disabilities have access to affordable housing during this pandemic. https://t.co/50ei1q9CxK",2020-05-04 13:30:29
"Why do I support the #2020Census? The census informs where federal funds go every year for things like our healthcare workers, EMTs and firefighters. Go to https://t.co/pfFWxzn0Ag now to respond! https://t.co/c3tYLqnHFs",2020-05-02 16:03:34
"Congrats to Mariachi Director Eloy Garza and all the students from Roma ISD’s mariachi program for being featured on @KellyClarksonTV. It’s great seeing constituents from my district finding ways to come together, at a distance, amid this pandemic. 

https://t.co/YnN58MQLpj",2020-05-01 21:27:45
"During these stressful times, it is critical that you and your family continue to remain healthy and active. Physical activity can help boost your mood, reduce stress, improve sleep, and sharpen your focus. Check out different ways to stay active below: 
https://t.co/btKHskqxH1",2020-04-30 21:16:53
.@StateDept and @USAID are vital to ensuring a strong global response to coronavirus. Today I heard from State and USAID leadership about how federal funds are helping the agencies carry out their missions. #AppropriatorsAtWork https://t.co/vQUzY6vAAG,2020-04-30 19:52:19
".@sesamestreet is here to help our kids with staying home and physical distancing. Check out their free resources, such as ebooks and coloring pages, to support our families through this crisis. 
https://t.co/A0kORMpDyK",2020-04-30 18:47:22
"I participated in an Appropriations briefing w/ Secretary @StevenMnuchin1 to discuss the @USTreasury’s COVID-19 response efforts. As a senior Appropriator, I’m working hard to ensure the effective use of Treasury funds to support American businesses &amp; help stabilize the economy. https://t.co/KelNz7picS",2020-04-29 18:57:08
"Help the schools in our communities when their doors reopen and for the next 10 years by responding to the #2020Census now. You can answer online, by phone, or by mail. Visit https://t.co/pfFWxzn0Ag https://t.co/vtnvxirzad",2020-04-29 17:00:09
"This Workers' Memorial Day, we remember all of the working men and women who we have lost due to COVID-19. Thank you for looking after our loved ones and for keeping our country running. https://t.co/YbB8OzmWAA",2020-04-28 17:50:10
".@TDEM and @TexasDSHS launched an online COVID-19 map that identifies testing sites throughout the state. Check out the mapping tool for locations, contact information and hours of operation. 
https://t.co/CX5940S3Um",2020-04-28 13:58:06
ATTENTION: @SBAgov is now accepting #PaycheckProtectionProgram applications again from participating lenders. Learn how to apply and find a lender near you: https://t.co/xJPZOpxchm,2020-04-27 18:31:19
"“The federal government estimates upwards of a third of all people in rural America have little or no access to the Internet” from @NPR. Now more than ever, we must help rural Texas communities get access to reliable, high speed internet.https://t.co/GtZkfsQufO",2020-04-25 18:31:33
"SNAP plays a critical role in the battle against hunger for people across Texas. This increase in funding will help the growing number of families who are struggling to put food on the table. As a senior Appropriator, I am committed to fighting food insecurity during this crisis. https://t.co/GgsewnxJv0",2020-04-25 16:24:59
"U.S. Post Offices are an affordable, reliable service that is essential to American everywhere, especially in rural areas. During this difficult time, Americans cannot afford an increase in @USPS shipping costs. We must protect USPS for the millions of people who rely on it. https://t.co/ZXwvoPb5AF",2020-04-25 00:01:39
"Happy 220th Birthday @librarycongress! Today, the Library of Congress is the nation’s oldest federal cultural institution and the world’s largest library. Check out all of their resources now: https://t.co/NhHyGMRKVe https://t.co/NR0pGhuAgd",2020-04-24 21:14:22
"My top priority as a Congressman is to keep the people of my community safe and healthy. Listen to health care professionals and scientists- do not drink or inject bleach or any disinfectant. 
https://t.co/t7MzeZX2bW",2020-04-24 17:20:42
"Many homeless Americans qualify for an Economic Impact Payment, even those who don’t work.  If they normally don’t file taxes, the only way to get a payment is to sign up with #IRS. https://t.co/zs4hJTXOVi #COVIDreliefIRS https://t.co/VXmEZltlsn",2020-04-24 16:48:44
"As a former small business owner myself, I understand the struggles of owning your own business. That’s why I voted to strengthen the Paycheck Protection Program with $310 billion in additional funding to provide much needed relief to American businesses and working families. https://t.co/EwAfNWIaGl",2020-04-24 13:41:50
"This #Ramadan, let us all be inspired by our Muslim communities to reflect on our own values and faiths. 
 
Ramadan Mubarak to all who observe. https://t.co/zLjUPd4ya6",2020-04-23 19:43:32
"Local @SBAgov offices across the country are offering free online consulting, mentoring, and training from Small Business Development Centers, SCORE, Women’s Business Center &amp; Veterans Business Outreach Centers. Find your resource partner here: https://t.co/WlTRiahalN",2020-04-23 18:50:12
"Immigrants make our country stronger. They are saving lives as doctors and nurses and picking food for our dinner tables. We must focus on protecting working-families from this virus, not campaign promises. https://t.co/q6PwGbx6kl",2020-04-23 01:31:53
"We need to #StayatHome but we can join together to celebrate #EarthDay50! @NASAEarth has been sharing photos, activities, and current research to celebrate #EarthDayAtHome. Share your favorite photos of our beautiful planet! https://t.co/Yq26urGli5",2020-04-22 17:06:15
"An agreement has been finalized for the fourth package, which will include funds for small business loan programs, coronavirus testing and hospitals. Congress must pass this package, in order to put #FamiliesFirst and help our frontline workers continue fighting this pandemic. https://t.co/g3mLlTDEu7",2020-04-21 21:53:18
"While we're currently in a time of uncertainty &amp; struggling with an unprecedented health crisis, please take a moment to remember the 6 million Jews who lost their lives as a result of hate. This #HolocaustRemembranceDay we must vow to never forget &amp; reject all forms of bigotry. https://t.co/0jZ9QhDMvz",2020-04-21 20:47:57
"The coronavirus crisis shows the importance of expanding broadband for students, businesses, &amp; patients who need vital telehealth services. Today I had a call with @SecretarySonny regarding funding I helped secure that will support these efforts at @USDA. #AppropriatorsAtWork https://t.co/qElQp9ifx3",2020-04-21 18:58:38
"My office and I are making every effort to help citizens overseas who want to return to the United States. Check out the @TravelGov website for the most up-to-date information prior to making any travel arrangements.
https://t.co/lcwgExJTlx",2020-04-21 15:43:36
"It is unacceptable to scapegoat immigrants for this pandemic while many of them are serving on the front lines as doctors, nurses, farm workers and other essential personnel. Fulfilling his campaign promise will not solve this public health and economic crisis. https://t.co/SGxlqqIWOS",2020-04-21 14:19:41
"As a member of the Bipartisan White House Task Force, I support the decision to extend restrictions for non-essential travelers across our borders, as it will help slow the spread of coronavirus and assist in preparing the country for a phased reopening.",2020-04-20 16:55:17
"Librarians &amp; library workers are continuing to serve their communities during this time of crisis. To celebrate #NationalLibraryWeek, check out all the digital resources they have collected, including ebooks, student lesson plans, movies, &amp; so much more. https://t.co/p6azvnZadz",2020-04-20 14:47:39
Today marks the 25th anniversary of the Oklahoma City bombing. Let us remember the victims who lost their lives in that attack and honor the first responders who risked their lives to save others.https://t.co/X3A3QPNquP,2020-04-19 19:27:16
"It is incredible to see the ingenuity from our South Texas community. This is the type of American innovation that will help us fight and beat this crisis.
https://t.co/nkpXndvZ9r",2020-04-19 14:02:25
