tweet,dates
"This Mother’s Day, I’m thinking of all the mothers that should be with their children but are separated due to Trump’s inhumane immigration policies that keep families apart. 

We won’t stop fighting until all families are reunited.",2020-05-10 15:00:00
Those telling working people to be “warriors for capitalism” will get to safely work from home.,2020-05-09 20:00:00
"Unemployment numbers are worse than during the Great Depression. 

FDR passed the New Deal to help working people and stimulate economic recovery. 

We need BOLD solutions to get us out of this.",2020-05-09 17:30:00
Here’s an idea: As we prepare to reopen we should listen to public health experts rather than profit-hungry CEO’s.,2020-05-09 14:15:00
"3 weeks until rent is due again. 

Cancel rent and mortgage payments NOW.",2020-05-08 20:57:44
"The next Congressional relief package 
 ○ 
く|)へ
    〉 
 ￣￣┗┓              student debt
 　 　   ┗┓　     ヾ○ｼ
  　　        ┗┓   ヘ/ 　 　 
 　                 ┗┓ノ 
　 　 　 　 　    ┗┓
https://t.co/oG4XrF6XLt",2020-05-08 19:24:49
"Trump's Pentagon wants more money while small businesses go without.
 
Not on my watch.
 
DOD has gotten over $750 billion in FY20 and it shouldn't get a cent more!",2020-05-08 18:37:31
"Thank you to our teachers for your tireless dedication and devotion to the next generation. 

Each one of you has the unique ability to transform lives and make an impact more than you’ll ever know.  

#TeacherAppreciationWeek https://t.co/H2L4x5isxX",2020-05-08 16:35:41
"Ahmaud Arbery would be turning 26 today. 

His death was yet another senseless murder of a black man in our country. 

We must confront the systemic racism that haunts our society and demand #JusticeForAhmaud.",2020-05-08 15:30:25
"20.7 million Americans lost their jobs in April.

58,000 Americans died.

Meanwhile, the stock market had its best month since 1987.

We need to start valuing human life over corporate profits.",2020-05-08 13:35:52
"One day we will look back at this crisis and the response. 

Did we have the moral courage to take care of workers over special interests? 

Did we provide local and state governments with the needed relief? 

Did we guarantee testing and treatment for all?",2020-05-07 21:00:54
"1 in 5 children are going hungry.
 
No child in America should know the pain of hunger.
 
We need universal school meals now. https://t.co/juPjzkdrU4",2020-05-07 18:46:27
"Reminder: Housing is a human right.

As our nation grapples with continued shelter-in-place orders, thousands live on the streets without the ability to social distance. 

This crisis has lifted the veil on the realities our homeless face every single day.",2020-05-07 15:48:13
We need to keep workers on payroll and guarantee their paychecks. It’s that simple. https://t.co/5sCxab2yfb,2020-05-07 14:03:32
"First Avenue is a Minneapolis staple.
 
Live music venues like First Avenue should be able to receive PPP small business loans.
 
I joined a letter with @RepJimCooper to ensure the live music industry is included in the next relief package.
 
https://t.co/muEiSJOT3n",2020-05-06 22:37:59
"Workers need: 
-Universal healthcare 
-Paid family leave 
-Paid sick days 
-Hazard/premium pay
-Workplace health protections

It’s imperative we pass an essential workers bill of rights.",2020-05-06 21:00:29
"Secretary DeVos continues to undermine the safety of students even in the middle of a pandemic.
 
The new Title IX guidance discourages survivors of sexual assault from coming forward and weakens accountability for schools. Her plan silences survivors.
 
Unacceptable.",2020-05-06 19:59:04
"Thank you to nurses on the frontlines for being our heroes.
 
I’m in awe of your dedication and commitment to keeping us safe. #ThankYouNurses for all that you do. We couldn’t get through this without you.",2020-05-06 18:45:29
"A few of my friends @RepRashida, @AGEllison, @RepAndreCarson, @AbdulElSayed, @Nadia_Joome and I wanted to wish you a blessed Ramadan! 
 
Although many of us are apart this year, we know our faith will keep us united in spirit. 💪🏽 https://t.co/T63DYYbpdW",2020-05-06 17:20:43
"When @BernieSanders and I proposed student debt cancellation last year, we were called ""radicals.""

Today, it is the mainstream position of the Democratic Party. 

Don't let anyone tell you your ideas are ""too radical"" or ""impossible.""

We get to define what is possible. https://t.co/hQKMckR4pb",2020-05-06 15:03:40
"There have long been discrepancies between civilian casualty figures calculated by NGOs and those admitted by AFRICOM. 

Today, I led a letter with my colleagues calling for increased transparency and accountability for reporting civilian casualties. 

https://t.co/pkXRQ9Ryyf",2020-05-06 14:55:45
"Happy #CincoDeMayo!
 
Today, we commemorate the Mexican Army’s victory in the Battle of Puebla. Let’s recognize and celebrate our Mexican-American community whose history and stories are indispensable to the makeup of our country.",2020-05-05 20:27:15
"Trump’s tax giveaway for real estate investors: $135 billion
 
Estimated cost of funding universal testing: $50 billion
 
Don’t tell me we don’t have the resources to combat this virus. This administration is choosing to prioritize wealth over the health &amp; safety of the country. https://t.co/dVX5h713E9",2020-05-05 18:03:34
"Yesterday, I had the opportunity to pack meals for kids in Hopkins and North Minneapolis.
 
Last month, I was able to pass the MEALS Act that allows 22 million children who receive free or reduced lunch to continue to receive meals during this pandemic. https://t.co/goPgPihv8x",2020-05-05 16:23:41
"We have now lost nearly 70,000 Americans to the coronavirus.

That’s more Americans than we lost on September 11th, and the wars in Vietnam, Afghanistan and Iraq combined.

Let’s allow ourselves to grieve and never lose sight of the depth of this tragedy.",2020-05-05 13:31:37
"Over 9.2 million Americans have lost their health insurance during this pandemic. 

9.2 million have no safety net if they get sick. 

This is why we need Medicare for All.",2020-05-04 20:54:27
"Mitch McConnell is bringing back the Senate to vote on judges, not to help cities and states fight the pandemic.   

Let that sink in.",2020-05-04 18:36:39
"Why would Trump try to open up the country while simultaneously ordering 100,000 body bags? https://t.co/gIe3rvfQQY",2020-05-04 15:17:52
"Friendly reminder that the climate crisis is alive and well. 

https://t.co/sNDrHOqTA8",2020-05-03 18:24:41
"There are 640,000 postal workers that have been working tirelessly to provide essential services for our country. 

We must do everything we can to save the post office.",2020-05-03 15:07:56
Expanding vote by mail nationwide will save lives.,2020-05-02 19:00:00
"Millions were unable to pay rent yesterday. 

If we don’t #cancelrent and mortgage payments our housing market may collapse. 

The American people have suffered enough. They need real relief.",2020-05-02 15:09:30
"USDA just expanded SNAP online ordering eligibility to Minnesota.
 
This is a huge victory, but ALL families should have the same opportunity.
 
I introduced legislation to expand SNAP online purchasing to all states because your zip code shouldn’t determine how you access food.",2020-05-01 20:07:51
"All people deserve access to healthcare.
 
I proudly support the Medicare Crisis Program Act to ensure everyone can receive the care they need during this unprecedented health crisis. https://t.co/oVCKsv0nnQ",2020-05-01 18:53:22
"ICE continues to deport people and transfer detainees across state lines, knowingly spreading coronavirus.

We must call these actions what they are: human rights abuses.

https://t.co/JEc3ddWZyz",2020-05-01 17:52:38
"Women and minorities are bearing the brunt of this crisis. 

Frontline workers need PPE, premium/hazard pay, and better safety conditions. 

https://t.co/EDtEBii4ba",2020-05-01 17:36:53
"This #MayDay, workers are being told their life is less important that getting packages delivered, processing meat, or delivering groceries.

Profits skyrocket while workers put their lives on the line.

Now more than ever, workers deserve fair wages, benefits, and a UNION.",2020-05-01 16:08:26
"|￣￣￣￣￣￣ |
|    CANCEL     |
|     RENT         | 
|                        |
|                        | 
| ＿＿＿＿＿__| 
(\__/) || 
(•ㅅ•) || 
/ 　 づ",2020-05-01 14:04:50
"Rent is due tomorrow.

People shouldn’t have to choose between feeding their families or paying their bills. 

We need a full cancellation of rent and mortgage payments. https://t.co/RaxAQBiIC7",2020-04-30 21:38:42
All people regardless of immigration status need access to free testing and treatment. Period.,2020-04-30 20:58:35
"Heartbreaking. 

We must prioritize our long-term care facilities and their workers in the next relief package. https://t.co/uy9DDjFzLV",2020-04-30 19:58:41
"72% of immigrants in detention facilities are expected to be infected with COVID-19 by their 90th day in ICE detention. 

Outrageous.

We need to release at-risk detainees from detention.

https://t.co/gfoAsgvh9n",2020-04-30 18:46:10
"Thank you, Chairman! https://t.co/MQF5UFCZP5",2020-04-30 16:52:32
"Federal dollars should go to workers and small businesses, not CEOs and corporations. https://t.co/DuOxXG4Iyw",2020-04-30 15:24:54
"Millions couldn’t pay rent on April 1st. 

Millions won’t be able to pay rent on May 1st. 

It’s time to cancel it.",2020-04-29 21:53:48
"This is heartbreaking.
 
A member of our community passed away after contracting COVID-19. He did not receive the necessary supplies to keep him safe while he was working. 

This tragedy highlights why all essential workers need PPE and hazard pay.
 
https://t.co/EUIryBsRu9",2020-04-29 20:49:53
🗣️Frontline workers deserve hazard pay.,2020-04-29 19:28:50
"Love to see members of our community step up to help those in need!
 
https://t.co/vxxsPB0l54",2020-04-29 18:12:23
No person should face deportation during this crisis.,2020-04-29 17:09:27
"We're live with @taraghuveer and @SalazarSenate discussing the need to cancel rent and mortgage payments for the duration of this crisis. 

We owe to our community to prevent evictions, displacement and homelessness! #CancelRent #RentStrike
https://t.co/RMBwYOMaeU",2020-04-29 16:16:16
