tweet,dates
"We had a fantastic group of students in this year’s Future Leaders Council.

In our call, Leo told us all about his personal story of perseverance and Meara asked me about the pets I had growing up.

I hope that everyone enjoyed our chats throughout the year. https://t.co/toTYVDuU8I",2020-05-09 23:09:46
"On April 17, I joined @rep_stevewomack requesting colleges and universities be allowed to use full-time equivalent to determine eligibility for #PPP loans. I am glad @USTreasury has issued guidance excluding Federal Work Study students from the threshold. https://t.co/7Lf1QFvP0S",2020-05-09 00:35:45
"I want to thank the @usairforce, @LRAFB, and the @arkansasguard for giving this salute across our beautiful state for our first responders on the front lines of #COVID19. Fly safe! https://t.co/oaAhOKeaht",2020-05-08 18:55:22
Step outside at 2:00 PM to watch today’s flyover tribute to front line workers by @LRAFB and @arkansasguard. https://t.co/3CuubMItAx,2020-05-08 18:17:22
"This year, #CongressionalArtCompetition submissions will be accepted and judged remotely, with a winner being announced via social media. 

Central Arkansas High school students are encouraged to visit my website and apply by Friday, May 15 at 5:00pm CT.
https://t.co/LYuej3bYkc",2020-05-08 17:06:17
"Today we celebrate Nazi Germany’s surrender on #VEDay75 and commemorate our #WWII heroes like Mr. Smith, a 100 year old WWII veteran who was awarded the French Legion of Honor Medal on June 27, 2016, France’s highest award for valor, for his heroic actions in there during WWII. https://t.co/LUDWK88LNF",2020-05-08 14:34:39
"While expected, today’s #JobsReport is alarming nonetheless – especially since the increase in unemployment is the result of an overwhelming outside force.

America will defeat this virus and our nation will get back to work.",2020-05-08 13:18:19
"(1/4) I understand that for many college students, the #COVID19 pandemic has erased their sources of income and left them in a tough spot. That is why the #CARESAct that Congress passed in March included nearly $31 billion in funding for overall education aid.",2020-05-08 02:31:21
"Friday starting at 2:00 PM members of the @LRAFB and @arkansasguard will fly over medical facilities across #Arkansas as a tribute to essential employees, volunteers, and medical personnel on the front lines fighting against #COVID19. Step outside and watch this amazing sight. https://t.co/oQdLnUF90L",2020-05-07 20:49:45
"Millions of hard of hearing #Americans have been forced to stay home and struggle to stay informed. 

Last week, I joined the #Congressional #Deaf #Caucus in requesting that the Trump Administration begin using sign language interpreters for all public briefings about #COVID19 https://t.co/YipiRI2s1q",2020-05-07 17:56:13
"This #NationalDayOfPrayer, we pray for our friends, families, and neighbors during these trying times. 

Yesterday, I visited the Benton Prayer Wall to pray for our community.

This wall is an opportunity for #Arkansans to maintain their sense of community while at staying safe. https://t.co/5CJxpd2lhx",2020-05-07 14:16:07
"This afternoon I stopped by College Station Community Health Center with some delicious @simsbbqar and had the opportunity to see their facility and to thank Nurse Shona, Dr. Kelley and Ms. Brown for their service during these difficult times. #NationalNursesDay #HealthCareHeroes https://t.co/7c3h3uqArg",2020-05-07 03:00:35
"The #coronavirus exposed our massive dependence on health supplies from #China. 

Today, I spoke with @BobSellersTV on @Newsmax about how my legislation - the SAVE Act - is designed to diversify the U.S. health care supply chain and break America's reliance on Chinese goods. https://t.co/Uv9risaScU",2020-05-07 01:28:54
".@CandlesCreamAR started making hand sanitizer in response to #COVID19. 
 
Mayor @aescottus, @BryantChamber President Jason Brown, and I met with two of the co-owners–Shane Broadway, and Vickie Collie, to see how they have converted their facilities to manufacture hand sanitizer. https://t.co/iRT9CunjZh",2020-05-07 00:29:41
"I applaud @POTUS and @USTradeRep Ambassador Lighthizer for starting trade negotiations with the United Kingdom. 

A new trade deal with one of our oldest allies can have a positive impact on both of our economies. 🇺🇸🇬🇧",2020-05-06 22:20:34
"(1/3) Today is National Skilled Trades Day, which was started to celebrate the major contributions of skilled trades workers across the country. 

During the #COVID19 pandemic, it's even more important to recognize the talented #Arkansans who are keeping our communities running. https://t.co/cCDya9po32",2020-05-06 19:54:31
