tweet,dates
"Today marks the 75th anniversary of VE Day and the end of World War II in Europe. 

In these challenging times, let’s not forget our greatest generation. They won WW2 and returned to build our great nation. https://t.co/p4mjXDZ58X",2020-05-09 00:04:06
"I sent a letter w/ @RepJayapal @RepRaulGrijalva &amp; 84 of our colleagues demanding @BetsyDeVosED include student immigrants in our coronavirus relief efforts. 

COVID-19 does not differentiate between students &amp; neither should the government. 
 
Read more: https://t.co/5k5myXehXK",2020-05-01 20:54:29
"From the Earth, one of our Santa Ana Cannabis Dispensaries, donating 25 gallons of hand sanitizer for volunteers at Power of One food distribution.  We’re all helping out our neighbors. https://t.co/6dGzW3b6cy",2020-04-18 17:36:20
"Neighbors helping neighbors in OC. Power of One, volunteers and General Andre open for our weekly food donation to OC, at the Santa Ana Main Place mall. https://t.co/JD6PCt2iGg",2020-04-18 15:22:23
"Despite my efforts to protect immigrant families, Washington has deliberately excluded these taxpayers from coronavirus relief.

Thank you, Gov @GavinNewsom, for stepping in where the federal government failed and helping our families.

No one should be left out. https://t.co/fjhWemDZFd",2020-04-15 19:44:11
"Today @RepEBJ &amp; I led 91 of our colleagues in denouncing the harmful health disparities faced by minorities.

With #COVID-19 disproportionally impacting people of color in the USA, there has never been a more critical time to talk about health disparity.

https://t.co/zQzThYvgeL",2020-04-10 18:22:50
"I am saddened by the passing of @TSAgov Branch Manager Alberto Camacho. 

Every day, Alberto kept Americans safe. My thoughts are with his family and friends in this difficult time.",2020-04-10 01:08:27
"If you or someone you know is experiencing domestic violence, help is available. Local shelters are open &amp; ready to help during these difficult times. 

1. Human Options
(877) 854-3594

2. Interval House
(714) 891-8121

3. Laura's House 
(866) 498-1511

4. WTLC
(877) 531-5522",2020-04-09 18:36:34
"Thank you Gov @GavinNewsom, for stepping up for immigrants when others turn their backs.

I'm fighting in Congress to pass the Leave No Taxpayers Behind Act to ensure immigrants are included in federal COVID-19 relief. 

In the meantime, at least California will do what is right. https://t.co/ygCwngiDuC",2020-04-08 22:21:48
".@realDonaldTrump fired the independent watchdog appointed to oversee $2 trillion of your tax dollars. 

I’m introducing legislation to create a confidential whistleblower hotline that President Trump can’t fire. 

It’s your money. You deserve to know how it is being spent.",2020-04-07 21:18:15
"I am extremely saddened by the passing of Frank Boccabella—a @TSAgov employee in New Jersey. My thoughts are with his family and friends. He was far too young. 

We must ensure that our TSOs—who are on the frontline of our nation’s security—have the protective gear they need.",2020-04-03 22:56:50
"I just introduced the Leave No Taxpayer Behind Act because taxpaying immigrants were left out of the $2 trillion coronavirus relief bill. These taxpayers work in critical sectors of our economy, like agriculture, &amp; contribute greatly to our country.",2020-04-03 20:43:48
"Today @RepJudyChu @RepRaulGrijalva &amp; I introduced legislation to correct the injustice of excluding taxpaying immigrants from the CARES Act. 

The coronavirus doesn’t care about a person’s wealth, job, or status. All taxpayers need assistance now. This bill ensures they get it.",2020-04-03 20:19:30
"Farmworkers fill our markets &amp; dinner tables. They are essential to our economy &amp; our nation.

Yet these taxpayers have been intentionally excluded from coronavirus relief efforts.

We depend on their work to feed our families. I won’t stop fighting until they are treated equally https://t.co/4pUV3kIiRO",2020-04-02 21:44:54
"I think @RepJimmyGomez is on to something. 

It’s Census Day! I filled out my census. You should, too! Visit 👉🏽 https://t.co/yq7PxU9qf1

I nominate @RepKatiePorter @RepHarley @RepGilCisneros @RepLowenthal @RepMikeLevin https://t.co/jP7sF9P4AX",2020-04-01 23:15:09
"Way to go @UCIrvine! 

UCI teamed up with @Virgin_Orbit &amp; The University of Texas at Austin to make a mass-producible ventilator!

👉🏽 https://t.co/WTYMGNOhQB",2020-04-01 02:07:09
"COVID-19 testing in the USA has been unacceptably inaccessible and slow. 

Things are finally starting to turn around 👉🏽 https://t.co/xbB3qSnWNz",2020-04-01 01:44:38
"Thank you for your service, @RepMaxRose. 

America will get through this because of brave women and men just like you.

Stay safe, Max! https://t.co/vYB0ndFldt",2020-03-31 22:40:29
