tweet,dates
Happy Mother’s Day to the great Moms all across the First District! https://t.co/tJDgt30QqI,2020-05-10 16:22:29
"In 2018, @realDonaldTrump promised @RepMoolenaar, @RepPaulMitchell, and I that he would prioritize building a new Soo Lock. 

Today, the @USACEHQ announced that construction equipment has arrived in Sault Ste. Marie, Michigan to begin phase one. 

📸: @detroitdistrict https://t.co/vEUANqZFFP",2020-05-07 17:22:51
"Huge announcement for the U.P. and northern Wisconsin. I’m proud to work alongside @RepGallagher to support the shipyard in its efforts to secure this contract. 

https://t.co/PnTMcvkjIO",2020-05-01 00:07:29
"While the partisan rancor has taken the headlines, the reality is - throughout the Coronavirus crisis, President @realDonaldTrump’s Administration has delivered for Michigan. https://t.co/NuAMUGbULp",2020-04-30 13:59:41
‼️IMPORTANT THREAD‼️ https://t.co/lpd792XwRW,2020-04-28 14:20:29
Important information for #Mi01 Veterans! https://t.co/vsK7Hmp0PJ,2020-04-27 17:26:16
It was great catching up with @MattKnoedler recently to talk about the #PaycheckProtectionAct and the need to further support Michigan’s rural hospitals. https://t.co/MGrUEpfpix,2020-04-27 01:41:04
"Due to demand, PPP funding will run out today, but Congress has the ability to act to replenish these funds. 

Yet political games and blind partisanship is blocking this from happening, all at the expense of our small businesses. 

Congress must act NOW! https://t.co/CK2ezt51LA",2020-04-16 14:57:21
I received notice today from the Democratic Whip that the House is now not set to convene for business until May 4th. (Continued),2020-04-13 21:28:34
Big news for #Mi01. Thanks @AjitPaiFCC! https://t.co/mHUiT2nUNy,2020-04-10 19:56:06
Keeping my friend and colleague @DrNealDunnFL2 in our prayers for a full and fast recovery from #COVIDー19 https://t.co/I8ekUkcHUy,2020-04-10 19:42:12
"Our reminder that even on our darkest day - there is hope, love, and healing. 

Wishing those across the First District who observe this sacred day a blessed Good Friday. https://t.co/s8VF1mDECh",2020-04-10 14:01:54
