tweet,dates
"This Mother’s Day, let’s commit to a feminist response to the COVID pandemic. Women bear the burden of this crisis as 52% of essential workers &amp; 60% of those losing jobs. This she-cession will only be longer &amp; deeper if we don’t address the needs of women! https://t.co/7ihs9tsNSL",2020-05-10 17:14:48
"Good morning. A reminder that under @BetsyDeVosED’s #TitleIX rule, Michigan State would have had no responsibility to stop serial sexual predator Larry Nassar because his victims reported to athletic trainers &amp; coaches or the “wrong person.” Stay outraged. https://t.co/UhTd029lkR",2020-05-09 15:47:37
Thank you to all the healthcare workers at ZSFG who put their lives on the line to save lives every day. We love you. It Takes Heart. #ittakesheartsf @SFGHFoundation https://t.co/YmewgZhKn3,2020-05-08 23:32:50
"During these challenging and uncertain times, #VEDay75  reminds us of what we can accomplish when we band together as one nation. Americans are answering the call today just as they did 75 years ago. We'll prevail this time too. https://t.co/qdZvi9DdkJ",2020-05-08 22:56:54
"May is National Teacher Appreciation Month and I want to honor every teacher, administrator, employee and contractor in all San Mateo County school districts who together prepare our children to grow into educated and contributing members of our society. https://t.co/PJiZ5YiJJx",2020-05-08 19:48:00
Essential workers risk their lives every day to make life possible for us all during this pandemic. I sent a letter to CDC calling for regular reporting of COVID-19 infections of essential workers &amp; deaths. We need data to ensure protective measures are working &amp; save lives! https://t.co/K0J608K559,2020-05-08 19:34:20
"To those who say racial injustice died w/slavery &amp; Jim Crow, consider the modern-day lynching of Ahmaud Arbery. A young man, full of promise, gunned down by armed vigilantes because he was in a ""white"" neighborhood. Until this ends, we will never truly be the land of the free.",2020-05-07 21:30:00
"The Trump Administration's claim that releasing the Mueller material “would irrevocably lift their secrecy and possibly frustrate the government’s ability to seek further review,” is code for more coverup!  What is @POTUS so afraid of?
 
https://t.co/YZb9495KFQ",2020-05-07 19:46:45
"Women are 2/3 of minimum wage workers, 66% of grocery store clerks, 77% of health care workers &amp; 93% of child care workers. This #MothersDay let’s show real thanks for #FrontlineMoms by ensuring child care, equal pay, sick leave, &amp; access to quality, affordable health care!",2020-05-07 19:17:03
I ask @BetsyDeVosED to look a survivor in the eyes and explain how the Administration’s Title IX rule changes will keep her safe or ensure that she achieves justice. This is a dark day for survivors and a free pass for rapists. https://t.co/wKLeJEcXEn,2020-05-06 19:39:18
"#DearBetsy, students are graduating into a historically horrible job market. Others don’t know if they’ll have classes next fall. Your response is to strip rights from sexual assault survivors. Why are you compelled to protect perpetrators over victims? https://t.co/LUyqIAJT1Z",2020-05-05 23:29:05
I get it- abandon the COVID-19 Task Force precisely when scientists identify a new more virulent strain of the virus that may create a double whammy. You don’t need science to inform our decision making. Just check with your campaign supporters. https://t.co/kfJdOJjYth,2020-05-05 21:25:35
".@POTUS’s description of a good female reporter=Donna Reed.  What’s he looking for, a mom who reassures him that he is doing a good job and never asks a probing question? That’s not what any professional reporter is expected to do.  https://t.co/rbJuZMavgx",2020-05-05 21:01:10
"Further evidence that some Marine leaders STILL can’t accept or understand the importance of women in making a modern fighting force. Outdated thinking &amp; prejudices endanger their Corps, not the presence of women eager to fight. https://t.co/M9gQRIBzRD via @businessinsider",2020-05-05 15:39:40
"Trump's Global Gag Rule &amp; defunding of @UNFPA have decimated access to family planning &amp; programs spanning HIV, maternal/child health, TB &amp; nutrition. Amid this pandemic we have no time for political gamesmanship! Proud to lead 114 MoC calling for urgent humanitarian exemptions! https://t.co/4vp2073Oio",2020-05-04 22:20:00
"Members must stop sleeping in their offices &amp; taking advantage of the free cable, wifi &amp; cleaning. I sent a letter to @uscapitol &amp; House Physician urging a ban on this unethical practice that puts workers at risk for COVID-19. Over two dozen Capitol workers have tested positive! https://t.co/Jd23ynbay1",2020-05-04 19:00:30
"If @POTUS thinks that 3 years of abuse &amp; attacks will weaken the resolve of our intelligence community, he is in for a rude awakening. The fact is he was warned in January about COVID-19 &amp; chose to ignore those warnings at the cost of American's lives. https://t.co/DPsvjGGSHQ",2020-05-04 17:20:26
#MayThe4th be with the heroes and sheroes at our hospitals! https://t.co/8ynoncb5KK,2020-05-04 16:53:47
Thanking our hospital workers with first responders this morning at San Mateo Medical Center #MayThe4thBeWithYou https://t.co/afsW2QYk0z,2020-05-04 16:44:00
Neither snow nor rain nor heat nor gloom of night nor recordings of Tik Toks stays these couriers from the swift completion of their appointed rounds! Congress must #ProtecttheUSPS! https://t.co/rTWgOWgO6m,2020-05-03 18:36:21
"I’m proud to rep a district that’s been immeasurably enriched by the extraordinary contributions of our #AAPI community! This Asian Pacific American Heritage Month, let’s reject @POTUS' bigoted narrative &amp; recommit to confronting xenophobia &amp; scapegoating during this pandemic.",2020-05-01 22:33:00
"Congratulations @andersoncooper on the birth of your beautiful baby boy Wyatt! Life as you know it has changed forever &amp; for the best. As great as your contributions have been professionally, your greatest accomplishment will be Wyatt. Wishing your family much love &amp; happiness.",2020-05-01 15:11:55
"Last year, DoD received 7,825 reports of sexual assault, charges were recommended for 795 cases, only 227 assailants were convicted. A 17% spike in restricted reports shows survivors don’t trust the military to bring assailants to justice. This must end! https://t.co/ECeWGl6jRx",2020-05-01 02:30:19
"Of the 1000 people coming through the ⁦@2ndharvest⁩ drive through today, at least half never thought they would ever need to be in a food line. This is impacting all of us. https://t.co/UwhMtFdwOu",2020-04-30 22:51:06
"Helping out at Second Harvest Food Bank’s drive through in Daly City. They are serving 370,000 people a month, up by 100,000 because of the virus. You can help, too! https://t.co/3Plwv8fluh https://t.co/K3e1JSAQtT",2020-04-30 19:17:39
Tribal govs that were promised $8B from the #CARESAct haven't received 1 penny thx to this corrupt Admin working instead to line the pockets of for-profit sole source contractors. This is what happens when you pick an ANC lackey to oversee aid for tribes https://t.co/P3SdEMwWmN,2020-04-30 15:50:15
"800+ Sailors on the Roosevelt tested positive for COVID-19, 1 has died, at least 26 other ships are infected. Testing military-wide continues to lag. The CDC needs to set guidelines to ensure troop readiness/health. Servicemembers mustn't die b/c of a lack of safety protocols! https://t.co/3cYqjhf5tz",2020-04-29 15:31:51
"As early as 2017, @POTUS has been undermining our ability to respond to a pandemic. Instead of taking decisive action in the early days of the COVID-19 outbreak, Trump chose to golf, hold rallies, &amp; lie. Here's a closer look at his catastrophic response: https://t.co/PqZD5E4ht9 https://t.co/JLyQxrtNiq",2020-04-28 15:26:00
"Are you still waiting to receive your rebate? The IRS has updated anticipated dates for Economic Impact Payment distributions. Check whether you can receive your payment sooner by using the IRS’ Get My Payment app! And for more details, go to my website: https://t.co/ipFsqKOoUT",2020-04-28 13:50:09
Are we tired of ⁦@POTUS⁩ patting himself on the back yet? Analysis of his briefings since March 9th shows 600 self congrats. Shows of empathy? Only 110 times. https://t.co/Nd5wNwXfUa,2020-04-27 15:38:17
The cruise industry has spent billions on share repurchasing to line the pockets of execs &amp; shareholders at the expense of their workers &amp; while dodging U.S. taxes &amp; polluting our water &amp; air. Companies that evade U.S. laws &amp; taxes must not get a blank check from taxpayers now. https://t.co/68KGRdoWzm,2020-04-27 13:43:14
"April 24, 1915 - the Ottoman Empire began a systematic campaign to murder 1.5 million Armenians, my ancestors included. I was proud to lead the effort in the U.S. House of Representatives to pass a resolution recognizing the #ArmenianGenocide. Never again! https://t.co/ynqenxbpvy",2020-04-25 15:26:05
Restore CAPT Crozier now! Navy leadership took too long investigating &amp; deliberating but FINALLY came to the right decision. Sec Def @EsperDoD &amp; the Administration must listen to the Navy &amp; act! The Sailors of the TR have waited long enough for common sense to prevail!,2020-04-24 20:41:44
.@POTUS has now swapped out Hydroxycholoquine for injecting bleach and sunshine as cures. He’s truly the snake oil salesman in chief. https://t.co/sVAGQuoihI,2020-04-24 15:45:50
"Testing — had we tested extensively early, we could be joining Germany in starting to open the economy. Germany, has been testing 350,000 people per week, and they only have 1/4 of the U.S. population. Testing had to be a national priority, not a state priority.",2020-04-23 23:36:14
"Ramadan Mubarak to all observing - a time of spiritual renewal, family gatherings, charity &amp; giving thanks to God. This year has required many of us to rethink how we celebrate our most cherished traditions. Your sacrifices are appreciated during this especially challenging time. https://t.co/FPEYSlYqLN",2020-04-23 21:45:00
Sent a letter to Sec Mnuchin &amp; Admin Carranza questioning discrepancies in dispersal of PPP funds. CA ranked LAST in a state-by-state comparison of $ received for eligible payroll costs. Small biz owners have a right to know how funds are doled out &amp; why they aren’t getting help! https://t.co/fEr0hS89Dt,2020-04-23 20:13:52
"These disgusting tweets are disqualifying for any job in government let alone Assistant Secretary for Public Affairs at HHS. CAPUTO MUST BE CANNED IMMEDIATELY.  

https://t.co/7fP4aqsoHc",2020-04-23 18:37:21
"Sent a letter w/@RepAnnaEshoo calling for $26B to support critically needed &amp; potentially life-saving research put on hold by COVID. Congress must support the ongoing fight to find cures for cancer, chronic diseases &amp; pandemics, &amp; the research staff that make that fight possible! https://t.co/Kk9Cu3uPYX",2020-04-23 16:31:01
"Heartbroken to see the news of the passing of @SenWarren’s oldest brother, Don Reed. The 20-year USAF veteran served his country valiantly in Vietnam, was a constant source of support, and his loss is mourned by the country. The entire family is in my thoughts and prayers.",2020-04-23 15:32:40
This demands an Oversight hearing! https://t.co/hcVbp5YrBg,2020-04-23 14:31:39
"The Trump Admin has rolled back 95 environmental protections, leaving us vulnerable to contaminated air &amp; drinking water &amp; further undermining our ability to battle COVID-19. #EarthDay co-founder &amp; former GOP Rep Pete McCloskey is right! It's time to redouble our enviro fight!",2020-04-22 22:29:50
"I know many of you have questions and concerns w/ the rebate. TOMORROW is your chance to make your voice heard during the IRS’s Economic Impact Payment discussion. Pre-registration is required, so be sure to go to https://t.co/Qj7l2arUoJ to sign up &amp; hear directly from the IRS! https://t.co/4RURegWuHJ",2020-04-22 19:19:46
"This week's tele town hall update on the federal response to the coronavirus is being rescheduled because I have to fly to Washington, DC today in time for votes on the interim funding bill tomorrow. More details to come on the rescheduled event on this space, so stay tuned!",2020-04-22 18:26:33
The fact that Trump the “businessman” cared more about the health and survival of Americans than President Trump speaks volumes to the subterranean moral depths that he has sunk. https://t.co/gVmwbExgao,2020-04-22 15:08:05
"Good news for parents who are homeschooling, seniors and everyone else stuck at home during the shelter in place order! Librarians and libraries in Redwood City are continuing to serve you online. Let’s celebrate #NationalLibraryWeek, Find Your Place At The Library. @RWCLibrary",2020-04-21 23:17:46
.@POTUS-you can’t have it both ways. First you say you have absolute power-wrong! Then you put out guidance on opening economy. Then governors support. Then you reverse yourself and have the AG threaten lawsuits. This isn’t your family owned business. The AG isn’t your Roy Cohn.,2020-04-21 22:02:10
"This Holocaust Remembrance Day, we honor 6 million Jews murdered during one of humanity's darkest times. We remember this atrocity amid a new rise in antisemitism - 35% of American Jews say they have suffered anti-Semitism in the last 5 years. We must stand united against evil!",2020-04-21 22:01:00
"How do you spell incompetence - @POTUS says to states, “you are on your own.” It takes a South Korean born First Lady of Maryland to negotiate tests from South Korea. Make her the procurement official for US! https://t.co/BbxfISHGQN",2020-04-21 16:01:19
"Social Security beneficiaries: if you have children to claim for your coronavirus rebate, you must update their information via the IRS portal by this Wednesday, April 22! If you miss this deadline, you may have to wait until you file your 2020 taxes. https://t.co/i31vUjnnh7 https://t.co/SVtH70QzV4",2020-04-20 23:52:17
