tweet,dates
"I want to wish a very Happy Mother’s Day to all our Hoosier moms! We celebrate millions of moms across the country who have been holding their families together. Thank you for being the hand to hold, the shoulder to lean on, and the champion of bravery during these tough times. https://t.co/n2M48OYHvl",2020-05-10 13:58:03
"As Indiana gets #BackOnTrack, let’s stay vigilant, keep practicing social distancing, and continue frequent handwashing so we can reopen our economy safely and protect ourselves, our families, and our neighbors. https://t.co/Etr3cZCiAH",2020-05-09 14:00:01
"The #coronavirus pandemic is a crisis unlike any in our lifetimes. As we begin to safely reopen Indiana’s economy, Hoosiers must continue to work together and remain vigilant about protecting ourselves and others. https://t.co/Etr3cZCiAH",2020-05-08 16:00:01
"May is #MentalHealthAwarenessMonth, a great opportunity to check in on yourself and your loved ones, raise awareness about the importance of mental health, and help end stigmas so our community can emerge even stronger on the other side of this crisis. https://t.co/Tu8GIcyhA6",2020-05-08 14:00:01
Today I was appointed to serve as a member of the newly formed Select Subcommittee on the Coronavirus Crisis. You can read my full statement here: https://t.co/BCSMNLpvTT,2020-05-07 20:43:05
"On the National Day of Prayer, let us keep our faith and pray for our frontline workers serving our communities, the families who have lost loved ones, and the leaders guiding us through this unprecedented time. https://t.co/KnD3jOmcHg",2020-05-07 20:33:19
"I had a chance to visit Kem Krest in Elkhart, one of the many Hoosier businesses stepping up and adapting their production line to make critical supplies like hand sanitizer. Thank you to everyone at Kem Krest! https://t.co/V2rLUYc3CE",2020-05-06 21:00:00
"On #NationalNursesDay, thank you to all of our nurses from the bottom of my heart. You are risking your own life to save others each and every day, and we are grateful for your strength and all your sacrifices. We could not do this without you.
https://t.co/zjutmrbGA8",2020-05-06 19:26:05
"The Indiana Small Business PPE Marketplace is now taking orders. If you are a small business owner in need of PPE for your employees in order to safely reopen, please visit https://t.co/djbWcHMoT9 to find out if you qualify.",2020-05-06 18:40:47
"During Teacher Appreciation Month, I want to #SendTeachersLove and say thank you to teachers across our community for finding new ways to reach their students and ensure they are still learning and growing during these challenging times. https://t.co/avHsS2zln2",2020-05-05 21:44:10
"Retirees facing financial challenges due to the coronavirus crisis may qualify for relief under the CARES Act. Learn more about special distribution options, rollover rules for retirement plans and IRAs, and expanded permissible loans here: https://t.co/yYguCi0o1f",2020-05-05 19:27:34
"As the daughter of a firefighter, I know how important these heroes are to our communities. On #InternationalFirefightersDay, I want to thank all of our firefighters for their bravery, selflessness, and commitment to public safety. https://t.co/ba1RLTZP5X",2020-05-04 19:19:23
"Last week, @GovHolcomb announced a five-stage plan to safely reopen Indiana’s economy while we continue to fight this invisible enemy and keep Hoosiers safe. Learn more about how Indiana is getting #BackOnTrack at https://t.co/EjJ0YvrYFu.",2020-05-04 17:37:14
"Thanks to the CARES Act, @INHumanities will provide more than $500,000 to tax-exempt humanities organizations for relief related to the coronavirus crisis. Find out if your organization qualifies for Indiana Humanities CARES Grant here: https://t.co/bmmwj7ua15",2020-04-29 15:42:15
"As National Park Week comes to a close, it’s the perfect time to celebrate all that our country’s national treasures have to offer. #FindYourVirtualPark here:
https://t.co/CBn0KdPCFT",2020-04-29 15:05:51
".@CDCgov updated its list of #coronavirus symptoms: fever, cough, shortness of breath, chills and shaking, muscle pain, headache, sore throat, and loss of taste or smell. Contact your health care provider if you experience any of these symptoms. https://t.co/jLaprJ5GaL",2020-04-28 16:00:00
"To ensure our front line health care workers have the resources they need, Congress approved an additional $25 billion to expand COVID-19 testing capacity and $75 billion for hospitals and health care providers. https://t.co/J7Rn4G0K2L",2020-04-28 14:00:00
