tweet,dates
"With multiple state &amp; federal recreation areas being opened on May 5th, I’m pushing the Forest Service to restore public access to its sites within the @CRGNSA &amp; @GPNF recreation areas – without weeks of delay. 

Read my letter⬇️ https://t.co/VyCinj6IlN",2020-05-08 22:58:59
"Today marks the 75th Anniversary of #VEDay – the day the Allied Powers celebrated the defeat of Nazi Germany. Today, let’s honor and remember the sacrifices of the Greatest Generation who answered the call to serve, and fought to defend our freedoms that we hold dear today. https://t.co/FCc1JEznMK",2020-05-08 17:10:01
"Thank you to our front-line health care workers, first responders, and especially our nurses during #NationalNursesWeek https://t.co/zRL0DFPMMi",2020-05-06 20:01:52
"Today’s hearing focused on COVID-19 – giving me the opportunity to discuss securing our manufacturing chain, protecting senior living facilities &amp; other vulnerable residents. https://t.co/uy7NzABdgn",2020-05-06 17:11:22
"In D.C. today, my colleagues &amp; I on the health-focused subcommittee heard experts weigh in specifically on supply chain improvements, protecting vulnerable populations &amp; other critical COVID-19 issues. https://t.co/dahsB4MHEA",2020-05-06 15:46:20
"Reopening National Wildlife Refuges – like the Ridgefield Wildlife Refuge – will provide a great opportunity for families and residents to get out of the house and enjoy our beautiful SW WA wildlife during these challenging times.
https://t.co/XH7hRQ68gu",2020-05-05 15:49:28
"Thank you to the teachers at @KelsoSchools &amp; all the educators across SW WA who are dedicated to enriching the lives of our students. 

Teaching may look a lot different these days, but your hard work and dedication doesn’t go unnoticed. #TeacherAppreciationWeek https://t.co/pBymoGoAEo",2020-05-04 18:37:52
"Recent sea lion removal in nearby Willamette Falls has resulted in a dramatic increase of returning winter steelhead – which is why I’m making it clear the federal agencies in charge of implementing my legislation, signed into law by the president: no delays.",2020-04-30 16:26:46
"Questions about unemployment insurance? I've put together some guidance on how to successfully apply for unemployment benefits ➡️ https://t.co/Czx9cfQdMb

Sign up for my email updates, here: https://t.co/3mJexX2Sxb https://t.co/rlA9E9W6B2",2020-04-29 21:44:00
"SW WA Social Security &amp; VA benefit recipients: for those who have qualifying dependents &amp; did not submit 2018 or 2019 tax returns, to receive the additional $500 economic impact payment per child or dependent you must input their information by May 5th. ⬇️
https://t.co/efTCMBrUWH",2020-04-28 17:40:49
"I’m encouraged Congress passed &amp; the president signed into law the bill to replenish the #PaycheckProtectionProgram for our small businesses, as well as provide more support for our hospitals &amp; increase testing for our communities. https://t.co/l75Jkm00Ji",2020-04-24 20:29:17
"For folks applying for unemployment benefits, please refer to the tips for success from @ESDwaWorks below. https://t.co/d8f4M5J7Yi",2020-04-24 19:35:11
