tweet,dates
"Happy birthday to my favorite senior senator from Idaho, @MikeCrapo! https://t.co/M5NJsRd4O4",2020-05-20 15:04:15
"Congratulations seniors!
https://t.co/EF4Rfym9dk",2020-05-19 22:32:57
"Funding update: Since the start of the #COVID19 pandemic, 1,142 small businesses and agribusinesses in Idaho have received more than $96 million in disaster assistance loans through the @SBAgov EIDL program.",2020-05-19 20:24:38
"When an officer’s life is lost in the line of duty, we are reminded of the daily perils law enforcement officers face while working to keep us safe. Vicki &amp; I are praying for the Bonneville County Sheriff's Office and the family of the fallen deputy during this difficult time.",2020-05-19 16:52:21
"On this day in 1980, ash rained down across the Pacific Northwest in the most destructive volcanic eruption our nation has ever seen. 40 years later, we remember the lives of those lost that tragic day. #MountStHelens",2020-05-19 00:59:10
"Cutting bureaucratic red tape remains one of the best ways to help businesses recover from the COVID-19 pandemic. @MikeCrapo &amp; I are ready to work with our colleagues on commonsense regulatory reform for America's businesses.
https://t.co/Rg6x0dg9iP",2020-05-18 19:55:13
"Congratulations to this year's graduating seniors! 2020 has been full of challenges, but know that your family, friends, and all of Idaho are proud of what you've accomplished during these difficult times. To the Class of 2020, I wish you the very best and may God bless you. https://t.co/coxq17Oi7C",2020-05-15 17:02:00
"Starting at 10am MT, the Mountain Home Air Force Base is conducting a flyover of southern Idaho’s hospitals in honor of the brave Idahoans on the front lines of the COVID-19 outbreak. Thank you to our first responders &amp; @366FW &amp; @124FighterWing for your service. #AirForceSalutes",2020-05-15 15:20:00
"Important news for Idaho #veterans in need of assistance: @IAVA has launched a nationwide consolidated-care program for veterans and their families that is free to use, anonymous, and operates 24/7. Learn more here: https://t.co/uWVMxISKJQ",2020-05-14 22:34:00
"Happening tomorrow – the @USDA is hosting a webinar for farmers, ranchers, and ag producers who are interested in applying for assistance through the Coronavirus Food Assistance Program. Click here to learn more: 
https://t.co/NEIfyNqB0W",2020-05-14 00:32:00
"On Friday morning, keep your eye out for a flyover of southern Idaho from @366FW and @124FighterWing in honor of Idaho's first responders. See the flight path below. #AirForceSalutes https://t.co/01yyX15pPV",2020-05-13 21:27:53
"Vicki and I are deeply saddened to hear of the passing of Idaho State Rep. Thyra Stevenson this morning. Thyra was a dedicated public servant for Nez Perce and Lewis Counties, and a great legislator and friend. My prayers are with the Stevenson family during this difficult time.",2020-05-11 23:40:13
A very happy Mother’s Day to all the wonderful moms raising the next generation! https://t.co/AjR4nIe5MY,2020-05-10 16:36:58
Thank you @SecretarySonny for recognizing the diversity of our agricultural industry and readdressing CFAP payment limitations to meet the needs of our family farms and ranchers in Idaho.,2020-05-09 16:32:00
"On #VEDay75, we remember the millions of Americans and foreign allies who fought in the European Theater of World War II for our shared values of freedom, democracy, and peace. Join me today in honoring those who made the ultimate sacrifice for their country.",2020-05-08 15:06:00
Congratulations to @INL for being recognized in the CSC for their world-leading expertise in critical infrastructure protection. https://t.co/0bbMxeQIK5,2020-05-08 13:04:43
"Buck Knives in Post Falls is using its 3D printer to manufacture plastic face shields for workers on the front lines of the pandemic. True creativity and ingenuity.
https://t.co/aKfG4nMcB9",2020-05-08 00:06:00
Today marks the final day of the @IdahoGives campaign. Help support your favorite nonprofits and make a difference in your community by donating to #IdahoGives today. https://t.co/T4mGwTP8dU,2020-05-07 18:54:34
"Idaho’s nurses have gone above and beyond the call of duty, and I thank them from the bottom of my heart. Happy #NationalNursesDay. May God bless you and keep you safe. https://t.co/lcfEn1GYXX",2020-05-07 01:47:19
"Until recently, small #ag businesses have been unable to access the SBA's EIDL program. After working with my colleagues on legislative fixes, I'm proud to say that farmers &amp; ranchers are newly eligible for the EIDL program.
To learn more &amp; apply, visit https://t.co/luRl8ycg1J.",2020-05-06 17:31:04
The reliable movement of goods during COVID-19 and other emergencies is critical. @INL and @CISAgov have developed a tool to help the transportation sector get products where they need to be. Read more about it here: https://t.co/fdO00gX0W4,2020-05-06 15:36:15
"Potatoes &amp; dairy, two of Idaho’s largest ag commodities, have been hit especially hard as their traditional markets have nearly vanished overnight. Thank you @SecretarySonny for working to assist our farmers.
https://t.co/cifKAOEYTQ",2020-05-05 19:42:10
"Last year, my colleagues &amp; I wrote to the Administration about the threat Huawei solar inverters pose to our national security. I applaud @POTUS for issuing last week’s EO to protect our critical infrastructure from foreign interference &amp; surveillance.
https://t.co/VmjXm7J9hw",2020-05-05 16:48:33
"Join me in thanking Idaho’s teachers this #NationalTeachersDay. We are grateful for the work you do to educate students across the state, and we hope to see you back in the classroom soon. https://t.co/Ib1ciGgtSy",2020-05-05 14:48:25
"During #MilitaryAppreciationMonth, we honor the men and women in uniform who have bravely served our country and defended our freedoms. Thank you to our active service members and veterans for your dedication and sacrifice. https://t.co/C2XpBHJAFc",2020-05-05 00:24:57
"Since the #PaycheckProtectionProgram resumed last week, another 12,000 forgivable small business loans have been approved for small businesses in every corner of the Gem State. #IdahoSmallBiz #PPP",2020-05-04 15:07:00
"A great showing of appreciation and support for our doctors, nurses, and medical professionals. Thank you to Idaho's health care workers for all that you do to keep us safe. 
https://t.co/rjkE3cvrkM",2020-04-30 15:14:26
"Good news: PPE sterilization equipment is on its way to @INL, ensuring Idaho’s hospitals and health care workers have access to the protective equipment they need to do their lifesaving work.
https://t.co/p1DgQioTVY",2020-04-30 00:03:00
This is welcome news for Idaho’s small community lenders who serve small businesses in rural parts of the state. https://t.co/zLxCZQUzsR,2020-04-29 19:23:24
"Next week marks the beginning of Support Ammon Businesses Week. You can support Ammon merchants and small businesses by purchasing a gift card, ordering take-out, or leaving a review for your favorite local business. #SupportLocalGems
https://t.co/B0LwE0XOmT",2020-04-29 16:46:00
"An incredible example of the hard work and generosity of Idaho’s potato farmers. Thank you Silver Creek Seed Farm for feeding our communities. 
https://t.co/iye8PZkw4X",2020-04-29 15:02:00
"To everyone who supported an Idaho small business today -- whether by shopping online, buying a gift card, writing a review, or by expressing your appreciation -- thank you. Your commitment to community today &amp; every day makes the Gem State great. #SupportLocalGems",2020-04-25 03:00:00
"Looking for dinner inspiration? Check out BoiseDev's SW Idaho Take-out &amp; Delivery Guide and support a local restaurant in your neighborhood. #supportlocalgems 
https://t.co/yZtyjBxuzp",2020-04-24 22:45:00
"A great way you can #SupportLocalGems is by buying a gift card. Check out this list of small businesses in the Magic Valley where you can purchase a gift card online. #BuyLocal
https://t.co/HHKDHK5S4h",2020-04-24 19:12:00
What local businesses are you supporting in your community today? Give a shout-out to a small business you love! #SupportLocalGems,2020-04-24 17:44:00
"Idaho's farmers, ranchers, and food producers are local gems too! Visit https://t.co/7ANJCKTtZU for a list of local producers around the state. @IdahoPreferred #SupportLocalGems",2020-04-24 15:32:20
"Today is the day! Small and local businesses are the lifeblood of the Gem State. Show them you care today by buying from them online, getting take-out, writing a review, or saying thank you for all that they do to make our communities thrive. #SupportLocalGems https://t.co/jFvsjomMmN",2020-04-24 13:54:25
"This Friday (and every day) lend your support to the small businesses in our communities that make Idaho great.
#SupportCDAGems
#SupportPostFallsGems
https://t.co/xZKPcy0lPd",2020-04-23 20:05:00
Looking for more ways to #SupportLocalGems? Visit https://t.co/3sX2ejGa3J and donate to one of the many nonprofits serving Idaho's communities. #IdahoGives https://t.co/KX7wvV0sfS,2020-04-23 18:34:19
"On Friday, April 24th, get online and give your business to the local shops and restaurants that make your community thrive. #SupportLocalGems https://t.co/4UNnSmPNv7",2020-04-23 01:40:32
"Small businesses employ hundreds of thousands of Idahoans, but #COVID19 has made job security uncertain for many of our neighbors and friends. On Friday, April 24th, #SupportLocalGems and the Idahoans they employ by shopping online and supporting the gems in our communities. https://t.co/ppn2D2cfWE",2020-04-22 19:37:09
"Looking for a list of open businesses in Idaho Falls? @localnews8 has you covered. Check out their Open 4 Biz website and this Friday, #SupportIdahoFallsGems. 
#SupportLocalGems 
https://t.co/PAziACMdJY",2020-04-22 00:04:00
"Small businesses need every possible tool in the toolbox to weather the COVID-19 pandemic, and the Paycheck Protection Program is one of those essential tools. 
Full statement here: https://t.co/tNlgkGdl84 https://t.co/ufztIljAOu",2020-04-21 22:28:59
"The innovation at Idaho's colleges and universities is unmatched. At @uidaho, researchers are hard at work on a cure for coronaviruses, including COVID-19.
https://t.co/ZGT78JHjzF",2020-04-21 17:43:23
