tweet,dates
"It was great to be back in Washington, DC this week. Here’s a quick recap of my week. 📽 https://t.co/N63w19rcJp",2020-05-08 19:17:09
"In honor of #PublicServiceRecognitionWeek, thank you to countless government federal employees across Oklahoma &amp; the nation. In the midst of a global pandemic, you’ve worked diligently to continue to serve your fellow Americans. I am so grateful for your service.",2020-05-07 19:58:30
Join me in praying for all those working on the frontlines of the COVID-19 pandemic. #NationalDayofPrayer2020 https://t.co/MferQcT1PQ,2020-05-07 18:39:18
"For the earth will be filled with the knowledge of the glory of the Lord as the waters cover the sea. Habakkuk 2:14 NIV

We are each given a unique opportunity to spread the knowledge of God's glory. I pray every believer helps fulfill this passage today. #nationaldayofprayer2020",2020-05-07 13:07:05
"Today we observe #nationaldayofprayer2020 in a time when our country and its citizens need prayer the most. Through social media and the internet, we have the opportunity to reach more people during this year's National Day of Prayer than ever before.",2020-05-07 13:01:49
"On #NationalNursesDay, we say thank you to all our Oklahoma nurses serving on the frontlines. I am grateful for the way you serve your neighbors and your communities. Thank you for all that you do. https://t.co/OLGC0DnaJD",2020-05-06 18:12:46
"Tomorrow is #NationalDayOfPrayer. Join me today in praying for our nation and our leaders. As we continue to navigate #COVID19, may we pray for wisdom and discernment over each and every decision made for the country. https://t.co/OEm24GdXqf",2020-05-06 15:37:30
I'm proud to stand with Little Sisters of the Poor. #LetThemServe https://t.co/ldiixaRGLI,2020-05-06 15:18:08
"I’m proud to stand with the Little Sisters of the Poor. #LittleSisters serve over 13,000 elderly members of their communities around the world with a mission to love their neighbors like Christ. https://t.co/ydARW5vC3o",2020-05-06 14:27:05
"Today, thousands of Oklahomans and others around the country will participate in #GivingTuesday. I’ve seen firsthand the differences non-profits make in their communities.",2020-05-05 17:50:37
"In honor of #TeacherAppreciationDay, thank you to all Oklahoma educators. I am grateful for teachers every day, and am especially thankful for how you serve your students &amp; your communities in this challenging time. https://t.co/OnLHtY0CXb",2020-05-05 15:00:00
"🚨 VA &amp; Social Security recipients who don't file a tax return &amp; have dependents:
Recipients with dependents must use the Non-Filers tool on https://t.co/a0yB6LSW1a TODAY to have $500 per eligible child added to their Impact Payment. Today is the last day to register, don't wait.",2020-05-05 14:00:01
"Leading to #NationalDayOfPrayer, we understand when we lift up our eyes to the mountain where our help comes from. It’s not from the government. Our help comes from the Lord &amp; we’re grateful that He neither slumbers nor sleeps. https://t.co/rGGvo6qNeU",2020-05-05 13:26:48
"🚨 VA &amp; Social Security recipients who don't file a tax return &amp; have dependents:
Recipients with dependents must use the Non-Filers tool on https://t.co/a0yB6LBkCA by TOMORROW to have $500 per eligible child added to their Impact Payment. Two days left, act today, don't wait.",2020-05-04 23:00:00
"As we work to ensure the economy recovers to the historic growth levels it was experiencing just months ago, we must ensure our low-income communities are not left behind as we return to business as usual. #OpportunityZones are a tool that we can use to help these communities. https://t.co/d3H4GV5Kb4",2020-05-04 19:20:39
"For the earth will be filled with the knowledge of the glory of the Lord as the waters cover the sea. Habakkuk 2:14 ESV

As we prepare to celebrate #NationalDayOfPrayer this week, may we all reflect on this year's theme verse Habakkuk 2:14. In all we do, may He receive the glory.",2020-05-04 18:00:00
"🚨 VA &amp; Social Security recipients who don't file a tax return &amp; have dependents:
Recipients with dependents must use the Non-Filers tool on https://t.co/a0yB6LSW1a by TOMORROW to have $500 per eligible child added to their Impact Payment. Two days left, act today, don't wait.",2020-05-04 15:30:30
Cross Telephone is a great example of one of the many ways Oklahomans have made big differences in the lives of their neighbors during the #COVID19 pandemic. Thank you for the way you serve those around you. https://t.co/jB2vZeyRkl,2020-05-04 14:38:12
"🚨 VA &amp; Social Security recipients who don't file a tax return &amp; have dependents:
Recipients with dependents must use the Non-Filers tool on https://t.co/a0yB6LBkCA by TUESDAY to have $500 per eligible child added to their Impact Payment. Three days left, act today, don't wait.",2020-05-03 15:30:00
"🚨 VA &amp; Social Security recipients who don't file a tax return &amp; have dependents:
Recipients with dependents must use the Non-Filers tool on https://t.co/a0yB6LSW1a by May 5th to have $500 per eligible child added to their Impact Payment. Note the deadline, act today, don't wait.",2020-05-02 15:30:00
🚨Need help filing for the Pandemic Unemployment Assistance? Use this guide from @OESCnews to help. https://t.co/aGaP2qRV4K,2020-05-01 19:39:26
"🚨 VA &amp; Social Security recipients who don't file a tax return &amp; have dependents:
Recipients with dependents must use the Non-Filers tool on https://t.co/a0yB6LBkCA by May 5th to have $500 per eligible child added to their Impact Payment. Note the deadline, act today, don't wait.",2020-05-01 15:30:00
"🚨 VA &amp; Social Security recipients who don't file a tax return &amp; have dependents:
Recipients with dependents must use the Non-Filers tool on https://t.co/a0yB6LSW1a by May 5th to have $500 per eligible child added to their Impact Payment. Note the deadline, act today, don't wait.",2020-04-30 15:30:01
"Freedom of religion, belief and conscience are inherent human rights. The #USCIRFAnnualReport2020 highlights improvements in religious freedom and rightly calls out bad actors that continue to engage in severe violations of religious freedom against their own people. https://t.co/6TGXguw0zc",2020-04-29 16:11:18
"🚨 VA &amp; Social Security recipients who don't file a tax return &amp; have dependents:
Recipients with dependents must use the Non-Filers tool on https://t.co/a0yB6LBkCA by May 5th to have $500 per eligible child added to their Impact Payment. Note the deadline, act today, don't wait.",2020-04-29 15:30:00
"Lessons with Lankford week two is here. 

Follow along as we discuss federalism and talk about the major differences in the federal, state and local government. ▶️ https://t.co/p3UrgMPzhM 

Have a topic you want to learn more about? Send me your suggestions in your response.",2020-04-29 14:31:47
Reminder the Get My Payment tool on https://t.co/a0yB6LSW1a will be unavailable TONIGHT from 9 pm to approximately 12am CST in an effort improve user experience &amp; address concerns. This will help speed up the process in getting Economic Impact payments to the hands of taxpayers.,2020-04-29 01:00:00
"Thank you, @McDonalds for the way you give back to your neighbors serving on the frontlines of the pandemic. Now through May 5th, participating McDonald's are giving a free meal to healthcare workers &amp; first responders. We are so appreciative of you and all the hard work you do. https://t.co/sHwwKeaEDH",2020-04-28 18:06:05
"If not all non-profits are able to receive relief through the #PaycheckProtectionProgram, Congress should look at other ways to provide relief, like increasing the amount taxpayers can deduct for charitable giving.",2020-04-28 16:47:56
