tweet,dates
".@JimInhofe praised the Treasury Dept’s guidance clarifying that rural electric co-ops with less than 500 employees are eligible for the #PaycheckProtectionProgram. 

In April, Inhofe urged them to ensure rural electric co-ops be considered eligible recipients under the PPP.",2020-05-19 15:44:07
".@JimInhofe joined @LindseyGrahamSC to intro a resolution to commemorate National Police Week 2020. Additionally, today is Peace Officer Memorial Day, a national day to pay tribute to the local, state and federal officers who died in the line of duty.
 
https://t.co/947DkFGVzq",2020-05-15 19:52:17
"BREAKING –  Senate Passes @JimInhofe, @SenatorMenendez legislation that would work towards Taiwan's inclusion in WHO

https://t.co/AUalLP90aF",2020-05-11 23:33:12
"⬇️ ICYMI: @JimInhofe in the @MWC_Beacon: The Oklahoma Standard Always Prevails in Times of Crisis ⬇️ 
 
https://t.co/S8vrp1Itmp",2020-04-24 22:31:51
"Yesterday, @JimInhofe, @SteveDaines, @SenJohnBarrasso, @Sen_JoeManchin and @SenGaryPeters sent a letter with 73 bipartisan cosigners to OMB Acting Director Vought to support radio, TV broadcasters &amp; local newspapers during the #COVID19 pandemic.
https://t.co/pqrbl2fXRG",2020-04-24 19:42:35
".@JimInhofe announced today that @usedgov will distribute an additional $160mil to Oklahoma’s K-12 educational institutions from the Education Stabilization Fund as authorized by the CARES Act. 

https://t.co/qFdcWUAEqb",2020-04-23 23:27:49
".@US_EDA is awarding a $3mil grant to Tulsa County to improve critical infrastructure needed to protect communities and businesses from flood damage. This grant will be matched with $750,000 in local investment and is expected to retain nearly 1,560 jobs.
https://t.co/nSqcKXJvHD",2020-04-21 20:22:38
NEWS: Inhofe Applauds Trump Administration Announcement to Help Ag Producers ➡️ https://t.co/9fj75BlTVp,2020-04-20 22:02:58
"Inhofe Announces $198 Million in Relief for Oklahoma Educational Institutions ➡️
https://t.co/erGRswBfw5",2020-04-15 21:59:41
CORONAVIRUS RELIEF FAQS ➡️ https://t.co/aW9KzUHDPG,2020-04-01 22:31:22
HELP FOR SMALL BUSINESSES ➡️ https://t.co/z5dtVj1LEp,2020-03-21 19:14:51
CORONAVIRUS RESOURCES ➡️ https://t.co/AtdHcTnClp,2020-03-17 16:11:24
NEWS: Inhofe Statement on First Reported Coronavirus Case in Oklahoma ➡️ https://t.co/fEeq1RJMYd,2020-03-06 22:48:28
NEWS: @JimInhofe Joins Letter Urging Education Department to Protect Funding for Oklahoma’s Rural Schools ➡️ https://t.co/6Ufp0VBnZt,2020-03-04 20:02:05
NEWS: @JimInhofe Joins Colleagues in Resolution Calling on Olympic Committee to Move 2022 Olympic Games Out of Communist China ➡️ https://t.co/RDKw4XbRFd,2020-03-04 16:52:26
NEWS: @JimInhofe Leads Letter Urging EPA to Continue Granting Regulatory Relief to Small Refineries ➡️  https://t.co/P9spw6eC4F,2020-03-04 15:31:54
NEWS: Inhofe Votes for Pro-Life Bills ➡️ https://t.co/F3uqtYlZED,2020-02-25 23:26:48
NEWS: President’s Budget Builds Strong Future for Veterans Care in Eastern Oklahoma ➡️  https://t.co/IE5Vj2ej0w,2020-02-10 21:44:04
This morning's impeachment update from @JimInhofe: Today is the first day the American people will hear from President Trump's legal team. Watch ⬇️ https://t.co/s95AnvkaeR,2020-01-25 15:44:29
Senator @jiminhofe is in Oklahoma today to be with a family member facing a medical issue. He plans to return to Washington on Tuesday where he will be sworn in with no delay to the impeachment process. https://t.co/aLeGCmQHf2,2020-01-16 22:06:01
