tweet,dates
"Thank you to #Tibetan Associations across the U.S. that contributed more than $35K to @_MealsOnWheels to help vulnerable Americans during the COVID-19 pandemic.

In these trying times, it's gestures of solidarity like this that uplift our spirits &amp; reaffirm our shared humanity.",2020-05-10 00:52:31
"Today would have been #AhmaudArbery's 26th birthday. 

He won't get to celebrate because he was killed for jogging while black. His murderers have finally been arrested after months despite a video of their crime.

This is not justice. It's a disgrace.
https://t.co/IN9XD7dkBs",2020-05-08 22:22:38
"The coronavirus pandemic is magnifying social and economic injustices in our community, and I’m glad that this federal funding will go towards vulnerable members of our community who need help. https://t.co/lN2ao8Yr4z",2020-05-08 19:05:56
"Good news that @SenateForeign has scheduled a markup of the #Tibetan Policy &amp; Support Act (H.R. 4331), legislation I introduced with @marcorubio,@RepChrisSmith, @SenatorCardin &amp; others to strengthen U.S. support for the human rights &amp; religious freedom of the Tibetan people. https://t.co/n74Jo3anu1",2020-05-08 15:13:49
"Nurses, doctors &amp; other health care providers are working impossible hours &amp; putting themselves at risk to keep us safe and healthy during this pandemic.

Today, @Jo_Comerford, @SabadosaMA &amp; I welcomed workers at @cooleydickinson to simply say ""thank you."" https://t.co/fGckYBKgUW",2020-05-08 01:43:25
"While this is good news and will help many #Massachusetts families in need during this pandemic, it is not enough. 

We will keep fighting to make sure nobody is left behind or left out as our Commonwealth recovers and heals from this crisis. https://t.co/oP73ALMjI5",2020-05-08 01:24:48
"As of yesterday, wearing a mask in public is now mandatory in Massachusetts. Here's some helpful info about the new rules. https://t.co/jlR26xkaCz",2020-05-08 00:03:08
"This is ridiculous. We are in the middle of a public health crisis. #COVID has claimed nearly 75,000 American lives. And President Trump's answer is to take health care away from people and eliminate protections for people w/ pre-existing conditions. https://t.co/yDZBab4oOR",2020-05-07 17:05:39
"Instead of a GOP partisan task force designed to divert attention from President Trump’s coronavirus response failures, @GOPLeader McCarthy could get serious about holding the Chinese government accountable by supporting bipartisan initiatives. https://t.co/cReztlKDHs",2020-05-07 15:35:44
Grabbed my favorite coffee mug for my 7:30am check-in w/ @MonteBelmonte on FM 93.9/ 101.5 The River this morning. Can't listen live or don't live in the valley? Tune in here: https://t.co/vzHhlBRlRV https://t.co/2wFpda6m0D,2020-05-07 10:32:00
Thanks to @FCNL for having me on tonight for an inspiring discussion about why Congress must reassert our power when it comes to matters of war &amp; peace. https://t.co/OX1iTYw2nP,2020-05-07 03:24:47
Proud to join this important letter w/ @RepGaramendi &amp; @RepTjCox &amp; to express our deep concern about the safety of the vulnerable #Sikh religious minority in #Afghanistan. https://t.co/GEKVCCyvvX,2020-05-06 21:18:01
"NEWS: @SenatorLeahy &amp; I led 100+ colleagues in opposition to the Trump administration’s decision reversing years of progress in limiting antipersonnel landmine production &amp; use. We want answers from @EsperDoD about the justification for this policy shift.
https://t.co/FgKRhLPc4V",2020-05-06 17:18:48
"#COVID19 has revealed the tireless dedication of America’s teachers. 

This #TeacherAppreciationWeek, we thank our teachers who are going above and beyond to serve their students. #ThankATeacher https://t.co/jb4iLerb3a",2020-05-06 00:57:07
"Our local, state &amp; federal team is working together to support our workers &amp; families and keep our communities safe &amp; healthy. 

I joined @GreenfieldMA Mayor Wedegartner, Sen. @Jo_Comerford &amp; @RepPaulMark at today’s press conference to discuss our ongoing #COVID19 response. https://t.co/di7uBNt5q4",2020-05-06 00:53:48
"Today, @SenatorLeahy &amp; I are pressing @SecPompeo &amp; @stevenmnuchin1 to immediately confirm that U.S. policy does not preclude shipments of medical equipment, food, or other humanitarian items to #Cuba to combat #COVID19. 

Read our full letter:
https://t.co/02Rya6RuWk",2020-05-05 23:07:27
"Nobody in America should go hungry during this time of need.

Proud to join @chefjoseandres &amp; our bipartisan, bicameral team to introduce the FEED Act so states can partner w/ restaurants &amp; nonprofits to provide meals for those in need. https://t.co/53QcQWzTW6",2020-05-05 20:47:53
American citizens are too often being detained as de facto hostages in business disputes or to coerce family members to return to #China—this is shocking and unacceptable behavior by the Chinese government and a clear violation of international law. https://t.co/EJHJFKQgXl,2020-05-05 17:46:27
"Leader McCarthy, this is very disappointing. The status quo isn’t going to cut it. And one other thing - I agree with Speaker Pelosi and Leader McConnell on testing. Members of Congress should not be given preferential treatment over their constituents. https://t.co/6eWo9jpr2R",2020-05-04 18:04:57
"On #WorldPressFreedomDay, @CECCgov Co-Chair Senator Rubio​ &amp; I asked @POTUS to advocate for the release of unjustly imprisoned journalists &amp; free speech advocates in #China. https://t.co/P1t4N2bXhY",2020-05-04 17:07:10
"One year ago today,
@HouseDemocrats passed the
#ClimateActionNow Act. 

Mitch McConnell is afraid to take
this bill to the Senate floor for debate. His rejection of facts and science is absolutely absurd. https://t.co/Wz8hJRvajy",2020-05-02 11:03:00
"#HumanRights don't go away during a pandemic. Foreign governments should release arbitrarily detained Americans &amp; all prisoners of conscience on humanitarian grounds immediately.

My statement w/ @ChrisCoons, @SenThomTillis &amp; @RepChrisSmith. #COVID19 https://t.co/v8jfZdwV4O",2020-05-01 23:11:00
"#EssentialWorkers have ALWAYS been essential &amp; it's time this country started acting like it.

On #InternationalWorkersDay I stand in solidarity w/ essential workers. Congress must prioritize them in our next relief bill. They're taking care of us — we need to take care of them. https://t.co/q8Lb38hBM4",2020-05-01 21:54:38
"#Census2020 is here! For the first time ever, the Census Bureau will post live self-response rates. Check out the link below and see where your community stands in comparison to others and remind your friends and family to #GetCounted! https://t.co/CCc2RjhjyK",2020-05-01 13:12:00
Please don’t avoid seeking medical care for a non-coronavirus related medical emergency. Health care providers are working hard to ensure that everyone can stay safe during this pandemic. https://t.co/BXX1rpdClt,2020-05-01 03:24:34
"I'm asking the White House to waive the traditional 25% state &amp; local match requirement for federal disaster assistance given to Massachusetts. That would allow us to devote our precious resources towards dealing with this pandemic.
https://t.co/0nXKNmW4AD",2020-04-30 20:47:39
"Now more than ever, #broadband is an essential service that students, workers &amp; families rely on daily.

I joined @SenAmyKlobuchar &amp; others calling on the FCC to ensure that people on #SNAP &amp; Medicaid know they can get help accessing broadband through the Lifeline program. https://t.co/zxNYloW2wR",2020-04-30 20:28:50
"The American people count on their elected officials to act, especially in times of crisis. We can't let an emergency stop us in our tracks.

It's time for Congress to finally embrace tech so we can safely continue legislating during an emergency. https://t.co/5xzsY8WGOp",2020-04-30 19:08:00
"Missed our chat this morning?

Listen online here: https://t.co/MoVUYuVbPR https://t.co/Jk39C1086J",2020-04-30 17:13:17
"Congrats to @CleartechGroup in #Leominster on being named Massachusetts @SBAgov #MinorityOwned #SmallBusiness of the year! Led by @USAirForce veteran Tony Fields, Cleartech Group has been helping businesses grow &amp; prosper for 15+ years.

Proud of all our #MA02 #SmallBusinesses! https://t.co/vw8FujrjPN",2020-04-30 16:35:04
Información importante sobre el desempleo de @MassLWD. https://t.co/OQWNUrxklh,2020-04-30 14:38:17
Important hotline information from @MassDPH. https://t.co/Bb1aEwaTPX,2020-04-30 14:35:36
"In 15 minutes I'm joining Hank Stolz @CommonTalkPod live (from my house) in #Worcester on WCRN! Tune in:
📻830 AM
💻https://t.co/vxjDU8T1Iv",2020-04-30 12:00:00
Getting ready for my weekly check in w/ the fabulous @MonteBelmonte on 93.9/ 101.5 WRSI The River. We'll be live at 7:30AM and if you don't live in the 413 you can tune in here: https://t.co/NVAEMNOnBp https://t.co/NDJuzZ8q7X,2020-04-30 10:55:00
"#COVID19 exposed just how unprepared Congress is to continue its business during an unforeseen crisis. 

Inaction isn't an option — it's time for us to embrace tech so we can safely keep legislating in an emergency.

My new op-ed in the @washingtonpost: 
https://t.co/5xzsY9ehFX",2020-04-29 22:14:00
Good morning. Leadership means leading by example. Not trying to show how fearless you are while putting others around you at risk. https://t.co/5DUYNurtgK,2020-04-29 14:19:50
"#Census2020 is underway and the most important thing you can do is respond online, by phone, or by mail when you receive your invitation. Responding now will minimize the need for the Census Bureau to send densus takers out into communities to follow up.
https://t.co/fNxQ4s220X",2020-04-29 10:25:00
"The American people count on their elected officials to act, especially in times of crisis. We can't let an emergency stop us in our tracks.

It's time for Congress to finally embrace tech so we can safely continue legislating during an emergency. https://t.co/5xzsY8WGOp",2020-04-28 23:15:30
"#HumanRights don't go away during a pandemic. Foreign governments should release arbitrarily detained Americans &amp; all prisoners of conscience on humanitarian grounds immediately. 

My statement w/ @ChrisCoons, @SenThomTillis &amp; @RepChrisSmith. #COVID19 https://t.co/v8jfZdfkdg",2020-04-28 20:47:00
"#COVID19 exposed just how unprepared Congress is to continue its business during an unforeseen crisis. Inaction isn't an option — it's time for us to embrace tech so we can safely keep legislating in an emergency.

📰 My op-ed in today's @washingtonpost ⬇️
https://t.co/9YkyGsow9f",2020-04-28 18:38:56
Important update from @MassGovernor: https://t.co/SlJ2yD8ADu,2020-04-28 18:31:52
"#2020Census pro tip: If your college students are home because of COVID-19, they should still be counted “where they usually live and sleep most of the time.” For most students, that means in their college town. Get the facts, then help them
respond: https://t.co/6gpauSazIs",2020-04-28 12:00:00
"Technology has changed a lot in the 231 years since Congress first met — it’s time for us to catch up so we can keep legislating on behalf of the American people, even during an unexpected emergency ➡️ https://t.co/TbguGuVaiH",2020-04-28 02:28:07
"Let's recap. Here's who needs a bailout:
✅ Hungry families
✅ Small businesses
✅ Essential workers
✅ Disadvantaged communities

Here's who doesn't:
✅Wealthy CEOs &amp; Fortune 500 companies w/ access to huge lines of credit &amp; millions in cash on hand.",2020-04-27 23:14:00
"1/ Paycheck Protection Program loans are being given out by the Trump administration to big corporations w/ access to huge lines of credit, millions in reserve, and close ties to the White House. 

This is why we need aggressive oversight.
https://t.co/WYBSYQPlkc",2020-04-27 20:46:10
Thank you Chris! Massachusetts is proud of you! https://t.co/mljxwHQFNK,2020-04-27 19:14:15
"Foreign governments should release arbitrarily detained Americans &amp; all prisoners of conscience on humanitarian grounds immediately. My statement alongside ➡️@ChrisCoons, @SenThomTillis &amp; @RepChrisSmith. #HumanRights #COVID19 
https://t.co/v8jfZdfkdg",2020-04-27 18:57:33
"It's #WorcesterTakeOutDay!

We're blessed w/ so many amazing food options in #Worcester, but many of our favorites now face an uncertain future.

Join me in getting take out or delivery tonight &amp; supporting the local restaurants that play such an important role in our community. https://t.co/lQ16YMnXi2",2020-04-27 18:24:50
"We're experiencing a crisis of food insecurity not seen in America in decades. Hungry families can't wait. 

I'm leading 139 Members of Congress calling for anti-hunger programs like SNAP to be prioritized in the next #COVID19 relief bill ➡️ https://t.co/3sZJ4rvoO9",2020-04-26 15:28:03
"In 1995, the @DalaiLama chose Gedhun Choekyi Nyima to be the #PanchenLama, one of the highest positions in Tibetan Buddhism. Days later, Chinese authorities kidnapped him &amp; his family.

Today is his 31st birthday &amp; I again call on Chinese authorities to release him &amp; his family. https://t.co/FqJQjWRA2z",2020-04-25 12:00:00
"Thank you, Worcester Islamic Center! https://t.co/pzA31rNDT3",2020-04-24 17:43:55
"50,000 Americans are dead. But go ahead and give yourself a pat on the back. https://t.co/5Qu3UMXwZD",2020-04-24 14:02:32
"Why is anybody surprised that this is the man who told the American people to drink bleach?

Please only take medical advice from your physician. https://t.co/NMIh1tANvO",2020-04-24 13:39:39
"#Worcester is home to one of the oldest #Armenian communities in the U.S. 

Today I stand with them &amp; with Armenians around the world in solemn remembrance of the #ArmenianGenocide &amp; the more than 1.5 million Armenian children, women, and men whose lives were taken. https://t.co/qLn9s8u81I",2020-04-24 11:51:00
"#MitchAntoinette would rather deny aid to firefighters, police &amp; EMS than deliver the relief they need to keep fighting the coronavirus. This is a disgusting remark to make when American lives are on the line. https://t.co/puBU5RKG6O",2020-04-23 23:45:26
"In the middle of this pandemic, as unemployment surges and food banks struggle to keep up, it is immoral and wrong that families in America can’t afford to buy groceries.

Nobody in this country should go hungry. We can do more. We must do more.
https://t.co/GUVXDt6a15",2020-04-23 23:38:41
"#RamadanMubarak, Massachusetts. As we begin this holy month, I wish you and your family peace, strength, and hope during this time of great uncertainty. https://t.co/2amZqIMmJx",2020-04-23 23:07:00
"Have you experienced a job change and no longer have health insurance through work? The Massachusetts @HealthConnector has extended enrollment for uninsured residents through May 25. 

TODAY is the deadline to apply for coverage that starts May 1. https://t.co/oxJUX2LaE0",2020-04-23 19:42:00
"My heart is heavy for @SenWarren following the loss of her brother. The coronavirus has brought so much sadness and heartbreak to our country.

Elizabeth — Lisa &amp; I will keep you &amp; your entire family in our prayers during this difficult time.",2020-04-23 19:04:04
"Proud to bring legislation to the floor establishing a select subcommittee ensuring that every single penny Congress appropriates goes to the people who are struggling, not the wealthy and well-connected.

We need sunshine &amp; transparency. This should not be controversial! https://t.co/ngQdkPj4gF",2020-04-23 16:44:19
"At least 40 children in Office of Refugee Resettlement custody have come down with #COVID19. How are children who are detained supposed to socially distance?

We're calling on @HHSGov &amp; @DHSgov to release them ASAP. Anything less would be heartless &amp; cruel. https://t.co/djPCw2bp1N",2020-04-23 16:00:25
Needed to show some @Patriots pride before the #PatsDraft. #DoYourJob #mapoli https://t.co/I6rHRMBbdH,2020-04-23 14:25:20
"They love to claim they're in favor of efficiency, oversight &amp; accountability — until they have to vote on it. https://t.co/mJuGKTVKzf",2020-04-23 13:44:44
The lowest of the low: GOP is denying struggling families help w/ groceries during a pandemic. McConnell &amp; Trump don’t have to worry about where their next meal is coming from – but they don’t think others should be afforded the same right. Read more ➡️ https://t.co/GUVXDt6a15,2020-04-23 03:50:02
"Tonight, the Rules Committee met to establish a select subcommittee on the coronavirus crisis.

Congress must ensure that the taxpayer dollars we've allocated to respond to this crisis are well spent: that means saving lives, rooting out fraud &amp; fighting for ALL small businesses. https://t.co/Af9zLUirjj",2020-04-23 03:12:25
America must always live up to our values. Proud to join this important letter with @Ilhan. https://t.co/viWrTWDYTR,2020-04-22 21:20:18
"INBOX: Trump lackey @EPAAWheeler takes credit for 50 years of hard work by @EPA staff while his boss at the @WhiteHouse works to:

⚠️Allow factories to spew toxic mercury into our air.
⚠️Let companies dump mining debris in streams.
⚠️Slash EPA’s budget.

Unbelievable. Hypocricy. https://t.co/qQrylpgekS",2020-04-22 19:08:25
"Trump &amp; Senate GOP: It's up to the states to organize a #COVID19 response.

Also Trump &amp; Senate GOP: We won't provide funding for state &amp; local #COVID19 response.

Confused? That's because it makes no sense at all.",2020-04-22 19:01:14
"Had a great chat w/ @UMassAmherst students who put together constitutional amendments as part of a class in which students research, draft &amp; present to their peers a proposed constitutional amendment.

Amazing ideas to help make our democracy work better. Our future is bright! https://t.co/Ef8bjDIT1I",2020-04-22 17:28:56
"On the 50th anniversary of #EarthDay, I still stand in solidarity with young people here in America &amp; around the world who are fighting back against #ClimateChange for the future of our planet. https://t.co/p5MWQxZPjt",2020-04-22 15:24:02
"Thank you President Tsai @iingwen for your generous donation of medical masks to the @MassEMA warehouse. 

#Taiwan’s early and proactive efforts serve as an example to the world of how to effectively prevent the spread of #COVID19. We appreciate your help. https://t.co/mgIdy90pWr",2020-04-21 01:27:39
And thank you @joshuawongcf @SunnyCheungky @demosisto @networkdiplohk for your generous donation to @umassmemorial caregivers to fight #COVID19. We are grateful for your support and friendship. I am very proud of our work together to support human rights &amp; democracy in #HongKong! https://t.co/0zqvWF9j2T,2020-04-21 01:23:18
"I’m so glad @RepDeSaulnier is on the mend. I’ve missed his friendship, especially during these challenging times, and I look forward to having him back on @RulesDemocrats soon. https://t.co/L4XNjQC5fe",2020-04-21 00:36:24
"The #coronavirus crisis is causing levels of hunger in America not seen in decades &amp; decades.

Thank you @chefjoseandres for explaining what we're fighting for. America has MORE THAN ENOUGH food — what we lack is the political will to ensure nobody in this country goes hungry. https://t.co/0qOQjaajMi",2020-04-20 18:51:00
"10 years ago the preventable #DeepwaterHorizon spill spewed 210 million gallons of oil into the Gulf of Mexico.

Now? Trump lets Big Oil call the shots w/ a pro-polluter agenda &amp; the risk of another disaster has skyrocketed.

We should #ProtectOurCoast, not corporate profits. https://t.co/jmkhgO2qpa",2020-04-20 17:33:32
"This is a safe, low-tech, and short-term plan as Congress continues our work during this pandemic. I agree - we need a long term solution, too. There is still much more work to do. https://t.co/46WhsiQEEG",2020-04-19 12:50:01
"FACT: Legal protections ensure that data collected during the Census is kept confidential and cannot be traced back to any individual. Census data CANNOT be shared with other government agencies or outside groups. 

Fill yours out today at https://t.co/Ij8rGrnhck. #Census2020",2020-04-18 22:24:00
"1/ In the midst of a global pandemic, it is unconscionable that the witch hunt has continued against #HongKong pro-democracy leaders. Human rights &amp; rule of law abuses in HK are worsening &amp; the Trump Admin needs to robustly implement &amp; enforce the HK Human Rights &amp; Democracy Act. https://t.co/M1KqCRoOaf",2020-04-18 15:54:46
Minority-owned businesses are often overlooked and face unique challenges. The #CARES Act provided $10 million for the Minority Business Development Agency &amp; I'm proud to join @RepBobbyRush's letter to @SecretaryRoss to ensure these funds are used in the way Congress intended. https://t.co/cJbUfzvZhw,2020-04-18 01:56:58
"GOOD NEWS: @USTreasury, @IRSnews, &amp; @DeptVetAffairs will automatically distribute stimulus checks to vulnerable veterans, thanks to the advocacy of @HouseDemocrats. Our work fighting for veterans &amp; working #ForThePeople continues during this challenging time. https://t.co/K6LsnPOCyD",2020-04-18 01:15:19
"Don't miss your chance to help our community access resources for hospitals, schools, and infrastructure!

Respond to the #Census2020 online at https://t.co/Ij8rGr5GkM, by phone or by mail. Paper forms were mailed out this week. 

Language Assistance ⬇️
https://t.co/3QjiWTxrwU",2020-04-17 22:30:00
"Haven’t filled out the #Census2020 yet? Want to help your community access resources for hospitals 🏥, schools 📒, and infrastructure 🚅? 

You can now respond to the 2020 Census now at https://t.co/Ij8rGr5GkM, by phone, or by completing the paper form mailed to your address.",2020-04-17 16:00:29
"Norm, you’ve spent decades looking at the continuity of Congress. Your analysis is invaluable. This conversation will continue - we have a lot of work to do moving forward. https://t.co/2vHkPxKirc",2020-04-17 02:05:41
TONIGHT: Join me for a telephone town hall to answer your questions and discuss our #coronavirus response here in Massachusetts &amp; across the nation. https://t.co/yu6vWHpTrK,2020-04-16 22:16:16
"Cutting funding for the @WHO during a global pandemic is like cutting off our nose to spite our face. 
 
@realDonaldTrump: Pandemics don't respect borders. We need real leadership in galvanizing global action, not scapegoating for your own mistakes!
https://t.co/5WTk7a6QBQ",2020-04-16 19:57:09
"During this challenging time, the House of Representatives must continue to do the people's work. I'm recommending that Congress implement temporary remote voting during this pandemic.

Full statement below. https://t.co/dOrtKZFyvu",2020-04-16 19:05:58
"I agree with Chairman Engel – protecting public health and basic human rights go hand-in-hand. President Bukele should comply with court ruling &amp; work with congress to meet people’s needs &amp; food security during quarantine. El Salvador needs democracy, not authoritarian rule. https://t.co/uzuK372M4Y",2020-04-16 18:40:21
"TOMORROW: I'm hosting another telephone town hall to answer your questions and discuss our coronavirus response in Massachusetts and at the federal level.

Keeping you and your family healthy, safe, and informed during this crisis is my #1 priority and I hope you can join. https://t.co/m93AcFRxjs",2020-04-16 01:41:05
"Governments must both guarantee prisoners’ right to health and protect their societies from those who have committed grave crimes. #Honduras must not use the #coronavirus as an excuse to free the men who murdered Berta Cáceres. #JusticeForBerta
https://t.co/14X3H0qQq3",2020-04-16 00:12:34
"Thanks for inviting me to participate in your online town hall, @StudentsState. I appreciated your great questions and our good conversation. America needs leaders like all of you now more than ever! https://t.co/IMOAvdUcLb https://t.co/eiMNOW3xTb",2020-04-15 22:32:00
"The last thing we need in the middle of a pandemic is regulatory rollbacks making it easier to build new natural gas pipelines.

@RepRaskin, @Ilhan &amp; I are calling on @FERC
 to halt approval &amp; construction of new natural gas pipelines to protect public participation &amp; health. https://t.co/76i88iXOau",2020-04-15 21:42:22
"Read the compelling &amp; urgent letter Speaker Pelosi sent my colleagues &amp; I last night.

This crisis demands leaders who tell the truth, but Donald Trump has shown time after time that he is unwilling or unable to tell the truth.

We must no longer tolerate lies and deceit. https://t.co/NXAu02C3Lt",2020-04-15 20:17:58
"Small businesses need help now. @housedemocrats are fighting for a comprehensive solution that provides #SmallBizRelief by:

➡️ Providing more disaster relief loans.

➡️ Getting money to the most vulnerable small businesses.

➡️ Expanding relief eligibility to small farmers. https://t.co/dNyJQuJUQi",2020-04-15 19:30:00
"Small farms ARE small businesses. 

They deserve access to the same programs as other Main Street employers. @senatemajldr’s bill leaves them out in the cold. @housedemocrats are working to ensure they are eligible for #Smallbizrelief. https://t.co/7hOClEh0lA",2020-04-15 18:29:03
"Coronavirus cases &amp; deaths aren't just numbers on a screen. 

They're beloved members of our community with families &amp; friends whose lives have been changed forever by this pandemic. My thoughts are with everyone in #MA02 &amp; across America who has lost a loved one. https://t.co/AKpZC6tzqm",2020-04-15 16:21:19
It is the responsibility of the President of the United States to protect and defend the American people. President Trump should never have counted on the Chinese government to do that. Mr. President – do your job! https://t.co/1RRUQmZF4C,2020-04-15 16:03:28
"Trump couldn't legally sign the checks, so he put his name in the ""memo"" field.

Imagine the kind of sad, egotistical person who would turn this awful crisis into an absurd campaign stunt by demanding their name go into the memo field of a check that was approved by Congress. https://t.co/RAvj8dwdpM",2020-04-15 02:08:21
We're LIVE right now. Tune in ➡️ https://t.co/hQH0wQbHHf,2020-04-14 21:38:06
"This year, #BlackMaternalHealthWeek comes in the midst of a pandemic.

The racial disparities in COVID-19 outcomes reflect ongoing disparities in maternal mortality rates in the U.S. As a Member of the @BMHCaucus, I am working hard to address this crisis. #BMHW20 https://t.co/rGALNlDELG",2020-04-14 19:02:07
"Wow. @Deans_Beans in #Orange is donating 1,000 pounds of fresh organic coffee to those impacted by #COVID19 &amp; thousands of tin ties for face masks. Our community is coming together to take care of &amp; look out for each other. We are stronger together. Thank you Dean's Beans! https://t.co/6E0ExzBNux",2020-04-14 16:05:00
"Oh no it is not.

Get your facts straight Mr. Trump. The authority in this country rests with the people. https://t.co/Vh0D8i3tDM",2020-04-14 00:04:03
"When I say the lack of leadership at the White House is a disaster, this is what I mean:

""On the evening of April 10, the @DeptofDefense received approval from the White House Task Force to execute the first DPA Title 3 project responding to COVID-19.""
https://t.co/dR6yAxg1Eb",2020-04-13 22:46:48
"Heavy showers and gusty winds rolling through. Stay safe, everyone! https://t.co/A6nKSSsml4",2020-04-13 22:23:06
"During this crisis, @DHSgov should automatically extend employment authorization for all immigrants whose employment authorization documents are about to expire. Read the @HispanicCaucus letter I signed on to⤵️ https://t.co/rd1Tcv2ymu",2020-04-13 18:29:46
"This weekend — one year since the ouster of Omar al-Bashir and his regime — we remember the millions of Sudanese people who suffered and were murdered, tortured and imprisoned during his genocidal dictatorship.
https://t.co/V45MflU8sJ",2020-04-12 23:33:15
Important update from @therta. Please wear a mask while onboard WRTA vehicles. And remember — masks are NOT a substitute for distancing &amp; staying home. We all need to do our part to keep everyone safe! https://t.co/9pIGYoEFAF,2020-04-12 14:47:57
"From my family to yours, Happy Easter to everybody celebrating in Massachusetts and across America. Wishing you a happy and hope-filled day. https://t.co/Xca255xTKF",2020-04-12 11:17:00
"Everyone needs to watch. Even before #COVID19, #hunger was a dire problem in America — now the level of hunger &amp; food insecurity we are seeing is nothing short of a humanitarian catastrophe.

Congress MUST prioritize food in our next coronavirus relief package. https://t.co/DA8TiQjy7K",2020-04-11 22:13:10
Billy Riley is one of the heroes working behind the scenes to make sure nobody in our community goes hungry during this awful time. Please join me in wishing Billy a speedy and full recovery! https://t.co/JhlMqDXDlr,2020-04-10 19:50:27
"My latest newsletter just went out, featuring:

✅A new resources page for small businesses.
✅Direct economic impact payment FAQs.
✅Updated information on unemployment benefits.

Link here ➡️ https://t.co/JTlALqOjmP",2020-04-10 02:13:51
Joining @MonteBelmonte on WRSI The River &amp; @CommonTalkPod on WCRN this morning from my front steps! https://t.co/M7JOcQn9Sw,2020-04-09 11:47:31
"As families across Massachusetts gather for tonight's Seder, let us remember that the story of Passover is a celebration of freedom &amp; life.

May we be mindful of all those fleeing persecution &amp; fighting for freedom throughout the world. #HappyPassover #ChagSameach https://t.co/o7k0XpvppN",2020-04-08 23:03:00
"Thank you, thank you, thank you to the staff &amp; volunteers at Worcester’s emergency homeless shelters who are helping to protect the most vulnerable in our community during this pandemic.

I’m so proud of how united our community is &amp; how we have come together during this crisis. https://t.co/0BzDY9PUhk",2020-04-08 14:54:59
"It's not surprising that America's racial disparities are reflected in our broken healthcare system. But it is outrageous and wrong.

Communities of color are being disproportionately impacted by #COVID19.

We need data. We need action. We need justice. https://t.co/KCp3wam70B",2020-04-08 01:52:43
"THREAD: We're all in this together.

That means we can't leave any community behind — urban, suburban, rural &amp; everywhere in between.

I'm proud to join @RepJoeNeguse, who is introducing legislation to provide stabilization funding for communities of all sizes. https://t.co/S2Ntn0R8O6",2020-04-08 01:05:00
"Let it be remembered that in the middle of a public health emergency, Trump continued rolling back environmental standards that were put in place to protect people's health and welfare.

He never misses a chance to put corporate greed ahead of the public interest. https://t.co/0PjANSG9wj",2020-04-07 21:02:25
"🚜 #Farmers work day and night to keep food on our table — we need to be there for them during the #coronavirus crisis and do everything possible to support local farms &amp; local food.

Proud to join this letter asking @SBAgov to allow farmers to access federal disaster loans. https://t.co/5FaUEKdBvI",2020-04-07 20:48:32
"As unemployment surges, so will the number of families struggling w/ hunger &amp; food insecurity.

Proud to lead this letter w/ @RepMarciaFudge, @RosaDeLauro &amp; @RepPressley urging strong support of America's Supplemental Nutrition Assistance Program in any upcoming relief packages. https://t.co/udQ6hrcOAT",2020-04-06 23:06:34
"The president says we're at war. When America goes to war, we don’t have 50 different strategies. We have one coordinated response. But the lack of coordination at this White House has states competing against each other like this is the hunger games.
https://t.co/uU6joA60cg",2020-04-06 12:45:00
"The president “invoked” the Defense Production Act, but the White House still hasn’t used its full authority.

There‘s a difference between invoking a law and using it just like there’s a difference between talk and action.

We need action. We need it now.
https://t.co/JBHZCqch7U",2020-04-05 01:53:39
Thanks for inviting me to join. Hopefully next time I can be there in person! https://t.co/jvylKm5RAE,2020-04-04 01:32:57
"We don't have walls between our states. We are in this together. We are one country, and we need a single coordinated response from the @WhiteHouse that gives our governors the tools they are asking for.

Watch my full interview on @wgby ➡️ https://t.co/MlRYJc6yq5 https://t.co/XzXa8TfSLD",2020-04-04 01:19:42
This morning I joined @ClarkUniversity students for a class called the politics of food and drink. We talked about food insecurity and how #coronavirus could make #hunger much worse if our government doesn't take action. Thanks for letting me join and for the great questions! https://t.co/BvVXzk6hcs,2020-04-04 00:39:34
Thank you to @TheNationsFirst &amp; @MassEMA for your work to keep our Commonwealth safe. We are in this together. https://t.co/pPUeenSzxJ,2020-04-03 21:38:19
