tweet,dates
"The Paycheck Protection Program was created to help #SmallBiz like mom-and-pop shops, restaurants, cafes, bakeries, etc. Large corporations that have a clear advantage to weather this storm should never have gotten funds in the first place!
https://t.co/54UtxFOWes",2020-05-09 20:45:29
The right to vote is fundamental &amp; we must continue to expand access to the ballot box in these difficult times. But we must do so in a way that preserves the integrity of elections. I urge states to heed @CISAgov's guidance &amp; put into place only low-risk remote voting options. https://t.co/bSoWh3FDpP,2020-05-09 18:42:48
"Thrilled to have worked w/ @SenJackReed, @SenWhitehouse, &amp; @davidcicilline to help get nutritious, locally sourced food to #RI families through the @USDA's ""Farmers to Families Food Box"" program all while supporting @FarmFreshRI &amp; @RIFoodBank. https://t.co/caRsNUoPCU",2020-05-09 17:25:47
"RI begins phase 1 of reopening today, &amp; while some emergency restrictions will be lifted, we must be conscious that we all play a role in keeping each other safe. Continue to practice social distancing, wash hands frequently &amp; follow official guidance:
https://t.co/9fy1ypBzC7",2020-05-09 16:41:56
"Today marks the 75th anniversary of #VEDay, the end of #WWII in Europe. We are indebted to the U.S. service members and those of our allies who fought for freedom. Their bravery will not be forgotten. #VEDay75 https://t.co/2C8Jnf9vjW",2020-05-08 19:48:28
"On #MilitarySpouseAppreciationDay, I want to recognize the support and sacrifices of the spouses of our service members. Thank you for all that you do for our troops!",2020-05-08 19:04:41
"As we continue to push forward, we cannot forget about those on our front lines. To our:
 
Doctors
Nurses
CNAs
Pharmacists
First responders
Grocery store workers
Truck drivers
Postal workers
Food service workers
&amp; many others

Thank you for not letting up &amp; helping us keep going.",2020-05-08 18:40:54
".@SBAgov has approved close to $1.89 billion through the Paycheck Protection Program to help 14,500+ RI #smallbiz. Applications are still being accepted. This portal makes it easier to find a qualified lender: https://t.co/KnbvrU1tuV",2020-05-08 18:06:58
".@GovRaimondo has announced that Rhode Island's stay-at-home order will be lifted tomorrow, Saturday, May 9. Here’s what you need to know:
https://t.co/UroK5vWAhU",2020-05-08 17:06:06
"As #TeacherAppreciationWeek comes to an end, make sure to #ThankATeacher today and every day. Schools may be closed, but teachers continue to work hard. Please let them know how much you appreciate them. #SendTeachersLove https://t.co/Vsf11CoPGc",2020-05-08 16:58:41
"Lt. Commander John Bradley, Jr.’s quick action to protect fellow servicemembers from a Nazi submarine 75 years ago should be applauded. I thank Scotty Stets for his work to see that Commander Bradley continues to be recognized for his courageous efforts.
https://t.co/e0HG6hvqSQ",2020-05-07 23:04:40
"The opening of the STRAC Institute, formerly the Veterans Assembled electronics training school, will help prepare RI’s workforce of tomorrow. Workers with high skills will be critical in getting our nation back on course.
https://t.co/3EfAf6UbsW",2020-05-07 21:44:51
"#COVID-19 has made disparities that have long existed all the more apparent. I’m joining @liveunitedri &amp; @LPIRWU alongside @SenWhitehouse, @SenJackReed, &amp; @davidcicilline at 4pm to cover what we're doing in Congress to promote equity during this crisis.
https://t.co/T37uLVMXlK",2020-05-07 19:41:44
Bills are still due for hardworking homeowners who've lost their jobs b/c of #COVID-19 &amp; now find themselves in a tough situation. I'm joining @repdavidscott in calling for an assistance fund to help homeowners pay for home mortgages &amp; utilities. https://t.co/f4WsmJxctp,2020-05-07 19:16:35
"What better way for students to continue learning &amp; growing while they're home than by reading a great book? It was a pleasure to be a guest reader for @CFRI1834's community reading of “We’re Going on a Bear Hunt.” What are some of your favorite books?
https://t.co/4XBrSZ2ezR",2020-05-07 17:51:56
"ICYMI: I had the pleasure of joining @cybercoalition to stress the need of a forward-leaning #cybersecurity strategy &amp; how actionable recommendations included our @CyberSolarium report can help shape stronger U.S. defenses and build resilience.
https://t.co/VaJysLC7Lf",2020-05-07 17:11:56
"Someone is diagnosed with ALS every 90 minutes. During #ALSMonth, I’m keeping everyone fighting this terrible disease in my thoughts. But thoughts alone are not enough -- we must also take to raise awareness and invest in research to develop effective treatments &amp; a cure.",2020-05-07 15:36:25
"IMPORTANT: Agricultural businesses impacted by #COVID-19 are now eligible for @SBAgov’s Economic Injury Disaster Loan &amp; EIDL Advance programs. You can submit your application on the EIDL portal:
https://t.co/h29EPr1sc5",2020-05-07 14:47:25
"#COVID-19 has heightened fear &amp; anxiety, magnifying the need to expand access to proven support to overcome substance use disorders &amp; improve mental health. I joined @SenJackReed, @SenWhitehouse, &amp; @davidcicilline to announce $8M to connect RIers w/ help.
https://t.co/MYfbEs7TSk",2020-05-06 21:09:00
"1. Our government and economy rely on our cyber ecosystem, which is why @CyberSolarium offered recommendations to reshape it and bolster #cybersecurity.",2020-05-06 20:50:20
