tweet,dates
"This nurses week, I stand in solidarity with @NationalNurses and nurses across the country as they demand the protections they need to do their jobs safely during the #COVID19 pandemic. We need to get PPE to the frontlines of this pandemic immediately. #ProtectNurses",2020-05-08 20:05:46
"Schools are closed, but teachers across the U.S. are showing up for their students in every way possible—just one of many reasons we need to tell them how much they’re appreciated. #SendTeachersLove with a message, photo, or video about why they matter. #TeacherAppreciationWeek",2020-05-08 20:04:53
"In an ideal world, we'd honor teachers 7 days a week, 365 days a year for the enormous impact they have on our children. Too often, they’re the one person a child living in difficult circumstances can count on for support and an encouraging word. Happy #TeacherAppreciationWeek",2020-05-08 20:03:41
"I want to #ExpandSocialSecurity and put money in the hands of those who need it most during #COVID19 : seniors, communities of color, and people with disabilities - not corporations.",2020-05-07 17:06:41
Trump's proposed payroll tax cut would harm Social Security and benefit corporations and the wealthy. I joined @RepJohnLarson on the Emergency Social Security Benefits Improvement Act to ensure we are helping our seniors through #COVID19. #ExpandSocialSecurity,2020-05-07 17:06:17
"We should be strengthening #SocialSecurity, not giving a payroll tax cut to corporations and the wealthy. That is why I joined @RepJohnLarson on the Emergency Social Security Benefits Improvement Act, to help our most vulnerable during the #COVID19 pandemic. #ExpandSocialSecurity",2020-05-07 17:05:11
"While @realdonaldtrump picks out a $500 million paint color for his senseless wall, thousands of people are languishing in civil detention as #COVID19 ravages ICE facilities #FreeThemAll
https://t.co/ZbnzYNU1tQ",2020-05-07 16:37:39
We should be focused on keeping families safe during #COVID19. But some of my colleagues are targeting abortion. That’s why @RepPressley @RepEscobar @RepBarbaraLee &amp; I led 150+ of our colleagues in a united message: stop using a pandemic to push an antichoice agenda #WeDemandMore https://t.co/hBOLCiGlar,2020-05-07 15:33:12
"When @WHO declared 2020 the #YearoftheNurse, in honor of the 200th anniversary of Florence Nightingale’s birth, they had no idea just how critical it would be that we honor our nation’s nurse heroes who are working tirelessly to save lives during #COVID19.",2020-05-06 22:45:45
"In times of crisis, true heroes rise to help those in need.
 
Happy #NationalNursesWeek to the dedicated Americans protecting our communities. https://t.co/2yc9oeCIvH",2020-05-06 22:28:05
President Trump wants his right-wing Supreme Court to take away your health care in the middle of a pandemic. #DropTheLawsuit https://t.co/tdnG6hdVVx,2020-05-06 22:26:00
"Without more emergency relief, hundreds of thousands of teachers and school staff will be laid-off in the months ahead. We must honor #TeacherAppreciationWeek by giving schools and states the resources they need to avert devastating cuts to public education. https://t.co/teoEyaDqPP",2020-05-06 19:26:08
"Trump may have abandoned his responsibility to lead in the midst of this pandemic, but our local governments are on the front lines. Why won’t McConnell put #FamiliesFirst and let Congress make sure communities nationwide have the resources they need to keep up the fight?",2020-05-06 19:23:15
"When he was nominated, @JoeSimonsFTC said he wanted to restore bipartisan consensus in antitrust. He clearly wasn’t serious.

While Americans are suffering from #COVID19, Big Pharma is still looking for ways to squeeze out more profits by creating anticompetitive monopolies. https://t.co/KHgI8fOnqM",2020-05-06 01:18:56
"For months, I’ve written to @SecAzar &amp; @SeemaCMS about the #COVID19 crisis in our nursing homes and called on them to act. But they’ve failed to respond &amp; enough is enough.

Today, I’m introducing the Quality Care for Nursing Home Residents &amp; Workers During COVID-19 Act (HR 6698) https://t.co/BPSYrdyt19",2020-05-05 21:56:36
"Your access to birth control shouldn’t depend on where you live, work, or go to school. Enough is enough: The Trump administration needs to keep its #HandsOffMyBC https://t.co/Jlr01xFtYH",2020-05-05 20:19:06
"It’s been two weeks since @CMSGov promised to start collecting #COVID19 data from nursing homes. They still haven’t started.
 
The media has reported 16,000+ #COVID19 deaths in nursing homes. The only way we can begin to address this crisis? Widespread testing + data collection. https://t.co/npx9v2i0ml",2020-05-04 17:41:20
