tweet,dates
"During my tele-town hall with Maine seniors this week, we got a few questions about which grocery stores held seniors’ hours. Luckily, @AARPMaine already put together a handy, comprehensive list! Feel free to share w/ any seniors who could use the info: https://t.co/uvef14FBWA",2020-05-08 21:37:51
I introduced a bill this week to ensure that critical access hospitals like those in Lincoln and Calais can get relief through the Paycheck Protection Program (PPP). These hospitals are too important to health care &amp; the economy in rural ME to be excluded from relief programs. 1/,2020-05-08 14:57:05
"I wrote to congressional leaders yesterday w/ a simple message: ME small businesses need the Paycheck Protection Program to be improved.

Don’t take it from me, take it from the folks I represent, the ones working hard to keep their businesses afloat &amp; their workers employed. 1/ https://t.co/hnBsu7pKft",2020-05-07 13:49:51
"Maine nurses are putting in extra hours, risking their own health, and making hard choices during COVID-19.

On #NationalNursesWeek, I'd like to recognize all the ways Maine health care professionals — especially nurses — are going above &amp; beyond for all of us during COVID-19. https://t.co/yBslLVqGqQ",2020-05-06 23:21:01
"Calais Regional Hospital and Penobscot Valley Hospital are in trouble. ‘Critical access’ hospitals in small, rural communities like these two are seeing declining revenue and higher costs due to COVID-19, making already tough financial situations worse. 1/ https://t.co/s9vqQ1Aq3Q",2020-05-01 20:55:32
"Great to talk with folks at my former high school, Leavitt Area High in Turner, this morning. We talked about life after high school, what I loved about my time at Leavitt, and staying sane in these trying times. https://t.co/RI5rqzSxbZ",2020-04-29 15:37:20
"SELF-EMPLOYED MAINERS: If you're out of work due to COVID-19 you can apply for expanded unemployment benefits with @maine_labor starting Friday. 

Let us know if you have any questions as you apply: https://t.co/n0qYeGOwhB https://t.co/bOVOgTjTor",2020-04-29 14:50:42
"On this #WorkersMemorialDay, join me in remembering workers who lost their lives on the job in 2020, and in thanking the health care workers, 1st responders, &amp;  frontline workers taking risks to keep us safe. 

Workplace safety and protections have never been more important. https://t.co/lkKBYQsHXc",2020-04-28 22:59:21
"Essential workers all over America will get up tomorrow morning, go to work despite the risks, and do their jobs, just as they have for over a month now. As I’ve been saying since March: Congress should do the same. House leaders have got this one wrong. https://t.co/SgydS0t5VB",2020-04-28 20:21:28
"SMALL BUSINESSES: The Paycheck Protection Program (PPP) is starting back up Monday at 10:30am after Congress passed $310b in new PPP funding.

We've put out a guide to help you navigate the PPP, and we have a small business team on staff ready to work with you &amp; your business. 1/",2020-04-26 22:08:55
"The @USPS has been hit hard by COVID-19. I joined fellow House members to call for Congress to provide direct aid to the US Postal Service &amp; our postal workers.

Rural Mainers need a fully functional USPS to deliver supplies, medications, &amp; information, especially in a pandemic. https://t.co/7BkzXZxW09",2020-04-26 18:30:44
"I voted for this bill last night because many small businesses &amp; hospitals are in crisis and need help. It’s an important step, but it’s not going to be enough to address the long-term needs of American workers or the scope of the public health crisis. 1/

https://t.co/smuaRm38Yv",2020-04-24 20:35:05
