tweet,dates
"75 years ago, Allied forces accepted Nazi Germany's unconditional surrender – ending WWII in Europe.

Along the front lines and on the home front, a generation of Americans stepped up to protect our democracy. Forever grateful for the brave women &amp; men who fought in WWII #VEDay75 https://t.co/nycypMUUgJ",2020-05-08 23:16:00
"We need to confront this crisis with bold action. This week, I introduced legislation to create the Health Force -- this bill would employ Americans who may have lost their job from the crisis and invest that energy and talent into combating this disease. https://t.co/MEUszRec9w",2020-05-08 20:56:06
"Congress passed the CARES Act to make sure our businesses could stay afloat and continue to employ America’s workforce during this precarious time. Yet after receiving $50 billion in aid, we have seen airlines cut workers’ hours, pay, and benefits. (1/2)

https://t.co/IdLidYoubz",2020-05-08 20:45:19
"This morning’s jobs report confirms what we already know, Americans are hurting. 

Our response must meet the moment -- it’s time to send families monthly payments to help Coloradans get through this crisis. https://t.co/dldLNPf6OE",2020-05-08 20:10:51
"One year ago, our entire community was shaken to the core -- the national epidemic of gun violence had once again hit home. Kids sent their texts to loved ones that they thought might be final goodbyes. Parents heard on the news about a shooting at their kid’s school. https://t.co/KZSIUkiSaf",2020-05-07 16:22:32
"We had a great time at our first Kids Town Hall last month, taking questions from kids like Corban about the coronavirus and our response. No matter their age --  every constituent deserves to be heard. I’m hosting another one tomorrow at 4 pm!

RSVP here: https://t.co/JKZE2Hp0Hs https://t.co/tQt2kiSJWS",2020-05-06 22:30:08
"No one should have to fear for their life going out for a jog.

Yet, parents lost their son.
Kids lost a brother.
And Ahmaud Arbery lost his life.

Ahmaud Arbery’s family deserves justice. Law enforcement must quickly and fully investigate Ahmaud’s death.

https://t.co/yoeDoJXAIr",2020-05-06 22:01:29
The 140th Wing of the Colorado Air National Guard based right here at @Buckley_AFB will be doing a fly over tomorrow to honor first responders and frontline workers who are working day and night to keep Colorado safe! Don’t forget to practice social distancing as you watch. https://t.co/DqzrnI4XX1,2020-05-06 00:47:22
"This Thursday, I’m hosting my second kids town hall -- taking questions from our youngest Coloradans about the issues facing them. You can join us on Zoom or Facebook!

RSVP: https://t.co/JKZE2Hp0Hs

Question Submissions: https://t.co/ZHSCNoSnUy https://t.co/7pvKsGBLqV",2020-05-05 22:23:30
"At 2:30 pm, I’ll be joining State Representatives Buckner and Jackson for a telephone town hall about our work on the state and federal level to mitigate the impacts of coronavirus. You can join us live at: https://t.co/UBZw7Lrf44 https://t.co/LNUNBlewxE",2020-05-05 20:04:33
"Usually, on #TeachersAppreciationDay, educators are in the classroom helping the next generation learn and grow. This year, they are doing the same thing, but from home. Thank you to the teachers across Colorado who are overcoming new challenges as we shift to remote learning. https://t.co/phhB7rnUg9",2020-05-05 18:01:51
"500,000 free meals -- thank you to the hard working APS staff who made this possible!

If you’re in need of food assistance, there are sites throughout the district and a map in the article. 

https://t.co/tKHTMQGb8h",2020-05-05 15:12:21
"Tomorrow afternoon, I’ll be hosting a Telephone Town Hall with State Representatives Buckner and Jackson to discuss our response to coronavirus on the federal and state level and answer your questions. 

Join us at: https://t.co/3Ow7a6M1PF https://t.co/52KodWSBcU",2020-05-04 21:46:51
"Complete the census you should. 

#MayThe4thBeWithYou

https://t.co/BBvDre2AcM",2020-05-04 20:34:58
"Recipients of Supplemental Security Income or Veterans Benefits will automatically get their check. But if you have child dependents &amp; did not file taxes in 2018 or 2019, you need to complete a non-filers form to ensure you get your full payment

Details: https://t.co/sYVU1vXDJO https://t.co/TPk2v7FJhM",2020-05-04 19:25:27
Tonight is a hard night for our community. Flags at half mast as we honor the life and service of Paul Cary. https://t.co/hZDuf4vHLY,2020-05-04 02:59:12
"Paul Cary lived his life in service to his community and his country. In both action and spirit, Paul ran towards the fire, traveling the 1,800 miles to NY to help his fellow Americans during the greatest public health crisis our generation has ever seen

https://t.co/qpPqoJD49M",2020-05-03 19:40:53
"We need to produce more medical equipment. 

We need a national plan to increase testing. 

We need to utilize the Defense Production Act. 

@SenatorBennet and I just introduced legislation to make this happen.

https://t.co/Ds8fG0eR63",2020-05-02 19:48:04
"Without more funding, the CO National Guard could end their work as early as May 15. With the mission of mitigating COVID-19’s impact, they have supported testing, supply distribution, &amp; planning. They need more federal funding- the mission is not finished
https://t.co/P94VvIOPza",2020-05-01 22:49:25
"I’m LIVE with representatives from the IRS and Colorado Department of Labor and Employment to discuss resources for Coloradans. Watch here:

https://t.co/eU8cfwUHeV",2020-05-01 16:23:07
"Great to be back on brother jeff’s show last week to talk with him about Congress’ response to the coronavirus pandemic and the importance of supporting our community during this difficult time. 

You can watch our hour long conversation here: https://t.co/vC7HNlcmb5 https://t.co/6qbi98UeoY",2020-04-30 22:25:01
"SOON: At 1 pm, I’m hosting a webinar with small businesses owners to discuss resources and programs to help them get through this crisis. Register to join here: https://t.co/sxibZn1GfE",2020-04-30 18:53:08
"I’ll be joining experts from the IRS and the Colorado Department of Labor and Employment to discuss the economic recovery and resources available to Coloradans during the pandemic. 

You can join us on our Facebook live or RSVP for the Zoom link here: https://t.co/5hwptUFjNB https://t.co/NGd9pBc1Tj",2020-04-30 17:30:10
"I'm speaking live with members of the AARP in Colorado to take your questions on the coronavirus pandemic and discuss how we can stay safe during this time. Listen in here --

https://t.co/yXtoRKALIm",2020-04-29 16:24:21
"Without a unified response to coronavirus, the President has left states scrambling in a zero-sum game where there are no winners. 

Today, I introduced legislation requiring the president to utilize the Defense Production Act to mobilize a federal response to the pandemic. https://t.co/Y7UC2RnAT5",2020-04-29 15:47:49
"At 10 am this morning, I’ll be holding a telephone town hall with AARP members to discuss how to stay safe during the pandemic and access the resources you need. You can RSVP on the AARP’s website by clicking on the link in the top right. 

Link: https://t.co/Hofi6XmXLc https://t.co/b5QOOmvBLM",2020-04-29 15:21:42
"In the US Capitol sits a statue of Dr Florence Sabin, a trailblazer who helped modernize Colorado’s healthcare system in the 1940s. As we thank frontline medical professionals, I’m grateful for generations of leaders like Dr. Sabin who built Colorado’s medical infrastructure https://t.co/ihUMw84kf0",2020-04-29 01:07:23
"Out of a crisis, a new tradition was born -- howling at 8 pm to show appreciation for frontline medical professionals &amp; essential workers. From the howlers across our neighborhood, thank you to those working day and night to keep us safe! https://t.co/2QSNSAwTwL",2020-04-27 00:27:25
"I know there is no shortage of individuals in this country who are looking to serve, especially in a time of need. Today, @Rep Burgess and I introduced a bill to create a student loan repayment program for the next generation of public healthcare leaders.

https://t.co/7EtgMMsc5e",2020-04-25 20:48:58
Congress’ CARES Act is helping students and educators get emergency resources. New this week: Colorado is getting $121 million for K-12 schools. This will help our schools virtually connect with students by increasing internet accessibility.,2020-04-24 21:36:30
