tweet,dates
"Speaker Pelosi refuses to allow the U.S. House to meet so she can write the next coronavirus bill all by herself. 

Her bill will focus chiefly on her partisan priorities that have nothing to do with the coronavirus.

This cannot happen. https://t.co/LJloUwcyx2",2020-05-09 17:39:15
"75 years ago today, the Nazi regime surrendered to the Allied Powers, marking the end of WWII in Europe. 

Today, we celebrate the brave patriots who fought back Nazi tyranny to preserve our liberty and freedom for future generations. #VEDay75 https://t.co/o5qXoJN33w",2020-05-09 00:27:39
"Over the last several weeks, I know many of us have turned to prayer for understanding in these crazy and uncertain times. 

Today, on #NationalDayofPrayer, I hope you will join me and continue praying for the health and safety of our community and country. https://t.co/Co0xGhuWYe",2020-05-07 14:15:39
"The storms on Monday night knocked out power for over 13,000 homes across southern Missouri. 

Even with linemen working around the clock, there are still nearly 5,000 people that remain without power. 

I’m continuing to monitor these efforts to restore power to our communities. https://t.co/iKLJ3A6dNj",2020-05-06 23:54:50
"Nancy Pelosi has stalled the government’s response to the #coronavirus since day one. 

When @POTUS first asked Congress for funding to expand testing, Pelosi refused to hold a vote on it for 10 days.

What did she have time to hold a vote on instead?

Banning flavored tobacco.",2020-05-05 21:13:57
I'm praying for everyone impacted by the severe storms this evening. I'll continue to remain in contact with the impacted communities as they assess the full extent of the damage and recover.  https://t.co/lzHzrPJO0o,2020-05-05 02:23:30
"While people around the country are fighting to return to work - Speaker Pelosi decided it best to keep half of Congress closed while she still gets paid.

Guess she wants to spend more time video chatting with late-night tv personalities. 

Completely ridiculous!",2020-05-03 15:12:58
"I keep working w/ the Trump Admin to prioritize the needs of rural America. 

Yesterday, I spoke w/ @DepSecHargan about how @HHSGov can best support rural health care providers.

I also thanked him for implementing my request to expand telehealth services. A big win for rural MO.",2020-05-01 13:06:28
"Our friends in Israel celebrated 72 years of independence in their rightful place: the Jewish people's ancestral land. 

For nearly three-quarters of a century, they have stood as the sole democracy in the Middle East. 

They will never have to stand alone in that fight. https://t.co/QntR2U5eLJ",2020-04-30 19:47:21
"From the start, @POTUS Trump took decisive action to help protect the health and safety of the people of Missouri. 

He quickly approved Governor Parson’s request for a major disaster declaration, which made critical assistance immediately available to MO. https://t.co/FsarArBX4F",2020-04-29 20:47:12
"Under the CARES Act, the Trump Administration has been able to assist over 46,000 small businesses in Missouri to the tune of $7.5 billion. 

This is critical funding that allows family businesses to stay afloat and take care of their workers during these difficult times. https://t.co/f311tVCoo5",2020-04-29 00:34:14
".@POTUS Trump’s strong leadership has been instrumental in protecting southern Missourians during the coronavirus outbreak. 

His Administration has awarded more than $4.1 million to support small rural hospitals and promote telehealth in our communities. https://t.co/oxHk4y5BuX",2020-04-28 18:02:05
"I'm excited about getting southern Missouri back to work. 

I spoke with over 50 local leaders from across our area last week about how we can do this quickly and safely.

I know rural Missouri can be an example to the state and the country. 

MORE ⬇️ https://t.co/EseR6Od3OL",2020-04-27 17:14:45
"This week, I spoke with over 50 of our local leaders about how we can get southern Missouri open for business. 

Our country was founded on personal choice and liberty, and those same values are going to power us back to work quickly and safely. 

MORE ⬇️ https://t.co/mnckxdn019",2020-04-24 20:55:09
"#OTD in 1864, Congress passed the Coinage Act, which changed the composition of the one-cent coin (penny) to bronze and also authorized the production of a two-cent coin. 

More importantly, it was also the first time that IN GOD WE TRUST was printed on our money. https://t.co/KTjKcqAKRA",2020-04-22 19:03:32
"According to one estimate, Missouri has lost $44 billion from #coronavirus shutdowns, a global pandemic that happened because of China’s deceit &amp; coverup.

This is absolutely unacceptable.

I'm glad Missouri is taking the lead &amp; holding #China accountable. https://t.co/8bqTEAFHpr",2020-04-22 13:25:01
"Held a call with 55 of our elected officials from across southern Missouri. 

Our local communities have led the response to the coronavirus and they will drive our recovery as well. 

I want to make sure rural Missouri has all the resources we need to fully recover.",2020-04-21 19:56:00
"2019 was the worst year for rural hospital closures since 2010.

Yet 2020 could be even worse due to the #coronavirus.

That’s why I’m calling on Congress to forgive Medicare payments that would cause financial hardship for our hospitals.

Thanks, @RepMcKinley for your support. https://t.co/wER9ymCMWU",2020-04-20 19:09:51
"It’s clear that China covered up the coronavirus, which allowed it to spread across the world 

They must be held responsible for their reckless behavior.",2020-04-20 02:20:45
"For seven long days, Washington Democrats have blocked $250 billion in much-needed assistance for small businesses and their workers.

Yesterday, the fund finally ran out of money, and there's still no sense of urgency from Chuck Schumer or Nancy Pelosi. https://t.co/QcBSdo30GY",2020-04-17 17:31:10
"It's been 7 days since Chuck Schumer blocked expanding financial help for millions of small businesses trying to stay afloat during these difficult times and support their workers. 

Even in a pandemic, the Left plays politics. https://t.co/R6GeDJ5tJi",2020-04-16 17:37:57
"#HBD to Thomas Jefferson!  He was a Founding Father who authored the Declaration of Independence, served as the 3rd President of the U.S., and organized the Louisiana Purchase. 

After the Capitol burned in 1814, he sold his personal library to replenish the @librarycongress. https://t.co/7xWMY0zsug",2020-04-13 14:53:01
"I wish you and your family a blessed Easter weekend. #HeIsRisen

""..they saw a young man dressed in a white robe sitting on the right side, and they were alarmed. “Don’t be alarmed,” he said. “You are looking for Jesus the Nazarene, who was crucified. He has risen!” (Mark 16:5-6) https://t.co/90m5MrxgHV",2020-04-12 14:07:58
"Full relief will not come until we reignite our economy &amp; allow southern Missourians to do what they do best, getting back to work &amp; delivering for their families. 

Thankfully, after weeks of dire warnings, the #Coronavirus Task Force had some good news. https://t.co/fms91hwRau",2020-04-11 17:11:00
"Wishing everyone beginning their celebrations tonight, a happy and healthy Passover. 

#Passover honors the strength and resilience of the Jewish people and their faith, a message many of us can relate with today.  

Chag Pesach Samech! https://t.co/zvFCEBETJk",2020-04-09 00:41:46
"The Paycheck Protection Program ensures small businesses can continue paying their employees &amp; cover essential costs during the #coronavirus outbreak.  

It's great to hear so many small &amp; community banks are stepping up to lead the way in assisting our family &amp; local businesses. https://t.co/AV3oEhdBV8",2020-04-08 22:08:14
"During this coronavirus outbreak, our rural communities face unique challenges and require a different response than urban and suburban centers around the country. Unfortunately, these needs are not often understood in Washington.

MORE ⬇️ https://t.co/UWwP3FcJbR",2020-04-05 15:19:42
"When I spoke with 50 of our area’s doctors and medical providers about the ongoing Covid-19 crisis, one of the issues they highlighted was the restrictions for telehealth services, making phone only services impossible.",2020-04-03 22:15:31
"If you are a small business looking for the resources available to you during the #coronavirus outbreak, you can find more information from the @USTreasury here. ⬇️
https://t.co/FhKwOC5Whj",2020-04-01 19:25:44
"During the #coronavirus outbreak, we've been constantly reminded about the extraordinary doctors and medical professionals we have in this country working to keep us safe.",2020-03-30 20:17:44
"- #GreenNewDeal
- solar energy tax credits
- federalizing local elections
- corporate board diversity requirements
- emission standards for airlines

👆have nothing to do with the #coronavirus, yet they were the top priorities for Nancy Pelosi this week.
https://t.co/P5VNv2NEUK",2020-03-28 18:09:07
"We must ensure the needs of our farmers are responded to during the #coronavirus outbreak. 

That's why I outlined what steps the Trump administration can take and what policies they can support to ease the burden on our famers during this difficult time. https://t.co/6OL5gHhsvA",2020-03-26 16:48:15
"It’s unfortunate that some see a national crisis as a chance to take advantage of their fellow citizens. Thankfully, @realdonaldtrump took the first steps this week to implement my bill to protect American consumers from price gouging.

MORE ⬇️https://t.co/8V6Nb1hBOF",2020-03-25 19:16:16
"While Nancy Pelosi wants to pass her partisan agenda, I’ve been on the phones with the people I represent in southern Missouri, listening to their concerns and hearing how the federal government can help. 

Those are the ideas we should be including! https://t.co/TYFBd7UNEF",2020-03-24 20:00:30
"Leave it to Nancy Pelosi to leverage a national emergency to try and pass her partisan agenda, like the Green New Deal. 

It’s a disgrace. The farmers and families I represent in southern Missouri need help NOW!",2020-03-24 15:42:54
Proud to see our local communities coming together to help those in need. https://t.co/KLuITRgysx,2020-03-23 21:26:35
"While a large federal response is helpful, Americans do not require a strong centralized government to control their lives in order to survive this pandemic. 

We need to solve this problem the #AmericanWay. 

MORE ⬇️ https://t.co/mZnhJTUmFr",2020-03-22 00:14:52
"Incredibly sad to hear about the passing of Kenny Rogers. He was not only a legendary singer, but had a strong connection to our community. The @KRCCkids in Sikeston was named after him to honor his commitment to children with special needs. #RIP, Gambler.",2020-03-21 23:44:44
Here are some of the incredible teachers in Potosi who are going above &amp; beyond to serve their students &amp; the community. It’s been special to see local communities coming together to hold each other up. I know that we will get through this &amp; be stronger &amp; more united than before. https://t.co/hFPqI2IZ2N,2020-03-20 23:20:09
"This afternoon, I spoke with 30 of our area’s veterans to hear the issues their facing from #coronavirus, how I can be helpful to them, and to make sure our nation’s heroes are still able to receive the care they’ve earned in service to our country.",2020-03-20 23:10:36
I held another call this morning with over 85 of our small businesses in southern MO. I wanted to hear their concerns and ideas about how we can provide relief to our rural businesses during the #coronavirus outbreak.,2020-03-20 15:52:37
Today I outline for Congressional Leaders and the @WhiteHouse numerous policy proposals to provide relief to rural America right now. https://t.co/R4eGexD2tw,2020-03-19 23:41:38
"Just got off the phone with 42 of our farmers in southern MO.

I wanted to hear from them about the challenges they’re facing from #coronavirus, and hear their ideas for what is most helpful in getting relief to America’s farmers right now.",2020-03-19 20:28:44
"Holding a call with 50 of our southern Missouri health care providers, doctors &amp; stakeholders right now. These are the heroes of the #coronavirus fight we are now in.",2020-03-19 18:24:47
Not feeling well? Here are the symptoms of the #coronavirus (COVID-19) compared to other seasonal illnesses. For more information visit the @CDCgov at https://t.co/xiBhtjMOhU. https://t.co/pwCRv6mCHE,2020-03-18 17:26:31
"The Missouri Department of Higher Education &amp; Workforce Development (@MODHEWD) launched a webpage this afternoon that includes links to COVID update pages for colleges and universities across the state.

You can find that information here: https://t.co/dAiwkVGSnM",2020-03-17 20:32:33
"All Americans have a civic responsibility to #StopTheSpread.

Today, at the @WhiteHouse, @POTUS Trump released these new guidelines below &amp; stressed the importance of following the direction of state &amp; local authorities.

Missourians, more info at @CDCgov &amp; @HealthyLivingMo. https://t.co/YKVmczggoS",2020-03-16 20:48:19
"Terrible news out of Springfield. My heart goes out to the victims &amp; their families, including Officer Christopher Walsh, who was killed responding to the threat.

To the injured, I’m praying for your speedy recovery. Thank you to all law enforcement for your service &amp; sacrifice. https://t.co/DkESBV0Gqh",2020-03-16 14:14:58
"In the wake of the coronavirus outbreak, @POTUS Trump has called for a #NationalDayOfPrayer.

Americans have always turned to prayer in times of uncertainty.

I hope you will join me in praying for all those affected and asking God for His wisdom, comfort and strength.",2020-03-15 19:00:01
"I’m grateful that @POTUS @realDonaldTrump declared a national emergency in response to the #coronavirus. 

This means additional federal resources will be available to treat those affected, including $42 billion in @FEMA funding for states and drive-thru testing services.",2020-03-14 18:21:48
Thank you Governor Parson for your leadership and commitment to keeping Missourians safe. https://t.co/nSVUOCXw2J,2020-03-14 16:35:11
"Today’s #FISA bill doesn’t do enough to reign in recent abuses or protect Americans from targeting based on their political beliefs. 

It could have. 

My amendment added additional layers of due process protections from this kind of abuse. 

Sadly, it was BLOCKED by House Dems. https://t.co/pPX5la9gDQ",2020-03-11 21:55:06
