tweet,dates
"I introduced legislation with @SenTinaSmith to help expand access to telehealth services. As we navigate COVID-19, Congress needs to ensure health care providers can respond to the needs of patients, especially in rural areas.",2020-05-20 19:49:53
Glad to partner w/@SenatorBaldwin on this vital effort. Granite Staters suffering w/substance use disorders (SUD) are especially vulnerable during #COVID19 crisis. We must keep up the fight against the SUD epidemic &amp; help those suffering access treatment. https://t.co/uDONdXkkey,2020-05-20 16:36:41
NH families need COVID-19 stimulus payments to stay afloat but many are still waiting or have received an incorrect payment. That’s unacceptable. Families can't wait any longer which is why I’m joining the NH delegation in urging @USTreasury to send these full payments out ASAP. https://t.co/tTh8lqwVgN,2020-05-19 22:33:23
Enjoyed the opportunity to speak to young Granite Staters interested in attending a U.S. Service Academy during our Virtual Academy Day today. I applaud these students for their willingness to serve our nation and look forward to reviewing their applications in the months ahead. https://t.co/OkgVDQEZhi,2020-05-19 22:11:02
I'm grateful for the work of the men and women of the @NHNationalGuard in testing hundreds of Granite State seniors and care facility staff members for COVID-19. Your service helps keep our state safe and healthy during these difficult times. https://t.co/ngmLJrVyQo,2020-05-19 21:19:07
"I’ve just finished a call with NH teachers, who have worked tirelessly to educate Granite State students via remote learning. We owe them the support they need to continue to deliver the best possible education to NH children during this crisis. https://t.co/GHR1rCTE5p",2020-05-19 21:03:29
Appreciate the bipartisan support from @SenatorRounds &amp; @JerryMoran on my bill to bolster our domestic supply chain for PPE. I introduced this bill last year. The #COVID19 outbreak underscores how urgently it’s needed now: https://t.co/brXiMfFytU,2020-05-19 20:11:18
Reminder: Granite Staters interested in attending any of our nation’s prestigious military academies are invited to attend the NH delegation’s Virtual Academy Day today at 4 PM! Those interested can RSVP at RSVP@shaheen.senate.gov or call my office at 603-647-7500. Details below: https://t.co/KCQCMHq55L,2020-05-19 18:08:30
"Just ended a call with NH school admins, who have done a tremendous job leading students &amp; faculty through this crisis. However, they made clear: our schools need help ASAP. I'll be using the feedback I received during our conversation to get their schools the support they need.",2020-05-19 17:38:43
.@MarcoRubio &amp; I have sent a letter to @SecPompeo calling on State Dept to follow through on its commitment to provide care &amp; benefits to those who experienced brain injuries whiles serving in U.S. embassies in Cuba &amp; China. This was the intent of the law I authored. Our letter: https://t.co/TxagLzlctz,2020-05-19 16:34:03
