tweet,dates
"My hope is that we quickly turn the corner on #coronavirus and spring back to some kind of normalcy while embracing a new paradigm in how we live, work, play. Last week I sent you a survey to gauge the impact of the virus on #Nebraska Here are the results https://t.co/ZGMsxHnmgY",2020-05-09 00:13:44
Chief Standing Bear changed history in that transcendent moment when he raised his hand in an Omaha courtroom and said: 'I am a man. God made us both.' It's great that Girls &amp; Boys Scouts designated an award earned by learning his legacy https://t.co/qjjytBJ5Tx @NeIndianAffairs,2020-05-08 23:35:19
"Important, timely conversation last night about America's dangerous dependence on #China for essential drugs, drug ingredients and medical equipment, including face masks needed during #coronavirus . This dynamic will change. I invite you to listen here https://t.co/5A9nBLtEEB",2020-05-08 16:32:22
"An idea that came out of my #coronavirus survey is the need to indemnify restaurants, grocery stores, and entertainment venues from #COVID19 lawsuits. Small businesses should be able to reopen prudently, in accord with best health practices, without fear of being re-victimized.",2020-05-06 22:29:39
"In Congress, I'm working to ensure that critical medicines and medical equipment are Made in America. I invite you to review this powerful expose of the dangers of overdependence on #China for essential drugs &amp; drug ingredients https://t.co/qKjDBAk2sr #coronavirus @InvestigateTV",2020-05-06 21:17:16
"The Paycheck Protection Program continues to roll—it’s the right kind of help for persons who make things and take care of others. Average loan size is about  $76,000, as the smallest of small businesses continue to be prioritized. If you need help we're here for you #coronavirus",2020-05-06 20:57:33
"Our goal is to direct Paycheck Protection Program loans to small businesses that need them most. Avg size of Round 2 loans is $79,000. Nearly 4 million have been approved––that's $500 billion to Americans who make things. #Nebraska leads America in per capita #PPP loans approved",2020-05-06 14:08:32
"Many people are suffering from unemployment. I want to thank the #Nebraska Dept. of Labor for working so diligently with my office to resolve a number of problematic cases. If you need help with getting #unemployment assistance, we’re here for you. @NE_DOL",2020-05-05 21:47:52
"This weekend, we asked for your opinion on how #coronavirus was impacting you. The survey's early results give a good snapshot of where Nebraskans are, as we continue to fight the virus, protect the sick and return to some degree of normalcy. If you need help, we are here for you https://t.co/Y7PDeJyvob",2020-05-04 21:37:28
"This week Congress replenished the important Paycheck Protection Program for small businesses and employees affected by #coronavirus At nearly 20,000 loans, #Nebraska continues to lead the U.S. in per capita #PPP loans approved. If you're struggling to get PPP, we're here to help",2020-05-01 21:39:36
Communities across #Nebraska have been hurt by #coronavirus -related tax revenue loss. I’m sure that no one wants to see police officers and firefighters laid off. The FLEX Bill rightly opens previously approved federal relief funds to help. @Leirion4Lincoln @Jean_Stothert,2020-05-01 19:40:59
Really good discussion with @AARP today about their concerns over the extreme social isolation for people in long-term care facilities due to #coronavirus @AARPNE,2020-04-30 22:15:26
It’s hard to explain why meat prices are going up in the store for you while they are going down for cattlemen and other #ag producers. It is important to note that four companies control over 80% of the meatpacking market. @USDA is investigating.,2020-04-30 22:04:14
"Nothing can heal the heartache from the loss of farmer/1st responder James Wilke, who gave his life trying to save a person stranded in their car during last year’s floods. But here’s something good: The James Wilke Memorial Bridge opens tomorrow in rural Platte County, #Nebraska https://t.co/M1TOCFcBlc",2020-04-29 23:12:46
"Starting with the bio-containment of passengers from the Diamond Princess cruise ship, the University of Nebraska Medical Center has led America's #coronavirus response. A clinical trial of a drug that began with one of the passengers has started to show promise @unmc #remdesivir",2020-04-29 21:17:06
"A few key notes from my call with Treasury Secretary Mnuchin. Total number of #PPP loans approved: 1.6M. Of those, 1M went to businesses of ten employees or less. Lots of good news, but we are closely monitoring abuse––a number of large firms have returned money @stevenmnuchin1",2020-04-29 18:43:53
"A break for a moment from #coronavirus Really appreciated dialogue today w/ @SecretaryCarson of Housing &amp; Urban Development about new possibilities thru public/private partnerships for resilient, healthy, nourishing communities—an impt initiative we're building toward in Congress",2020-04-28 21:52:48
"Thank you Terry of the Alzheimer's Association and others on today's Zoom call. Something we don't think about during #coronavirus : #Alzheimers caregivers are doing double duty––caring for at-risk patients while implementing social distancing, which is so hard on care routines.",2020-04-28 18:46:55
Thank you @Zoetis for hosting today's telephone town hall and working so hard to keep the animal health industry afloat during this difficult time as we work through the challenges of #coronavirus,2020-04-27 23:19:45
"The Paycheck Protection Program started up again today with over $300 billion in new congressionally authorized funding. If you have questions about the #PPP or have other #coronavirus concerns, we are here to help you.",2020-04-27 21:58:31
"The #PPP program has saved tens of millions of jobs and millions of small businesses. It's important to ensure that PPP loans go to small businesses for whom the help is necessary, not publicly traded companies with multiple access points to capital https://t.co/EvBv8Mu7u8",2020-04-25 00:33:38
"In the State and Foreign Operations Subcommittee of which I am a Member, we monitor assaults on human dignity, human rights, and religious liberty. Today marks the 105th anniversary of the arrest, deportation and mass murder of Armenians during WWI #ArmenianGenocide @ANCA_DC",2020-04-24 23:53:36
We're all managing the best we can amid #coronavirus Today is #ArborDay –– a homegrown bright spot in this tough spring! Trees—nature’s wonder! @arborday,2020-04-24 19:16:16
Congress passed and today the President signed Phase 3.5 of #coronavirus relief––$310B to replenish the important Paycheck Protection Program for small business; $75B for hospitals; $25B for testing. We are here to help. #PPP @realDonaldTrump,2020-04-24 18:07:28
"The Paycheck Protection Program has been a bipartisan airlift, a lifesaver for people who make things with their own two hands and take care of others under their employ. I just spoke in support of this programmatic bright spot amid the trauma we face https://t.co/wC9aQa9nZs",2020-04-23 20:10:06
"Although the Capitol has mostly shut down, the tulips still stand guard right outside like sentinels. A little sign of normalcy amidst all of this suffering. @uscapitol @NatlGardening #coronavirus https://t.co/NXIt5HcEUq",2020-04-23 19:40:49
"The Paycheck Protection Program has been a bipartisan airlift, a lifesaver for people who make things with their own two hands and take care of others under their employ. I will shortly support legislation to replenish the #PPP , help rural hospitals and expand testing.",2020-04-23 17:06:29
"Sign of the times. At a nearly empty Eppley Airport in #Omaha on way back to vote in DC for increased support of important Paycheck Protection Program, rural hospitals, and #coronavirus testing. https://t.co/z39sbrZhvW",2020-04-22 19:06:33
