tweet,dates
https://t.co/BPTlQQbEY5,2020-05-06 21:15:04
Our government should never stop anyone from practicing their faith or exercising their rights to operate a business if it can be done in a safe manner. https://t.co/E1NyF4sWmP,2020-05-05 22:08:17
"We have relied on China for far too long to provide cheap labor and goods at the expense of America and our workers. We must bring that supply-chain home and end the export gap we have; It’s time to hold China accountable for their actions.
https://t.co/bQKBY4j0kD",2020-04-24 21:34:20
"Congress and the agencies we oversee must ensure these precious funds go to help those in need, not corporations or institutions that already have access to money. 
https://t.co/eqoDChAykE",2020-04-23 22:18:35
"DMOs help our economy thrive in South Jersey. We must include these groups in our legislation as they will help get our economy back to its feet when it is safe to be in public.
https://t.co/YHPg20fNTp",2020-04-22 20:22:53
"Our small businesses, those in healthcare, and the sick should be the only priority of legislation regarding Coronavirus.
https://t.co/A7q3IuyXMM",2020-04-20 17:57:19
"White House, Democrats near deal to replenish small business relief funds https://t.co/64pjiIsS2D",2020-04-20 15:08:29
FYI https://t.co/mIwMGBZgyO,2020-04-14 22:30:57
"Over the last few hours, storms and powerful winds have damaged huge areas of South Jersey, while we are in the midst of a public health crisis. I am asking the Governor to declare an immediate State of Emergency to help our community rebuild. We need the help now more than ever.",2020-04-13 17:34:30
https://t.co/oz7iO0tMwC,2020-04-11 14:41:53
Van Drew Teams With Rio Grande Company to Donate Masks https://t.co/svANN7Pb3y via @heraldnews,2020-04-10 16:36:10
"While we have passed historic legislation to save our nation, we must continue to refine what we have done so that every person impacted by this pandemic can see benefit. https://t.co/ycqp2OtrdZ",2020-04-08 20:42:48
Shore Congressmen introduce bill to help struggling residents and businesses https://t.co/so7tXBuEKx @wobm @RepChrisSmith,2020-04-07 16:31:12
"South Jersey now has several Coronavirus testing sites. These locations are for residents of the counties, by appointment and having met certain criteria for testing. We will keep you posted as additional sites open.
https://t.co/QVMv86Wa1X",2020-04-07 14:44:26
"I joined @foxandfriends yesterday morning to discuss New Jersey and Coronavirus response. 
https://t.co/DWv41wt1eM",2020-04-06 13:42:50
My office stands ready to assist in any way we are able. You can reach us online at: https://t.co/VevOz4blBl or in the office at (202)225-6572  https://t.co/mK00YbNriR,2020-04-03 20:47:41
I will continue to advocate for projects and funding that will make our citizens’ daily lives better. https://t.co/Mfhb9YOyGh,2020-04-02 20:38:55
"Hydroxychloroquine and Azithromycin have shown anecdotal evidence that they, if used early enough, have success in combatting the scourge of COVID-19. I support the usage of these drugs under the correct medical supervision to combat this virus.",2020-04-02 00:32:48
"Cancel the hearings.
https://t.co/gOWbRpkqYG",2020-03-31 20:26:06
"South Jersey is hurting. The last thing we need right now are more proposals and hearings on how politicians from Trenton can best punish our citizens even more.
https://t.co/IWelTSbvGW",2020-03-30 22:33:03
"If you are a small business owner, please take a look at the resources and aid available to you. Our office stands ready to assist. You can reach us at (202)225-6572, or email us at info.vandrew@mail.house.gov. @USChamber 
https://t.co/YvT6oISO10",2020-03-30 14:45:25
"I stand with my colleagues ready to fight this disease, fight for our families, fight for their jobs and fight to keep our nation.
https://t.co/t8EWEoQQal",2020-03-27 18:54:02
"To stay ahead of the negative curve of this illness, we must offer the same testing and health resources to all of our citizens. I am asking FEMA and Governor Murphy to install a testing site in South Jersey. https://t.co/BnFs2DvrbE",2020-03-26 21:50:25
"Our office stands ready to assist those in need and we will continue to get through this crisis together.
https://t.co/zbsZzEshbX",2020-03-25 18:10:57
"Our office is open and stands ready to assist.Please feel free to give us a call at (202)225-6572, email us at info.vandrew@mail.house.gov or visit our website at the link below.We have included some important information regarding the Coronavirus pandemic
https://t.co/feoAM9ZCWr",2020-03-24 18:21:09
"The pain Americans are feeling is real; they need decisive action and they need it now.
https://t.co/Pav3c5pklj",2020-03-22 18:05:09
"This is just one step in the many actions we will need to take to fight this virus, to protect the economy, and to help everyone who needs it. I will do everything in my power to ensure swift action on any future legislation...
https://t.co/mYdiwfiGbj",2020-03-19 18:09:07
"Our district and Washington offices remain open and ready to assist. If you need assistance please call us at (202)225-6572, email us at info.vandrew@mail.house.gov, or visit our website at https://t.co/Z6y5l4Zd0Z.",2020-03-19 13:42:41
"The American economy is driven and maintained by the exceptionalism of the women and men who make up our workforce; we must do everything we can to protect them.
https://t.co/pIjsgUbWnH",2020-03-18 18:28:22
https://t.co/Y4NrW8n6Wj,2020-03-18 00:47:47
"Our offices are open and ready to assist during this time. We ask that you call us at (202)225-6572, visit our website, or email us at info.vandrew@mail.house.gov. We also ask that you do not show up in person due to current health concerns.

Website: https://t.co/VevOz4blBl",2020-03-17 14:25:25
"If you’re off work due to COVID-19 in NJ, these benefits are available https://t.co/Kek4zpdS5m @nj1015",2020-03-17 13:47:44
The @NJLaborDept has some important information on Benefits and the Coronavirus. https://t.co/InUQzpmqcr,2020-03-16 21:54:03
"Our office stands ready to assist with any information or questions you may have. You can visit our website, call us at (202)225-6572, or email us at info.vandrew@mail.house.gov.
https://t.co/Z6y5l4Zd0Z",2020-03-16 19:40:47
"If you have been impacted by any of the travel restrictions, my office stands by ready to assist in any way we possibly can. You can reach us on our website, call our Washington office at (202)225-6572, or email us at info.vandrew@mail.house.gov. https://t.co/VevOz4blBl",2020-03-15 19:30:11
"While this is just the beginning of our response, we must remain vigilant and focused on defeating this virus. I will do everything in my power to ensure that happens.
https://t.co/bzwVXsoK2V",2020-03-14 05:02:27
"Utilizing fear to rip people off during a crisis is abhorrent, dishonest and downright disgusting behavior.
https://t.co/CZLjspXKwx",2020-03-12 23:44:27
"Today Congressman Van Drew announced he will be sponsoring H.R. 6194, a bill that will ensure veterans have access to their GI Bill benefits they earned, and will be using, during the current Coronavirus crisis.
https://t.co/gSvOWd934R",2020-03-12 22:58:39
"I am sitting at my desk in Washington waiting. Waiting for @SpeakerPelosi  to put a useful piece of legislation on the floor to help American workers and families impacted by the Coronavirus. 
https://t.co/WqrC14GyIN",2020-03-12 20:07:09
Rep. Van Drew reacts to Trump's coronavirus address https://t.co/B0ensASVzO,2020-03-12 14:40:37
"I am a proud cosponsor of HR 4104, the Negro Leagues Baseball Centennial Commemorative Coin Act. In New Jersey's 2nd District we were home to the Bacharach Giants in Atlantic City.
https://t.co/ob9bTqNWRX",2020-03-11 17:43:01
"We will continue to update you all as new information arises, and please do not hesitate to reach out if we can be of assistance in any way.
https://t.co/UTT2UFeHpb",2020-03-10 18:38:42
"I had the distinct honor to attend the first Legacy Recognition Award luncheon at Abundant Life Worship Center Church. Thank you to Bishop John R. Gandy and all those recognized at the award ceremony for your commitment to our community!
https://t.co/SoGcH0JVhb",2020-03-10 14:39:15
"I want to congratulate John Wesley United Methodist Church in Cape May County on their 180th anniversary celebration this year!
https://t.co/IVetALZp1n",2020-03-09 14:24:57
"Last week was National Public Schools Week. I want to recognize all of our schools, educators, students and all education professionals.
https://t.co/0K0hpMFrBy",2020-03-06 16:43:40
We had a wonderful meeting with the Veterans of Foreign Wars - VFW: New Jersey. I plan to support all of their legislative initiatives and we cannot thank you enough for your service. https://t.co/Rrm6KGB6eK,2020-03-05 15:34:16
Had a great conversation with the @NJ_REALTORS on issues impacting the real estate industry. https://t.co/7mTLiHs2gO,2020-03-04 16:42:29
It was great to see some South Jersey folks who made their way to the AIPAC Policy conference and had time to stop by my office. It is imperative we continue our strong relationship with Israel. https://t.co/IiCeUKYvc9,2020-03-03 20:55:19
"Please take a moment to read about some measures you can take to help prevent the spread of Coronavirus.
https://t.co/wZFUUuYvxK",2020-03-03 18:08:48
"I will do whatever I can do stop this horrendous legislation.

https://t.co/n1yC9X1GJO",2020-02-28 18:14:53
"I plan to help in any way that I can to help rectify this situation.
https://t.co/4bdMEKCG63",2020-02-25 19:02:14
Thank you! https://t.co/3K5FMdv6hx,2020-02-23 21:27:47
"I am asking the President and the VA for a thorough review of this case, and asking for answers on how this situation could happen.
https://t.co/FFkAMrPLbs",2020-02-21 15:21:27
"February 26th marks the 150th anniversary of Cannon Lodge 104 in South Jersey. I am proud to be a part of such a great organization.
https://t.co/3nbOWHe6pI",2020-02-20 17:29:10
"February is National Children's Dental Health month. Tooth decay is the number one chronic infectious disease among children in the United States still. I would also like to recognize the @AmerDentalAssn  for their work on the Give Kids a Smile program.
https://t.co/KQBcLYhPkU",2020-02-19 19:01:31
"Congrats and thank you to my friend Rich Palombo for 20 years of dedicated service as mayor to Upper Township in South Jersey:
https://t.co/nxne8XGAnO",2020-02-18 15:19:46
"If you are interested in interning in our office in New Jersey or in DC please follow the link below!

https://t.co/GCVafw8Gkd",2020-02-12 19:47:30
"We will be hosting a job fair next week on behalf of the US Census. If you or anyone you know is looking, please feel free to come by!
https://t.co/OlYqumxswF",2020-02-04 18:51:54
"Our national security requires us to be strong and fearless, but not at the cost of personal privacy.
https://t.co/UGIMwKRTVP",2020-01-29 18:11:19
https://t.co/6eIcFXL8g1,2020-01-20 16:24:21
"Congressman Van Drew Announces Committee Asssignments to 116th Congress:
https://t.co/WZZerWf17R",2020-01-16 17:04:25
"The Advancing Support for Working Families Act helps families with the cost of having a child without raising taxes as other proposed bills would. It empowers parents, a dose of economic freedom, &amp; does not dictate how the funds must be used. https://t.co/0HQJc7IJdn",2019-12-13 17:08:02
"Starfish Equine Rescue is an incredible South Jersey organization that works to rescue, rehabilitate, and ultimately adopt unwanted, abused, and neglected horses. I thank them for the great service that they do for these animals and for South Jersey. https://t.co/J2O96mmZp9",2019-12-13 14:00:40
"This week we have accomplished so much in the House of Representatives, including a historic step forward for the national and economic security of our nation in passing the NDAA. https://t.co/NdXpfAJTim",2019-12-12 21:53:49
Mullica Township ACES is a school district initiative started by Barbara Rheault that provides academic aid &amp; enrichment to students after school hours. Thank you to Barbara Rheault and the Mullica Township School District for cultivating students' academic &amp; social development. https://t.co/rkRHRc6Vs2,2019-12-12 21:39:23
"In passing #LowerDrugCosts, we are taking bold action to level the playing field for American patients &amp; taxpayers, and improving our quality of life. This legislation is one that I am proud to have voted for, &amp; the House can be proud to have passed. https://t.co/7gCiMJ7IGy",2019-12-12 20:26:09
"The House just passed #HR3 to:
💊 Level the playing field for American patients who pay more than patients abroad.

👓 Expand Medicare benefits to include dental, vision, &amp; hearing.

🔬 Invest in innovation for cures and provide funding to combat the opioid crisis.",2019-12-12 20:18:38
"Key takeaways from @HouseDemocrats’ new plan to #LowerDrugCosts?

-Ends ban on Medicare negotiating drug prices
-Makes lower prices negotiated by Medicare available to all Americans
-Stops drug companies from ripping off Americans",2019-12-12 16:30:00
"In the first 6 months of 2019, more than 3,400 prescription drugs raised their prices. That’s money out of your pocket. Today, Congress will take action to #LowerDrugCosts!",2019-12-12 16:06:25
"Today I am speaking at the House Agriculture Committee's Member's Day Hearing about the importance of agriculture in NJ's 2nd District, which encompasses 40% of the state &amp; is responsible for forty-eight percent of the state’s total agricultural sales.

https://t.co/tpipfHtP62",2019-12-11 15:53:20
"The Puerto Rican Action Committee (PRAC) of Southern New Jersey is an organization dedicated to supporting the Hispanic community in our area.

PRAC has been fundamental in lifting up the Hispanic members of our community, and I thank them for all the great work they do. https://t.co/Nbv5NVkcyt",2019-12-11 14:00:52
"A new cutter has been placed at USCG Station Cape May named after late Master Chief Angela McShan, who served the USCG for 20 years &amp; was the first black woman to earn the title of master chief petty officer. https://t.co/FYgfQxQt33",2019-12-10 22:59:01
"Today I voted yes on a host of bipartisan #OceanClimateAction bills to protect Americans from sea level rise and chronic flooding.

We’ve all seen how chronic flooding impacts our South Jersey coastal and Bayshore communities. It’s time to #ActOnClimate. https://t.co/RtIJYSPMM3",2019-12-10 22:52:49
"Democrats, Republicans, and Independents are united in the call to restore #NetNeutrality rules. I was proud to vote for the #SaveTheInternet Act in the House this year, and I’m joining @SenateDems in demanding a vote in the Senate! https://t.co/ixPv8lIshn",2019-12-10 16:35:00
"More than 50 years after passage of the Voting Rights Act, Americans still face discriminatory voting practices at the polls. We must come together and finally #RestoreTheVote for all.",2019-12-06 14:15:00
