tweet,dates
¡Felicidades a todas las madres en su día! 🤍🤍 https://t.co/IFg2K3RViy,2020-05-10 16:18:36
"Today on the 75th Anniversary of VE Day, honor and thanks and prayers to the liberators, the liberated, and to those who carry on with the cause of freedom. https://t.co/woXx4gcdkK",2020-05-08 17:58:03
"Hoy en el Aniversario 75 del Día V-E, vayan honor, gracias y plegarias para los liberadores, para los pueblos liberados y para aquellos que mantiene hoy en alto la causa de la libertad. https://t.co/xufzoRknlK",2020-05-08 17:53:39
Nueva asignación de $35 millones a #PuertoRico para servicios de cuidado a niños y servicios de salud al igual que del Departamento de Educación federal para diversos programas institucionales. https://t.co/D3crWFedWN,2020-05-08 14:22:36
"Bajo el #CARESAct ya se han asignado a #PuertoRico $5,669,106,980.80 que conseguimos desde el Congreso para mitigar el #COVID19

Vea aquí el desglose: https://t.co/wOf9279Zdu https://t.co/2jznX94UxG",2020-05-07 20:05:09
"El Programa CDBG-DR de @DeptVivienda anunció la disponibilidad de fondos para proveedores de asistencia técnica y capacitación para ayudar administrar de manera eficiente estos fondos y de manera general a reducir el tiempo de recuperación.

Vea ➡️ https://t.co/EP0kIg1O9W",2020-05-07 19:12:03
"Ya comenzamos a prepararnos para la temporada de huracanes 2020. 

#FortalezcaSuHogar y tenga paneles de madera, acero o aluminio apropiados para proteger sus puertas y ventanas.

#SemanaDePreparaciónParaLosHuracanes

➡️ https://t.co/ExRm2dwLat https://t.co/itri9XFdCL",2020-05-07 17:23:41
"El #Censo2020 informa como se distribuyen miles de millones de dólares en fondos federales. Entra a nuestra página web para acceder a recursos sobre cómo llenar el formulario. 

Dale forma a tu futuro y al de #PuertoRico. ⬇️

https://t.co/DyqxnbQG9y",2020-05-06 20:34:22
"A medida que continuamos recuperándonos de los huracanes del 2017, los terremotos y enfrentado la actual emergencia por el #COVID19, los invito en esta #SemanaDePreparaciónParaLosHuracanes a comenzar a trazar su plan de emergencia con su familia.  

Vea ➡️ https://t.co/1OKHbk9V7M https://t.co/BBxJNyjxqd",2020-05-06 19:38:49
".@EPA is announcing that Toa Alta was selected to receive $300,000 to assess and clean up contaminated properties under the agency’s Brownfields Program. 

https://t.co/SPgxudTV0j",2020-05-06 17:16:18
"Nuevos fondos para #PuertoRico que suman $36 millones para la educación, Sección 8, aeropuertos, albergue y comida por el #COVID19⬇️ https://t.co/cWdApbadTC",2020-05-06 15:25:49
"Gracias gobernadora @wandavazquezg por apoyar nuestra petición de incluir a #PuertoRico en el programa Pandemic EBT. Es importante que nuestros estudiantes tengan seguridad alimentaria,... (1/2)",2020-05-06 02:10:07
"Hoy a las 8pm estaré por @Cspan @cspanwj hablando sobre la respuesta de la Isla ante el #COVID19 y ayudas federales para #PuertoRico.  

Sintonice: https://t.co/o7zxk0Qh5P https://t.co/VgfxcIwk8i",2020-05-05 23:16:52
"I am proud to have served on the @housesciencegop and highlighted programs such as #Artemis, which empowers women and upholds equal opportunities in advanced research and scientific fields.

#NationalAstronautDay https://t.co/dSJ1bpXYqz",2020-05-05 21:01:43
"Today on #NationalAstronautDay we reaffirm the importance of promoting STEM education, including the participation of women in these fields. https://t.co/WMqbj85YeJ",2020-05-05 20:58:24
Me enorgullece haber sido parte de @housesciencegop y haber trabajado en impulsar programas como el de #Artemisa para alentar a que jóvenes puedan tener iguales oportunidades en el investigación avanzada y en las ciencias. https://t.co/vqKidLdo6l,2020-05-05 20:52:19
"Hoy, #DíaDelAstronauta reafirmamos la importancia de promover la educación STEM y la inclusión de la mujer en estos campos. https://t.co/VPZbYoqoIN",2020-05-05 20:51:03
Federal aid to small businesses in #PuertoRico increased 700% in the second round of funding through the PPP. I commend my good friend &amp; Chairman of @SmallBizCmte  @MarcoRubio for his strong commitment to the people of #PuertoRico. https://t.co/SqK4V9ywLV,2020-05-05 17:43:53
"Thankful to President Tsai (@iingwen) and Minister Wu (@MOFA_TAiwan) for answering to our request with @DeptEstadoPR for PPE by donating 30,000 medical masks to #PuertoRico. #Taiwan has been on the front lines providing humanitarian assistance all around the world! https://t.co/DWASQFHLFW",2020-05-05 17:20:05
"Today at 2:00pm, join @USTravel as their #VirtualRoadTrip makes its way to #PuertoRico! Don’t forget to share your favorite picture of la #IslaDelEncanto. https://t.co/ivoX93QqUK",2020-05-05 17:16:43
