tweet,dates
"Due to the ongoing COVID-19 emergency, I worked with DOJ to postpone our scheduled hearing with AG Barr as attentions and resources appropriately went to responding to the pandemic. But rest assured, we are going to reschedule that hearing, ASAP, and demand answers!  2/2 https://t.co/OywQR41khM",2020-05-07 19:14:09
"This is outrageous! 

Flynn PLEADED GUILTY to lying to investigators.  The evidence against him is overwhelming.  Now, a politicized DOJ is dropping the case.

The decision to overrule the special counsel is without precedent and warrants an immediate explanation.

1/2 https://t.co/MxRyWkCMPw",2020-05-07 19:06:32
"During this difficult time, it is important to support programs that connect patients with their loved ones while they are hospitalized—especially in New York. That is why I am proud to back the creation of Compassionate Companions volunteer programs. https://t.co/rjqz1qK2wE",2020-05-06 22:54:26
"Listen to SCOTUS arguments re Trump rule that lets your boss decide your birth control coverage. BC shouldn’t be about where you work; it’s about freedom to make your own choices. That’s why I led House Dems in an amicus brief to tell Trump #HandsOffMyBC.
https://t.co/UW2YsdqRDn",2020-05-06 15:20:26
"This video is beyond disturbing. Enforcement of social distancing is important for everyone, but enforcement that involves brutality and excessive force is totally unacceptable. 

This MUST end. https://t.co/eJJwAeQoa1",2020-05-06 14:26:09
"America's teachers give so much to so many for so little in return. #TeacherAppreciationWeek is more than a hashtag, it is a time for us all to reflect on the incredible impact teachers have had on each of us, on our families, and our communities. https://t.co/ijlC7PcnLn",2020-05-05 21:22:20
"Proud to join my colleagues in calling for rent cancellation during COVID19. A 1x $1200 payment won’t cover half the median rent in my district and we have to protect renters+homeowners facing back payments when eviction moratorium is lifted. #CancelRent 

https://t.co/gZPzQd34Lp",2020-05-05 17:01:24
"SCOTUS will hear arguments tomorrow re a Trump admin rule making it easier for your employer to take away birth control coverage. Today, I'm speaking at the @nwlc virtual rally to tell the administration #HandsOffMyBC. Join here https://t.co/iqaPTg5U1M or watch on NWLC's FB page. https://t.co/mq3t6dwFeK",2020-05-05 16:25:53
"Great joining @BrianLehrer on @WNYC to discuss how Congress is responding to the COVID-19 crisis, including ongoing negotiations for additional support to small biz and making sure areas hit hardest—particularly NYC—are given the resources they need.

https://t.co/2ybivF7TZX https://t.co/lQX8j9RKRX",2020-05-04 18:19:52
Tune in now to @WNYC 📻 as I join @BrianLehrer to discuss how Congress is working to respond to COVID-19 and the work of @HouseJudiciary to hold companies and the Administration accountable.,2020-05-04 14:06:43
