tweet,dates
Appreciating our mothers transcends any and all daily trials. Happy Mother’s Day to every mom - we appreciate you! https://t.co/D6Z80ZjeIy,2020-05-10 17:24:40
"It’s too bad that being ‘conservative’ these days means being anti-science. 
https://t.co/Cg6SDws57C",2020-05-09 18:40:19
"Right now, our teachers are overcoming the challenges of distance learning to ensure our children can get the education they deserve. This #TeacherAppreciationWeek, I hope you’ll join me in thanking the teachers in your community. https://t.co/27lofK0L7q",2020-05-08 19:02:11
"May is #MentalHealthAwarenessMonth, and as many struggle with additional anxiety due to the COVID-19 pandemic, the CDC has compiled a list of resources and tips to help Americans cope with the stress.
https://t.co/Q94ZAhbWNW",2020-05-07 15:29:46
"This morning I volunteered to help distribute food at the Oakley Senior Center. No one should have to hungry during these difficult times, and I’m proud our community is coming together to help those in need. https://t.co/39uf4ZCPWo",2020-05-01 18:22:49
Our essential workers are fundamental to our nation’s response efforts and I hope you’ll join me in thanking them for their dedication to our community and our country. https://t.co/AMmZdRhQW4,2020-05-01 01:51:28
"Today we celebrate 50 years of #EarthDay. Right now, it is more important than ever to recommit to providing a healthy future for our planet. As we have united around the globe to combat this public health crisis, we must also unite to #ActOnClimate and fight #climatechange. https://t.co/A6g7TSOgw3",2020-04-22 18:48:03
My statement on the 6 GHz proposal that @FCC is expected to vote on tomorrow: https://t.co/dGniHHjBpl,2020-04-22 16:40:08
I couldn’t agree more. California’s first responders are on the frontlines of this pandemic. @FCC’s refusal to extend the #NetNeutrality comment deadline despite current circumstances is a slap in the face to the people putting their lives on the line to serve our communities. https://t.co/7fvkkLu8Kz,2020-04-20 20:52:57
"10 years after the #DeepwaterHorizon disaster, we need to #ProtectOurCoast more than ever. That's why we must end this administration's pro-polluter agenda. https://t.co/TTmoSCgBSI",2020-04-20 19:09:52
"As we prepare for wildfire season, @SenKamalaHarris and I led a letter to @fema, pressing the agency for answers on how their disaster preparation and recovery plans address the unique challenges we are currently facing during the #COVID19 pandemic.
https://t.co/RiT9Bq16HY",2020-04-20 17:31:53
"For the first time ever, the #2020Census is available online. Visit https://t.co/SMF540ondv to complete your household's form today. It only takes a few minutes to #ShapeYourFuture.",2020-04-16 18:48:04
Thank you to the students and faculty at Stockton Unified who are harnessing their 3D printing skills to help produce face shields for our healthcare workers and first responders. https://t.co/RUsOLIA2XE,2020-04-14 16:38:28
Many of us are spending more time at home to help #flattenthecurve. You can use this time to help your community get the resources it needs by completing the #2020Census online at https://t.co/SMF540ondv.,2020-04-09 18:47:48
"Rushing the rulemaking process &amp; not giving Americans ample time to weigh in on decisions that affect their health removes a critical layer of transparency. I, along with @BobbyScott &amp; @RepMikeQuigley, led a letter urging @EPAAWheeler to extend deadlines. https://t.co/sRaeUW2yIe",2020-04-08 21:21:30
"Personal attacks on an officer negatively impact troop morale and are unbefitting of a leader in our nation’s armed services. The acting Secretary of the Navy, Thomas Modly, should resign.
https://t.co/U8UboSjiAX",2020-04-07 17:49:20
I'm proud to join my colleagues in urging the inclusion of SNAP provisions in upcoming relief packages. https://t.co/xa7ngi9Coo,2020-04-07 17:01:13
Hospitals are facing supply shortages. Some companies with 3D printing capabilities are stepping up to help fulfill these critical needs. I hope others will follow suit. https://t.co/coqrlvMmzD,2020-04-06 23:08:12
"Today, I and 18 of my @EnergyCommerce colleagues sent a letter to @zoom_us's CEO @ericsyuan to raise concerns and questions about the company’s privacy practices. https://t.co/ptB4yqcnO4",2020-04-03 22:03:23
"A week ago, we sent the President a $2.2 trillion relief package to help the millions of Americans who have been financially impacted by the COVID-19 crisis, yet it’s the beginning of the month, bills are due and they are left wondering #WhereIsTheMoney?https://t.co/0I0HZxlMAb",2020-04-03 15:20:51
"America's homeless population is particularly vulnerable during this pandemic. I led a letter with 87 of my colleagues, pressing the Trump Administration for details about how agencies are working to ensure proper care for America’s homeless at this time. https://t.co/1vEGm22VJK",2020-04-02 22:59:00
"For the most up-to-date information about California's stay at home order and answers to frequently asked questions, visit California's dedicated website for how the state is handling the response.
https://t.co/vc1OGTbrVN",2020-04-02 16:46:36
"Today is #CensusDay. You can fill out your #Census2020 form anytime in the next few weeks at https://t.co/SMF540ondv and help our community get the critical resources that it needs for hospitals, schools and so much more. https://t.co/mc2BP6U945",2020-04-01 17:13:06
"In 2019, women in America made on average just 81% of what their male counterparts earned. Now more than ever, we are seeing why ALL workers must be treated equally, with #EqualPay for equal work. https://t.co/lgosN7lHLT",2020-03-31 17:36:30
