tweet,dates
"¡Muy feliz Día de las Madres a todas las mamás y figuras maternas! Aquí una foto de mi inseparable compañera de vida y de la mujer que me trajo a este mundo. Sin ellas, nada soy.⁣ https://t.co/MQHm5L4PLO",2020-05-10 16:38:14
".@janschakowsky &amp; I sent a letter @OSHA_DOL calling on the agency to protect workers in meatpacking plants. It is sickening to deem working people essential, yet treat them as if they were expendable. Our workers must have paid leave, testing, protective gear &amp; hazard pay. https://t.co/0dJcdoJYtg",2020-05-08 22:34:22
"More than heroes, nurses are workers who urgently need protections to do their jobs safely during the #COVID19 pandemic. This nurses week, I stand in solidarity with @NationalNurses and nurses across the country demanding basic rights. #ProtectNurses 
https://t.co/IDeIfbSZSi",2020-05-08 20:53:53
"WE’RE LIVE

Follow our conversation here👇

https://t.co/gx6JB6u59g https://t.co/LXDEcKlxIM",2020-05-08 19:31:12
"Hundreds of U.S. corporations are demanding Mexico prioritize profits over the health of its workers by reopening #COVID-19 closed factories.

TODAY at 2 PM CT: Join me for a live webinar to learn how we fight back.

RSVP here: https://t.co/8w5jGx6svD https://t.co/wrb3iXmCDr",2020-05-08 16:14:34
"👇📻

Listen to me live on @DeanObeidallah's show today at 6 pm CT on @SIRIUSXM channel 127. We will be discussing Latinos and #Covid_19 and the increasing virus cases among meatpacking workers.",2020-05-07 20:01:01
"We must all act responsibly and put the health of the American public above profits. Airlines are deeply impacted by this crisis, but price-gouging customers is not the solution. I'm glad Frontier abandoned its plan to sell $39 social distancing upgrade. 

https://t.co/doZQXK8Ilg",2020-05-07 16:10:07
Thank you @SenatorDurbin! Illinois is lucky to be home to so many dedicated #ImmigrantHealthHeroes. https://t.co/r1h8CmbWM7,2020-05-06 21:54:36
The incompetence Trump has shown throughout this pandemic has cost thousands of lives. Dissolving the #COVIDTaskForce will not make the virus disappear.  We must hold this Administration accountable. https://t.co/cT1VkO51eV,2020-05-05 23:55:35
"Revelations of airline companies planning to drastically reduce hours, force workers on unpaid leave, and layoff huge fractions of their workforce are outrageous. The employees have been on the frontlines and behind the scenes keeping our economy going.

https://t.co/s3xmLZbaQE",2020-05-05 21:32:58
"Tomorrow, the Supreme Court is hearing arguments regarding a Trump Admin rule that would allow your employer or university to take away birth control coverage.

Everyone deserves access to birth control no matter where they work or go to school. #HandsOffMyBC https://t.co/d1dTa2073h",2020-05-05 19:44:58
"⚡️In this #TeacherAppreciationWeek, Abigail and Israel López want to share a message: https://t.co/s0e4P3imXu",2020-05-05 18:41:19
"President Trump and Republicans are trying to funnel valuable CARES Act resources to bail out oil, gas &amp; coal companies while small businesses and working families are struggling. 

That's why I cosponsored @RepBarragan's #ReWINDAct to say loud and clear: #NoBigOilBailout! https://t.co/iBRxfnFtQl",2020-05-05 18:03:45
"#DearBetsy:

College students have been pushed out of their housing, leaving many homeless or forced into unsafe or unstable living. 

@BetsyDeVosED should be focused on ensuring young people are safe, not rolling back survivors’ rights. Keep your #HandsOffIX! https://t.co/rnq4YQBjaJ",2020-05-05 17:37:16
"During this pandemic, teachers are not only helping students and parents learn remotely. Through different actions, they are also assisting the very communities their students come from. 

#TeacherAppreciationWeek
https://t.co/0P0JOJmabj",2020-05-04 23:14:06
"Families across the country are facing eviction &amp; homelessness. Congress must provide #RentReliefNow.

I joined @RepEspaillat in urging leadership to include $100 billion in emergency rental assistance &amp; I’ll keep fighting to keep people in their homes. 

https://t.co/sPssVvgFaT",2020-05-04 17:00:00
"The lack of safety standards causes workers to get sick, and others lose jobs and the ability to support their families. The meat packing companies must provide PPE, physical distance between workers and free testing for their employees. #ProtectAllWorkers https://t.co/QXwlksq7Fc",2020-05-03 20:35:20
"I’ve urged more than 20 government agencies and the Trump administration to provide more COVID-19 resources in Spanish and other languages. While this is the government’s responsibility, I thank everyone who is stepping up to address this issue. https://t.co/FmQwuvOCqC",2020-05-02 14:32:42
"Solidarity with workers means more than thanking them this #MayDay, it’s about ensuring they have protective gear, paid sick leave, virus testing, access to health care, and the right to organize.

Read my piece about standing with workers below👇

https://t.co/V54qAxcZUn",2020-05-01 20:26:06
"LIVE NOW

Press conference on #MayDay.

👉https://t.co/k3aH7AtkP3 https://t.co/6vkac3jC2D",2020-05-01 16:09:11
"“Today, on May Day, I’m asking everyone show solidarity with those on the frontlines and those who are striking against unsafe working conditions.”⁣

Paul Pater, a constituent of mine, is a registered nurse at the UIC Hospital &amp; co-chief steward of the IL Nurses Association. https://t.co/PokzpPcXqI",2020-05-01 13:24:30
"📞 Happening now! #ChatWithChuy

Listen to my telephone townhall at the link below 👇

https://t.co/vegoHNTGOh",2020-04-30 23:38:56
"Communities of color suffer increased #HealthDisparities due to longstanding inequities in healthcare, air pollution, and nutritional access. That is why I support #HEAA as it addresses these inequities and promote health equity for all. #NMHM2020 https://t.co/FrMJPOj8yE",2020-04-30 20:34:01
"TODAY! ⏰6:30PM⁣
⁣
Listen to this telephone townhall and ask your questions live!⁣
⁣
Two options to join:⁣
👉Go to https://t.co/6ha6wZq26G to register and get a call from our office ⁣
👉Call in directly at (833) 380-0622 ⁣
⁣
#ChatWithChuy https://t.co/koPP4XgQDU",2020-04-30 19:51:47
"A punto de ir al aire en @AlRojoVivo con @MariaCeleste Arraras para hablar sobre la necesidad de proteger a todos los trabajadores  antes que regresen a trabajar, y en particular en plantas procesadoras de carne.",2020-04-30 19:17:45
"TOMORROW!

In partnership with the Illinois Unidos Initiative, we will convey Latino priorities to prevent and address COVID-19 disparities in our communities on this #MayDay. 

More info: https://t.co/107us5347a https://t.co/I0Ibdwv4e3",2020-04-30 14:07:41
"TOMORROW!⁣
⏰6:30PM (CST)⁣
⁣
TELEPHONE TOWNHALL⁣
State of the 4th District: COVID-19 Support for Families &amp; Individuals ⁣
⁣
To participate:⁣
⁣
📞Call this number tomorrow⁣
#ChatWithChuy https://t.co/VGQDufSTZU",2020-04-30 01:19:06
"Thank you for putting together this much needed conversation, and for the work you all do toward the progress of our Latinx communities. 

Juntos, podemos. https://t.co/1FnqiwqdlD",2020-04-30 00:20:02
Happening in one hour! https://t.co/IYesXy1ydu,2020-04-29 22:07:01
"Important notice for Social Security beneficiaries!

You can still get an extra $500-per-child added to your stimulus check if you have dependents. You just need to fill out a simple tax return by May 5th. 

Fill out here ⬇️

https://t.co/80p0o5MtCg",2020-04-29 19:28:24
"Me uno a la campaña “Vamos a Cuidar Nuestro Tesoro en Casa” de @EnlaceChicago y Telpochcalli Community Education Project. 
⁣
Quedémonos en casa para así cuidar a nuestra familia y evitar la propagación del coronavirus. 🏠 https://t.co/UXTLT9j5C8",2020-04-29 16:30:22
TODAY! https://t.co/eEuAlwM6mu,2020-04-29 14:59:38
"Latinx and COVID 19 Week
DAY 3👇

⏰6PM

Join us for a digital townhall on the reality Latino workers must confront on a daily basis.
@RepEscobar @PresenteOrg @UNITEDWEDREAM @WeBuildProgress @ALIANZAAMERICAS 

RSVP:
https://t.co/2HziSjBIB6",2020-04-29 14:58:25
