tweet,dates
"As the official #TeacherAppreciationWeek comes to a close, teachers are appreciated every single day. Their tireless work and adjustments to virtual learning over the past few months helped students feel a sense of normalcy. They are true heroes.",2020-05-09 17:49:20
It's time to strengthen protections for government watchdogs in order to protect our taxpayer dollars https://t.co/QLOLK53bkz,2020-05-08 20:54:30
"Michael Flynn lied to the FBI, admitted to it, and pleaded guilty. Trump himself fired Flynn for lying to VP Pence. The Trump administration sunk to a new low &amp; undermined our entire judicial system and the rule of law. This is a travesty of justice. https://t.co/hZtk1nBidG",2020-05-08 17:05:08
"Jogging is not a crime. Skin color is not a crime. Murdering someone is a crime. It is disgraceful that it took a national spotlight for a DA’s office to act, but I hope justice is swiftly served &amp; some peace can be brought to the family of Ahmaud Arbery. https://t.co/j9fByTViP5",2020-05-08 16:01:36
Initial timelines &amp; limits put in place for small business assistance programs need revision as we face the #COVID19 crisis. I’ve heard from several Middle TN businesses that need flexibility as they start to reopen. https://t.co/DhEGkhsqS4,2020-05-08 13:26:42
"No one should worry about feeding their family while we face the #COVID19 crisis. I'm proud to cosponsor the FEED Act introduced by my colleagues @SenKamalaHarris, @SenatorTimScott, @RepMcGovern, @RepThompson,  @RodneyDavis &amp; @chefjoseandres. Help us feed America &amp; #EndHungerNow. https://t.co/Qg3Z8uql0o",2020-05-07 19:41:14
"Homeowners should be able to defer missed payments to the end of a mortgage period while we face the #COVID19 crisis. Payments should be made at the same, evenly-distributed intervals as prior payments – w/ no penalties, late fees, or additional interest. https://t.co/5YBvytKg3X",2020-05-07 17:21:21
Employers shouldn't make healthcare decisions for employees. The ACA gave access to affordable contraception &amp; this administration wants to rescind coverage. Women can make healthcare decisions for themselves &amp; I signed an amicus brief in support of that. https://t.co/WBVxtK1RVD,2020-05-06 22:52:06
I have opposed the Trump administration’s Title IX changes from the beginning. Rolling back the Obama-era Title IX protections for sexual assault victims is dangerous &amp; makes students less safe. Rolling back the protections during a pandemic defies logic. https://t.co/Du3xMSXh8B,2020-05-06 20:34:00
"Meat processing facilities are critical; meat is already in short supply in some areas. We have to ensure the supply chain remains up-and-running, but workers also have to be safe. https://t.co/Q2YQqD4sfl",2020-05-06 19:13:47
"An Inspector General shedding light on serious problems is a good thing; I have always said sunlight is the best disinfectant. If anything, our Inspectors General need more power, not punishment, so they can hold bad actors accountable. https://t.co/nmvAHSoSEt",2020-05-06 17:30:14
"If you received a $1,200 Economic Impact Payment for someone who is now deceased, instructions for how to return the payment can be found here: https://t.co/f8kVyUhmLf",2020-05-06 16:58:10
In the unforgiving light of the pandemic https://t.co/LVVdonfHeP via @tnlookout,2020-05-06 15:11:41
My staff and I are hearing from a lot of Middle TN small businesses who are waiting to hear their EIDL application status from @SBAgov. @SBAgov must give reason as to why there is no update or response and why so many businesses are still waiting on this vital lifeline. https://t.co/qfz96ocgoV,2020-05-05 21:03:13
"Following the March 3 tornadoes in TN, @fema approved more than $11.7M in federal loans &amp; grants for homeowners, renters and businesses. If you were impacted and applied for assistance, check the status of your application: https://t.co/11gpjxSFlf https://t.co/x7VhUdNgOh",2020-05-05 20:38:02
DREAMers are hard workers and many are going to college. They represent the best of America and shouldn’t be denied stimulus relief to help with unexpected expenses caused by #COVID19 because of their immigration status. https://t.co/SBwiVh27Lp,2020-05-05 20:06:04
The president's global gag rule weakened the global health system &amp; closed clinics that treat child malnutrition &amp; HIV/AIDS. Global health funding should be exempt from the rule. Qualified organizations must receive resources to provide services to the most vulnerable people. https://t.co/BNKP2v4hWw,2020-05-05 18:31:44
"The #FreedomRiders risked their lives for our freedom. They risked their futures for our future. They faced down violence and prison for our civil rights. There are no better role models, no better heroes, and we honor their journey today. https://t.co/xOhR5QSvvG",2020-05-04 23:36:00
The Emergency Economic Injury Grants &amp; EIDL Injury Disaster Loans (EIDL) were meant to provide help to small businesses &amp; non-profits impacted by #COVID19 within 3 days of an application. Small businesses are waiting &amp; it is unacceptable that people cannot get status updates. https://t.co/hNIeiYrLCC,2020-05-04 14:26:32
"TODAY: May 4, is the last day to apply for @fema assistance if you were impacted by the March tornadoes in Nashville. Apply for federal assistance here: https://t.co/axpOGuOtJ5",2020-05-04 12:30:14
"Ten years ago, Nashville pulled together with neighbor helping neighbor and strangers helping strangers. We rebuilt our community together then and are working on rebuilding together again as we face the COVID-19 crisis. https://t.co/U33n6G4Rkm",2020-05-02 19:36:14
"Thank you @ElJefe967FM for having me on today. I'm happy to come back anytime!

Gracias @ElJefe967FM por invitarme hoy. Estoy feliz de volver en cualquier momento!

https://t.co/wJoOWFsq7m",2020-05-01 19:06:57
"ATTN: MONDAY, May 4, is the last day to apply for @fema assistance if you were impacted by the March tornadoes in Nashville. Apply for federal assistance here: https://t.co/axpOGuOtJ5.",2020-05-01 17:37:27
Cities &amp; states are relying on nonprofits to help mitigate the impact of the #COVID19 pandemic. Many of these organizations remain open to serve Middle Tennesseans during this crisis. They are doing a tremendous job &amp; are in desperate need of more resources. https://t.co/vgqC46YgZx,2020-05-01 13:07:51
"Ongoing testing, isolation, monitoring, &amp; contact tracing is necessary to contain the spread of #COVID19 until we have a vaccine. The actual number of Americans who have been exposed to or infected is still unknown. https://t.co/COGRoDGuIJ",2020-04-30 21:35:12
Thank you @HumeFoggKnights for inviting me to speak with you all today. I'm happy to come back anytime! https://t.co/JVNwm7qKxD,2020-04-30 21:01:07
Research for a #COVID19 vaccine is in overdrive. Most other research has been slowed or stopped due to closures of college campuses &amp; laboratories. Congress must preserve our current scientific workforce &amp; ensure the U.S. is prepared to continue our global scientific leadership. https://t.co/jDG5kCq7JQ,2020-04-30 18:26:16
"Concerts, festivals, &amp; shows abruptly ended due to social distancing &amp; stay-at-home orders. Musicians, songwriters, &amp; live events workers make their living on live performances. I co-led a letter to Leadership asking for direct assistance for this industry in the next stimulus. https://t.co/sQ5Q8cpnS7",2020-04-29 16:07:05
"Tennessee has had limited mail-in voting for generations, and President Trump voted in the last election by mail. So why not expand mail-in voting now, when we need it most, so that voters and poll-workers can stay safer from the #COVID19 virus? https://t.co/nd2oRPEsum",2020-04-28 22:33:20
"Arts &amp; cultural organizations have been hit hard by social distancing &amp; stay-at home orders. It could be months before we go to the concerts, plays, or museums that make up a big part of Nashville. No one wants them closed forever due to #COVID19. https://t.co/WmdtYuN6i9",2020-04-28 18:04:44
"In order to receive an extra $500/child stimulus payment, people who receive Social Security &amp; Veterans Admin benefits who do not file a tax return &amp; have eligible children should use the Non-Filers tool on https://t.co/Zo5GmuVx04 by MAY 5: https://t.co/xXaJ0SYbSu",2020-04-28 16:00:59
.@fema has approved more than $2 million in disaster grants for homeowners &amp; renters following the March 3 tornadoes in TN. @SBAgov has approved more than $9 million in disaster loans to businesses. The deadline to apply for federal assistance is May 4: https://t.co/axpOGuOtJ5 https://t.co/GsfhFDnPpa,2020-04-27 18:00:24
"Social Security recipients &amp; low-income families may not get the $500 stimulus payment if they failed to complete a form by noon Wed., only 3 days after the #IRS notified the public of the deadline. An extension will support families as we try to slow the spread of #COVID19. https://t.co/j3pVkoHBrd",2020-04-24 16:33:22
"The Paycheck Protection Program (PPP) builds a bridge from where we were prior to the #COVID19 crisis to where we are going to be. Congress must remove arbitrary funding barriers, fully fund the PPP, &amp; ensure every eligible entity receives the funds and flexibility they need. https://t.co/Xd9JKdXlhU",2020-04-24 15:54:11
"8 In 10 Americans Support COVID-19 Shutdown, Kaiser Health Poll Finds https://t.co/N0CCKL3tDP",2020-04-24 14:41:52
"House lawmakers, returning to D.C. in the midst of a pandemic, donned masks and kept their distance from others as they prepared to approve the next infusion of aid for small businesses and hospitals  https://t.co/8hRnTFsEv6 via @WSJ",2020-04-24 14:33:33
"My staff &amp; I spoke w/ @EXIT_IN, @BluebirdCafeTN, @3rdandLindsley, @mercylounge, @EndNashville &amp; other great independent music venues today. The heart &amp; soul of Nashville is suffering. Congress should provide long-term relief so our musicians &amp; songwriters have a place to play.",2020-04-24 00:19:05
"This is the latest COVID-19 relief effort, which follows the largest economic relief bill in America’s history. We also know that it doesn’t help everyone or every small business that needs it. We will begin to work on the next relief bill right away. https://t.co/xTjzhCU6ev",2020-04-23 23:24:52
I couldn’t narrate in the House Chamber while I voted for the additional stimulus funding. You can see the electronic board that keeps track of votes. We must make sure small businesses can get PPP loans &amp; everyone gets the unemployment insurance payments they desperately need. https://t.co/r4VqbH56Xu,2020-04-23 22:31:54
I am going into the Capitol to vote for the next wave of #COVID19 relief funds. https://t.co/BDZA6AmNnO,2020-04-23 22:17:32
#RamadanMubarak to all of those observing this holy month!,2020-04-23 22:06:44
I am approaching the Capitol to go vote for the next wave of #COVID19 relief funds. More later. https://t.co/aHDSsniatt,2020-04-23 19:59:33
I’m on my way to vote for the next wave of #COVID19 relief funds. More later. https://t.co/lsORcQH5s1,2020-04-23 19:40:54
I’m in D.C. preparing to vote for more #COVID19 relief funding. More later. https://t.co/2qBKbHsUkR,2020-04-23 18:27:52
"With nearly a million uninsured Tennesseans prior to the #COVID19 crisis &amp; millions more Americans filing for unemployment each week, we must protect Medicaid. This lifeline provides health care coverage for those who need it most.",2020-04-23 14:57:11
.@fema has approved $1.9 million+ in disaster grants for homeowners and renters following the March 3 tornadoes in TN. @SBAgov has approved $8 million+ in disaster loans to businesses. It is not too late to apply for Fed assistance. The deadline is May 4: https://t.co/axpOGuOtJ5 https://t.co/2qoCycIIwj,2020-04-21 20:21:28
Congress approved $10M in Targeted Violence and Terrorism Grants for @DHSGov. Eligible organizations can apply for funding to address targeted violence: https://t.co/VWsoehIGVn,2020-04-21 18:20:20
"If you recently lost your health insurance or had a change in your income due to #COVID19, you may qualify for a special enrollment period for health insurance: https://t.co/RU7KQ2gpYp",2020-04-21 17:18:21
"SS recipients w/ dependents &amp; who do not file income taxes, visit this website &amp; enter your payment info: https://t.co/oTLCKWpKFQ. This must be done by close of business WEDNESDAY 4/22. Stimulus checks for SS recipients who use direct deposit are expected next week.",2020-04-20 19:12:30
.@SBAgov must ensure minority-owned businesses are not shut out of this program &amp; amend guidance on PPP to reaffirm lending institutions’ obligation to comply with fair lending laws. Congress needs to act and vote on another wave of funding for PPP. https://t.co/tgjTS9aQ5K,2020-04-17 18:37:35
https://t.co/H924bcXKhe,2020-04-17 17:35:26
.@SBAgov needs a plan so businesses can get relief. I co-led a letter to the SBA about delays in getting assistance. PPP &amp; EIDL are oversubscribed &amp; out of money. Businesses that have applied for EIDL can’t get answers back about applications. This has to be resolved quickly. https://t.co/RUDxA86gQf,2020-04-16 21:58:49
American families need these stimulus checks to help them get through the uncertain economic conditions caused by the #COVID19 pandemic. Bad actor lenders and private debt collectors should not be allowed to intercept or garnish these payments that families need. https://t.co/ixNNEOITj7,2020-04-16 19:01:16
"If you need to update banking info for direct deposit (including non-filers), visit the #IRS Get My Payment App. You can also track the status of your stimulus payment. A lot of people are visiting the site so it may take a several tries to get through: https://t.co/Y2fxAZC8aq",2020-04-15 19:46:59
The @AmerMedicalAssn is right. “Fighting a global pandemic requires international cooperation and reliance on science and data. Cutting funding to the WHO – rather than focusing on solutions – is a dangerous move at a precarious moment for the world.” https://t.co/lUHLCEYJWs,2020-04-15 17:58:36
The #IRS launched a new “Get My Payment” App this morning. The App is free &amp; allows taxpayers who filed their 2018 or 2019 tax return to update banking info for direct deposit. The “Get My Payment” also lets people track the status of stimulus payments: https://t.co/9TT3ZExI3r,2020-04-15 14:51:43
Urging every American to do their part &amp; wear a mask in public is an important way @CDCgov can continue to slow the spread of #COVID19. @fema is working on supply chains &amp; one should be available for every American while ensuring health care providers receive what they need. https://t.co/AsWgkUQ2xX,2020-04-13 21:12:27
"College students home due to #COVID19 should NOT be included on their parents’ #2020Census. If the student lived off campus, they respond as though they are at that location. If they lived on campus, they will be counted by the school. Questions? Visit https://t.co/5uUFWBf4An.",2020-04-13 15:43:39
I joined 92 colleagues to request $125 billion in housing assistance in the next stimulus package. This helps landlords stay solvent; shelters that are overwhelmed; and renters and low-income families who are worried they might lose their home due to the #COVID19 crisis. https://t.co/IssVU5JphH,2020-04-11 16:49:45
"Families could lose thousands of dollars they put away for daycare, summer camps, or before/after-school care due to #COVID19. I joined a letter asking @USTreasury &amp; #IRS to revise their use-it-or-lose-it rules &amp; give flexibility to families for their dependent care funds. https://t.co/7KerG8tsE6",2020-04-10 22:39:04
Vanderbilt Projection Finds Transmissions Still Must Slow To Avoid Stressing Hospitals https://t.co/4FyHbzxS6Z,2020-04-10 21:57:50
"ATTN: If you are eligible for a cash rebate from the CARES Act and do not file income taxes, take advantage of the Free File Alliance’s tool to ensure you receive your payment as soon as possible: https://t.co/oTLCKWpKFQ",2020-04-10 17:54:08
"People need information and help, and we are trying to get it to them as quickly and clearly as possible. If something isn’t on our website, please let us know. https://t.co/fL7e9CG8Ha",2020-04-10 17:25:41
"An Inspector General shedding light on serious problems is a good thing; I have always said sunlight is the best disinfectant. If anything, our IGs need more power, not punishment, so they can hold bad actors accountable. https://t.co/X4Fwzaqthx",2020-04-09 21:54:53
https://t.co/mbMdib0eub,2020-04-08 14:47:51
