tweet,dates
"A pattern? 

Obama’s IRS targeted conservatives before the 2012 election. 

Obama’s FBI targeted President Trump and his allies before the 2016 election. 

Scary!",2020-05-09 17:00:41
"CLAPPER in 2017: “I never saw any direct empirical evidence that the Trump campaign or someone in it was plotting/conspiring with the Russians to meddle with the election.”

But Adam Schiff and the Democrats put us through three years of the Mueller probe anyways? 

Ridiculous. https://t.co/1JeKF4U48a",2020-05-08 00:20:55
"Flynn case dropped! Justice for the General. 

Now it’s time to hold someone accountable. https://t.co/SP69HYbsY9",2020-05-07 18:55:10
"Adam Schiff interviewed 53 witnesses during his Russia witch hunt. 

Not a single one provided evidence of collusion.

Release the transcripts!",2020-05-07 18:08:52
"Here we go again. 

Impeachment round 2. 

Democrats never miss a chance to attack the Trump Administration. https://t.co/o8E1giWZdK",2020-05-07 15:06:14
"Why should Ohio taxpayers foot the bill for California’s mistakes? 

The federal government simply can’t afford to bail out states. 

https://t.co/55oiKt8YzQ",2020-05-06 18:37:29
"In honor of National Correctional Officers Week, join us in thanking @CLALeadership &amp; the over 400,000 public servants staffing our nation’s prisons &amp; jails during the #coronavirus crisis.

READ: A retired corrections officer writes why this week matters. https://t.co/hxHAp71Epa",2020-05-06 15:28:36
"The Senate is back in session. But the House is missing in action. 

Our latest op-ed. 
https://t.co/nbplyRyngo",2020-05-05 23:23:05
"John Ratcliffe is an outstanding lawyer who cares deeply for our country, our security, and the rule of law. 

He’s been a tremendous asset to the Intelligence Committee, Judiciary Committee, and he will do a great job as our next Director of National Intelligence. https://t.co/0tQ2cMkmGr",2020-05-05 13:58:31
"The Senate is back at work today. 

But not the House.

Why, Speaker Pelosi?",2020-05-04 14:28:35
"Feb. 5, 2020: FBI Director Christopher Wray dismisses concerns about the #FISA process. Says Americans shouldn’t “lose any sleep” over it.

March 31, 2020: IG Michael Horowitz finds widespread flaws in every FBI FISA application reviewed by his office.

Both can’t be true. https://t.co/hH3qI8vbSs",2020-05-03 17:26:35
"Proud to co-sponsor this bill, @RepBenCline. 

Great work! https://t.co/Fxe5gdDKS9",2020-05-01 21:19:17
"What’s missing from the new evidence surrounding General Flynn?

Any ounce of concern from FBI officials that Flynn colluded with a foreign country.

Just shows this was never really about Russia or collusion.

The FBI wanted to take down the Trump Admin. https://t.co/RW3tirK2y9",2020-05-01 16:25:27
"Jan. 3, 2017: Chuck Schumer says if you mess with the intel community “they have six ways from Sunday at getting back at you.”

Jan. 4, 2017: Despite no evidence of wrongdoing, the Comey Cabal overrules agents wanting to close the investigation into General Flynn.

Wow. https://t.co/NjA2HXIooO",2020-05-01 00:37:55
"If they can do it to a three-star general, and the President, imagine what they can do to the rest of us. https://t.co/7Z7sDQkeQN",2020-04-30 13:09:59
"The FBI’s goal should be to get to the truth! 

The Comey Cabal was out to get General Flynn and the President. https://t.co/agjghbnNDl",2020-04-29 23:35:17
States are reopening. Why won't Congress? https://t.co/xIgSPb2XPS,2020-04-29 13:29:33
"-Farmers are planting crops.
-Truckers are delivering goods.
-Grocers are stocking shelves.
-Frontline health workers haven’t missed a day. 

These workers are showing up. So should Congress. 

Let’s get back to Washington, Speaker Pelosi. https://t.co/rL0qnxr897",2020-04-28 22:26:06
"It’s been confirmed AGAIN that Christopher Steele met with lawyers representing the Clinton campaign and the DNC.

The Comey Cabal then used Steele’s Dossier to try and take down the President.

That’s real collusion. Time to hold people accountable.
https://t.co/avGacLZQKp",2020-04-28 17:21:30
"Attorney General Barr’s Memo to U.S. Attorneys: 

“The Constitution is not suspended in times of crisis.” 

The Attorney General is right. We can’t forget freedom during the #coronavirus crisis. https://t.co/KMKbtroziZ",2020-04-27 22:44:05
"January 31: President Trump restricts travel from China, saving countless lives. 

January 31: Adam Schiff is busy arguing to the Senate that they should remove President Trump from office.

President Trump acted early to combat #coronavirus. 

Why didn’t Adam Schiff? https://t.co/zSYPzfKiwg",2020-04-27 18:04:41
"Why won't Adam Schiff release declassified interviews from his Russian collusion witch hunt? 

Because he knows the President did nothing wrong. 
https://t.co/GTBZg7GSke",2020-04-27 14:08:09
"Best plan for phase four? 

Get Americans back to work!
https://t.co/oCYo0NX0XN",2020-04-25 16:59:12
"President Trump is draining the Swamp. But the Swamp is fighting back.

• 2016: FBI spies on campaign
• 2017-2019: Mueller investigation
• 2019-2020: Schiff's sham impeachment

Yesterday, House Dems establish committee to attack President on #coronavirus.

When will it stop? https://t.co/I0Ucvh0VTn",2020-04-24 15:48:44
"The federal government already has 8 different entities conducting oversight of the #coronavirus. But Democrats want a 9th. 

Why? 

Because the others aren't partisan and political. https://t.co/lzfyHvvhAy",2020-04-23 16:24:20
Democrats never miss a chance to attack the President. https://t.co/Qm1sMdSoUy,2020-04-23 00:27:51
"Great idea, Senator. 

Sounds like you need a House companion bill. 

Happy to work with you. https://t.co/Aa8U1562XZ",2020-04-22 17:48:15
"Why is Harvard getting a $8.6 million #coronavirus stimulus when they have a $40 billion endowment?

The President is right to demand the money back!

In fact, every penny that isn’t going to students or businesses forced to shut down should be returned. 

https://t.co/g9enlRNsHz",2020-04-22 16:05:19
"Let’s get this straight:

-Democrats want you to stay in your house to combat #coronavirus. 

-Democrats also believe we should have open borders during the coronavirus crisis! 

Seriously?

President Trump’s decision to temporarily halt immigration is common sense. https://t.co/Bee2Souikq",2020-04-21 16:00:11
"-Can’t go to church.
-Can’t go fishing *by yourself* in your motor boat.
-And now you can’t buy seeds to garden at your house?

In some states, the #coronavirus attack on freedom is out of control.

Americans are right to demand their civil liberties back.
https://t.co/jbs4eZUkv7",2020-04-20 15:12:24
https://t.co/FuaXkRDHqa,2020-04-19 16:10:00
"Let’s recap.

Democrats want to:
-Pay states to release criminals
-Free detained illegal aliens
-Close churches
-Make abortion clinics “essential”
-Stop gun sales

Republicans want to:
-Help small businesses w/ the #PaycheckProtectionProgram
-Get America back to work

You decide.",2020-04-17 15:44:04
"House Democrats are now considering #coronavirus legislation that PAYS states to let criminals out of prison. 

But those same Democrats also argue that gun stores and your #2ndAmendment rights are “non-essential” to protect yourself. 

You can’t make this up! https://t.co/GaW18YK5T7",2020-04-16 20:54:58
"In 2017, Adam Schiff said there was “more than circumstantial evidence” of collusion.

Schiff was wrong then. And he was just proven wrong AGAIN.

Well, we now have more than circumstantial evidence that the FBI knew Steele was being played by the Russians!https://t.co/EpOZvXOB9H",2020-04-16 15:37:18
"There are #coronavirus task forces doing great work. 

But there’s one task force that’s missing in action: the U.S. Congress! 

Where’s Speaker Pelosi’s plan to get back to work?",2020-04-15 18:39:09
"Honda just announced that it will donate PPE equipment to local Ohio hospitals. 

It’s great to see private companies like Honda come together and support our healthcare workers during the #coronavirus crisis. 
https://t.co/9fMMy8bJrf",2020-04-15 13:47:07
"My friend @replouiegohmert says it best: 

“We don’t have to pay organizations to lie to us. They’ll probably do it for free!” 

He’s right. The #WHO wasn’t honest about #coronavirus. And I applaud President Trump’s decision to halt funding.",2020-04-15 00:06:40
"Great decision by Attorney General Barr. 

Governments shouldn’t be able to discriminate because you’re going to church instead of the grocery store. 

Religious liberty wins! https://t.co/M7CBVU76AP",2020-04-14 19:52:46
"Two things Democrats never miss:

1. An opportunity to use a crisis to advance their left-wing agenda.

2. Any chance to attack the President.

But what’s most scary about this #coronavirus crisis?

The threats to our fundamental liberties at times like these. https://t.co/OKtOSd5Okb",2020-04-14 17:22:08
"Why won't Speaker Pelosi quit criticizing President Trump and tell us what her plan is to bring Congress back to work? 

It's time for the Speaker to lead by example. https://t.co/Lu1lq0wOvu",2020-04-14 14:29:57
"-Los Angeles Mayor says “snitches” will get “rewards.”

-Ohio prosecutor threatens felony charges for violating stay-at-home order.

-Google offers federal government location data to track you. 

Don’t forget freedom.  

Our latest op-ed. #coronavirus 
https://t.co/WvZ9v8ZBo8",2020-04-13 15:40:39
"He is not here;
He is risen, 
Just as he said. 
- Matthew 28:6 

Happy Easter!",2020-04-12 15:30:46
"The FBI got played—the Steele Dossier was Russian disinformation. 

We suspect that Comey, McCabe, Baker, Strzok, and Page knew all along. 

But they didn’t care because they were out to get the President. 
https://t.co/VmrzX0sN14",2020-04-11 17:38:14
"If the #WHO wants to spread Chinese propaganda about #coronavirus, then the United States shouldn’t fund the WHO with our taxpayer dollars. 

Period. 
https://t.co/6xpHfWQrsx",2020-04-10 21:33:13
"The old hymn says it best: 

Jesus paid it all,
All to him I owe;
Sin had left a crimson stain,
He washed it white as snow. 

#GoodFriday",2020-04-10 17:53:13
"Chuck Schumer will never pass up an opportunity to play partisan games.
https://t.co/SrMlN4MR7X",2020-04-09 19:38:43
"New transcripts show that James Comey’s FBI sought dirt on the Trump Campaign less than TWO WEEKS before the 2016 election. 

The information received cleared POTUS of wrongdoing, but the FBI failed to update their bogus #FISA application! 

Wow.
https://t.co/8PSEXf9n5S",2020-04-09 17:14:39
"House Democrats are already demanding that illegal immigrants receive benefits in the next #coronavirus aid package. 

Seriously?

That can’t happen while so many American families are struggling.",2020-04-08 19:27:32
"A local furniture store just announced that it will start making masks and gowns to help Ohio hospitals fight #COVIDー19.

Private businesses and the American spirit will defeat coronavirus, not liberal dreams like the Green New Deal and universal income. https://t.co/sdOzqV0Lzo",2020-04-07 17:04:38
"We’re all pulling for Prime Minister Boris Johnson. 

Our prayers are with him, his family, and all of the other families who have been impacted by #COVIDー19.",2020-04-06 21:52:55
"Remember Schiff and Atkinson’s staff are the ONLY people who met with the anonymous Whistleblower. 

The Whistlblower: 

- Who had no firsthand knowledge
- Was biased against the President 
- Worked for Joe Biden",2020-04-04 17:13:18
"Of course Adam Schiff is complaining about ICIG Atkinson being fired. He was Schiff’s key impeachment enabler.

- Let the Whistleblower lie about meeting with Schiff’s staff
- Didn’t disclose the fact that the WB worked for Biden

Schiff still won’t release Atkinson’s transcript!",2020-04-04 14:46:04
"Speaker Pelosi just announced a new committee to oversee the #coronavirus crisis. 

That’s ridiculous! 

We already have an Oversight Committee in Congress.",2020-04-03 13:54:03
"Big government regulations shouldn’t restrict private companies from making hand sanitizer during the #COVIDー19 crisis.

The American people deserve better.
https://t.co/wgQpMe8Ibs",2020-04-02 17:28:29
"Adam Schiff released the phone records of the President’s personal attorney, a journalist, and a sitting Member of Congress.

Now he wants to create a commission to attack the Trump Administration’s #COVIDー19 response? 

Give me a break. 
https://t.co/AD9hEjHqPe",2020-04-01 21:20:06
"Another liberal wish list coming soon? 

Partisan games and politics won't defeat #COVIDー19, Speaker Pelosi. 
https://t.co/DbW9V77Ecd",2020-04-01 15:41:24
"The Kennedy Center just received a $25 million taxpayer bailout. 

But after securing the funds, the opera house laid off its entire orchestra and other staff. 

Disgraceful. https://t.co/Up8GbUQfnY",2020-03-31 18:57:13
"When the Horowitz Report came out, James Comey said that those who attacked the FBI on #FISA ""should admit they were wrong."" 

The only thing we were wrong about was FISA abuse was even worse than we thought! 

In fact, the FBI failed over 92% of the time.
https://t.co/GqPjQzYnl2",2020-03-31 16:21:10
"Congratulations to @MarkMeadows.

Mark is a dedicated public servant. 

He'll do a great job for President Trump and our country.
https://t.co/2cAHhGXCzj",2020-03-31 13:49:54
"Tom Coburn was an unyielding American Patriot, public servant, and a fighter.

He was a man of the highest integrity.

Sending prayers to his family in this difficult time.",2020-03-28 16:21:16
