tweet,dates
"Michael Flynn already pled guilty to the FBI. That can't just be dismissed, unwritten or undone.  

Bill Barr is the most corrupt Attorney General in history. He acts like Trump’s henchman instead of America’s top seeker of justice.

Barr should testify before Congress or resign.",2020-05-08 14:41:15
Mercenaries Behind Failed Venezuela Coup Claim to Have Done Trump Security https://t.co/n03TUaV3hl via @vice,2020-05-07 21:33:22
"Blaming essential workers for the spread of #COVID19 is disgraceful—workers are dying.

Trump admin promised testing for meatpacking plants as “critical infrastructure”—and failed to deliver.

The laws in need of enforcement are OSHA protections opposed by giant corporate owners. https://t.co/EeBoK7uIQR",2020-05-07 15:12:21
"Hey guys, @DanPatrick and @KenPaxtonTX, do you realize that the judge was enforcing an Executive Order issued by @GovAbbott? 

Maybe you should take it up with him. https://t.co/txyd6zNfEe",2020-05-07 03:54:33
"Meatpacking workers need more protective equipment.

I’ve called on the Trump admin to investigate working conditions &amp; issue emergency protections.

These are vulnerable people without a lot economic &amp; political power. We must #ProtectEssentialWorkers.
https://t.co/MDWVpX8sYV",2020-05-06 20:52:20
"It's unconscionable that hardworking Americans who desperately need this assistance simply won't receive it just because they're married to an immigrant. I'm fighting this injustice so that all mixed-families get what they deserve.

https://t.co/3QPBDuk8bQ",2020-05-06 14:24:54
"On Teacher Appreciation Day, I wanted to say thank you to all of our dedicated, passionate and wonderful teachers in San Antonio and beyond for all the great work you do for our students. #TeacherAppreciationDay @SAISDFoundation https://t.co/CDIbNQsIrD",2020-05-05 18:07:59
"The meatpacking workers, the farmworkers in the fields, the grocery store clerks, the sanitation workers, our healthcare workers and so many others deserve hazard pay from their government, their company, or both.

@MSNBC @AliciaMenendez https://t.co/wgOYtATYOs",2020-05-04 19:45:47
"During this crisis, we can't forget the amazing efforts of teachers across the country and in San Antonio who are investing so much into our kids and their futures in the time of social distancing. They deserve our gratitude and support. #sendteacherslove",2020-05-04 17:23:24
"Chairman @RepEliotEngel and I have repeatedly asked the @StateDept to produce cables related to the Wuhan lab. 

If such evidence exists, @SecPompeo should immediately send it to Congress — or stop this campaign to divert attention away the Trump admin’s failures. https://t.co/DGtLL4qJZf",2020-05-03 20:06:47
"On May Day, and especially now, we must recommit to supporting every single worker.
 
Our essential workers are keeping us going during this crisis. They deserve basic rights and the assurance that we are working to protect them, just as they work to protect us.

#MayDay2020",2020-05-01 20:22:25
Coronavirus cases in Texas are still on the rise. Governor @GregAbbott_TX order to re-open the state has been poorly planned and vague. https://t.co/IcYDFWuqK1,2020-04-30 22:16:23
"Caregivers are essential workers.

@RepDebHaaland and I are pushing to extend protections for these workers with: 

✔️ free masks and gloves
✔️ hazard pay
✔️ paid sick time
✔️ affordable childcare / health care

We must take care of the people who take care of us. https://t.co/nTzf2dtmae",2020-04-30 19:52:05
"It was good catching up with Amb. @SandhuTaranjitS over the phone, welcoming him back to the U.S. as India’s new Ambassador. We discussed international cooperation on #COVID, U.S-India ties, &amp; the citizens of each of our countries who are unable to return home during this crisis.",2020-04-30 14:05:04
"Trump Admin needs to take action to hold the meatpacking industry accountable for labor abuses.

Meatpacking workers are predominantly Latino, often undocumented or refugees without economic and political power.

We must protect these essential workers. https://t.co/Bmcj49RCFp",2020-04-30 02:40:45
"The #IRS has improved its economic payment tool so that more taxpayers can enter their info and track the status of their payment. Check it out here:

https://t.co/uVX15NCviD",2020-04-29 14:52:16
"I was alarmed that the @StateDept canceled orientation of new diplomats, without a clear plan for what's next.

After my colleagues &amp; I on @HouseForeign &amp; @SenateForeign raised this, it's good to see they will start virtual classes in May for the next generation of US leadership.",2020-04-29 00:28:32
"In this video, Mike Ramos has his hands up and tells police he’s unarmed. 

Then they shoot him dead.

This appears to be a case of murder. The officers responsible must be held accountable. #MikeRamos https://t.co/lUTytRZOFV",2020-04-28 21:13:59
"Thank you @RepChuyGarcia for your leadership and passion.

The #coronavirus has not only exposed but exacerbated health inequality in American society—#HEAA2020 is a smart next step to advance #HealthEquity. https://t.co/UMz6NZvVvm",2020-04-28 18:20:16
"I’ve urged @stevenmnuchin1 and IRS Commissioner Charles Rettig to ensure that people experiencing homelessness during #COVID19 don't get left behind.

Now homeless Americans who qualify to get an economic payment can use the #IRS tool to sign up. ⤵️

https://t.co/NU6F1iM7ix",2020-04-28 17:44:42
".@SBAgov has resumed PPP applications—loans that will help restart the backbone of our economy. The Paycheck Protection Program and Health Care Enhancement Act that Congress passed late last week sets aside $310 billion for our small businesses. ⤵️

https://t.co/ctI5QdyzSK",2020-04-28 14:23:08
"Thank you to the @TXWorkforce Commission for following up with Texans who have reached out to my office about not being able to access the TWC to claim unemployment benefits. 

If you’re still having a problem reaching the TWC please let them or us know. https://t.co/zMsVQz3QIe",2020-04-27 18:03:34
Speaking with @KasieDC on @MSNBC next! https://t.co/D9uAHjslaf,2020-04-27 00:20:10
"#COVID19 cases are projected to peak next week in the San Antonio community.

I hope @GovAbbott listens to public health experts recommending a 14-day decrease in new cases before reopening.

We need to remain vigilant so this economic pain is not in vain. https://t.co/8yuNGOdXGV",2020-04-26 20:37:39
"Congress’ work is far from complete because millions of families in America have been left out.

Trump and McConnell are hellbent on excluding essential workers and vulnerable families from any protection—I’ll keep fighting for the inclusion of immigrants. https://t.co/30XMsqkzpV",2020-04-26 15:47:15
"What a great choice by @LinaHidalgoTX of @RepWalle to lead Harris County’s Relief and Recovery effort. Walle is sharp, determined and compassionate. Best of luck! https://t.co/fs7sdkWLH5",2020-04-25 14:23:59
"ICE and its network of private prison operators such as @CoreCivic are failing to provide detainees adequate protection against the Coronavirus. 

And now they’re also refusing FREE masks for the detainees. 

Do they even care if these people die? @DHSgov https://t.co/paHHEakHN2",2020-04-25 06:16:14
"Both these things are true. I had several people a few weeks ago tell me that their employers were concerned about making customers nervous if too many employees had masks on. 

I’d feel better if they wore masks. https://t.co/4RRk2p9WlO",2020-04-24 23:21:09
