tweet,dates
"In the face of government abuse, political weaponization, &amp; obsessive opposition, @realDonaldTrump has kept every campaign promise &amp; our country is all the better for it.  

Listen: https://t.co/wOktP0p7sI",2020-05-10 15:44:01
"In celebration of #NursesWeek, it was my privilege to visit w/ Chief Nursing Officer Tammy Williams, &amp; her team, presenting them w/ a flag flown over the US Capitol in honor of the countless sacrifices they make for West Texans. 

A small way to say, ‘thank you’ for all they do. https://t.co/R5jfnFuss5",2020-05-08 20:35:37
"Essential workers are still at the Capitol, Members of Congress should be too - the American people deserve it.

I’m thankful for Kevin, who is responsible for my office’s mail, &amp; all of the Capitol staff who keep our chambers running safely &amp; smoothly. 

Let’s get back to work. https://t.co/7Pzsvrb10c",2020-05-08 14:22:18
"TUNE IN: This morning, at 8:05 CT, I’ll be joining the Wade Wilkes Show on @am580radio. Listen here - https://t.co/OuIh9YpeK7 https://t.co/6ll6CX3ruH",2020-05-08 12:26:23
"“If a sparrow cannot fall from the sky w/o God’s notice, it’s improbable an empire can rise w/o His aid.” -Ben Franklin

This #NationalDayOfPrayer I was honored to join @LubbockChamber in prayer via Zoom asking for God’s “aid” as we rise (&amp; recover) from the fallout of COVID19. https://t.co/Tf48VXWOZD",2020-05-07 23:52:28
"W/ school trips to DC canceled due to #COVID19, I wanted to give WTX students a virtual tour of our nation’s capital: https://t.co/HKB7u6aD5m

Educators shape our children’s lives everyday &amp; make it look easy! I hope my bloopers serve as a reminder that it’s harder than it looks! https://t.co/up8D846hHX",2020-05-06 20:45:28
"More residual stench coming from @Comey’s FBI. 

Being critical of @POTUS is one thing, but political weaponization of the FBI is the height of injustice, an affront to the agency, &amp; a threat to every citizen’s freedom. https://t.co/vvMNgqwVzS",2020-05-03 19:24:32
"Proud to have colleagues from across the country join @RepMikeJohnson &amp; I in urging @SBAgov to maintain the integrity of the Paycheck Protection Program by ensuring none of these taxpayer funds go to Planned Parenthood &amp; their affiliates.

Full letter: https://t.co/5s39UJ8jFZ https://t.co/48tG1N9Sjp",2020-05-01 21:52:32
"Texas @GovAbbott is doing the right thing, it's time to reopen for business. 

We will manage the risks, safely &amp; responsibly, and Texas will lead the way for our nation's recovery!

My full interview w/ @TeamCavuto: https://t.co/jDwFdJ9fLU https://t.co/ZO4928XtK9",2020-04-30 17:34:26
"I’m pleased @GovAbbott has begun reopening Texas. It’s time we responsibly get biz back online, ppl back to work, &amp; communities back to some semblance of normal.

W/ the Lone Star State’s resources, resolve &amp; risk-taking ethos, I fully expect TX to lead in the nation’s recovery. https://t.co/vijrykv3ZU",2020-04-27 20:23:40
"Given reports of the communist regime’s coverup &amp; mishandling of this virus, I’m proud to have signed this letter authored by @SenMcSallyAZ &amp; @RepMattGaetz to guarantee taxpayer money is not funding Chinese state-run labs. https://t.co/gkvMliLZeh",2020-04-27 19:01:52
"Military spouses sacrifice so much for our nation &amp; are now going beyond the call of duty to keep their communities safe. 

The Big Country is blessed to host the airmen at Dyess &amp; their equally courageous families! 

#InItTogether  https://t.co/sOWm7W75Jp",2020-04-26 22:19:06
"There is no telling the amount of human lives &amp; costs that would have been saved if not for #China &amp; the @WHO Director General working in coordination to cover this up.

Their lack of transparency has hurt the entire world.

My interview w/ @SteveScully: https://t.co/joDx6AA1Mg https://t.co/lcwQXtbnt8",2020-04-26 18:24:15
"Tina Siemens from Seminole, TX &amp; her friends have sewn almost 2,000 cotton masks for folks in the surrounding area including the Heart Hospital &amp; a few drive-thru screening centers in Lubbock. She sent my family some, too.  

Thank you, Tina!

Small towns, big hearts. Go WTX!! https://t.co/N68fkItYmk",2020-04-25 19:15:01
"Americans will manage risks &amp; reopen responsibly, and free enterprise will lead the way to recovery!

✅ Relieve families
✅ Recapitalize businesses
✅ Reopen the economy 

...and we will RESTORE America! 🇺🇸 https://t.co/PM5OqhHVhA",2020-04-24 20:36:29
"This is a huge win for rural America! 

I’m very pleased with today’s decision by the Trump Administration that not only protects our working families in rural America, but also our food and fuel supply for all Americans.

Thank you, @realDonaldTrump!

https://t.co/iFNXzmjD00",2020-04-24 19:31:41
"These folks are the heartbeat of America, they are the lifeblood of our economy and they – NOT the government – will lead one of the greatest American comebacks in our history.

Let's get America back to work.

My full speech here: https://t.co/2brCYDNFKT",2020-04-23 21:34:22
"Our small businesses are the lifeblood of West Texas and the heartbeat of America.

The #PaycheckProtectionProgram has helped these West Texans get back on their feet and keep their employees on the payroll &amp; off unemployment. https://t.co/xaKTOOX4Yk",2020-04-23 12:23:00
"Proud to introduce this bill w/ my colleagues, @RepAdrianSmith &amp; @RepTerriSewell.

Ensuring continuity of care across our prairies &amp; plains during these uncertain times will not only protect our working families in rural America, but also our food &amp; fuel supply for all Americans. https://t.co/iykl7EP6XH",2020-04-22 18:54:01
