tweet,dates
"Hey @elonmusk, I hope you consider Georgia — named the best state to do business 7 years in a row. https://t.co/KdID3d1v0r",2020-05-10 16:52:33
"This was the goal of the lockdown — to prevent the hospital system from being overwhelmed.

@GovKemp's leadership is putting Georgia at the tip of the spear of our national recovery. https://t.co/EPITejT4J1",2020-05-10 14:13:02
"This was the set up of the century.

The liberal media refuses to cover it but what about @OversightDems?

Chairwoman @RepMaloney— you can’t pretend like this didn't happen.

Allow us to subpoena @Comey and his cronies for a hearing. https://t.co/upGfpgLHyo",2020-05-09 19:14:26
"The #DeepState had it out for @realDonaldTrump and his Administration from the get go...

And it all started at the top with @BarackObama.

Is anyone surprised? https://t.co/k0egxIUP6u",2020-05-08 12:06:20
.@RepAdamSchiff led this country on a wild goose chase and now has the audacity to lecture us about truth. https://t.co/nUGWDLTvXN,2020-05-07 22:10:36
"On this National Day of Prayer we must recognize @realDonaldTrump for his bold &amp; consistent leadership in...

➡️Promoting family values
➡️Defending the right to life
➡️Safeguarding our religious liberty

No other @POTUS has done more.

Thank you, Mr. President!",2020-05-07 18:55:29
Now let's go after the crooks who set him up! https://t.co/lgiy95bFZH,2020-05-07 18:36:46
"Today’s jobless report shows another 3.17 million Americans filed for unemployment last week.

This bringing us to a mind-blowing 33 million out of work.

The only solution is to allow folks to go back to work — everything else is just politics. https://t.co/7Cmi3WyceH",2020-05-07 13:28:27
"We knew it. 

The Mueller investigation was based on fraudulent theories pulled from the discredited Steele Dossier.

No @POTUS in history has been treated as unfairly as ⁦⁦@realDonaldTrump⁩. https://t.co/bsG0pDkNYl",2020-05-07 01:29:10
"The bogus Steele Dossier was an instrumental part of Mueller's marching orders — despite the fact that the FBI &amp; Rosenstein *knew* it was fake.

The Russia collision narrative was a set up from the start. https://t.co/n9pdjwFCpY",2020-05-07 00:57:36
"There's just one solution to skyrocketing unemployment...

Reopening the country.

@realdonaldtrump is the best man to rebuild the American economy. 

He did it once, he can do it again. https://t.co/LtPogP8PEy",2020-05-07 00:18:14
"Hey @SenSchumer, if you're upset with @senatemajldr for doing judicial nominations...

You must be really, really upset with @SpeakerPelosi for refusing to even bring the House back into session, right? https://t.co/rlAPPKkc9r",2020-05-06 20:45:34
