tweet,dates
"Today I led a bipartisan effort with @RepTorresSmall calling for more flexibility for businesses to spend PPP funds. 

We need accountability over how these loans should be spent, but businesses need flexibility over a longer time period given the scale of this crisis. https://t.co/sS44gVQ20Y",2020-05-08 15:18:40
I am pleased to announce that @bftcountysc's Lowcountry Regional Transportation Authority will receive a $2.4 million federal grant through the CARES Act. This will help LCRTA respond to and recover from this public health crisis while fulfilling our transportation needs.,2020-05-07 17:03:27
"Nurses, superheroes, whatever term you prefer - THANK YOU! To our nurses and healthcare workers on #NationalNurseDay and every day, we love you and we appreciate you #ThankYouNurses https://t.co/eOfY5Z7Os5",2020-05-06 19:18:12
"Lowcountry small business owners: I’m holding a workshop this Friday with small business experts to answer your questions on available loans + other resources to help you manage the impacts of COVID-19. To RSVP and submit questions ahead of time, visit:
https://t.co/cokAETPFe5",2020-05-06 17:14:30
Good news out of Charleston County's veteran treatment court program – 8 vets are set to graduate in the fall! We’re seeing firsthand the success these programs can have. I’m proud the House passed my amendment to expand funding for veteran treatment courts. https://t.co/Ec4ga3CGLx,2020-05-06 15:08:36
"Many lowcountry business owners have been frustrated by the EIDL application process. I’ve called on the SBA to immediately update EIDL applicants with their loan status and to begin accepting new applicants. 

https://t.co/TAUrqeQUnp",2020-05-06 13:16:27
"Lowcountry small business owners: I’m holding a workshop this Friday with small business experts to answer your questions on available loans + other resources to help you manage the impacts of COVID-19. To RSVP and submit questions ahead of time, visit:
https://t.co/cokAETPFe5 https://t.co/gBDPia0eo5",2020-05-05 20:44:52
"Happy #NationalTeacherDay to our wonderful educators nationwide. Now more than ever, we understand the dedication and love teachers have poured into our children. Make sure to thank your favorite teacher! #TeacherAppreciationWeek 🍎 https://t.co/ASPacU5XAX",2020-05-05 20:12:48
"As a part of funding Congress passed in the CARES Act, DHS was recently awarded federal grant money to help offset the cost of child care for the families of essential workers on the front lines. Information on how to apply here: https://t.co/LDheakrPVT

https://t.co/kbQZvVmfzr",2020-05-05 17:02:04
"🚨DEADLINE TODAY for Veterans &amp; SSI recipients with NON-FILING dependents: 
 
Fill out the IRS non-filers tool to claim your $500 per dependent at
https://t.co/viWlcmqb43",2020-05-05 15:19:00
"In case you missed my #COVIDー19 telephone town hall with @AARP last week, you can listen to a recording of the event here: https://t.co/CKjS8qHZED

I was joined by representatives from @scdhec and @SCDEWinfo.",2020-05-05 14:11:10
"We know that COVID-19 is disproportionally impacting communities of color, so @greenbookofsc is capturing first person testimonies. Black South Carolinians can submit stories, photos, videos, and other art that illustrates their impressions of the pandemic https://t.co/qHE15PDgYc",2020-05-01 15:54:52
"A remarkable 40 year career has come to an end for Goose Creek Fire Chief Steve Chapman. Thank you for your unforgettable service to the Lowcountry and enjoy your retirement!

https://t.co/ouRxFvnX2g",2020-05-01 15:23:14
"Quarantine is asking a lot from all of us, but giving blood is one of the many ways we can help our fellow neighbors. I was able to donate my plasma to help critically ill COVID patients in our community.  Just remember the 🔑 is to squeeze! https://t.co/V7bDtfOuj3",2020-04-30 21:16:14
Glad to see Kiawah Island Community Association make the right decision and return the $1 million loan. Now this money can go to Lowcountry small businesses and workers who really need the relief. https://t.co/kihdZNpbbH,2020-04-30 20:42:03
I speak with Lowcountry small business owners daily desperate for relief who have not yet been able to receive it. These are the folks this funding was intended for - not big corporations with deep pockets or wealthy community associations with millions of dollars in reserve. https://t.co/O2bgmjUTiW,2020-04-30 16:06:12
"I was incredibly fortunate to only have extremely mild #COVID19 symptoms and now I'm grateful for the chance to help out someone who is critically ill. If you've recovered from coronavirus, I encourage you to do the same! https://t.co/BrNNV7WCTD",2020-04-30 15:46:19
Thank you @SCaquarium for arranging a great zoom call today with Lowcountry fisheries and seafood buyers about the impacts #COVID19 is having on them. These folks are the backbone of the Lowcountry’s economy + they’ve been hit hard by this crisis. We must do more to help them.,2020-04-29 21:38:15
"Well said, Mayor! We are all in this together as South Carolinians. We must work together to get through this crisis. https://t.co/ttAEhzAuKD",2020-04-28 22:58:25
"I was incredibly blessed to only have very mild coronavirus symptoms. Now I feel even more fortunate to have the ability to donate my plasma to help treat critically ill COVID patients. If you've recovered from #COVID19, I encourage you to consider doing the same. https://t.co/g7pj1kJqT2",2020-04-28 20:34:58
"Congress - like the rest of the country - is adjusting to working remotely. One thing hasn’t changed though, the importance of working across the aisle to serve our veterans. https://t.co/7DQUKqCvCH",2020-04-28 18:45:06
COVID-19 has forced us to openly acknowledge what many have known for a long time. We must use this as an opportunity to address long-term health disparities for African Americans. https://t.co/1gi67JJJ5Y,2020-04-27 19:05:37
"Thank you to everyone who joined my telephone town hall last week! If you missed the discussion with reps from @SBAgov, @MUSCPR, and @SCDEWinfo, you can listen to a recording here: https://t.co/WkPv9PI6p2",2020-04-27 17:45:35
"Tonight we passed bipartisan legislation to replenish small business loan programs and provide more funding for hospitals and testing. This is a step, but it’s not a solution. More must be done to ensure that the folks who need help the most, receive it.",2020-04-23 23:30:03
Well said! https://t.co/Y5eDOvxTUj,2020-04-23 23:27:17
"I'm in DC to vote on the interim coronavirus relief funding package. This evening, I'm holding a telephone town hall to answer your questions on federal response, small business assistance, unemployment, and many other topics. I hope you'll join! RSVP: https://t.co/u2I6nefqb2",2020-04-23 14:44:26
"Y'all make sure to register for this webinar! Veterans, non-filers, and anyone with questions about eligibility, scams, updates and more should tune in tomorrow at 2pm: https://t.co/u8Mm7U2TV9",2020-04-22 20:27:09
