tweet,dates
Colleges and universities play a significant role in Colorado’s economy and #COVID19 has left them facing a financial shortfall of $274 million. We must ensure that our students and higher education institution are provided the relief they need survive this crisis. https://t.co/jA3GmYCwf8,2020-05-08 20:15:20
"The #COVID19 crisis, like other crisis, has left far too many ripe for exploitation. Myself @SenWarren @SenKamalaHarris &amp; @RepTedLieu are calling for a prohibition on price gouging to be included in the next relief package to protect consumers and families during this crisis. https://t.co/M62JkjgYaA",2020-05-08 18:27:19
"Wildfire season amidst #COVID19 poises unique challenges for our firefighters. 

We must ensure our fire crews have access to testing and that proper safety protocols are put in place to protect them during this time. https://t.co/FT3pRpBOCN",2020-05-08 16:53:16
"When career prosecutors resigned in February, many of us called for Bill Barr to testify immediately. 

3 months later &amp; he remains the only AG in nearly 30 years to not testify before the House Judiciary Committee.

What more will it take for Congress to take this seriously? https://t.co/ErG0gSmTiM",2020-05-07 19:15:26
"One year ago today we lost Kendrick Castillo, a young hero who died saving countless classmates at the STEM School in Highlands Ranch.

We will not forget his courage or sacrifice. 

Our hearts are with the Castillo family and the STEM community today. https://t.co/pRbhV8FKa9",2020-05-07 18:14:07
"We are only on the front end of this crisis. 

I fear what will happen if we do not provide cities, counties, first responders, firefighters, health care workers and so many others the resources they need to address this now.

We must meet this moment. 

https://t.co/sUMpqTIu7j",2020-05-06 21:16:56
My 21 month-old daughter Natalie was delighted to make a guest appearance on our press call on local government stabilization funding this morning with the @reporterherald &amp; others 🙂 https://t.co/lQJJUFS3t5,2020-05-06 17:06:09
"These challenging times have reminded us of the incredible value of our nation’s teachers. 

This #TeacherAppreciationWeek I extend a heartfelt thank you to the teachers across the 2nd district and across our nation who continue to shape students’ lives. 

#ThankATeacher https://t.co/XhlSPRFxv1",2020-05-06 14:13:56
"I'm proud to work alongside @SenatorBennet on a proposal to significantly expand SNAP to help ensure food security for millions of families across our country who have fallen on unprecedented hardship. 

See more about this proposal here: https://t.co/LHoK6HU7qI https://t.co/gz4XNWOr9T",2020-05-05 18:56:54
"It is essential that we include a moratorium on unnecessary corporate mergers in the next relief package to safeguard both our small businesses and a competitive marketplace in order to keep job losses and costs down for everyone.

Proud to join @davidcicilline on this effort. https://t.co/kQvs20cQ4w",2020-05-05 18:50:16
"According to @WSJ Gilpin County, Colorado is one of the hardest hit in the country by the #COVID19 pandemic. 

This is why I introduced the Coronavirus #CommunityRelief Act to ensure that every city and county, regardless of size can receive direct relief. https://t.co/lB08Bkonzu",2020-05-05 17:26:01
"I'm incredibly grateful for the leadership &amp; ingenuity of constituents from across our district selected to serve on the @GovofCo's Advisory Committee for Cooperation &amp; Implementation: 

Larimer County Commissioner Steve Johnson
 
Eagle County Public Health Director Heath Harmon",2020-05-05 15:59:25
"Our cities and counties are hurting and we cannot abandon them. 

We must ensure that every city, town and county in America is offered direct relief to weather this crisis and prosper when the virus has passed. https://t.co/n3ZnylUSXU",2020-05-05 15:32:00
"Due process must be uphold throughout this pandemic. 

I led my colleagues in a letter to ICE and EOIR requesting common sense measures be enacted to ensure due process in the Aurora Immigration Courtroom. https://t.co/MNoKcxkXkh",2020-05-05 14:32:26
"The @SBAgov Economic Injury Disaster Loan portal is now open for agricultural businesses. 

The application is available at: https://t.co/IZHejzNy2f and can be accessed directly here: https://t.co/tCBYSrw0Kz.",2020-05-04 22:04:41
"This crisis has only intensified the fundamental inequalities of our nation.
 
Today, as we honor the #FreedomRiders and all the heroes of the civil rights movement, we must recommit ourselves to their fight for justice and equality. https://t.co/x2rNNsUe8F",2020-05-04 14:31:49
