tweet,dates
"Wishing a Happy Mother's Day to an amazing mother, my wife Roxanne, and to all of the incredible mothers in South Carolina. Thank you for all that you do! https://t.co/wsUYHFyUzp",2020-05-10 13:00:00
I am committed to promoting jobs in #SC02 and to keeping our families safe. It's time for Congress to get back to Washington so that we can work for our communities. Read my full statement in The Lexington Ledger ➡️  https://t.co/Ll0rSMMcF2,2020-05-08 13:15:00
"I am grateful that @realDonaldTrump has proclaimed today a #NationalDayofPrayer, a day for us all to pray for comfort, healing, and strength and to reassure all Americans that through trust in God, we can overcome all obstacles. https://t.co/JznBTpWjAt",2020-05-07 19:51:42
"As South Carolina begins taking steps to get up and running once again, it is important that we remain safe and cautious. Read my op-ed in @twincitynewsBL ➡️
https://t.co/ZceljotYP1",2020-05-07 18:00:00
"Great seeing our community come together in Aiken to donate 166 pints of blood at yesterday's blood drive.

I am thankful to all who donated &amp; all of the volunteers &amp; staff working to keep our families healthy during this crisis 
@RedCrossSC @aikenstandard
https://t.co/x3NgBi06ZM",2020-05-07 13:44:43
It is irresponsible for Reps to be home until the next relief package is called for a vote. I urge the Speaker &amp; Majority Leader to bring Congress back so we can fulfill duties that cannot be done over the phone or teleconference. Read my full statement ➡️ https://t.co/cWqpuoPfT9,2020-05-06 20:28:28
"#AccelerateSC now has a one-stop website for coronavirus updates and resources specifically for South Carolinians. 

This site is continually updated to help our community find important information during these uncertain times. https://t.co/jh6gHhIpDH",2020-05-06 19:00:00
"Grateful for the opportunity to give blood this morning at the American @RedCrossSC blood drive in downtown Aiken. 

Thank you to all of the staff and volunteers at this morning's drive for your work to keep our community healthy and safe! https://t.co/cqvlXwBmdo",2020-05-06 15:15:00
Today is #NationalNursesDay &amp; marks the beginning of #NursesAppreciationWeek. I am grateful for this opportunity to recognize the strong men and women keeping our families healthy and safe. Thank you to all nurses for all that you do! https://t.co/EIzvWtgTAH,2020-05-06 14:00:00
"Tomorrow, the American @RedCross is holding a blood drive in downtown Aiken to help address the urgent need for donations during the coronavirus pandemic.

Find more details from the @aikenstandard here ➡️ https://t.co/9mfbto8pvE",2020-05-05 19:07:51
