tweet,dates
"This #MothersDay I’m thinking of my late mother, Edna, and celebrating her life along with the two best Moms I know, my wife Cathy and my daughter-in-law Sarah. I’m lucky to have such strong, smart women in my life. https://t.co/AiuchSA3Hl",2020-05-10 14:03:16
"Dirty cops and crooked politicians do not, in fact, go well together. Between Attorney General Barr and himself, Trump finally got something right. https://t.co/wTMUriB982",2020-05-09 18:09:53
"The 30+ million Americans who have been laid off don’t need smartass quips, they need help. And those actually in “hell” are pleading for gloves, masks, gowns &amp; more to care for their patients. Is this the “compassionate conservatism” I’ve long heard about? https://t.co/ZaF70EXdQ5",2020-05-08 20:21:04
"Always a joy to share in the wonder of a good book with young readers. Amazing artwork, Mariah! I hope you enjoyed Daisy-Head Mayzie as much as I always do. Thank you @FamilyScholars for all that you do, and for the opportunity to participate in story time! https://t.co/GC54vNl9PN",2020-05-08 15:23:43
"Great to connect with local leaders to discuss matters important to older Americans amidst the #COVID19 crisis. Thank you for your dedication and continued advocacy, @AARPKY! https://t.co/tzeFu7eUAN",2020-05-08 13:32:17
"If taxpayer funds are being used to expedite PPE via Project Air Bridge, we MUST replenish the National Stockpile for immediate distribution—not line the pockets of third-party sales agents or middlemen looking to profit. Today I called on @WhiteHouse and @fema to address this. https://t.co/yUAynPRH9H",2020-05-06 19:02:58
"We used to throw the word “hero” around about sports figures or other prominent individuals, but today we see heroism defined—in our hospitals and on the frontlines of this crisis. This #NationalNursesDay, I offer my sincere thanks &amp; appreciation to the nurses of #KY03 &amp; beyond. https://t.co/Lf5m6ItUxU",2020-05-06 17:20:24
"At this time of dangerous assaults on the free press, I am thrilled to see the Pulitzer recognize the outstanding journalism of @courierjournal and could not be prouder of LEO alums @joesonka and @phillipmbailey. They told us the truth and did it well. And that is no small thing. https://t.co/milWUrCcfu",2020-05-05 14:51:25
"Wishing a Happy #TeacherAppreciationWeek2020 to all educators here in Louisville, throughout KY, and across the nation. Your dedication to educating &amp; empowering our young people—especially in difficult times like these—is immeasurable &amp; invaluable. Thank you for all that you do.",2020-05-04 18:29:42
"Today we come together not to run for the roses but to stay home for each other. It’s hard. It’s sad. But it’s necessary. Thank you Louisville for making the tough choices for the health of all of us.

This is what it will take to get back to full speed. And we will. Bet on it.",2020-05-02 13:56:14
"Whatever bizarro world lies beyond the Twilight Zone, Trump went there with his disinfectant idea. I can’t believe I’m saying this, but America ignore the President and don’t ingest or inject cleaning products.
#MadScientistPOTUS #TheLysolSolution",2020-04-24 14:35:24
"Kentuckians deserve a Senator who gives a damn about them.

My statement on @senatemajldr’s remarks urging state and local governments to go bankrupt: https://t.co/As9cHdIenx https://t.co/fCFKedOSwR",2020-04-24 12:19:04
"Just voted in favor of next phase of #COVID19 relief for hospitals, small biz, &amp; increased testing. State and Local relief MUST be next. Throwing up your hands and telling them to declare bankruptcy isn’t a solution, it’s an abdication. More must be done. https://t.co/dZZudi1eyl",2020-04-23 22:45:04
"Back in the @uscapitol for votes and all is quiet. Was one of six people on today’s early flight. Votes are being held alphabetically to limit the number of members in the chamber, and I’m realizing that it sure does take a long time to get to Y. Stay safe, everyone. https://t.co/cx86NEzl9w",2020-04-23 21:44:43
"This Earth Day, let’s remind ourselves of the importance of science, renew our trust in data gathered by experts in the field, and do all we can do save this beautiful place we call home. Happy #EarthDay, everyone. https://t.co/QD6VAcMfZm",2020-04-22 12:40:44
"Leadership requires honesty. Without the truth, decisions are corrupted. We need increased testing—who is sick &amp; where?—and further evidence that our efforts are working.

What we DON’T need is more lies and misinformation from POTUS. Thank you @SpeakerPelosi for your leadership. https://t.co/ushR6iR9bE",2020-04-15 23:28:59
"The @IRSnews website’s “Get My Payment” portal is now up and running, where you can check the status of your CARES Act rebate and provide your direct deposit information if the IRS does not yet have it. Head to https://t.co/SSXxfbeZpd for more information. #COVID19",2020-04-15 13:53:43
President Trump’s ignorance of the Constitution is total. https://t.co/rvpUJEBfLl,2020-04-13 23:02:52
For the latest from @IRSnews on the CARES Act’s Economic Impact Payments—including the new portal for non-filers to enter their payment info—head to https://t.co/SSXxfbwANN. #COVID19,2020-04-13 13:16:28
Keep Louisville Weird (and Safe) https://t.co/ee0CMqFjWR,2020-04-13 00:35:15
https://t.co/oA0I5mCfDR,2020-04-12 22:34:11
A Democratic Congressman in @RepJohnYarmuth’s orbit thinks you need better sources. @GovAndyBeshear is doing a tremendous job and those playing politics with his work to keep us safe would be better off using their time to learn from his example of leadership in a crisis. https://t.co/HGLN3YCr5U,2020-04-11 19:32:44
Thanks for inviting me! Thoughtful and important questions from this bright group of students. #ColtPride https://t.co/vfHocKXPoY,2020-04-09 17:48:22
"Today, I’m calling on @realDonaldTrump to end supply chain chaos by fully invoking the Defense Production Act and ensure that Kentucky’s health care providers have the PPE they need to save lives—including their own. Read my letter here: https://t.co/TPMDY5Ri4B https://t.co/5MqPygt47p",2020-04-09 15:51:52
"Though distance may prevent many of us from joining together this Passover, may the stories we share of endurance in times of uncertainty give us a renewed hope in our future. A Happy #HealthyAtHome Passover to all who celebrate. https://t.co/ZIY0B9QhGJ",2020-04-08 20:52:58
"Covering the President’s daily briefings is endangering the public. The broadcast media must report on what he says, but they should stop this start to finish coverage. There is too little useful information, and a lot of misinformation, to warrant this type of coverage.",2020-04-06 17:40:35
"Thank you to the @WaysMeansCmte Chairman @RepRichardNeal for raising this issue. As urged by @HouseDemocrats, the Trump Administration has reversed course &amp; more Americans will now automatically get their #coronavirus relief check. https://t.co/JNFQ4Dm51a",2020-04-02 17:30:26
"I’m continuing to update the Coronavirus page on my website with the latest resources for individuals, small businesses, and more, including links to all guidance from @GovAndyBeshear, @CDCgov, @SBAgov, and @IRSnews in response to #COVID19. Visit https://t.co/T0C0R2nK8Q.",2020-04-01 21:57:13
"Today is Census Day. If you can, take a moment to submit your household’s #2020census response. These trying times have shown us the importance of getting our communities the resources they need. Go to https://t.co/KPhyBmZXIK today. https://t.co/pDK3tSh85K",2020-04-01 14:03:45
"Sure Mitch, between impeachment &amp; the subsequent trips to Mar-a-Lago, campaign rallies—saying coronavirus is a ""hoax,"" ""like the flu,"" ""one day like a miracle it will disappear,"" &amp; accusing hospitals of stealing masks &amp; respirators—how can anyone find time to save American lives? https://t.co/0OYdhhKUhz",2020-04-01 00:16:31
"Glad to see @Humana stepping up in this way to help their customers get through #COVID19, and I’m proud they call Louisville home. https://t.co/Wrb0exoZ4P",2020-03-30 01:41:31
"The President floating worst-case scenario numbers in order to take credit for “only” hundreds of thousands of American lives lost is...what? Is there a word for that type of disgraceful strategy? This isn’t a PR problem, POTUS. It’s a crisis and Americans are dying.",2020-03-29 23:53:27
Glad to be joined by @RepAndyBarr and 85 of our colleagues as we work to cut through red tape at @FDAgov. We call on @SteveFDA to clarify agency guidance so distillers can continue to produce hand sanitizer without delay or penalty in response to #COVID19: https://t.co/G1Zuld5c87,2020-03-29 14:42:04
"With the House set to pass the CARES Act tomorrow, I want to make sure my constituents have all the information they need to know how this legislation will impact them.

To start, here are some frequently asked questions (and answers) regarding payments to individuals &amp; families: https://t.co/IeKBIwCReS",2020-03-27 00:14:21
Proud to support this bipartisan effort. https://t.co/4VHGgWPvjj,2020-03-26 22:58:40
Joni Mitchell and the critical role of government. Read my column: https://t.co/3EY6oTuROa,2020-03-26 17:38:09
"My sincere thanks to my cat, Leo, for dropping by our Facebook Town Hall with @louisvillemayor this morning. Be sure to watch our full conversation and Q&amp;A (including Leo’s surprise appearance) here: https://t.co/t3W4fmM8Zo https://t.co/UNkq5vUn6M",2020-03-26 15:55:48
I’ll be joining @louisvillemayor on Facebook Live this morning at 10:00am ET to discuss the latest in the Federal response to #COVID19 and what the current phase of legislation moving through Congress this week means for our city and state. Tune in here: https://t.co/VBwZGNoZMm https://t.co/A146vpvtPx,2020-03-26 13:25:47
"Today, I’m calling on @US_FDA to allow distillers to produce hand sanitizers &amp; sprays with current supplies. This is a bipartisan push that will save lives, and our distilleries have hundreds of gallons ready to go. @SteveFDA act now! https://t.co/sld8ixrNqq",2020-03-24 20:41:58
https://t.co/LrKqiJV93y,2020-03-20 22:53:06
A tremendous loss not just for Kentucky but for all of journalism. Ronnie’s family is in my thoughts. https://t.co/oE1XqpqGtz,2020-03-16 17:12:10
https://t.co/Hc1wcof9TQ,2020-03-15 21:17:21
"We need to pass this life-saving bill now. Mitch, just pretend it’s an unqualified white man seeking a lifetime judicial appointment. https://t.co/RhQhm5oqzy",2020-03-12 20:35:05
".@HouseDemocrats have introduced the Families First Coronavirus Response Act to:
 
• Provide access to free testing
• Establish an emergency paid leave program
• Support strong unemployment benefits
• Protect our frontline health workers
• Expand food security programs",2020-03-12 15:27:39
"Wasn’t allowed to take my big bottle of hand sanitizer on the flight to DC with me, but there’s a Kentucky solution for everything. Be safe everyone. Protect yourself and others. #KYIngenuity https://t.co/fI5uF3K3Yr",2020-03-10 21:18:20
"The best way to celebrate International Women’s Day is by committing to fight for equal pay for equal work, reproductive rights, gender equality, and all other efforts that empower women and bring us closer to the parity this country so desperately needs. #InternationalWomensDay https://t.co/PQU1qzTXQx",2020-03-08 14:24:28
"Getting to spend time with young people in the classroom is truly one of the greatest parts of my job. Thank you for inviting me to participate in #ReadAcrossAmerica, @GoldsmithNews! Our future is bright. #WeAreJCPS @JCPSKY @JCPS_LMS https://t.co/7uBX0LVFs9",2020-03-06 17:36:27
"Grateful to everyone who came out to my Town Hall event last night for a conversation on gun violence. My thanks to @HouseGVP Chairman @RepThompson for coming to Louisville to share your thoughts, and to my friend @SadiqaReynolds of @LouisvilleUL for moderating. https://t.co/n3XLBMc5Fu",2020-03-06 16:53:17
