tweet,dates
"Every May, we recognize our incredible mothers. We are indebted to their sacrifice, inspired by their wisdom and emboldened by their love.

This #MothersDay, let us remember to hold our loved ones extra close during this difficult time. https://t.co/VvTbLguqJI",2020-05-10 14:27:00
Visited the New Hartford Fire Station today with First Selectman Jerram. Thank you to our volunteer first responders for all that you do to keep our communities safe! https://t.co/w6mWhzXSUG,2020-05-08 22:12:28
Great stop at Carbone's Market in Torrington with Mayor Carbone and Winsted Mayor Perez! Thank you to all of our small markets for being there for our communities during these difficult times! https://t.co/VrIT03UwSS,2020-05-08 21:59:25
"The only way we can safely &amp; responsibly open CT &amp; our country is through testing! As a member of the White House Congressional Task Force to re-open the country I've urged the Trump Administration to increase our testing capacity. It's time they deliver.
https://t.co/QHwnrMr9Eu",2020-05-08 21:49:24
Thank you to all of our Nurses in Connecticut and across the country! #NursesWeek https://t.co/3ha5xB06eB,2020-05-08 18:46:27
"Eager for a kid-friendly way to explore national parks from home? Check out this free, online Junior Ranger booklet about America's first transcontinental railroad, made possible by @NatlParkService, @GoParks, and @UnionPacific. #FindYourPark https://t.co/JvmTQUV3jR",2020-05-08 16:17:23
Our @CTNationalGuard soldiers are vital to protecting CT residents and supporting the effort to slow the spread of #COVID19. I joined the CT delegation in urging the Trump Administration to extend federal authorization and funding for our National Guard. https://t.co/mmruL7Xgux,2020-05-07 21:19:03
"It was great joining @CTWBDC, @SBAGov &amp; @MdsxChamber for a virtual town hall via Zoom to talk with small business owners impacted by COVID-19. Small businesses have been hit incredibly hard by this pandemic and I will continue to fight for the relief they need. https://t.co/PaBBEBT0Bu",2020-05-07 20:12:10
"We need to #ExpandSocialSecurity and put money in the hands of those who need it most during #COVID19 : seniors, communities of color, and people with disabilities - not corporations.",2020-05-07 17:45:00
"#COVID19 puts our families at risk, especially seniors. The Emergency Social Security Benefits Improvement Act will #ExpandSocialSecurity and protect our seniors.",2020-05-07 17:30:00
"Trump's proposed payroll tax cut will harm Social Security and greatly benefit large corporations. I believe we need to help our most vulnerable, seniors, and #ExpandSocialSecurity.",2020-05-07 17:15:00
"We should be strengthening #SocialSecurity, not giving a payroll tax cut to corporations and the wealthy. That's why I introduced the Emergency Social Security Benefits Improvement Act, to help our most vulnerable during the #COVID19 pandemic. #ExpandSocialSecurity",2020-05-07 17:00:00
"Fontline workers struggling to find or pay for childcare during #COVID19 can now apply for assistance provided through #CTCares. This program offers direct payments to child care providers, so frontline workers can continue to work. Learn more here: https://t.co/PTBM83aLi8",2020-05-06 21:04:54
"Our nation’s nurses work tirelessly to keep our communities safe and healthy. We owe them our deepest gratitude. 

This #NationalNursesDay, we must honor our health care professionals by making sure they have the resources they need to save lives. https://t.co/0F5vZWbjAQ",2020-05-06 19:57:42
Scammers have been using the coronavirus pandemic to take advantage of people. Do not fall victim to an IRS scam. You can learn more at https://t.co/1c3sZCtJO7,2020-05-06 17:49:36
The greatest resource our country has are Americans who are willing to step up and serve. We need to tap into that resource by investing in National Service opportunities to respond to and rebuild from this crisis. https://t.co/yPn8K5PI4j,2020-05-06 14:02:22
"#COVID19 has taken a severe toll on nursing homes across the country, including here in Connecticut. Yesterday I joined my colleagues in urging @HHSGov allocate funds to increase COVID19 testing to contain and prevent the spread of this virus in these facilities. https://t.co/E3DrTuJzmo",2020-05-06 01:00:21
During this time of economic uncertainty we should be expanding our nation's #1 anti-poverty program. #SocialSecurity provides Americans with certainty &amp; support. https://t.co/RWXOxvcdTZ,2020-05-05 22:10:45
Yesterday I joined my colleagues in requesting @SBAGov provide EIDL status updates to applicants &amp; provide Congress with processing updates. These loans are a vital lifeline to millions of small businesses during this crisis and they must be distributed properly and with urgency. https://t.co/iUW67JJCBt,2020-05-05 19:41:07
Today is #TeacherAppreciationDay! These challenging times have reminded us of the incredible value of our nation’s teachers. Thank you to all of our teachers who continue to shape students’ lives. Tag your favorite teacher in the comments below! #ThankATeacher https://t.co/vuJy6fK4x6,2020-05-05 18:11:04
REMINDER: VA &amp; SSI beneficiaries who have dependents &amp; don’t normally file a tax return have until TOMORROW to fill out the non-filers form online to receive their $500 per dependent child economic impact payment this year. You can use link below: https://t.co/bW8nPuLhKt,2020-05-04 19:35:15
"#COVID19 has exposed the longstanding health disparities in communities of color. As we move forward, we must ensure our most vulnerable communities have access to #COVID19 testing they need. https://t.co/F03r7mszpf",2020-05-04 18:43:50
Happy #TeacherAppreciationWeek! Thank you to all of our teachers who continue to go above and beyond for our students during this challenging time. https://t.co/8vM4dwdLFA,2020-05-04 16:26:03
"This #MayDay I stand in solidarity with those on the frontlines fighting for safer working conditions. Our frontline &amp; essential workers including our delivery drivers, grocery store clerks, &amp; janitors are keeping our communities going during this pandemic &amp; deserve our support. https://t.co/FGZHpUvaGg",2020-05-01 19:23:46
