tweet,dates
"#MothersDay is special day, indeed. When I think about my own mom, my wife, and now my daughters – it's a joy to see the love a mother has for her children. To every mom out there: thank you; we appreciate you; and I hope you have a great day. Happy Mother's Day! https://t.co/D3r2wBPMmD",2020-05-10 12:30:00
"Another #PaycheckProtectionProgram
success story in Arkansas:

“You never know how people’s lives have changed...but it was really nice. Everyone is just so excited to get back and to be able to do something in the building.”

https://t.co/5rSvZIbqCY",2020-05-09 20:30:00
"Today marks the end of National #PublicServiceRecognitionWeek. I commend the civil servants across the federal, state and local governments in Arkansas for their tireless work to support our society and deliver results for the people of our state. We appreciate you.",2020-05-09 16:30:00
"Pleased @FEMA has quickly approved Gov. @AsaHutchinson’s disaster declaration request following the recent tornado &amp; severe storm damage in Craighead County. Federal financial assistance will be needed to aid the recovery, especially in light of COVID-19.

https://t.co/FJILlaO9oC",2020-05-09 15:28:47
"May is #MilitaryAppreciationMonth so we show our gratitude to those who wear America's uniform &amp; their families for their heroic service and sacrifices. Our military is the finest in the world because of the talented and dedicated members of our armed forces, and we salute them. https://t.co/ti00YTgvTC",2020-05-09 13:00:01
"Welcome home, and thank you for volunteering to help others in their time of need. We are inspired by you.

https://t.co/wOany95iCp",2020-05-08 22:05:54
"Military spouses serve right alongside the service members they love and are deeply dedicated to. Their devotion, care and support are invaluable to those in uniform. Today, we offer America's military spouses our sincere thanks and gratitude. #MilitarySpouseAppreciationDay https://t.co/UL1Pgm1HE3",2020-05-08 18:29:22
"This @HHSGov investment will be used to expand testing in Arkansas + purchase PPE; train staff; help w/ outreach, procurement &amp; administration of tests; support laboratory services; and expand contact tracing and walk-up or drive-up testing capabilities.

https://t.co/YZPKjWHki4",2020-05-08 16:19:29
"Don't forget that the #weARstrong flyovers honoring healthcare professionals, essential employees and volunteers in the Natural state will take place a little later today. The flights are scheduled to begin around 2pm CT.
https://t.co/wqITOaiJ83",2020-05-08 15:33:19
"With heroic actions and unyielding resolve, America's Greatest Generation joined our freedom-loving European allies and faced down the forces of fascism during #WWII. They would not sit idly by and submit to tyranny. Today, we remember and celebrate their victory. #VEDay75 https://t.co/EgUyCImkU7",2020-05-08 13:36:24
"Providing resources to safeguard law enforcement and public safety officers is critical to the health and the wellbeing of Arkansas. Nearly $7M is going to help better protect frontline workers because of the CARES Act. 

Learn more ⬇️
https://t.co/LbwhSKIEkc",2020-05-07 19:20:42
"""This is our inland waterways. It's our ports. It's our harbors. These are the underpinnings of our economy,"" the lawmaker from Rogers said...after Wednesday's vote.

""These things aren't glamorous but they're so important to the country,"" Boozman said.

https://t.co/xGnBlO7bBL",2020-05-07 17:34:42
"Today we mark the #NationalDayofPrayer by pausing and asking God to for wisdom, humility and help.

Prayer is comforting. It allows us to quiet our hearts and minds, and acknowledge something greater than ourselves. I join all those across America in praying for our nation today.",2020-05-07 15:25:49
