tweet,dates
Two studies suggest COVID-19 antibodies provide immunity - The Boston Globe https://t.co/zWNNhSrkUj,2020-05-20 17:41:45
Questions about your Economic Impact Payment? The IRS now has resources for you to check the status of your payment. Visit this website or call the number below: https://t.co/EwfTz4E0IO https://t.co/qKb6blkNtg,2020-05-20 17:27:42
Texas food banks continue to need our support. North Texas based #HungerMitao teamed up with @IndiasporaForum to provide food banks across the country with 5 million meals in just 2.5 weeks. Keep up the great work! https://t.co/Px94y1ZAEW,2020-05-20 17:26:58
Conservative Hispanic group zeroes in on three high-profile GOP senators https://t.co/cfYiJGL7Ji via @CBSPolitics,2020-05-20 10:17:19
"Federal Agency Honors Texas A&amp;M System For Protecting U.S. Secrets, Technology https://t.co/rWuWm1hBr0",2020-05-20 10:14:12
Fully declassified Susan Rice email reveals reluctance to share 'sensitive' Russia information with Michael Flynn https://t.co/QxFfstbBfe,2020-05-20 00:08:46
Confirmed https://t.co/X4cMPsQ81r,2020-05-19 23:01:11
"Invoked, 50-43:

Cloture on Executive Calendar #640, James E. Trainor III, of Texas, to be a Member of the Federal Election Commission for a term expiring April 30, 2023.",2020-05-19 19:15:10
The critical case for ending our shutdown https://t.co/ucjZQWF8zm,2020-05-19 12:53:31
Where New Yorkers Moved to Escape Coronavirus https://t.co/Cp6TlvtOY3,2020-05-19 10:47:42
Hog farmers have been following strict sanitizing rules for years. https://t.co/LFcrWATZ2d via @WSJ,2020-05-19 10:21:07
Sen. Cornyn drafting proposal to protect businesses from COVID-19 related lawsuits https://t.co/YA69twmmp3,2020-05-19 10:19:06
TxDOT receives $75M to improve rural transit during Coronavirus outbreak  https://t.co/UvE2k0rWZf,2020-05-19 10:18:27
"U.S. Senators Dianne Feinstein, John Cornyn, and Kamala D. Harris Introduce Bill Making California and Texas Doctors Eligible for Loan Forgiveness https://t.co/FL3FeHtdZh",2020-05-19 10:17:55
Cornyn files bill after convictions vacated in slain ICE agent attack https://t.co/o4sWlH6lEG via @monitornews,2020-05-19 10:16:29
Senate Intel Committee will vote on John Ratcliffe spy chief nomination Tuesday https://t.co/Ox6KIz6cZm,2020-05-19 00:33:58
Pathetic. You know better. https://t.co/EeQSb5fHX5,2020-05-19 00:29:14
Faster https://t.co/RlFqAWWOZX,2020-05-18 15:36:49
"House Floor Agenda: The House won’t meet.

The House plans to return on May 27 @bloomberggov",2020-05-18 13:28:18
Should Florida bail out New York? Let’s look at the 10-year fiscal record. https://t.co/9W7NOHLX2z via @WSJ,2020-05-18 10:19:55
"Payments started May 5, 2020 https://t.co/aDFNWTrqrG",2020-05-17 16:26:48
"Respectfully, have you spent all of the $15,321,284,928.40 that California received from the Cares Act, which passed unanimously in the US Senate three weeks ago? https://t.co/niI7tUFXe9",2020-05-17 16:22:38
"Biden campaign doesn't consider Latinos 'part of their path to victory,' political operatives say https://t.co/HknfOZUHnz",2020-05-17 13:24:38
HMM:  Coronavirus in Boston: 10% of Bostonians have COVID-19 antibodies…. https://t.co/T74x4jWLyx,2020-05-17 13:22:36
The unmasking of Joe Biden https://t.co/ljKd9Y4hVW,2020-05-17 13:19:06
"Read Mitch Daniels' Poignant Virtual Commencement Address On 'Antisocial Media,' Loneliness, And Isolation https://t.co/6v0j8X84sh",2020-05-17 12:51:46
Domestic Violence Calls Mount as Restrictions Linger: ‘No One Can Leave’ https://t.co/zbxVBaixqd,2020-05-17 11:57:52
Genesis Prime Care receives another federal grant to fight COVID-19 https://t.co/Eou1cr0yO0 via @News_Messenger,2020-05-17 11:35:37
NFL teams can reopen facilities Tuesday _ with provisos https://t.co/jpsVCqJUAL,2020-05-16 13:47:11
"House in extended recess while Senate at work, showboating by ramming through a non-serious partisan wish list, doesn't help: ""THE QUESTION that keeps bopping around town is this: ... when will Washington pass another coronavirus relief package? @playbookplus",2020-05-16 13:32:46
"Interesting the Texas percentage of positive cases keeps going down, now at 6.9%, while testing is rapidly increasing.  56% of positive cases have recovered, and the number of new cases has been relatively flat for a month. https://t.co/hwPE2h0LTR",2020-05-16 13:22:20
"Tesla's next factory is going to be in Austin, Texas and it's going to happen quickly https://t.co/pWT6Xnl1T3 via @FredericLambert",2020-05-16 12:59:48
Trump Delivers Blow To China With Announcement That Taiwan Chip Maker Building $12 Billion U.S. Plant https://t.co/sB1BwIcegA,2020-05-16 12:52:10
"Reporter Asks Kayleigh McEnany to Explain Obamagate and the Crimes Allegedly Committed, Immediately Regrets It - https://t.co/f2PgYwEMMf",2020-05-16 12:31:00
Connecting the dots: Making of a myth: Timeline of media's role in selling 'Trump-Russia collusion' tale https://t.co/6C5UefHmZs,2020-05-16 12:19:11
"""Our elected officials need expert advice when dealing with complex scientific, economic and social challenges. But that advice does not resolve those problems for them. We empower them to judge, to choose and to act in an uncertain world.",2020-05-16 11:43:26
Airlines have been pushing for the TSA to start taking passengers’ temperatures to keep potentially sick people from boarding planes and to make passengers feel more comfortable taking trips again  https://t.co/cAmPxlqvDb via @WSJ,2020-05-16 10:56:21
$3 million in COVID-19 aid to offset Family Health Center losses https://t.co/GC29uWfpjZ via @wacotrib,2020-05-15 23:46:14
Refuse to show up to work while many Americans do so every day. #mailitin https://t.co/ROGcqFqeEy,2020-05-15 23:27:24
Senator Cornyn Announcing Electronic Food Stamps Are Heading To Households With Children On Free And Reduced Price School Meals | WTAW https://t.co/K1yuJ1A6tb,2020-05-15 17:51:48
safe/unsafe is better https://t.co/zSwQqFkB67,2020-05-15 14:30:06
"About 56% of known cases of #COVID19 have recovered so far.  1,648 Texans are receiving first class care in our outstanding hospitals, where there is surplus capacity.  17,716 more are recovering at home. https://t.co/ciobqi4hQI",2020-05-15 12:34:09
How to Reopen America Safely https://t.co/QIRyN1xDLB,2020-05-15 12:17:27
"""Firms that took a PPP loan under $2 million are about to get a break"" https://t.co/vKoa7uERz0",2020-05-15 11:22:59
C.D.C. Issues Reopening Checklists for Schools and Businesses https://t.co/YjXQHBPOaa,2020-05-15 11:21:56
Ask him if he knew of a counter-intelligence investigation. https://t.co/0IWdVFmImU,2020-05-15 11:11:38
Dining with dummies? Renowned restaurant adds mannequins ://apnews.com/6e6106c3e9c80234d355818a4a68ca10,2020-05-15 11:09:13
Trump to Name Brooke Rollins as Domestic Policy Adviser https://t.co/erd32aX7Jl,2020-05-15 10:56:42
“People are struggling to make rent and figure out how to put enough food on the table for their kids. But what is House Democrats’ priority? A $3 trillion grab bag of long-time liberal priorities from marijuana to tax breaks for blue state millionaires to ‘environmental justice. https://t.co/kfVOHsP9Xr,2020-05-15 10:54:29
HOUSE DEMOCRATIC LEADERSHIP ... engaged in what a few senior aides and lawmakers described as the most difficult arm-twisting of the entire Congress: convincing their rank and file to vote for a $3 TRILLION stimulus bill that will never become law.@playbookplus,2020-05-15 10:52:00
"Why the campaign to undermine Attorney General Barr? Because his drive for the truth reveals that Russia-collusion was pure fantasy, and that hatred of Trump drove important people to abuse their power, writes @KimStrassel https://t.co/3GkhDOi36k via @WSJ",2020-05-15 10:37:46
Gonzales Health Center receives $394K to expand COVID-19 testing efforts https://t.co/cH00ct4LiP,2020-05-15 10:24:31
"Senator discusses COVID, economy, and more in exclusive interview  https://t.co/wsMH63gyL1",2020-05-15 10:22:52
TxDOT Receives $75M To Improve Rural Transit During Coronavirus Outbreak https://t.co/e2fSPYxlDS via @Corridor News,2020-05-15 10:18:44
Lawmakers pledge support for energy industry https://t.co/q8Ef8Iox8J via @mwtnews,2020-05-15 10:18:22
DOJ escalates Chinese 'Thousand Talents' crackdown with arrest of Cleveland Clinic researcher https://t.co/HjU4ZUG6sA,2020-05-15 00:40:34
"""We are thrilled that Congress enacted this employment law to help nonprofits and small businesses, allowing us to bring back our employees and make them whole.” Another #PPP Success Story from the @alleytheatre in Houston https://t.co/tMmdjypzQv",2020-05-14 22:08:12
Had the privilege of speaking with @UnitedWestTexas to tell them about the provisions in the CARES Act that may be helpful to them and thank them for all their hard work on the frontlines against #COVID19 keeping Texans fed,2020-05-14 22:06:34
"Convalescent Plasma Is Safe to Treat Covid-19, National Study Shows - WSJ https://t.co/hQGOsDHRFM",2020-05-14 17:45:51
Unmasking and leaking classified information is a crime https://t.co/uTOTSjzC3j,2020-05-14 15:28:10
"#PPP Success Story: Bethesda Health Clinic was able to bring back their furloughed employees and let them get back to work providing health care to low-income, uninsured clients. https://t.co/q57mSSmRyy https://t.co/t4jvUxJtEr",2020-05-14 14:45:55
"Where Bats Are Still on the Menu, if No Longer the Best Seller https://t.co/8kAFGuIBSV",2020-05-14 10:50:24
Biden Taps AOC to Chair Campaign’s Climate Change Task Force https://t.co/aWPTdBbMfT,2020-05-14 10:40:54
"Sen. John Cornyn Drafting Bill On Immunity From COVID-19-Related Lawsuits For Businesses, Health Care Workers https://t.co/pu5ykas4ZX",2020-05-14 10:16:26
Fixing the FBI https://t.co/kzAj6g4d68,2020-05-13 23:37:41
Today I hopped on a call with @BMTChamber members to talk about how small businesses are staying afloat during #COVID19 and to get their feedback on how lawmakers can continue to help during this crisis. https://t.co/udXEXcEiPm,2020-05-13 23:33:47
I spoke with my friends at the @PoccaPort to discuss the challenging times the Texas Oil &amp; Gas industry is currently facing. Our nation depends on the Texas energy sector and it will be a vital component in restoring our economy. #PortCCStrong,2020-05-13 23:33:20
"Texas pro teams want to play, but worry about lawsuits and causing coronavirus outbreaks, Cornyn says https://t.co/hVay6y6jSU",2020-05-13 19:37:42
"Exclusive: As China hoarded medical supplies, the CIA believes it tried to stop the WHO from sounding alarm on the pandemic https://t.co/YCdKPOjL4O",2020-05-13 14:27:48
Elon Musk is Our New ACLU: https://t.co/Xd4Ze5npvj,2020-05-13 11:05:49
Coronavirus testing czar Adm. Brett Giroir told lawmakers he hopes the United States will be able to conduct 40 million to 50 million COVID-19 tests per month by September. Slightly fewer than 10 million tests have been conducted since the pandemic began. @thedispatch,2020-05-13 10:51:34
"""HOUSE DEMOCRATS RELEASED an 1,800-page, $3 TRILLION stimulus bill Tuesday, and they say they will vote on it Friday despite some gripes from the left. Yes, that’s a vote on a massive bill after lawmakers get just a few days to review it. @playbookplus",2020-05-13 10:31:46
"McConnell, Cornyn working on bill to expand liability protections for businesses https://t.co/U0D28CucIN",2020-05-13 10:21:55
More than $1 billion approval in food benefits for Texas families https://t.co/I991a2VlmT,2020-05-13 10:20:30
"Tax cuts for the wealthy: ""House Democrats’ stimulus bill rolls back $10,000 SALT cap for 2 years"" https://t.co/JakM2JBLHo",2020-05-13 00:53:28
"From drive-thru testing sites and assisting with contact tracing efforts to launching a social media campaign focused on mental health and volunteering for the Tarrant County #COVID19 health information hotline, @UNTHSC is stepping up in a big way. https://t.co/Dyk7a4VLvn",2020-05-12 23:09:17
"Thanks Kevin Smartt, CEO of Kwik Chek, for testifying today before the Senate Judiciary Committee. https://t.co/5p20pZSGVd",2020-05-12 18:56:51
"Kwik Chek Food, based in Bonham, Texas is an “essential” business and should be shielded from opportunistic lawsuits as long as they are following public health guidance in good faith. #Covid19 https://t.co/voFdqcYR5r",2020-05-12 18:54:31
