tweet,dates
"This week, .@RepHartzler and I wrote a letter to President Trump urging action to bring pharmaceutical manufacturing and its supply chain back to the United States.",2020-05-08 13:38:36
"Our nation’s nurses have shown us what true dedication, compassion &amp; hard work mean. During this time of crisis, we must give thanks by ensuring they have the necessary equipment to keep themselves safe. On this #NationalNursesWeek, I thank the nurses who protect our communities. https://t.co/hmsYGMgqUz",2020-05-06 15:59:49
I will be hosting a telephone town hall with local health and employment experts on May 5 at 3:00 p.m. PST to discuss the coronavirus and how to access resources.,2020-05-04 18:11:00
I will be hosting a telephone town hall with local health and employment experts on May 5 at 3:00 p.m. PST to discuss the ongoing health pandemic and how to access resources.,2020-04-30 19:31:08
THREAD: The U.S.S. Roosevelt is a very sick ship that needs leadership that the crew believes in and trusts. The Navy’s leadership has conducted an initial review and recommended Captain Crozier be reinstated. It’s time for Crozier to return and bring his ship back to health.,2020-04-29 16:46:43
"Sadly, 11 members of our community at a skilled nursing facility in Woodland have died due to complications with COVID-19. My heart is with them and their loved ones as they deal with this unthinkable loss.",2020-04-29 14:53:01
"Last month, I worked with @RepThompson to write a letter to Administrator Buzby supporting the Mare Island Dry Dock’s (MIDD) application for the Small Shipyard Grant Program.",2020-04-28 19:59:26
Today we remember and mourn the victims of the Armenian genocide as we mark Armenian Genocide Remembrance Day.,2020-04-24 23:21:06
THREAD: The Navy made the right decision in recommending Brett Crozier be reinstated as Captain of the U.S.S. Roosevelt. Captain Crozier is a man of incredible integrity and is respected by the sailors aboard the U.S.S. Roosevelt.,2020-04-24 19:44:16
"I’m heading back to Washington to vote for a bill that will provide much-needed financial relief to small businesses, support health care workers with additional PPE, and ramp up our nation’s testing program. https://t.co/1f4K3QceBY",2020-04-23 13:07:41
Today I introduced legislation that would mobilize America’s service organizations to significantly expand testing and contact tracing for the coronavirus pandemic.,2020-04-21 19:33:54
"“Darkness cannot drive out darkness; only light can do that. Hate cannot drive out hate; only love can do that.” – Martin Luther King, Jr.

Today, as we mark Yom HaShoah, we honor the 6 million Jewish lives tragically cut short by the Nazi reigme.",2020-04-21 17:47:29
Veterans: The Department of Veterans Affairs and Treasury Department will distribute stimulus payments to low-income and disabled veterans who otherwise might not receive them.,2020-04-20 18:24:32
"Ten days ago, I wrote a letter to the Department of Defense, urging them to conduct a formal investigation into Acting Secretary of the Navy Modly’s relief of the commanding officer of the USS Theodore Roosevelt, Captain Brett Crozier.",2020-04-16 18:29:58
"I will be hosting a telephone town hall on the coronavirus TODAY at 2:30pm PST. If you would like to participate, please call (855) 962-1140 at the time of the event or you can stream the event at https://t.co/eOGU7IxmXO and https://t.co/2qQoV6ISKx. https://t.co/hSMprxmmZn",2020-04-16 16:17:15
Returned Peace Corps volunteers: US Agency for International Development (USAID) Human Capital and Talent Management (HCTM) has released a batch announcement for positions specifically for returned or evacuated Peace Corps volunteers.,2020-04-16 14:33:27
