tweet,dates
"To all those women we owe so much, with the deepest appreciation and admiration, HAPPY MOTHER’S DAY! Special wishes to my wife, daughter, and daughter-in-law, three beautiful mothers in my life. God bless you all. #HappyMothersDay https://t.co/wsYHyvQC7O",2020-05-10 15:32:07
Our #nurses are fighting on the frontline of the coronavirus pandemic. We are so thankful for everything they do! #NursesWeek2020 https://t.co/Xs4MTubz09,2020-05-09 16:41:06
"Attention Northeast Florida! Tomorrow morning, the @BlueAngels will conduct a flyover to salute to our awesome first responders. Check out the map below for information on where and when to see them in action. https://t.co/6f7PjqsWlM",2020-05-07 19:46:43
"I enjoyed joining @DuvalSchools Celebrity Reading Room, which gives children an opportunity to keep reading during distance learning. I chose to read ""We're Going to the Beach,"" a book about our beautiful NE FL beaches &amp; all the creatures that live there.
https://t.co/vfZWOlgNPp",2020-05-05 18:54:39
"I was proud to join @RepMarkTakano in urging the White House Coronavirus Task Force to include sign language interpreters at their briefings. This would ensure Deaf &amp; hard of hearing individuals receive accurate federal guidelines &amp; recommendations.
https://t.co/llQArVEw9u",2020-05-04 16:28:07
"As a result of the bipartisan CARES Act, which I was proud to support, Duval County received $160M in federal assistance. Now, @CityofJax is dedicating $40M of these funds to help those with lost income due to the #COVID-19 crisis. More details below! https://t.co/bolyRnx7GK",2020-04-30 19:47:33
"We're working hard to make sure federal resources are quickly distributed to state and local governments, who are working overtime to keep our communities safe during this challenging time. Please click below for more details.   
https://t.co/IhLtCsx5g3",2020-04-29 17:48:54
"Today I spoke with St. Johns Co. Commissioners about #coronavirus resources for localities. Over the last 2 days, I've also joined Nassau Co. Commissioners, the City of St. Augustine, &amp; the City of Atlantic Beach to discuss implementation of federal coronavirus legislation.",2020-04-28 15:05:15
I wish Muslims in Northeast Florida and across the world a blessed month of #Ramadan. #ramadankareem https://t.co/YRHNfIZVvA,2020-04-24 14:08:31
I just voted to replenish the #PaycheckProtectionProgram with $310 billion so that more small business employees across our country can draw a paycheck and receive the assistance they need to get through these challenging times.,2020-04-23 22:01:34
"When servicemembers give their lives for our freedom, their families are faced with the nearly insurmountable task of moving forward without them. It's our duty as Americans to take care of &amp; support Gold Star families, especially now as many have been impacted by #coronavirus.",2020-04-21 19:15:22
Glad to be part of this important bipartisan effort for our law enforcement officers. https://t.co/2SeAOQMtj6,2020-04-21 15:14:12
I’m joining @RepDWStweets shortly to discuss the ongoing response to the #coronavirus pandemic. Consider tuning in! https://t.co/BlSf95mxwm,2020-04-20 12:46:11
"And yet, @SpeakerPelosi and Democrat leaders continue to play politics with people's lives, refusing to quickly replenish the #PPP. Over 5 million people filed for unemployment this week, and that number will continue to grow unless we provide relief. We need to fund this NOW. https://t.co/sswuvkhdSb",2020-04-16 15:37:10
"This #Covid_19 pandemic shows we have to be concerned about global health. This didn't start here, but it's here, and look at the impact it has had. Global partnerships are important, but we must hold their feet to the fire on performing correctly. #WHO https://t.co/2hZzGx4maM",2020-04-16 00:08:13
Outstanding news. Our Northeast Florida medical professionals are heroes! https://t.co/2TgcgMObsQ,2020-04-15 20:14:26
"The #PaycheckProtectionProgram is saving jobs &amp; small businesses. While the PPP has already distributed over $200 billion, it's quickly running out of funding. Congress must put partisanship aside &amp; immediately replenish the PPP so all qualified businesses can receive assistance. https://t.co/ydy7gSlvPe",2020-04-14 15:53:27
"Today we celebrate the miracle of #Easter! May God Bless you with a healthy and joyful #EasterSunday.

“‘Don’t be alarmed,’ he said. ‘You are looking for Jesus the Nazarene, who was crucified. He has risen! He is not here. See the place where they laid him.’” Mark 16:6 #HeIsRisen https://t.co/XCyP5PqLcD",2020-04-12 13:09:33
"Florida has launched a new, user-friendly website for unemployment claims. It can be reached here: https://t.co/y6O8eJEXP7. 

This is excellent news for those who previously had difficulty filling out or completing an application.",2020-04-09 19:31:13
"1 in 10 Americans are furloughed or lost their job – and the majority out of work were employed by small businesses. The Paycheck Protection Program is keeping small businesses afloat and people in their jobs. Now is the time for bipartisanship, not partisan gamesmanship. https://t.co/eOtIPS7TiU",2020-04-09 18:24:28
Wishing all those celebrating a peaceful and joyous #Passover filled with great food and time spent with loved ones (even virtually). #ChagSameach! https://t.co/zdAVpMuAC1,2020-04-08 18:20:21
