tweet,dates
Today we celebrate and honor the life &amp; lessons we’ve received from our moms. Happy #MothersDay. https://t.co/yYyVrWUnkk,2020-05-10 16:36:50
Today we celebrate the victory of our Allied Powers in Europe and remember the incredible sacrifices our servicemembers and country endured during WWII to preserve our freedom &amp; liberties. https://t.co/UJ9ZJxL9ix,2020-05-08 16:41:39
Worked to ensure EPA is able to receive &amp; begin processing the WIFIA loan for @FMDiversion #floodprotection. This approval is another important step toward reducing the local cost of building comprehensive flood protection in the Red River Valley. https://t.co/sgoHO9jA6S,2020-05-07 14:55:18
Happy #NationalNursesDay – Nurses in #NorthDakota &amp; across the nation have continued to sacrifice and serve on the front lines of this pandemic and we are grateful for their courage today &amp; every day. #ThankYouNurses https://t.co/1Q7ro5XsCi,2020-05-06 21:36:58
Securing project authorization in the @EPWGOP water infrastructure bill for #floodprotection in the Souris River Valley is critical. Thanks to @SenKevinCramer’s efforts advancing the bill today as we cont. working to move this authorization through Congress as soon as possible.,2020-05-06 20:11:56
"The guidance from @SecretarySonny helps reinforce the safe operation of meat processing facilities, supporting the integrity of our nation’s food supply chain, while helping preserve the health &amp; well-being of this essential part of our economy. https://t.co/0pyXbYW1go",2020-05-06 18:20:02
"Had a good conversation w/ @Varneyco about ensuring the COVID19 response funds we’ve provided the states are working in an effective, flexible way + our efforts to support our farmers and ranchers, including investigating potential market manipulation. https://t.co/g0hZY3h7fl",2020-05-05 21:32:38
"Due to our state’s location in the Prairie Pothole Region, #NDag producers face unique challenges in maintaining compliance with @USDA_NRCS requirements. They've announced they're now accepting applications for the Wetland Mitigation Banking Program to assist this compliance: https://t.co/lhSA5Xoafe",2020-05-05 20:32:58
BOR has signed a contract designating the Dickey-Sargent Irrigation District as the operator of the Oakes Test Area. This is a central part of the plan we secured last year &amp; we appreciate BOR’s continued efforts to move the title transfer process forward. https://t.co/jNWoHyQNXj,2020-05-05 20:04:55
"I intro’d bipartisan legislation w/ @SenDougJones to fund the purchase of U.S. oil for our Strategic Petroleum Reserve, helping relieve supply pressures &amp; supporting a vital U.S. industry + its workers. https://t.co/6QT4VTVsPe",2020-05-05 14:30:26
"Outlined additional #CARESAct funding we secured to benefit smaller lenders like those in #NorthDakota, ensuring a broader range of our nation’s small businesses &amp; sole proprietors are able to receive support, in a call w/ @CommerceND &amp; @nodakchamber today. https://t.co/ixG7vyBT9l",2020-04-30 20:21:39
"This expansion of the Main Street Lending Program by the @federalreserve is welcome news for businesses across our economy, including our oil &amp; gas producers, who we’ve been working w/ Sec. @stevenmnuchin1 &amp; @SecBrouillette to support.",2020-04-30 19:32:58
My full statement after speaking w/ @Energy @SecBrouillette today⬇️ https://t.co/70VM5Ek0b2,2020-04-29 23:16:15
President @realDonaldTrump invoked the DPA to continue operation of meat packing plants as essential infrastructure &amp; help minimize disruptions in the food supply chain. Maintaining a safe work environment &amp; keeping the plants operating safely benefits both consumers &amp; producers.,2020-04-29 02:48:14
"USMCA will benefit a wide variety of industries, including our energy &amp; ag producers, bringing a needed economic boost. We appreciate the efforts of our allies &amp; closest trading partners, Canada + Mexico, to comply with #USMCA and enable it to go into effect.",2020-04-28 01:33:31
My statement on the administration providing flexibility to meat processing facilities: https://t.co/6bVzuCOFZf,2020-04-27 16:23:18
"GOOD NEWS: Starting Monday, @SBAgov will resume accepting #PaycheckProtectionProgram applications. We encourage interested small business owners to work with their local lender to apply for the program. https://t.co/SHlr9RpKCc",2020-04-24 21:24:33
"As Senate @IndianCommittee Chairman, we worked to include tribal provisions in the #CARESAct &amp; appreciate @USTreasury &amp; @SBAgov working w/ us to allow Indian gaming enterprises to participate in the #PaycheckProtectionProgram.",2020-04-24 18:29:20
"President @realDonaldTrump has signed legislation to provide additional funding for small businesses, health care providers &amp; hospitals as well as ensure farmers &amp; ranchers are eligible for EIDL loans/grants. Great news as we all continue combatting the COVID19 pandemic.",2020-04-24 17:49:56
"This CarbonSAFE award from @ENERGY is a tremendous boost to the good work of @undeerc and its partners, helping bring @minnkotapower Project Tundra significantly closer to completion &amp; further demonstrating #CCUS tech in #NorthDakota. https://t.co/rykjY00Ths",2020-04-24 14:50:11
"My plan to support our oil &amp; gas producers:
▶️PPP funding
▶️SPR funding
▶️Ensuring access to credit
▶️Stopping foreign crude dumping
▶️Opening the economy",2020-04-23 15:23:57
"Led my colleagues in pressing the Depts. of @USTreasury, @Energy &amp; the @federalreserve to support our energy sector as it works to overcome COVID-19 &amp; the price war by ensuring our oil+gas producers have access to credit through the 13(3) lending program. https://t.co/nHCRpAl0JJ",2020-04-23 15:10:07
