tweet,dates
"Encouraged that Bedford, Blair, Cambria, Fulton, Somerset, &amp; Westmoreland Counties will proceed to the yellow phase of re-opening on May 15. Each of us has made costly sacrifices to safeguard our community, and our hard work has paid off. https://t.co/2vWGtJAsKa",2020-05-08 22:16:30
"Today we mark the 75th anniversary of #VEDay75, the end of WWII in Europe. As we remember the many who were lost in this war, we also honor the men &amp; women who have served our nation. Our WWII veterans in PA &amp; across the U.S. are true national treasures. We are indebted to them. https://t.co/eWqc4DdbRl",2020-05-08 18:00:53
"As the only doctor serving on the China Task Force, I look forward to delving into opportunities to strengthen &amp; protect our supply chain for medicine and medical equipment, including PPE. Americans cannot be beholden to the Chinese Communist Party for our health care supplies. https://t.co/o8r8ktGppK",2020-05-07 20:32:04
"It's an honor to join the China Task Force as we seek to strengthen and protect our supply chain for medicine &amp; other health care equipment, and to hold the Chinese Communist Party accountable for its actions. I'm grateful to @GOPLeader McCarthy for the opportunity to serve.",2020-05-07 14:24:13
"As we kick off #NursesWeek, I am grateful for the tireless dedication of the nurses in Pennsylvania and across the country - not just during this coronavirus outbreak, but every day. Thank you for your hard work to serve American patients! https://t.co/EpadlGtUhS",2020-05-06 18:03:52
"This is important news for Pennsylvania's farms. Today @SBAgov announced that it is accepting new Economic Injury Disaster Loan (EIDL) and EIDL Advance applications on a limited basis only to provide relief to U.S. farms and agricultural businesses.

Farms should apply ASAP! https://t.co/Ee9dwgNyIk",2020-05-04 22:44:32
"After weeks of costly sacrifices to protect our neighbors, Pennsylvanians have done our part to stop the spread of #coronavirus and to save lives. It’s time for @GovernorTomWolf to let us get back to work. https://t.co/V7c6LpRVZv",2020-05-03 20:08:35
"As @GovernorTomWolf announces his plan to re-open PA, I urge him to be transparent about the metrics that each county must meet. Pennsylvanians have made costly sacrifices to protect our neighbors &amp; slow the spread. We must know the strategy behind the Wolf Admin's mandates.",2020-05-01 17:11:42
"Yesterday I participated in a productive discussion with @HHSGov Sec. Azar about health care access in rural communities. Alongside @POTUS @realDonaldTrump, I’m  working to ensure that rural Pennsylvanians can access quality &amp; affordable health care. https://t.co/DzWw7gBpSc",2020-04-30 20:28:08
Important info for small businesses in PA-13! Apply for the #PaycheckProtectionProgram ASAP. https://t.co/NiaX718GAe,2020-04-29 17:34:50
