tweet,dates
"Happy Mother’s Day to all the mothers and grandmothers across CNY! While this Mother’s Day may look a little different, I hope you’re able to take time to enjoy the day. Today, I’ll be thinking of my mother, Mary Lou, and celebrating my wife Robin and mother-in-law, Shirley. https://t.co/nWRpC3SjNA",2020-05-10 14:44:12
"I called on the @USDA to expand access to nutrition assistance programs for working families who are struggling during the COVID-19 pandemic. As a result of this advocacy, I am pleased to announce that the USDA has approved NY’s request to operate the Pandemic EBT program. https://t.co/EsTDnY7MFQ",2020-05-08 18:13:29
https://t.co/Y9bFJl8I8S,2020-05-05 14:59:26
The Port of Oswego Authority plays a critical role in supporting the CNY economy and contributes greatly to the security of our supply chain. That’s why I’m joining @RepBrindisi to lead a bipartisan push for the Port of Oswego and ports nationwide. https://t.co/mnCOTW7bzn,2020-05-01 14:08:10
https://t.co/kKJyGxTEKV,2020-04-29 21:37:33
"It was great to join @politico for a conversation on cybersecurity. We discussed my role as Ranking Member of the Subcommittee on Cybersecurity, the bipartisan bills I introduced, and the need to strengthen cyber protections amid the COVID-19 pandemic.  
 
https://t.co/DnIhNUwYwF",2020-04-29 13:47:40
"Our nation has the opportunity to grow and put thousands of workers like @GoIUPAT members back to work when the pandemic subsides. As we rebuild our economy, we should be investing in infrastructure projects that strengthen our roads, bridges, and support our medical facilities.",2020-04-28 16:34:21
"Tonight at 7pm on @NewsChannel9,
I will be joining Democrats and Republicans from NYS’s Congressional Delegation for a virtual bipartisan town hall on COVID-19. We will be taking questions from Central New Yorkers and viewers across the state and discussing the COVID-19 pandemic. https://t.co/pG5hcN84nc",2020-04-28 16:24:36
"My bipartisan bill, the Resident Physician Shortage Act would add 15,000 resident spots to Medicare’s Graduate Medical Education Program— ensuring communities nationwide have access to care amid the COVID-19 pandemic, and strengthening our nation's healthcare system. https://t.co/L3yRe5Yub8",2020-04-27 16:56:22
"At 2:30pm, I will be joining @SenGillibrand and Dr. Corona from @UpstateNews for a bipartisan virtual town hall on the COVID-19 pandemic. We will be answering questions on the COVID-19 pandemic and providing an update on our recent bipartisan efforts in Congress. https://t.co/7SpwEUHrxy",2020-04-23 15:31:24
"Happy Earth Day! In Central New York, our lakes, streams, and forests are local treasures. In Congress I will continue to do my part to advance bipartisan measures that protect and preserve our environment for future generations. https://t.co/KndSLN05Xd",2020-04-22 19:39:33
I am pleased that the IRS and U.S. Department of Veterans Affairs are now acting on my request to automatically send Economic Impact Payments to recipients of non-taxable VA benefits. https://t.co/nViYIyMiFr,2020-04-21 14:04:53
https://t.co/dYrM0mD1r7,2020-04-20 21:56:49
"I am proud to join @RepSamGraves, Ranking Member of @TransportGOP in introducing legislation that aims to increase internet access in rural communities by allowing them to more readily use EDA grants to develop high-speed broadband. https://t.co/iy1JCwEWML",2020-04-17 15:30:54
I urged the @IRSnews to simplify the recovery rebate process and I am pleased to see this agency act swiftly in announcing that Supplemental Security Income (SSI) recipients will now receive their Economic Impact Payments automatically. https://t.co/XivfUfxutO,2020-04-16 16:08:12
https://t.co/6WygjQC29x,2020-04-15 21:13:50
It was great speaking with @SPECNewsCNY on my proposal to establish a bipartisan commission on U.S. pandemic preparedness and response. Click on the link below to view our full discussion.https://t.co/K0i5MHsKx5,2020-04-13 19:00:56
https://t.co/Vb8bexXOq5,2020-04-11 15:47:49
Eli Harris was a Marshall Street and Syracuse legend. Like so many in our community I was incredibly saddened to learn of his passing. He was a gifted musician and an absolute joy to see preform. Our community will miss his music and vibrant personality. https://t.co/UsGkB7rw2r,2020-04-09 15:35:06
"Now more than ever, it is imperative we expand telehealth services to ensure those struggling with mental health and substance use disorders have access to quality care. That’s why, I am leading an effort to urge @CMSGov to immediately expand telehealth access for CNY seniors. https://t.co/snZ2HAVzV4",2020-04-09 14:51:38
"I would like to wish our Jewish friends and neighbors Chag Sameach as Passover begins this evening. While this year's celebration may look different, and be spent apart from loved ones, the spirit remains unchanged. I wish you health, peace, and joy today and throughout the year. https://t.co/cXUy2wPr5p",2020-04-08 19:19:37
"Today, I am pleased to announce that @HHSGov has awarded $1.6 million in Coronavirus Aid, Relief, and Economic Security (CARES) Act funding to Syracuse Community Health Center and East Hill Medical Center.https://t.co/ZVmuU2jwxY",2020-04-07 21:29:39
"Please join me today at 1:30pm for a Telephone Town Hall. Together with representatives from St. Joseph's Hospital and the Federal Trade Commission, we will discussing the Coronavirus and how to avoid and handle scams during this pandemic. https://t.co/FbDwQwGRNL",2020-04-07 16:04:23
https://t.co/ujZRYmmoN7,2020-04-03 20:31:47
"I am working with @RepBrindisi to urge @HHSGov to immediately direct a proportional amount of newly appropriated CARES Act funding to support hospitals in CNY. To flatten the curve and stop the spread of COVID-19, we have to provide immediate support to our local hospitals. https://t.co/QkubM11TwA",2020-04-01 21:07:02
"To ensure local businesses and 501c3 non-profits have access to important resources and federal programs that can help provide relief during this crisis, I created a comprehensive packet that can be viewed below. https://t.co/BeiBY98dot",2020-03-30 21:37:32
https://t.co/f2vLZkm4bW,2020-03-27 19:17:43
"Glad to be on @NewsChannel9 last night to discuss the CARES Act, a bill that will provide relief to working families and small businesses in CNY, and ensure frontline providers have the necessary resources to protect themselves and care for patients.  https://t.co/BWmDesn2Ja",2020-03-26 14:57:19
Our number one priority has to be addressing the shortages in medical supplies that hospitals and medical facilities in Central New York face. Without sufficient supplies we handcuff the response effort and leave frontline providers vulnerable to infection.https://t.co/U0yXTivzAG,2020-03-25 17:26:25
"A great story from the The Citizen. With the Coronavirus now dramatically altering everyday life for our community, now more than ever, it is imperative we lend a hand to our neighbors in-need. Together, we can, and will get through this. https://t.co/oeCDkyWYFm",2020-03-24 20:26:34
"Thanks to everyone who listened in last night and to my guests Karen Belcher from @FoodBankofCNY and Dr. Robert Corona from @UpstateNews. We provided listerners with an update on the ongoing coronavirus pandemic, while answering questions and clearing up misconceptions. https://t.co/zYjP7sUrK3",2020-03-24 16:28:49
"With widespread efforts underway to prevent the spread of Coronavirus, I recognize the toll this is taking on many small businesses and CNY’s workforce. My website has important information and resources for small businesses, accessible at the link below. https://t.co/KnMhPBjWmD",2020-03-24 15:02:27
"Right now I'm hosting a Telephone Town Hall on the Coronavirus with specialists from @UpstateNews and @FoodBankofCNY. To listen in or ask a question, please click the link below.

https://t.co/KAgbUMdsgO",2020-03-23 21:21:32
"I called on the @IRSnews to issue an extension for the tax filing deadline due to the Coronavirus – and I’m glad to see this agency act swiftly to do so by moving it to July 15th. We must continue to take all necessary steps to provide relief to CNY.

https://t.co/gIrfGN0USC",2020-03-20 15:26:13
"To ensure health care workers in Central New York are able to stay healthy and remain on the frontlines to combat the Coronavirus pandemic, today with @RepBrindisi, I urged @HHSGov to prioritize sending a proportionate share of supplies to our region.

https://t.co/sf3jraD2mO",2020-03-19 17:57:49
"With a growing percentage of our workforce now teleworking, as Ranking Member of the @HomelandGOP  Cybersecurity Subcommittee, I issued a cyber resource guide to ensure CNY has the information and resources to protect themselves against cyber threats. 

https://t.co/ohZVI0Dwv4",2020-03-19 15:08:05
"I voted last week in support of emergency funds to address the pandemic and today, I am glad to announce $16.6 million in funding from the @CDCgov will be distributed to communities in Central New York and across New York State.

https://t.co/ChtL90F6r0",2020-03-17 13:53:29
https://t.co/qUG0U501jl,2020-03-16 22:38:55
https://t.co/YQGVsX2QfR,2020-03-14 14:26:30
"To provide you with the latest information on the Coronavirus and preventative steps you can take to protect yourself and your family, I’ve updated my website to include helpful links and information.

https://t.co/ohZVI0Dwv4",2020-03-13 18:46:06
https://t.co/8aNSbUMKUs,2020-03-04 23:51:45
"As Ranking Member of the Subcommittee with jurisdiction over @fema, I was pleased to meet with @FEMA_Pete about the importance of providing relief to shoreline communities along Lake Ontario and the need to improve our nation’s disaster mitigation and recovery programs. https://t.co/zg5OEYkeqh",2020-03-04 15:46:10
"It was great meeting with a @wwp rep from Syracuse in my DC office. In Congress, I am working to honor the great sacrifices CNY veterans have made for our nation by helping veterans re-integrate into civilian life, and ensuring veterans get quality healthcare and support. https://t.co/IcOfbRVUzv",2020-02-27 23:26:19
"It was a pleasure joining National Grid, the City of Syracuse, OCWA - Central New York's Water Authority, and local cybersecurity experts for the inaugural @threatxchange meeting. https://t.co/eNY0BdvCwK",2020-02-25 19:33:16
"Proud to be featured by the @RiponSociety in the latest edition of the Ripon Forum. We talked about my recent efforts to improve access to mental healthcare in CNY and discussed my record of passing bipartisan legislation.

https://t.co/DIyw1ZGNkr",2020-02-20 17:20:46
"Along with @RepBrindisi @RepJoeMorelle, I sent a bipartisan letter to Chairs Jane Corwin and Pierre Beland of the International Joint Commission (IJC) requesting that outflows from the Moses-Saunders Dam be maintained above Plan 2014 limits.

https://t.co/HgoD65bsKP",2020-02-14 16:59:54
I was grateful to meet with local mental health advocates and clinicians from @AccessCNY at Provisions Bakery &amp; Restaurant in Syracuse. We discussed the importance of ending the stigma associated with seeking mental healthcare and the need to improve access to care in CNY. https://t.co/4kdJoj1U7F,2020-02-10 18:28:07
"Following an announcement by DHS that it has suspended its Global Entry and Trusted Traveler programs for NY residents in response to NY's new ‘Green Light Law, I’ve urged Cuomo to prioritize the safety of NYS residents by working with DHS to make reforms

https://t.co/ubGH3ztRFI",2020-02-07 15:44:07
