tweet,dates
"Happy #MothersDay to the moms who make our world go round. 

I’m especially grateful today for my wife, Becky, the best mom our son could ever ask for. https://t.co/0FH7kwevsB",2020-05-10 17:03:50
"Great to see Louisiana getting $10.5 million from @HHSGov to expand #coronavirus testing in 36 health centers.

The better our testing, the more lives and jobs we can protect.

https://t.co/wOsXs96UlE",2020-05-08 20:22:31
"Recent budget requests estimate that payments to dead people cost American taxpayers over $800 million per year.

Accidentally sending relief payments to the deceased = significant government waste. Let’s end it.

https://t.co/pT3HDmHvlw",2020-05-08 14:39:50
"I just asked the Senate to make an easy choice: Give state and local governments more flexibility to use the #CARESAct funds they already have for their operating expenses.

My bill wouldn't appropriate any new money, but it could help a lot of people.

https://t.co/lJHOLQMeAt",2020-05-07 19:45:14
"Last time I checked, democracy was supposed to be home to fair investigations and prosecutions, not persecutions. https://t.co/VleDC9JZ6I",2020-05-07 15:23:34
"Today, the #NationalDayOfPrayer, we ask God to heal our hurting nation and trust him to act.

I'm praying with you for people impacted by the #coronavirus, and I'm thanking God for the heroes who protect the health of their fellow Americans. https://t.co/uN7U2WXl5b",2020-05-07 13:57:19
"We’re going to run out of digits to measure America’s deficit. 

Instead of spending trillions more in taxpayer money right now, let’s give flexibility to state and local governments to use existing #CARESAct funds to weather this storm without unreasonable handcuffs. https://t.co/cWj48L4qZS",2020-05-06 21:23:16
"You know who’s in the Capitol alongside senators this week? Essential workers like Justina. 

Justina was my guest to the State of the Union last year, and she just earned a promotion! Thankful I get to work alongside selfless professionals like her! https://t.co/JDUrPC99UT",2020-05-06 20:41:58
"The Navy’s @BlueAngels just gave a well-deserved salute to Louisiana’s health care heroes, first responders, and military. 

These selfless workers help make #AmericaStrong as we fight #coronavirus! https://t.co/DakulkMqZs",2020-05-06 19:08:16
"Foreign satellite operators pledged to buy satellites from U.S. manufacturers, but now they’re planning to shop overseas—at great expense to American taxpayers &amp; jobs.

The @FCC can &amp; should solve this problem with a simple ""Buy American"" request. #5G

https://t.co/oZf5jsIdPm",2020-05-06 17:05:23
"Happy #NationalNursesDay to the frontline fighters who help keep our communities healthy each day. 

We're all grateful for your selfless bravery during this critical time. God bless you! https://t.co/8vKEy6JZYc",2020-05-06 12:52:07
"Speaker Pelosi has no concept of deficits. I wouldn’t be surprised if she's planning a stimulus package for the #MurderHornet.

Before we spend even more taxpayer money, let’s give local and state governments flexibility to use all the #CARESAct funds they already have. https://t.co/XS06HzoEjE",2020-05-06 02:07:08
"It’s not the federal govt’s job to bail out local and state officials who spent recklessly.

BUT giving those govts the flexibility to do maximum good for their communities—without putting taxpayers on the hook again—is a no-brainer.

https://t.co/2eMzSrerFg",2020-05-05 19:37:42
"Thanks in part to funding from the #PaycheckProtectionProgram, Louisiana farmers and agricultural businesses are now eligible for @SBAgov Economic Injury Disaster Loans. #SmallBiz
https://t.co/3ztDw9zu08",2020-05-04 16:55:14
"Universities and students around Louisiana are doing everything they can to adapt to the pandemic. 

This $51 million will focus on equipping schools to keep students learning and teachers teaching.

https://t.co/dGDZaMnyQk",2020-05-02 12:31:40
"The @federalreserve's move to make relief more available to oil and gas companies comes in the nick of time. 

There’s still more we should do to preserve the industry and its jobs, though. I hope the administration takes additional positive steps soon.

https://t.co/hzK7MG3efS",2020-05-01 17:40:39
"Are the people who want to save livelihoods by eventually reopening our country sacrificing SAFE for SOON?

The short answer is “No.” 

The long answer is “Hell, no.”

We have guidelines for moving forward safely. https://t.co/lvayC3W7uH",2020-05-01 03:51:15
"Louisianians have lost their homes, businesses and health as a result of tornadoes that recently devastated Monroe and other communities. 

My colleagues and I are asking POTUS to help hurting people get back on their feet by making a major disaster declaration. https://t.co/vATaE5GoBc",2020-04-30 17:17:20
"Happy 208th birthday to the great state of Louisiana!

Times are tough, but Louisianians are tougher. I’m celebrating YOU and celebrating our state along with you today.",2020-04-30 15:40:47
"Louisianians trusted Allen Stanford with their money and their futures. Many of his victims have never been made whole. 

Stanford and Bernie Madoff need to stay right where they are—behind bars. 

https://t.co/4va268Hwj8",2020-04-29 17:21:42
"As I’ve said, keeping deceitful companies in emerging markets like China out of our markets is key to protecting U.S. investors. 

Looks like the @SEC_News is taking a more critical eye here, and I’m looking forward to May 21. https://t.co/P5t5wfKQKc",2020-04-29 00:10:52
"If you haven’t received your economic relief payment, the IRS has a new and improved resource to help you out. 

Find out more here:

https://t.co/qMlQAZng8C",2020-04-27 18:40:57
"I'm praying for the Baton Rouge Police Department and families of the officers shot in the line of duty. 

Day in and day out, law enforcement officers take courage and make sacrifices to keep their neighbors safe. We're grateful for them, and we're mourning with them.",2020-04-27 13:11:01
"Congratulations to Joe Burrow on being selected as the #1 overall pick in the #NFLDraft.
 
No doubt, Joe will be remembered as one of the greatest players in college football history. #ForeverLSU",2020-04-24 12:14:51
We need more than spit and duck tape to keep this economy afloat. It's time to take heart and find ways to reopen the country safely. https://t.co/XcLVPYJiit,2020-04-24 12:09:44
Becky and I continue to pray for everyone who spent today beginning to recover and heal from last night’s tornado.,2020-04-23 23:13:56
"This $287 million from @usedgov will give Louisiana students crucial resources to help them succeed under challenges they’ve never walked through before.

https://t.co/DNueg0omp9",2020-04-23 23:09:59
Grieving with Rapides Parish and nearby communities over the damage done by another tornado. I hope comfort and support come quickly to every family hurting this morning.,2020-04-23 14:02:36
"Glad to see @SEC_News publicly address the threat China’s emerging market poses to U.S. investors. 

Educating Americans about phony companies on our exchanges is good—but keeping deceitful companies out of our markets would be better.
 
https://t.co/eL6HXXkWYV https://t.co/frQN0ea9C1",2020-04-22 19:25:49
"Louisiana and the country have got to get our oil and gas workers back on the rigs. 

Royalty relief is one of the smartest, most strategic ways we can help do that.

https://t.co/LrnYbGgRgA",2020-04-22 16:31:34
"Democrats’ delay on #SmallBiz funding is wildly irresponsible. 

The preening elites in DC and NY think they’re smarter and more virtuous than the rest of America—but this is no time for them to push Pelosi’s radical agenda. 

Now is when we save lives and jobs. Focus up. https://t.co/pbu4cZtPr3",2020-04-21 13:07:06
"I’m asking @TheJusticeDept not to release Allen Stanford early.

Criminals who preyed on vulnerable and elderly people shouldn’t get to capitalize on the #coronavirus pandemic.

https://t.co/xPRW57oZAn https://t.co/NUZdpkW0hp",2020-04-20 15:50:04
