tweet,dates
I’m continuing to share updates regarding the ongoing COVID-19 pandemic and some resources that you may find helpful. https://t.co/rqSKpL9HoC,2020-04-28 17:37:19
"Today, I joined @RepBobbyRush in calling on the @EPA to secure equal rights to clean air protections. Air pollution has not only contributed to the climate crisis, but is linked to the increased mortality of COVID-19 in our most vulnerable communities.",2020-04-22 20:50:26
"Please know, certain Social Security beneficiaries and Supplemental Security Income (SSI) recipients must update their information by today, April 22, 2020 in order to receive their full economic impact payment authorized in the CARES Act. https://t.co/5jdTRzswHl",2020-04-22 16:00:39
"Please join members of my staff and regional experts for a Small Business COVID-19 Webinar to learn about small business relief and assistance in Georgia's 5th Congressional District on Wednesday, April 22 at 5pm. https://t.co/eHx8QeqtNS",2020-04-21 22:40:49
"As the coronavirus outbreak continues, I am sharing some resources that may be helpful to you and your family regarding –

Travel Alerts 
School Meals in Metro Atlanta
Distance Learning Resources
Managing Student Debt; and 
Staying Calm and Centered

https://t.co/vU5i4YrkEn",2020-04-03 23:45:19
"Please be advised, the U.S. Department of State has issued an updated Level 4 Do Not Travel Global Health Advisory and is urging that all Americans who want to return to the United States should seek to do so immediately.
https://t.co/zK0aEWDiBM",2020-04-02 16:52:23
"As a community, we can beat this pandemic. It is very important that everyone remains healthy, calm, and positive by following guidance and safety precautions from the health professionals and local authorities. https://t.co/g3N76KPlre",2020-03-30 21:22:24
"55 years ago today, we were beaten, tear gassed, and trampled by horses. I thought I saw death. I thought I was going to die. I don't know how I made it back, but I know we cannot rest. We cannot become weary. We must keep pushing and pulling and find a way to get in the way. https://t.co/gg6n1CyJls",2020-03-07 20:46:15
"We were beaten, we were tear-gassed. I thought I was going to die on this bridge. But somehow and some way, God almighty helped me here. We cannot give up now. We cannot give in. We must keep the faith, keep our eyes on the prize. https://t.co/eOw9uMYAAL",2020-03-02 00:40:55
Thank you for all of the kind birthday wishes. Each day on earth is a gift we must use to continue building the Beloved Community.,2020-02-21 19:48:56
