tweet,dates
Wishing all of the mothers in #TX31 a Happy Mother's Day! #HappyMothersDay https://t.co/KyJ9skIdso,2020-05-10 14:25:18
Today is #MilitarySpouseAppreciationDay! A big thank you to those who support our #heroes! https://t.co/WG6UC4xnqc,2020-05-08 19:29:29
Happy to connect with @SecArmy and my friend and co-chair of the Army Caucus @Call_Me_Dutch today to discuss the @USArmy’s response to #COVID19 https://t.co/NhcFucYHu3,2020-05-07 18:38:55
"As the top Republican on the VA subcommittee on @HouseAppropsGOP, I’ve been working to address #burnpits. This week, the @DeptVetAffairs announced more than 200,000 registrations which is crucial for better long-term research and treatment. https://t.co/VtmhRt57zY",2020-05-07 15:58:43
"Today marks the start of #NursesWeek, a special time to recognize the hard work and constant dedication of our nation's #nurses

To the nurses of #TX31, thank you for keeping our communities healthy. We appreciate you so much! #NursesWeek2020  #NursesAppreciationWeek https://t.co/6ORqSafQDE",2020-05-06 20:56:44
Health care workers have gone above &amp; beyond during #Coronavirus. This $76M in fed funding from the #CARESAct helps provide more PPE &amp; reimburses for care of uninsured patients. I will continue to fight to ensure doctors&amp; nurses have the resources they need to respond to #COVID19 https://t.co/qYNnQV56C4,2020-05-06 16:01:39
"2nd Round of #PPP Stats:

 𝗟𝗼𝗮𝗻𝘀 𝗔𝗽𝗽𝗿𝗼𝘃𝗲𝗱
➡️2.2 M — surpasses total loans made in Round 1

 𝗧𝗼𝘁𝗮𝗹 𝗩𝗮𝗹𝘂𝗲
➡️$175 B in economic relief

 𝗔𝘃𝗲𝗿𝗮𝗴𝗲 𝗟𝗼𝗮𝗻 𝗔𝗺𝗼𝘂𝗻𝘁
➡️$79,000 — indicates that #PPP funding is broadly assisting small businesses",2020-05-04 22:43:44
Today I announced that #TX31 health care providers received $76 million in federal funding from the CARES Act. See my full statement below. https://t.co/6PtVIYuy59,2020-05-04 19:32:43
I’m glad to see the federal money my colleagues and I appropriated in the #CARESAct come full circle to help #SmallBusinesses right here in #TX31. https://t.co/7UgYVOybBD,2020-05-04 00:33:31
"An overview of #COVID19’s impact on Texas’ 31st district. Erika and I continue to pray for the individuals and families impacted by this terrible illness. 

For additional resources on Coronavirus, visit my website: https://t.co/ZrV7MgVjn4 https://t.co/rsLl2gyolw",2020-05-02 01:05:55
"The Founding Fathers established our #Republic on the foundations of individual liberty, limited government, and a focus on the #RuleOfLaw. 

Every May 1st we celebrate #LawDay to reflect on those ideals that make our nation great. https://t.co/mssyOi2UUc",2020-05-01 20:00:08
I really appreciate former FDA Commissioner @ScottGottliebMD for joining the Appropriations committee today to discuss COVID-19 and the measures necessary to safely and responsibly reopen America,2020-05-01 19:30:21
"Texans helping #Texans! Ronald Kearney from Killeen decided to use his $1,200 stimulus payment to provide food for his neighbors in need. https://t.co/aEn6HcGyBk",2020-04-30 20:07:10
I just got off the phone with @StateDept for an update on their rescue efforts to return Americans stuck overseas to the U.S. So far the State Department has returned thousands of Americans back home safely and continues to run rescue flights for those wanting to get home.,2020-04-30 17:31:40
Learn more about the federal resources being allocated to #Texas in this thread by @SecretaryCarson https://t.co/JYPpczrKL7,2020-04-29 20:39:25
"#coronavirus has had an impact on our daily lives. I want to hear what YOU think.

Click this link to take TX-31's survey &amp; share your thoughts on COVID-19 ➡️ https://t.co/kYfkeJG4Hy https://t.co/5WsK4mXx7W",2020-04-29 17:54:06
"Sec. Mnuchin pledges 'full audit' of small business loans of more than $2 million

The #PPP was designed to help small businesses keep workers employed — ""it was not a program that was designed for public companies that had liquidity.""
https://t.co/M2T2MQK25S",2020-04-28 20:59:08
"In August 2018, we announced the start of this program at #FtHood and now it's available to Soldiers across the @USArmy! Love to see how successful this program has been. https://t.co/VmB9dwJgZg",2020-04-28 19:17:48
Just got off the phone with @GovAbbott and heard about his plan for #Texas going forward. Tune in to the press conference to learn more. https://t.co/xZKreYkN7x,2020-04-27 19:35:05
"❗️Attention Central Texas Students❗️
 
Entries for this year’s Congressional Art Competition are due May 7th. Don’t miss this opportunity to have your artwork displayed at the U.S. Capitol!
 
For more info, visit https://t.co/czOzvCvcqM https://t.co/eqnRhJwLL5",2020-04-27 19:19:33
"I’m very saddened to hear of the passing of Bell County Sheriff’s Deputy John Andrew Rhoden in the line of duty. 

Please pause to join me in sending thoughts and prayers to Deputy Rhoden’s family, friends and colleagues in Bell County.
https://t.co/0wmwt4IpVm",2020-04-26 15:05:58
"Thank you to @HHSGov @CDCgov and @fema for giving me an update this afternoon on testing, PPE and protections for our most vulnerable populations. Remember Texans, keep social distancing to #FlattenTheCurve.",2020-04-24 20:44:12
President Trump has signed legislation to provide another $370 billion in support for #SmallBusiness  https://t.co/LsFNRX6yTZ,2020-04-24 17:11:22
"The Paycheck Protection Program and Health Care Enhancement Act provides:
➡️ $370 billion for small business relief
➡️ $75 billion for health cares workers on the front lines
➡️ $25 billion to ramp up testing across the country https://t.co/ePQ9aHwteI",2020-04-23 18:29:44
"If you were not required to file an income tax return in 2019, you can enter your information on the IRS website to receive your economic stimulus payment. https://t.co/nkfvp7JFd1",2020-04-21 13:58:45
"A great example of our community coming together during this difficult time. Many seniors are devastated about losing out on their senior year, so a #Temple neighborhood did a parade to celebrate the #Classof2020! https://t.co/MA1BqarnCc",2020-04-20 19:36:09
"The #CARESAct automatically suspends payments and reduces interest to 0% on federal student loans until September 30th for most borrowers.
For additional information visit: https://t.co/MHZR29WZJ9 https://t.co/astFHZwwDa",2020-04-18 19:32:24
Every day that the Paycheck Protection Program goes without funding more people lose their livelihoods. The Democrats’ decision to play politics with small business funds is reprehensible. Fund #PPP now.  https://t.co/rlOUQjpJ9H,2020-04-17 17:01:22
"While you're staying home to stay safe, #becounted! You can fill out the 2020 census online here &gt;&gt;&gt; https://t.co/fEIboMYEqp https://t.co/Ay84Z2cbEn",2020-04-17 15:43:23
"It's been 10 days since I called for more $ for the Paycheck Protection Program &amp; today #PPP ran out of money. Now is not the time for partisan games. Livelihoods hang in the balance. I urge my Democrat colleagues to stop the games,  pass a clean #PPP funding bill today. https://t.co/wAx51qyirk",2020-04-16 16:01:36
Something to make you smile #TX31! Rouse High School administrators released a quarantine music video to encourage students to social distance. Way to Rock It Rouse!😎 https://t.co/tNlnbXoeNK,2020-04-15 18:43:08
Don't forget: #TaxDay has been moved to July 15! https://t.co/u2FjrB4yB4,2020-04-15 16:08:07
Learn more about the economic resources available to you and your business during the #coronavirus pandemic by visiting my website: https://t.co/uJpFuQAvdh https://t.co/U6SJjVHbjb,2020-04-14 17:16:40
"Stay-at-home directives are slowing the spread of COVID-19, but not everyone is safe at home. I sent a letter to House &amp; Senate leadership to reauthorize the #ViolenceAgainstWomenAct to help domestic violence victims find safety. 

Read the letter here: https://t.co/lrhs0zpnRn https://t.co/e3iVWLZNR5",2020-04-13 23:30:00
"I'm pleased to see money from the federal gov's #CARESAct coming back to #Texas to help hospitals handle the #coronavirus 

Texas hospitals received over $2 billion Friday to help them buy more supplies, pay overtime for health care workers &amp; take care of the influx of patients.",2020-04-13 15:36:16
"Hey #TX31 Artists:

The #CongressionalArtCompetition is underway, and this year we’re opening the contest to Middle Schoolers! With everyone staying safe at home, this is the perfect time to show off your creativity!

Visit my website for more info: https://t.co/ln1m6D1hXl https://t.co/TeFapIRdLH",2020-04-13 15:11:21
"Today may look a little different, but I hope everyone has a peaceful and happy Easter! https://t.co/YJhHYYtvgF",2020-04-12 15:49:57
"“Through the most trying times in our country's history, Americans have banded together in the face of adversity. Together we stand, and together we will beat this virus.”

If you didn’t read my latest column in the Round Rock Leader, check it out:
https://t.co/j24QFPlK1i",2020-04-10 21:59:58
"Joined #smallbiz owners &amp; @USChamber today to discuss options for businesses during #COVID19. On Tuesday, I called for more funding for the Paycheck Protection Program. It’s imperative we replenish #PPP to help as many small businesses as possible. https://t.co/zn3TWHS6JV",2020-04-09 21:43:13
"America’s 30 million small businesses employ more than 60 million people. 

Businesses are counting on the #PaycheckProtectionProgram to keep workers employed, and American families are counting on #PPP to keep food on the table. 

Stop the partisan games and increase PPP funding https://t.co/GD2j63cavm",2020-04-09 18:54:55
"Remember, if you're out and about for an essential errand, practice social distancing. Stay at least 6 ft apart from those around you. Let's #StandTogether by NOT standing together. #TogetherApart #StopTheSpread https://t.co/7HDDRXv1WJ",2020-04-09 18:24:04
"Attention #TX31 Artists:

Looking for an activity while at home? The #CongressionalArtCompetition is a great project for students to pass the time as we fight the Coronavirus!

Visit my website for more info: https://t.co/czOzvCdBze https://t.co/dgLovW1iOA",2020-04-09 14:58:56
Wishing my #TX31 friends and neighbors a healthy and happy #Passover https://t.co/zbu66SAE1D,2020-04-08 23:54:31
"We can still support #SmallBusiness by ordering delivery, shopping online &amp; buying gift cards to our favorite places to use in the future. #SmallBiz makes our community a great place to live so be sure to support them in new ways while we social distance! https://t.co/OT6rbDHlyo",2020-04-08 19:45:52
"I think our #teachers deserve recognition for how they've adapted to distance education. It's certainly not easy, but our Central Texas teachers are working hard to make it work. Thank you! https://t.co/hD4jhV0skd",2020-04-08 15:57:19
"Through my conversations with small business owners, it's obvious the #PaycheckProtection Program is going to need more money to help our small businesses survive. Today, I'm calling on my colleagues to join me and provide additional funding for small businesses in need. https://t.co/sO5q0PFw86",2020-04-07 17:52:34
#stayhometexas https://t.co/gp64p0vDYD,2020-04-07 16:22:36
"In addition to our health care workers, our #farmers  #GroceryWorkers #TruckDrivers and #warehouse operators are working overtime during the #Coronavirus crisis. Thank you for your hard work, we appreciate you! https://t.co/ZqAGVSrGfm",2020-04-07 14:44:57
"Americans are tough as nails and resilient. If we all work together, we will get through this. #COVID19",2020-04-07 01:04:18
"I asked a constituent where they plan on going after #COVID19 &amp; they had the same answer as me- straight to my grandkids! Giving up time with your loved ones is hard during these stay at home orders but if everyone sacrifices now, we will get through this. Stay strong, #Texans https://t.co/VZJwoFGPo6",2020-04-06 18:39:00
