tweet,dates
"📢The House needs to return to Washington📢

Millions of hard-working Americans are safely working through this pandemic, certainly, Congress with its abundance of resources should be as well. #utpol 

Full statement below: https://t.co/57SqUufe8l",2020-05-08 18:52:46
"As we continue to fight the COVID-19 pandemic, our local communities that rely on strong tourism and seasonal business will be among the most economically vulnerable. It is crucial that we take all the necessary steps to protect them. 
https://t.co/FBYOAcJD7M",2020-05-08 18:00:25
"As we continue to fight the COVID-19 pandemic, our local communities that rely on strong tourism and seasonal business will be among the most economically vulnerable. It is crucial that we take all the necessary steps to protect them. 

Letter from the Utah Delegation below: https://t.co/Vm17yRAUPV",2020-05-07 17:52:05
"I am honored to be selected by @GOPLeader McCarthy to join the newly-formed China Task Force. My time in the region has given me a unique understanding of the history, culture, and language which I will use as we tackle these issues head-on. #utpol 

https://t.co/M364g265zl",2020-05-07 16:57:40
There is a need for a unified and bipartisan voice on these issues; I hope my Democratic colleagues will soon join us. https://t.co/WxwuWRfH62,2020-05-07 16:50:36
Happy #NationalNursesDay! We are all indebted to the nurses in trenches across the state fighting for a healthy Utah. Thank you. https://t.co/L7meFatOuV,2020-05-06 18:37:20
"Teachers are fiercely rising to meet unprecedented challenges during the #COVID19 pandemic. Now more than ever, we need to show teachers they are appreciated. Share why teachers matter to you and tag your post with #SendTeachersLove. https://t.co/TfWYVIr3kq",2020-05-05 21:31:25
"Today I introduced a bill to dramatically expand access to customized &amp; affordable #healthcare for millions of Americans. 🩺

It also gives thousands of Utahns who filed unemployment claims over the past month the ability to obtain health care coverage.

https://t.co/7SVc1gXagU",2020-05-05 20:21:26
"We want to make sure our local media outlets are getting their portion of the stimulus so they can help keep us Utahns informed and help us navigate this very difficult situation. #utpol 

MORE: 
https://t.co/RQiZb8Lxo8",2020-05-05 17:33:45
"I'll be joining @kslnewsradio at 2:35 MDT to talk with @LeeLons about this letter. #utpol 

TUNE IN: https://t.co/IW9Bloh0Hj https://t.co/1vCYHFPxZ2",2020-04-30 20:26:14
"Great shot. I join the F-35 Demo Team and the 388th Fighter Wing in saluting and thanking our healthcare workers, first responders, and essential personal fighting on the front lines of the #COVID19 fight. 

Thank you! 🇺🇸🙏🏼 #UtahStrong https://t.co/qCh3Z7b6jd",2020-04-30 19:53:27
Just a reminder! My Telephone Townhall is TONIGHT from 6:00-7:00 pm. ☎  Dial 855-962-1075 to join the call. I'll be sharing updates on the coronavirus and the work I’m doing in Congress to keep you and your family healthy and safe.  #CurtisLovesTownhall https://t.co/XFZTgH88hE,2020-04-30 17:20:34
"I believe that not only will small businesses in the country and state survive the COVID-19 crisis, they will thrive in the post-coronavirus world. #utpol 

More:
https://t.co/GXvrFGrW0M",2020-04-29 21:07:37
Can't wait! ✈️🇺🇸 https://t.co/OxZikrOP06,2020-04-29 20:47:20
"Earlier this week I introduced ""The Open Technology Fund Authorization Act"" to expand global internet freedom and cut down on social media and news censorship by governments in countries such as China and Russia. #utpol

Read more:
https://t.co/pr0IEfJMXX",2020-04-29 17:10:50
"ICYMI: My virtual townhall with @ebaymainstreet members from Utah's 3rd district.

I shared my thoughts on current and future #COVID19 funding, the issues faced by the USPS, congressional support for small businesses, and more. #utpol

📺Click the link below to watch: https://t.co/jLuNPOrk3Q",2020-04-29 16:45:10
"This morning I joined @kslnewsradio ""Inside Sources with Boyd Matheson"" to discuss the ways I'm advocating for small businesses during this time of pandemic. Listen below:
https://t.co/NIsR1ZjS5g",2020-04-27 22:31:14
"Silicon Slopes is one of the best tech sectors &amp; workforces in the nation.

This bill promotes tech jobs &amp; supports the dev. of new tech that could protect against bad actors trying to shut down the internet, censor information, or locate those advocating for democratic rights. https://t.co/YGERDW7NbX",2020-04-27 22:24:37
"Please join me for a Telephone Townhall on Thursday, April 30 from 6:00-7:00 pm by dialing 855-962-1075. ☎ I'll be sharing updates on the coronavirus and the work I’m doing in Congress to keep you and your family healthy and safe.  #CurtisLovesTownhall https://t.co/XFZTgHpJ9c",2020-04-27 17:03:36
"Now's the time to rise and shout-- Let's go Cougs! 🐾

Vote below ⤵️ https://t.co/TqkeYU6Ga6",2020-04-27 15:42:48
🚨The roads might be emptier but don't take that as a reason to speed. Be safe out there! https://t.co/bdaqEtR7De,2020-04-24 15:33:31
I’m grateful to be here in Washington DC with my colleagues to vote to replenish the Paycheck Protection Program. 📺Watch for a full update: https://t.co/rFhOoF5NJf,2020-04-23 21:35:50
"As a former small business owner, I have a soft spot for these courageous entrepreneurs making constant sacrifices to grow our economy. They need more help, and now. 

We must pass #PPP funding to deliver resources to the parts of the country &amp; economy currently on life support. https://t.co/vpqYXfvTRi",2020-04-23 18:17:26
"TUNE IN: I'll be speaking shortly on the pros and cons of the CARES Act at the @HSBCgop hearing. #utpol 

Link here: https://t.co/RDPJwLC5ls https://t.co/UTlTWKqQuH",2020-04-23 16:13:35
Happy #EarthDay! I'm so proud to represent the most beautiful district in the country. This picture is from a trip I took down to San Juan County last fall. Let's see your throwback pictures visiting our incredible National Parks! #utpol https://t.co/khFmvKuQcg,2020-04-22 16:10:59
