tweet,dates
"We're on TV and online right now, and the second half-hour will be exclusively online. Hope you can join us for this important discussion. https://t.co/qsnU3aEMU8",2020-05-07 23:13:08
"After more than three decades of inaction from Washington, we got this project funded and construction is moving forward. Thanks to @realDonaldTrump, @RepJackBergman, @RepPaulMitchell and my bipartisan colleagues on the House Appropriations Committee for their support. https://t.co/DH9JtztfL9",2020-05-07 21:35:16
Hope you will join @RepDanKildee and I tonight at 7 PM. https://t.co/OpKdCqTwtG,2020-05-07 21:31:57
Hope you will tune in tomorrow for the virtual town hall with @RepDanKildee. https://t.co/DspyMOHSHX,2020-05-06 19:15:57
"A couple of weeks ago I did a virtual tour with @emergentbiosolu and learned how it is working to address the Coronavirus pandemic. With a facility in the Lansing area and more across the country, it's good to see teams working together for a cure. https://t.co/BnCHQZ3GQF",2020-04-25 00:53:15
Thank you for visiting the office this week. It was good to see you! https://t.co/rbLK56SJnl,2020-03-06 18:55:07
"Congratulations on this outstanding award from Saginaw Future, and thank you for your work in the community. https://t.co/urMibAHpsL",2020-03-03 16:22:32
"Thank you for the ride back to Michigan, Mr. President! You promised to deliver a new trade deal with Mexico and Canada and you kept that promise. USMCA is a win for Michigan agriculture and manufacturing. @POTUS https://t.co/bMN2BT9OWS",2020-01-31 00:04:53
It was wonderful to join you this morning for this briefing on rare cancers. In my three years on Appropriations there has been strong bipartisan support for more research and we have allocated record funding for the NIH. Thank you for the invitation to join you today! https://t.co/AKfjZikidu,2019-09-19 19:12:44
"Congratulations to the Democrats on last night's 14-7 victory. Dan and I were proud to represent @CMUniversity in the game! Since the Dems won, I will be getting Dan a BLT from Tony's in Birch Run. Maybe next year, the GOP will win and he will get me some coneys from Flint. https://t.co/UlJLXW32g4",2019-06-27 15:24:38
"This morning, Jakob and his terrific family from Chesaning came to the office. Jakob is four years old and has Microvillius Inclusion Disease. He says two of his favorite activities are camping and jumping on the trampoline. It was wonderful to meet Jakob and his family! https://t.co/NZ0csuyZF9",2019-06-26 18:07:31
"It was wonderful to welcome Anastasia Tucker, winner of the Congressional Art Competition for the Fourth District, to the Capitol today. https://t.co/E4GkTkAMz6",2019-06-24 21:20:15
"Thank you for coming to the office today! It was nice to see you. I hope you enjoy the rest of your visit to Washington, D.C., and have safe travels back to our home state. https://t.co/5stXOWE6sK",2019-06-19 21:27:43
"Terrific news for Beaverton today! The federal government is investing $1.45 million in the community's opportunity zone which was created by the tax reform law I supported in 2017. 
https://t.co/4nSVeFV5p3",2019-06-04 18:46:59
"SOO LOCKS FUNDING MOVES FORWARD: Today, the Appropriations Committee passed legislation with $75.3 million for building a new lock at the Soo Locks. This has been a top priority of my work on the committee and it funds the construction of a new lock for the first time in decades! https://t.co/ciA9M1WLT4",2019-05-21 22:47:16
"More good news for Michigan today. In its bill for next year, the House Appropriations Committee is fully funding the Great Lakes Restoration Initiative. This meets the level President Trump supported after meeting with me, @RepHuizenga and @RepJackBergman on March 28. https://t.co/DUs1HXM5RR",2019-05-17 20:54:12
"It's been outstanding to work with @RepJackBergman on this important project for our state. I know we've been talking to our colleagues and working hard to make sure this funding, as requested by @POTUS, is included. This is a big step forward. https://t.co/FkaoMTvO7J",2019-05-17 16:43:57
"On Monday, May 13, my office will be holding a resource fair for veterans and military personnel in the Fourth District. It will be at the Kochville Veterans Hall in Saginaw County from 2 PM to 4 PM. I look forward to seeing you there. https://t.co/IHwdCB9t8v",2019-05-03 16:00:22
"Thank you to Montcalm Community College for hosting this forum in Sidney.  I discussed the work I am doing on the Appropriations Committee to protect the Great Lakes, fund the Soo Locks, and much more. https://t.co/UaEzJ6G8hS",2019-04-25 14:40:00
I met with Vice President Pence this afternoon and we discussed important issues for Michigan including jobs and the economy. Michigan farmers will benefit from the new trade agreement the Administration has negotiated with Canada and Mexico. https://t.co/8D7BPoxYIy,2019-04-24 23:11:23
Thank you for the invitation to see the work you and the students have been doing. It was outstanding! https://t.co/iKVK6s0I0t,2019-04-24 23:02:29
Ashwin did a terrific job with his app! I look forward to seeing him at the Capitol in Washington D.C. next month. https://t.co/KucoynkSad,2019-04-23 20:04:25
"Thank you for inviting me and telling me more about the salmon project. The students have done outstanding work. Also, congratulations to Mr. Winsor on being named ""Teacher of the Year"" by @MichFarmBureau! https://t.co/eUxHlrYmCt",2019-04-23 15:33:22
Thank you for the invitation to speak with your group today. https://t.co/AHTlseg5bG,2019-04-22 18:34:54
"Thank you, Tim! I appreciate your kind words. https://t.co/WHu0hHyeKk",2019-04-17 20:15:16
"I enjoyed meeting with @realdonaldtrump today. As a member of the Appropriations Committee, I will do everything I can to make sure the committee follows through on this commitment from @POTUS and help protect the Great Lakes for future generations. https://t.co/0luJ6YV38l",2019-03-29 02:29:27
Thank you for coming to the office today. It was wonderful to see you and your group. I enjoyed our discussion about the important work Michigan foundations are doing in our communities. https://t.co/DXkzb01KFr,2019-03-13 20:00:48
Thank you for visiting the office last week. I hope you enjoyed the rest of your time at the Capitol. https://t.co/vGe3yY97cf,2019-03-12 20:24:34
"This is incredible news for Michigan! Since @RepJackBergman, @RepPaulMitchell and I talked to @POTUS about the Locks in April, there has been more progress on building a new Lock than has been made in decades. This new funding will benefit our state. https://t.co/4mNQOYi6qS",2019-03-12 20:22:29
