tweet,dates
"In these difficult times, we could all use a little inspiration. I just found some👇. There is a good reason why ⁦⁦@TGowdySC⁩ calls ⁦⁦@SenatorTimScott⁩, “the best person in all of politics.” https://t.co/19QTU5Jz0J",2020-04-10 02:31:57
"Today the House unanimously passed the Gold Star Mothers Families National Monument Extension Act. It's been a pleasure to work with @RepAndyKimNJ on this bill to honor our nation's fallen heroes and their families, and I'm optimistic we'll get it to President Trump's desk.",2020-02-28 17:43:53
I don't know anyone in the last three years who has done more to help Vladimir Putin and Russia with their efforts to sow the seeds of discord in American elections and American election security than Adam Schiff. https://t.co/YL2HPxTh5D,2020-02-24 15:50:05
"Looking forward to joining @MariaBartiromo on @SundayFutures tomorrow at about 10:20 a.m. ET to discuss the threat of foreign meddling in future elections, Trump’s plan to turn around America’s intelligence agencies, the upcoming Durham report, and FISA reauthorization. @FoxNews",2020-02-22 23:13:42
"FBI Director Wray is right: counterfeiting evidence to conduct illegal surveillance is utterly unacceptable.

Bad actors abused FISA tools to try taking down the Trump campaign and presidency. I trust Durham’s criminal investigation will provide accountability and justice. https://t.co/WqFOmPLKcC",2020-02-10 16:16:31
#Winning #AcquittedForever ⁦@WhiteHouse⁩ ⁦@POTUS⁩ https://t.co/CoWqaJd6RE,2020-02-06 20:45:51
About to join @WBAP247NEWS to discuss my reaction to the Senate’s acquittal of President Trump on both articles of impeachment.,2020-02-06 13:12:52
"Today’s vote to acquit President Trump is an ironic indictment of House Democrats’ own abuse of power and political obstruction.

Full Statement: https://t.co/RIwcwn1DA4 https://t.co/vhWxYgMXAp",2020-02-05 21:59:15
About to join @MarkDavis on @660KSKY to give my reaction to President Trump's State of the Union address. #SOTU,2020-02-05 14:28:01
"Inspiring message from President Trump tonight in his State of the Union address. His policies have poised our country for continued success, and I couldn't agree more that the best is yet to come. #SOTU https://t.co/zXMJHnlJIg",2020-02-05 03:30:36
"""Three years ago, the barbarians of ISIS held over 20,000 square miles of territory in Iraq and Syria. Today, the ISIS territorial caliphate has been 100% destroyed, and the founder and leader of ISIS – the bloodthirsty killer, Al Baghdadi – is dead!"" @POTUS #SOTU",2020-02-05 03:13:16
