tweet,dates
Today will be my last day posting to this account. You can still follow my personal updates (including the verse I share each morning from my devotion) on other social media platforms. Thank you to all those who have followed and engaged with me here on Twitter for many years.,2018-04-05 20:52:11
What questions do you have for Facebook? https://t.co/7wGYU4Fwfs,2018-04-04 13:18:38
"Psalm 3:3-4 But You, O Lord, are a shield about me, I was crying to the Lord with my voice, And He answered me from His holy mountain.",2018-04-04 12:04:17
"Serving in more than 50,000 locations across the country, @AmeriCorps and @SeniorCorps participants address some of the most pressing challenges facing our communities.",2018-04-03 20:32:19
In case you missed it: The job market is so strong that it’s even drawing back in people who’ve been out of the workforce for years. And it doesn’t show any sign of letting up. https://t.co/f1pj46QU5p,2018-04-03 16:09:28
"2 Samuel 14:24 However the king said, “Let him turn to his own house, and let him not see my face.” So Absalom turned to his own house and did not see the king’s face.",2018-04-03 12:21:49
"2 Samuel 12:23 But now he has died; why should I fast? Can I bring him back again? I will go to him, but he will not return to me.",2018-04-02 13:17:07
"A happy and blessed Easter to you and your loved ones. He is risen, just as He said.",2018-04-01 17:33:41
"Psalm 51:10 Create in me a clean heart, O God, And renew a steadfast spirit within me.",2018-04-01 12:43:38
"2 Samuel 7:16 Your house and your kingdom shall endure before Me forever, your throne shall endure shall be established forever.",2018-03-31 11:11:54
"Psalm 96:5 For all the gods of the people are idols, But the Lord made the heavens.",2018-03-30 12:34:34
"Thanks to #TaxReform, one Illinois-based company you may have heard of is McDoubling the amount of workers eligible for tuition benefits and Super Sizing the amount those workers can get each year to help pay for college or trade school.... https://t.co/0R5ok92Ssk",2018-03-29 16:41:52
"A lot of people in our country just don’t believe we build anything anymore. They’ll say there’s no manufacturing left in America, but I say come down to North American Lighting and see what we build. https://t.co/L1gx5mduLp",2018-03-29 13:02:54
"2 Samuel 6:7 And the anger of the Lord burned against against Uzzah, and God struck him down there for his irreverence; and he died there by the ark of God.",2018-03-29 11:14:25
Congratulations to @KyleMcCarterIL on his nomination to serve as the next ambassador to Kenya. President @realDonaldTrump made an exemplary choice. https://t.co/Gu1kNtb3Li,2018-03-29 01:31:08
They're hiring in Flora too! https://t.co/nat02JWim5 https://t.co/SZoBZd5blD,2018-03-29 01:25:00
This is outstanding news for Edgar County! Honored to be a part of today's ground breaking at North American Lighting. https://t.co/cn4YDn27Fg https://t.co/ZVb2WFYMWp,2018-03-28 23:50:39
"2 Samuel 5:3 When the elders of Israel had come to King David at Hebron, the King made a covenant with them at Hebron before the Lord, and they anointed David king over Israel.",2018-03-28 12:09:19
"2 Samuel 1:26 “I am distressed for you, my brother Jonathan; You have been very pleasant to me. You love to me was more wonderful Than the love of a woman.",2018-03-27 10:54:44
"In case you missed it, more on that ""ridiculous situation"" with the spending bill last week and my reaction to the demonstrations over the weekend, from my conversation with Tom Miller this morning: https://t.co/IXVN9jKkHO https://t.co/oqBkWWO3Ou",2018-03-26 15:55:57
Coming up on @NewsradioWJPF at 7:20a this morning. Listen live on am 1340 or https://t.co/reayMWuWs8,2018-03-26 12:07:25
"1 Samuel 26:23 The Lord will repay each man for his righteousness and his faithfulness; for the Lord delivered you into my hand today, but I refused to stretch out my hand against the Lord’s anointed.",2018-03-26 11:58:15
"Psalm 63:3-4 Because your lovingkindness is better than life, My lips will praise You. So I will bless You as long as I live; I will lift up my hands in Your name.",2018-03-25 14:30:38
"Psalm 34:19-20 Many are the afflictions of the righteous, But the Lord delivers him out of them all. He keeps all his bones, Not one of them is broken.",2018-03-24 12:51:56
"Psalm 59:16 But as for me, I shall sing of Your strength; Yes, I shall joyfully sing of your lovingkindness in the morning, For You have been my stronghold And a refuge in the day of my distress.",2018-03-23 12:45:18
This afternoon the House approved an FY18 spending agreement supported by President Trump. Here’s why I voted for it: https://t.co/UhUj1zFz1u,2018-03-22 21:00:00
1 Samuel 17:47 and that all this assembly mya know that the Lord does not deliver by sword or spear; for the battle is the Lord’s and He will give you into our hands.”,2018-03-22 11:06:12
Great question! I think @EPAScottPruitt sums the agency's mission up well in his Back to Basics agenda. You can read all about it here: https://t.co/cAVss257JH https://t.co/LA8iwAeLla,2018-03-21 19:14:21
EPA hasn't conducted a workforce analysis in more than 20 years. We need to make sure the agency has appropriately skilled employees in the right positions to fulfill its congressionally-mandated mission. https://t.co/1MD1KeRwh5,2018-03-21 19:02:52
"While federal offices are closed today in the DC area, my Washington office remains open for business. Here's a live look at the snow from @SpeakerRyan's office in the Capitol: https://t.co/lAkgoiaSDl",2018-03-21 13:48:38
"1 Samuel 15:22 Samuel said, “Has the Lord as much delight in burnt offerings and sacrifices As in obeying the voice of the Lord? Behold, to obey is better than sacrifice And to heed than the fat of rams.",2018-03-21 11:05:03
"I very much appreciate that last year the commission, for the first time since 2010 requested funding to resume its review of the pending Yucca Mountain license application, as required by law. https://t.co/vZPkJtKPhl",2018-03-20 19:35:26
Four years ago this week I talked about how American energy exports are a powerful tool against Russia and their efforts to destabilize democratic republics. https://t.co/qWj82o2CUt,2018-03-20 13:37:05
"1 Samuel 13:13 Samuel said to Saul,  “You have acted foolishly; you have not kept the commandments of the Lord your God, which He commanded you, for now the Lord would have established you kingdoms over Israel forever.”",2018-03-20 11:13:18
"As a former high school teacher, I’m excited to join @RodneyDavis and @RepKinzinger in this announcement. By offering these grants, USDA is making an important contribution to closing the digital divide and expanding educational opportunities in rural communities. https://t.co/jlWkpUXSvR",2018-03-19 21:35:42
"1 Samuel 12:24-25 Only fear the Lord and serve Him in truth with all your heart; for consider what great things He has done for you. But if you still do wickedly, both you and your king will be swept away.",2018-03-19 13:06:57
"U.S. oil and gas exports are probably the least talked about, but most significant diplomatic tool for countering Russian influence and energy extortion around the globe. https://t.co/VY6uJaCwuv",2018-03-18 15:32:27
"1 Samuel 3:10 Then the Lord came and stood and called as at other times, “Samuel! Samuel!” And Samuel said, “Speak, for your servant is listening.”",2018-03-18 12:03:57
"1 Samuel 2:9 “He keeps the feet of His godly ones, but the wicked ones are silenced in darkness; For not by might shall a man prevail.",2018-03-17 11:55:07
"Great game, Erik! https://t.co/onkvy7azGC",2018-03-16 21:03:49
GOOD NEWS! 59 percent of consumers cited recent financial progress — the highest level since 1946 — and the share of consumers citing income gains rose to a five-decade high. https://t.co/9WAT7cNABd,2018-03-16 18:11:10
"As co-chairs of the House Recycling Caucus, @FrankPallone and I are pleased to partner with businesses, industries, organizations, and constituents on #GlobalRecyclingDay to promote their efforts. https://t.co/8GTKKH4m3P",2018-03-16 16:24:19
