tweet,dates
"“For those in this Congress who have used this crisis to loot the public treasury and serve special interests above the common good, I trust that our people and history will judge you as harshly as you deserve.” 

See my full remarks below. I voted “yes.”

https://t.co/U7bwzZCkVu",2020-03-27 18:45:59
"My wife and I are leaving Cookeville, headed to Washington so I can cast a vote on behalf of our district tomorrow morning. https://t.co/qpwKTUfq2b",2020-03-26 19:19:14
"Tonight, we are very thankful to welcome a Hendersonville family back safely to the USA from Guatemala. Bringing them and other healthy Americans home who are stranded abroad is a priority of mine. During this uncertain time, we must continue to come together to help one another.",2020-03-26 02:16:33
"Last night, I joined a number of my colleagues in urging Secretary @stevenmnuchin1 to move the tax filing deadline to July 15th. This is an important step of relief for Tennesseans as we continue to navigate the unique and difficult challenges presented by #COVID19. https://t.co/YbMx7rFfk2",2020-03-20 18:23:15
"To protect staff and constituents, and in alignment with @CDCgov recommendations and nationwide efforts to #StopTheSpread, we are canceling the remaining local office hours for March. Please call our Cookeville or Gallatin office for assistance. https://t.co/KjhLb8F5eG",2020-03-18 21:08:21
"Out of special concern for those at highest risk, I continue to closely follow the status of the Coronavirus. Although there are no reported cases of the virus in #TN6, we want to do everything possible to slow the spread.

https://t.co/wXBJw70AbV",2020-03-17 19:46:10
"Today, we join together as fellow Tennesseans, Americans, and believers in prayer to our God. May we all ask in faith for His protection and grace. #NationalDayOfPrayer https://t.co/xIGJmvpqp0",2020-03-15 16:17:07
"I am thankful @POTUS @realDonaldTrump cares about our friends and neighbors affected by the storm. I was grateful to introduce him to many of those who badly need our support in Cookeville. It was a bright spot in a dark week. 
https://t.co/au4Xx7dmqj",2020-03-07 13:49:38
"Tennessee has rallied together, and now it is time for the federal assistance our state so badly needs. I have urged President @realDonaldTrump to act swiftly, and I trust he will prioritize the needs of Tennesseans during this tragic time.

https://t.co/CA57H5Fyzh",2020-03-05 23:21:00
Hope you’ll tune in to SuperTalk @997wtn at 7:30 AM as @BrianWilson997 and I discuss ways to help our neighbors and communities as we begin to rebuild Middle Tennessee. Listen live: https://t.co/nGhdEv08Lk,2020-03-05 13:00:22
