tweet,dates
May God bless all of the wonderful moms across #Iowa! Thank you for all you do for our families. Happy Mother’s Day. https://t.co/7pdxPuVhGl,2020-05-10 14:57:20
"The @IowaNatGuard has been critical to our state’s response to #COVID19. Yet another example: to increase testing capabilities, guardsmen are flying tests by helicopter from testing sites to the State Hygienic Lab. https://t.co/HifzO4qiDu",2020-05-09 21:12:06
"Had the chance to connect with leaders from @CityofPolkCity this week on how #COVID19 has impacted their community. I gave them an update on the relief we’ve provided, and some of the issues I’m working on—like supporting our rural hospitals &amp; health care workers.",2020-05-09 18:57:58
.@CommerceGov’s duties on Argentine biodiesel have allowed Iowa’s producers to compete on a level playing field. It’s good news Secretary Ross has heeded our calls and is supporting Iowa’s biodiesel producers! https://t.co/W2a9qpKJzs,2020-05-09 16:27:05
"Public servants in our state and across our country work behind the scenes, day in &amp; day out, to improve the lives of all Americans. During this #PublicServiceRecognitionWeek, I’d like to thank these heroes for their service. God bless you all. https://t.co/TUAkIPky6t",2020-05-09 14:30:25
"Iowa feeds &amp; fuels the world, so maintaining a strong food supply chain is critical to our state. That’s why we’re working at all levels of gov't to keep workers safe &amp; plants up &amp; running. Grateful to be w/@VP &amp; @SecretarySonny &amp; serve alongside @IAGovernor &amp; @ChuckGrassley. https://t.co/WgDpX3NnwY",2020-05-09 00:00:39
Low prices for cattle producers just aren’t matching up with high prices on the grocery shelves. @SecretarySonny is looking into this issue and @realDonaldTrump has called on @TheJusticeDept to do the same. Thanks to the admin for stepping up to help Iowa's beef producers.,2020-05-08 23:27:10
.@IowaNatGuard troops are on the front lines fighting #COVID19. We need to make sure these hardworking men &amp; women can use their military health insurance for at least 6 months after their mission. I’m working w/@Sen_JoeManchin to make it happen. https://t.co/qTvAxLMNyw,2020-05-08 21:20:36
"The sacrifices of our military spouses often go unrecognized, however, they are some of our country’s fiercest patriots. Through relocations &amp; time away from loved ones, they remain committed to supporting our servicemembers in uniform. Today, let‘s thank our military spouses 🇺🇸 https://t.co/mqmiN5oVBt",2020-05-08 20:45:25
"As I shared with some of Iowa’s faith leaders, @VP, @IAGovernor, &amp; @ChuckGrassley today, Psalm 121 has helped me through this pandemic &amp; so many times in my life.
 
“I lift my eyes to the hills, where does my help come from? My help comes from the Lord...” https://t.co/GhdeL4jhoQ",2020-05-08 19:51:40
"Today marks the 75th anniversary of #VEDay, the end of WWII in Europe and the defeat of the Nazi regime. May we never forget the sacrifices of the Greatest Generation—who joined our European allies during the world’s darkest days to protect freedom everywhere. https://t.co/RMJ6A86QMa",2020-05-08 19:07:36
"As a mom, I know the important role child care providers play in our kids’ lives. It’s why I’ve fought to increase access to child care &amp; support child care providers—before, during, &amp; after #COVID19. On this #NationalChildCareProviderDay, I’d like to say thank you. https://t.co/Dn0vQ8PWOs",2020-05-08 18:07:10
Good news for Iowa! @fema announced yesterday that an additional $78 million is on its way to help our state combat #COVID19. This funding will be used for more PPE and testing.,2020-05-08 16:25:46
"Looking forward to having @VP in #Iowa today &amp; participating in important discussions about how we’re working to protect the health &amp; safety of Iowans while getting our state back on its feet. We'll continue working together, at all levels of gov't, to beat #COVID19. https://t.co/yFHUaVKk34",2020-05-08 13:51:19
"The water infrastructure package we advanced yesterday is important to Iowa, &amp; will provide more flood control resources to our communities on the MO &amp; Miss. Rivers. I discussed this package &amp; other work we’re doing on infrastructure w/American Council of Engineering Co. of Iowa.",2020-05-07 23:49:00
"With classes moved online or cancelled altogether, #COVID19 has been challenging for Iowa’s college students. Today, I spoke with representatives from @uisg to learn more about how we can support them. Thanks for speaking with me, and for your leadership during this tough time.",2020-05-07 22:38:02
"It’s not just individuals, it’s local, Iowa companies and their workers who are stepping up to help out during #COVID19. Thanks to Kent Corp. in Muscatine for providing meals to families in their area! https://t.co/tiTWDbRYu4",2020-05-07 21:10:36
"The #RFS is more important than ever as farmers, the biofuel sector, &amp; rural America struggle amid #COVID19. Waiving it would cause further harm to our economy. 
 
I led a bipartisan letter urging @POTUS to uphold the #RFS &amp; to reject requests for it to be waived. https://t.co/dMgRMKAfwR",2020-05-07 20:03:08
"ATTN ➡️ The $1.5 billion in funding we provided in the CARES Act to help communities prevent, prepare for, and respond to #COVID19 is now available through @US_EDA. For more info on this program &amp; how to apply, visit: https://t.co/7kiSISpT8l",2020-05-07 18:06:14
"On this #NationalDayOfPrayer, I join with Iowans &amp; folks across the country in praying for our nation and leaders, those on the front lines combatting #COVID19, and the thousands who have lost loved ones to this invisible enemy. God is with us, and we will get through this.",2020-05-07 13:52:41
"You can always count on a farmer. But when our farmers need a helping hand, let’s make sure they can always count on us. Read my column in The @IowaFarmBureau Spokesman: https://t.co/u08lZO5NOa",2020-05-07 13:10:25
"When will Treasury and SBA release loan forgiveness rules for the #PaycheckProtectionProgram? 

We’re now well into the 8-week period for many of these loans, and Iowa’s businesses and lenders are still in the dark on this.",2020-05-07 00:19:25
