tweet,dates
"While this Mother’s Day looks different for families across America, I want to take today to celebrate all the mothers-to-be, mothers, and grandmothers in our community – especially my own mother, Julie, and my wife, Mary Beth, for everything they to support our family. https://t.co/x2uqWknPbr",2020-05-10 12:12:03
"Hundreds of people in our community have written us to give thanks for YOU: our front line workers. Every single one of you has made a difference to our community. Though we'll never have enough ways to thank you, we want you to know how much you mean to us. ⬇️ https://t.co/cUhEbWehjU",2020-05-09 18:41:03
"From businesses producing hand sanitizer to individuals sewing masks, our community has stepped up in so many ways throughout this crisis. I'm filled with pride and gratitude to see our health systems continuing that leadership as we work towards a vaccine.https://t.co/AAnwBrrxiU",2020-05-09 13:29:01
"My priority is ensuring families in our community have access to the tools and resources they need during this crisis - including reliable, accessible broadband internet to help people apply for benefits, utilize tele-medicine, and facilitate distance learning for students. https://t.co/bQJeOelXNz",2020-05-08 18:32:08
"Want to help combat #COVID19 across our community from the safety of your home? Sign up for this quick daily survey! Your participation will help provide a comprehensive picture of how the pandemic is affecting Rochester and inform future decisions. 

https://t.co/yl0JaDtfyn",2020-05-08 16:04:00
"As unemployment claims rise and more families are forced to rely on safety net programs like SNAP, we must take action to uplift the most vulnerable among us and empower families with the tools they need to succeed. 

@SenGillibrand and I are leading the charge with the HOPE Act. https://t.co/rXPzJAfFMf",2020-05-08 13:26:44
"Grateful for our partners at @FoodlinkNY who are working tirelessly to get meals to those most in need during these challenging times. 

They're hosting drive-thru food distributions at six different sites over the next two weeks - to register, please call 211 or text 898-211. https://t.co/NHspzb0QVl",2020-05-07 20:43:54
"Our community's resources for the next ten years depend on everyone doing their part to fill out the #2020Census. 

It's quick, it's easy, and it's an important way to help support vital local programs.

Fill out yours today: https://t.co/TjCVqNuwUI https://t.co/EaPCQxNSfZ",2020-05-07 17:57:18
"Enjoyed the opportunity to connect with my friends in the @PittsfordRotary yesterday! Especially during these difficult times, I'm encouraged to see so many organizations finding ways to come together, even virtually, and improve our community. https://t.co/IRpcCQcJeg",2020-05-07 16:08:15
"I was proud to help secure funding that @CountyExecBello has utilized to purchase face masks for community residents. 

In need of a mask? They're being distributed across the County this Saturday from 10 AM - 2 PM. 

Click here to find a site near you!
https://t.co/2HtVeV5OVI",2020-05-07 13:23:06
