tweet,dates
What does it mean to telework for Congress? Watch to see what I’ve been working on this week 👇 https://t.co/lTVyccPwwU,2020-05-09 23:00:00
CALLING ALL STUDENTS: Our Congressional Art Competition is still on – but we’re going all virtual! Submit your art by June 1 by uploading a picture here: https://t.co/Kd3GG2qwJd,2020-05-09 19:10:19
"We NEED to make sure that our students in the Valley have the resources they need during this crisis. 
https://t.co/QCWJPQQUPT",2020-05-08 23:00:00
Today I joined teachers and faculty at Cesar Chavez middle school to hand out lunches to their 7th and 8th graders. Go Tigers! https://t.co/f7RT3ggMaV,2020-05-08 21:00:00
FARMERS: I’m hosting a virtual town hall tomorrow at 3 PM! Submit your questions today and find info to join here: https://t.co/mjNTVuetyf,2020-05-08 01:00:00
"As many as 20,000 people have died from Coronavirus in nursing homes. Where was this PPE in March?? https://t.co/tN74Np5KI4",2020-05-07 23:52:24
"I’m hearing every day from folks who are concerned that they haven’t gotten their stimulus checks yet.  You can check the status of your payment here ⬇️
https://t.co/fheOfrXgf1",2020-05-07 22:00:00
"Even one death is too many. Our seniors need real help now, not a commission that won’t even meet for a MONTH.  
https://t.co/9cyCKwRewD",2020-05-07 18:59:48
"Amazon makes PLENTY of money – there’s no doubt in my mind they can afford to protect employees. One worker death is too many – we need answers. 

https://t.co/2WixPIK9DA https://t.co/gJVEf7u4k9",2020-05-07 00:00:00
"CALLING ALL FARMERS: I’ll be hosting an ag town hall this Friday at 3 PM to answer your questions on SBA loan programs. More info on how to join and submit a question ahead of time is available here ⬇️
https://t.co/UPVs60Tscx",2020-05-06 21:00:00
Central Valley nurses work day in and day out to keep our families healthy – but especially in this time of crisis – they are heroes. This #NationalNursesDay I thank every single nurse putting their own health at risk to fight the Coronavirus Pandemic. https://t.co/vfy6jvanys,2020-05-06 18:00:01
"Did you know one blood donation can save THREE LIVES? If you're healthy and able, consider scheduling an appointment today: https://t.co/Tvu0HQLMZJ https://t.co/1CrSWpRIqg",2020-05-05 23:36:45
"Things look dark and we could all use a pick me up, check out Turlock’s new official song. 
https://t.co/T0vjKeSoLJ",2020-05-05 22:50:07
"Older folks living in nursing homes have been some of the hardest hit through the Coronavirus Pandemic. We’ve seen it here in Turlock – and across CA – 1/3 of deaths have been related to nursing homes. 

(thread 1/4)",2020-05-05 20:13:53
"💲 IMPORTANT DEADLINE TOMORROW: In order to get a $500 stimulus check for each child, SSI and VA beneficiaries must register their dependents with the IRS by MAY 5. 
https://t.co/2lHktfl7RT",2020-05-05 01:30:00
"May is Mental Health Awareness Month, and the social isolation and chaos around the Coronavirus Pandemic are taking a toll. If you or a loved one are in crisis please call 1-800-273-TALK. You are not alone. https://t.co/HYw51AvRxZ",2020-05-04 22:30:30
"Nurses, law enforcement officers, truck drivers, grocery store workers, mail carriers, warehouse workers, and everyone else showing up to their essential jobs DESERVE HAZARD PAY.",2020-05-04 19:41:29
