tweet,dates
"Senator Josh Hawley (R., Mo.) is introducing a bill to remove the United States from the World Trade Organization, saying that the intergovernmental group “enabled the rise of China” at the expense of American industry. https://t.co/ygAkpgFOiG",2020-05-08 19:08:40
"""Because the government has taken the step of closing the economy to protect public health, Congress should in turn protect every single job in this country for the duration of this crisis."" Read more from Senator Josh Hawley on his plan to rehire America https://t.co/4s6SlLWcdS",2020-05-08 16:53:34
"Congress needs to get serious NOW to stop the hemorrhaging. The sole focus right now should be: jobs, jobs, jobs

Senator Hawley has a plan that would help businesses cover 80% of wages, up to the national median, no matter their size, to keep people employed through this crisis. https://t.co/LIwn7lvRQN",2020-05-08 13:50:28
"NEW — Sen. Hawley has introduced a resolution to withdraw the US from the World Trade Organization.

""We need to return production to America, secure critical supply chains, and encourage domestic innovation. Pulling out of the WTO is a good first step."" https://t.co/ZZQRcpHLHl",2020-05-07 21:41:31
The modern global economy weakens American workers and has empowered China’s rise. That must change. It's time to pursue policies that are good for American workers and American families. Abolishing the World Trade Organization is a good place to start. https://t.co/vFc2kY20Et,2020-05-07 21:05:41
"In their letter, the Senators write: ""Given the extreme lack of available jobs for American job-seekers as portions of our economy begin to reopen, it defies common sense to admit additional foreign guest workers to compete for such limited employment."" https://t.co/kvG3km3OIR",2020-05-07 15:16:58
"ICYMI — Senator Hawley heard direct from United employees about impending layoffs. He promptly called on the company to keep its promise to protect its workers jobs after receiving billions in taxpayer bailouts.

Here's the latest ↓ ↓ ↓ https://t.co/qK8lT9HPA4",2020-05-07 13:55:06
WATCH LIVE — Senator Hawley is joining @TuckerCarlson in just a few minutes to discuss his call to abolish the World Trade Organization. https://t.co/Pcgp8ctkVd,2020-05-07 00:51:27
"Coronavirus is not only a public health crisis. With 30M Americans unemployed, it's also an economic crisis. And it has exposed a hard truth about the modern global economy: it weakens American workers and has empowered China’s rise. That must change. https://t.co/Pcgp8ctkVd",2020-05-06 22:06:54
"Senator Josh Hawley writes in @nytopinion: ""There is no going back to the world before #COVID19. And in truth, we shouldn’t want to. That world had not worked for too many Americans for far too long."" https://t.co/Pcgp8ctkVd",2020-05-06 19:12:07
"The economy is made up of workers.

The people who go to work every day, who are responsible for this nation’s health, for the food we eat, the clothes we wear, the goods that we pick up, and the delivery drivers leaving them at our door.

Workers do those things for all of us.",2020-05-06 16:13:20
We’re not going to have an economy to open if nobody has jobs. Congress should be focused on getting Americans their jobs back. We don't have to continue down this path. https://t.co/ftOSR0EkKa,2020-05-06 14:03:08
Senator Hawley has a plan to help get Americans their jobs back ASAP. More than 30 MILLION Americans – 1 in 5 workers – are unemployed as a result of coronavirus and the government’s response to try to stop this pandemic. https://t.co/4gFDbHEXq0,2020-05-05 22:05:52
We’re not going to have an economy to open if nobody has jobs. Senator Hawley has a put forward a plan to move America towards economic recovery. It starts with jobs. https://t.co/5T97K1UYRy https://t.co/ffvqRNms61,2020-05-05 21:56:02
"The only sure way to confront the single greatest threat to American security in this century—Chinese imperialism—is to rebuild the US economy &amp; to build up the American worker. That means reforming the global economic system.

The @wto should be abolished https://t.co/Pcgp8ctkVd",2020-05-05 15:40:37
"Sen. Josh Hawley makes plain why the World Trade Organization should be abolished.

""That means returning production to this country, securing our critical supply chains and encouraging domestic innovation and manufacturing."" https://t.co/Pcgp8ctkVd",2020-05-05 14:17:56
