tweet,dates
"Happy Mother’s Day! I sure do miss my mom, she was my hero, friend, and so much more-I can’t even begin to put it into words. Love you, Mom. https://t.co/7ZvoUakFlY",2020-05-10 13:13:37
"My good friend Mayor @nanwhaley challenged me to the #AllInForOhio mask challenge. 

I wear my mask for my family, friends, neighbors, and ALL my constituents. We are #InThisTogetherOhio! https://t.co/aIKb8MZt3j",2020-05-09 13:53:14
"BREAKING NEWS: IG report finds...

“Because @SBAgov didn’t provide guidance about prioritizing borrowers in underserved and rural markets, these borrowers, including rural, minority and women-owned businesses may not have received the loans as intended.”
https://t.co/FsVNc5iqjO",2020-05-08 21:30:08
FYI: I am a proud supporter of this bill. https://t.co/DC6o5TZI9u,2020-05-08 21:06:27
Calling all #OH03 high school artists! 📣Submit artwork for the 2020 Congressional Art Competition.  https://t.co/CN09i0n0Y6,2020-05-08 20:00:00
"Read my full statement on reports of armed protesters and individuals displaying racist and xenophobic signs targeting 
@DrAmyActon and her family at her house.
https://t.co/IqYkZlq1dk",2020-05-08 19:30:58
"Today and every day, we honor and recognize our nurses working on the front lines You amaze us. #EverydayHeroes #NursesWeek2020 https://t.co/KJRjR07Msc",2020-05-08 19:00:00
"Need a fresh cut after all this? 💈💇🏾‍♀️

It won't happen if we don't help our barbers and beauticians!

https://t.co/EztLILhcbF",2020-05-08 17:49:50
"Hardworking Americans &amp; their families are hurting. They need help now! Congress &amp; @WhiteHouse must pass addt'l #COVID19 relief bill.

⏰ TIME IS TICKING! ⏰ 
https://t.co/JKPXdoOuxl",2020-05-08 13:58:26
"Oh Donald, how predictable. #StopEndlessWar https://t.co/i92FKS2bQG",2020-05-07 21:00:00
We need to #BanTheBox &amp; give more small business owners a #FairChance! https://t.co/KREBV0Vqcu,2020-05-07 20:00:00
"The MORE PPP Act will make sure small businesses—not big, publicly traded companies—can obtain the support they need to weather #COVID19’s financial fallout &amp; help keep their doors open! https://t.co/AdW4udVxD2",2020-05-07 19:00:00
I am fighting #ForThePeople day-in &amp; day-out to address the Coronavirus. Get the latest updates on my work now! https://t.co/OrfRNfXBA3,2020-05-07 17:45:00
Byron’s story is not unlike the story of countless Central Ohio small businesses. They need our help NOW! #InThisTogetherOhio https://t.co/MAO4Pfm4pm,2020-05-07 16:45:30
"No one should lose their home in the middle of a pandemic! #RentReliefNow 

RT IF YOU AGREE! 
https://t.co/82w0kZHIZu",2020-05-07 13:17:24
This is called a quid pro quo. During a public health crisis. https://t.co/kndWWL2nfU,2020-05-07 02:36:04
Dear teachers: thank you so much for your hard work &amp; dedication. Your commitment to molding &amp; shaping the young minds of tomorrow doesn’t go unnoticed. #ThankATeacher https://t.co/eC2LvuN1vU https://t.co/hK2AOrb8RY,2020-05-06 20:03:44
"BREAKING NEWS: @realDonaldTrump urging SCOTUS to overturn Obamacare...in the middle of a public health crisis! #StayWoke #ProtectOurCare
https://t.co/ExOOsyk8zA",2020-05-06 19:34:38
"The #2020Census helps allocate $$ for education, healthcare, food programs, roads &amp; highways—you name it! Do your part and be counted at https://t.co/QIwTh3D3Gd. #EveryoneCounts https://t.co/wyLMSbieOz",2020-05-06 19:00:00
The Affordable Care Act is making a BIG difference in the lives of Americans impacted by #COVID19. Find out how now. https://t.co/0aaGQKBsI1,2020-05-06 18:00:00
"Hate, threats, &amp; intimidation have NO place in our society! I stand with @DrAmyActon and her family. #WeAreBetterThanThis https://t.co/g2Pn5Fh7qX",2020-05-06 16:36:46
"The numbers are staggering: 20 MILLION jobs lost!

We need a leader in the @WhiteHouse NOT a 'cheerleader!'
https://t.co/rWshb5v0S1",2020-05-06 14:35:40
"FACT: numerous @GOP-led states are facing coronavirus-caused financial crises—including the State of Ohio—just like Democratic-led states. See for yourself!

https://t.co/py6bmdQhiN",2020-05-06 01:22:12
"Becoming more and more notorious by the day. Be blessed and get well soon, #NotoriousRBG. 

https://t.co/CrZWkhPLwT",2020-05-06 01:19:26
THIS JUST IN: #OH03 has received $100 MILLION+ (&amp; counting) in federal #COVID19 relief funds: https://t.co/S9fCPoRZwT,2020-05-05 20:30:00
NEWSFLASH: You should not have to sacrifice your health for a paycheck! https://t.co/EfZAYP6EuP,2020-05-05 19:00:01
".@FederalReserve is willing to purchase junk bonds, but can’t help our largest nonprofits that are critical community partners in combatting the Coronavirus. Does that make any sense?
 
That is why I am introducing legislation to change that. https://t.co/7TqXJVrsU8",2020-05-05 18:30:00
Help make a difference now in the fight against #COVID19 by donating to your favorite nonprofit! https://t.co/PdXCo8geOE,2020-05-05 17:30:00
"Coronavirus isn't just a danger for seniors and Americans living with underlying conditions!
https://t.co/AueaYaGQ70",2020-05-05 16:35:43
FINAL NOTICE: Important Information for #SocialSecurity &amp; #VA recipients. Act now before it’s too late! https://t.co/iUJdAk1Ax7,2020-05-05 14:48:06
"So, I guess @realDonaldTrump is now President of the @GOP States of America? 
https://t.co/KgutWxPzMJ",2020-05-05 12:07:45
"On this day 59 years ago, 13 #FreedomRiders got on a public bus to fight segregation and stand up for justice.
 
Today, we must honor their sacrifice by remembering our role in the fight for equality for ALL. https://t.co/7yQwUmR3th",2020-05-04 19:30:00
Get more info @GovMikeDeWine’s Responsible Restart Ohio plan. https://t.co/HIu1ZTK4K2,2020-05-04 18:30:30
Do your part NOW &amp; fill out your #2020Census. It only takes 10 minutes! #EveryoneCounts https://t.co/y03P4jXP4e,2020-05-04 17:30:00
