tweet,dates
Americans have nearly $1.6 trillion in student loan debt which prevents them from investing in their future and forces many to live paycheck to paycheck. (1/2),2020-05-08 23:26:26
"ICE had plenty of time to implement the proper measures, and now, we are facing the worst possible outcome. The current conditions make it impossible for ICE to keep their personnel and detainees safe. (1/2)",2020-05-08 21:01:13
Many of the detainees in ICE custody are asylum seekers who came to our nation for a better life. Detention in our country should not come with a death sentence. (1/2),2020-05-06 22:58:08
I proudly joined my colleagues in a letter requesting that the SBA begin accepting new #EIDL applicants and provide current applicants with an update on their loan status.  (1/2),2020-05-06 19:26:42
"Did you know that children have historically been undercounted in the Census?
We need to get it right in #Census2020 so that every child gets the education funding and resources they need for the next 🔟 years. It’s up to all of us to make sure #WeCount!
https://t.co/0b15qx8t69",2020-05-04 21:03:52
Wishing my colleague @RepGonzalez a speedy recovery. Get well soon! https://t.co/fm70xDaaCV,2020-05-04 19:43:58
"In efforts to follow social distancing guidelines recommended by the CDC, CalFresh recipients may now use their EBT card to buy groceries online for home delivery.

Learn more about CalFresh, California's food stamps (SNAP) program, here:

https://t.co/qOgA6c7DsO",2020-05-04 18:03:46
"Our nation is forever grateful to essential health care workers who are keeping our country healthy during this pandemic. 
This #MayDay2020, I am also thankful for essential immigrant workers who make 16.5 percent of the national healthcare workforce. #ClapForWorkers",2020-05-01 22:31:49
"Millions of Americans, including children, were denied stimulus checks because of their spouses’ or parent’s immigration status.

The administration cannot allow families to go hungry due to a discriminatory policy punishing citizens for loving or being born to an immigrant.",2020-05-01 20:00:11
"ICE and CoreCivic must implement measures recommended by the CDC to ensure that personnel, detainees, and surrounding communities are not affected by a potential COVID-19 outbreak in their detention center.

https://t.co/GAhsET9hoG",2020-05-01 18:38:58
"I applaud Judge Sabraw’s decision ordering ICE to release 51-69 vulnerable detainees from Otay Mesa Detention Center.
I have and will continue to demand that ICE release ALL nonviolent detainees, giving priority to those with medical conditions. https://t.co/dd4de74GmU",2020-04-30 22:22:16
"If you receive SSI or VA benefits, have qualifying children under 17, and didn’t file a tax return in 2018 or 2019, act now to get the full amount of your Economic Impact Payment from the #IRS. The deadline is May 5, 2020. (1/2)",2020-04-30 18:36:37
"This is a dire situation as the ongoing spills negatively affect the lives and livelihood of communities living in and around the Tijuana River Valley. 
We need to take meaningful action today, as cross-border spills are causing long-term harm to our communities.",2020-04-30 17:41:35
I am proud to celebrate Israel’s Independence Day along with the people of Israel who continue to build a culture and economy that has strengthened and enriched our world for the past 70 years.,2020-04-29 16:55:10
"Beginning this Friday, May 1st: All MTS riders will be required to wear a face covering when riding transit.

Learn More⬇️

https://t.co/kZZhH7oEj6",2020-04-28 23:55:22
#COVID has highlighted the injustice of health inequity in our society. We must learn the lessons of this crisis and take a data-driven approach to improve health outcomes for all Americans. https://t.co/sw52IntjtO,2020-04-28 21:45:15
"Communities of color have been under-counted in the Census for decades, leading to mass under-funding of our:
Schools📚
Roads🚗
and Cities🌇
Let’s make sure #WeCount this #Census2020!
https://t.co/8Zd0j8xp0X",2020-04-27 20:03:13
"I’m glad this legislation passed quickly, securing additional funding for small businesses, hospitals, and testing.",2020-04-25 00:07:08
"People are fearful during this time, particularly those in U.S. custody who are especially vulnerable to infection.
It is in the best interest of the general public, personnel, and detainees, to release all non-violent detainees, giving priority to those with medical conditions.",2020-04-24 21:12:31
"#EarthDay is about celebrating the planet and recognizing our responsibility to protect it.
I am working to #ActOnClimate because we want a healthy Earth not just for a day, but for generations to come.",2020-04-22 20:41:51
"We cannot allow detention centers to become COVID-19 epicenters due to unnecessary crowding. 
It is in the best interest of the general public, personnel, and detainees, to release all non-violent detainees, giving priority to those with medical conditions. https://t.co/AUfJJNWVMV",2020-04-22 19:37:15
"Today I’m thankful for our Earth and especially thankful for Chicano Park, our National Historical Landmark celebrating its 50th anniversary.",2020-04-22 18:42:13
"The San Diego Food Bank’s food distribution programs will continue to serve those in need throughout the duration of the coronavirus crisis. 
 
Learn more ⬇️
 
https://t.co/FGLZFnVfVg",2020-04-22 16:35:22
