tweet,dates
"#AhmaudArbrey was murdered solely because of his skin color, just like so many before him. Institutional racism allowed his cold blooded killers to walk free for months, despite a video of their crime. There must be #JusticeForAhmaudArbery",2020-05-08 18:14:06
This is an incredibly irresponsible message on the day we posted our highest unemployment #s since the Great Depression. There's still a lot of May left. We are not through this crisis. Businesses need support now. Families are struggling now. We cannot abandon American workers. https://t.co/sQu4f6P91S,2020-05-08 17:09:55
"If we're going to get through this #COVID19 crisis, we will need nurses. But first, they need PPE. I'm standing with our front line nurses across the country as they demand the tools they need to do their job right &amp; safely. #ProtectNurses",2020-05-08 16:34:22
"After 400 days of obstruction and lies, it's clear the President is disobeying the law &amp; hiding his tax returns because he wants to hide information from the public. It shouldn't take a court ruling for a President to be honest. https://t.co/XDu47zj8XW",2020-05-08 14:50:12
"NEW COMPLAINT filed with @DHSgov by @AILANational, @immcouncil, and #ImmigrationJustice Campaign partners, highlights accounts of those detained in @ICEgov custody amid the #COVID19 pandemic. READ the complaint https://t.co/b3Qz72eJHY #SafeAndTogether",2020-05-07 20:27:35
"We may not be able to all meet in person, but we won't let that stop our vital work for the American people. Today, the @HouseSmallBiz Committee held a forum with SBA resource partners to discuss how programs like PPP are being implemented. https://t.co/Qt1bO12a9m",2020-05-07 19:46:50
We can and must help workers and families. And we can afford to by first repealing the $2 trillion tax cut for billionaires. https://t.co/t3wezyIXSx,2020-05-07 16:42:57
There is no replacement. They just want to terminate healthcare. Even in the middle of a pandemic. https://t.co/Zkc7f0qv2R,2020-05-06 18:44:44
This is a lie. Your #TitleIX rule literally redefines sexual misconduct to make it harder to prosecute &amp; allows schools to ignore sexual assault in some instances. The only one failing to protect our students is you. https://t.co/tKyNCOdHGk,2020-05-06 18:18:00
"While colleges &amp; universities try to make sure students can return safely, Betsy DeVos is trying to do the opposite. 

Her new rules will limit what constitutes sexual harassment, and allow schools to ignore some accusations completely. https://t.co/NqlXqFHE8s",2020-05-06 16:16:40
Scammers are trying to take advantage of this crisis. You can protect yourself with these tips. https://t.co/duT6ax7sEe,2020-05-06 15:37:23
"Cutting the payroll tax = cutting social security. 

People are suffering. We should not be robbing from their future. https://t.co/l8pJ130Fnw",2020-05-06 14:08:20
"#DearBetsy, College students have been pushed out of their housing, leaving many homeless or forced into unsafe or unstable living. 

@BetsyDeVosED should be focused on ensuring young people are safe, not rolling back survivors’ rights. Keep your #HandsOffIX. https://t.co/G1bvpUGmbg",2020-05-05 21:01:04
"My San Gabriel Valley AAPI virtual town hall on #Covid-19 is starting in just a few minutes. We'll be joined by experts to discuss xenophobia, public health, and small business help. You can join me by registering up until 11 am PT at: https://t.co/GLXqJJRTFy",2020-05-05 17:41:03
"Huge shoutout to the American Legion in Monterey Park and these amazing entertainment workers who have come together to help our front line workers, making face shields for hospitals. This kind of community unity &amp; support is inspiring. https://t.co/yLVe9skQ4Q",2020-05-05 16:22:17
"There's still time to register for my AAPI San Gabriel Valley Virtual Town Hall on the coronavirus - happening 5/5 from 11am-12pm PT. I'll be joined by experts to discuss anti-AAPI discrimination, public health, and small biz resources. Register at https://t.co/GLXqJJRTFy https://t.co/sctiSujmvS",2020-05-04 20:21:40
"The same ‘pro-life’ party that protects gun maker profits over children's lives also thinks some people should die so that some businesses can reopen. 

This makes it clear that, when they say they are ‘pro-life’, they mean they’re just pro-controlling women’s bodies. https://t.co/SnUXCBesQy",2020-05-04 16:06:24
"Don't miss your chance to help our community access resources for hospitals, schools, and infrastructure!

Respond to the #2020Census online at https://t.co/jkiXym5hXB, by phone or by mail. 
Language Assistance ⬇️

https://t.co/FD1U2mADYl",2020-05-01 18:46:00
"A5: Over a trillion dollars in federal funding will be allocated based on the results of the 2020 Census. Many of the resources workers and healthcare facilities across the country are relying on such unemployment insurance, medicaid, CHIP, &amp; SNAP are all directed by census data. https://t.co/pd2M6luOUu",2020-05-01 18:14:09
"Whenever you do this, it's followed by a slew of tweets from your followers questioning my loyalty. For others, it's so much worse. Your obsession with creating a new Cold War, building fear of China in order to deflect blame away from yourself, is going to get more people hurt. https://t.co/nzUU59NQR9",2020-05-01 16:21:57
"Last week, it was his racist comments against Asian Americans. This week, it's his sexism, obsessively slut shaming women in order to defend Trump. Michael Caputo is disgusting and hateful and has no place in our government. Resign! https://t.co/Nw79noUydB",2020-05-01 16:00:25
CAPAC Executive Member and Freshman Representative @RepAndyKimNJ has been appointed to the bipartisan Select Committee on the Coronavirus Crisis where he will help oversee the over $4 trillion in relief and ensure it gets to where and who it was intended https://t.co/3h97VwATGp,2020-04-30 01:41:56
"Just as we saw with Puerto Rico, Donald Trump is happy to let people live or die based on whether or not he thinks they voted for him. A pandemic is no time to play politics with people’s lives. 

By the way, California pays more to the Federal gov't than we receive. https://t.co/4YdT88MCb7",2020-04-29 22:16:47
"In 2017, Republicans added $1.9 trillion to the deficit in order to give tax cuts to the wealthiest 1% and so corporations could buy back stocks. But now that working families need help, the GOP is worried about the deficit again. Here's an idea: repeal the tax cuts. https://t.co/Tg83HF0a7A",2020-04-29 16:52:46
There is no healthy economy without healthy people. We need more testing and contact tracing or else people who go back to work will be at risk of catching or spreading coronavirus again.,2020-04-28 19:25:47
"Healthcare workers.
Grocery store workers. 
Transportation workers.
First responders.
Agricultural workers. 
Parents doubling as teachers at home. 
Anyone still at work in this crisis risking their life for ours. 

Who are you honoring this #nationalSuperheroDay?",2020-04-28 16:46:52
"To survive this crisis, the PPP was set up to keep businesses open &amp; workers paid. But too many were left out. That's why last week we voted for more $$$ &amp; directed it at those who need it. And applications are now open! You can learn more and apply here: https://t.co/1dtAYV0S8U",2020-04-27 15:30:12
"105 years ago today, Armenian intellectual and cultural leaders were rounded up in what would become the Armenian Genocide. 1.5 million innocent lives were lost and it is up to all of us to remember so that this can never happen again. https://t.co/zer1jbrBdy",2020-04-24 20:45:50
"At a time when it's more important than ever that everyone be able to access healthcare, the Trump administration is changing the rules to allow denying healthcare to LGBTQ individuals in the middle of a pandemic. This is wrong. Healthcare is a human right https://t.co/SGDN5mKg9b",2020-04-24 19:16:25
The way this family has banded together to weather this crisis is truly inspiring. But it shouldn't take an Olympic effort nor should families have to bear this alone. That’s why today I voted to ensure more support for small businesses like this. https://t.co/tOYW1aTFF6,2020-04-23 21:42:00
"It's clear @PressSec never even took the time to read this bill before lying about it. If she had, she'd see a specific exemption for ‘public safety’ which ‘includes efforts necessary to contain a communicable disease of public health significance.’ 

The people deserve honesty. https://t.co/ecJP3CrhK0",2020-04-23 18:56:36
"We need to contain this virus &amp; help Americans weather the crisis. Today, we're voting to do both. 1st, we are improving testing capacity to understand the true scope. 2nd, we are strengthening PPP so all #SmallBusinesses are able to benefit, not just the biggest companies. https://t.co/zlCZBixE1q",2020-04-23 17:27:33
"The PPP was created to help all businesses survive this crisis. But when Treasury opened lending up to the big banks, most small businesses got left out. Today, the @HouseSmallBiz committee is holding a hearing to hear from Members about how to get more aid where it's needed. https://t.co/NCRxfrUjQ7",2020-04-23 15:49:15
"If you have questions about the $1200 stimulus checks being sent out right now, my office is always here to help you. But tomorrow, you will also have a special opportunity to ask the IRS yourself. If you have questions, I encourage you to register today! https://t.co/ORELb9XDGM",2020-04-22 19:18:10
"In the 50 years since the first #EarthDay, smart regulations have solved problems like acid rain &amp; reduced smog, making the air in LA safe again. The lesson: our actions matter. We must must be even bolder now to preserve the progress we've made &amp; overcome the climate crisis.",2020-04-22 15:16:25
What an insult to the millions of immigrants currently risking their lives in essential jobs while the Trump administration scapegoats. https://t.co/7GZuvYwuxR,2020-04-21 02:51:27
"If you don't file taxes, your $1200 check is still coming. BUT, if you have kids, you're entitled to another $500 each. To get that w/ your check, you MUST fill out this special form from the IRS by WEDNESDAY. Do not delay your payments!  https://t.co/Xl3SES5jOL",2020-04-20 21:15:12
Immigrant families must be able to obtain the care and help they need during this public health emergency without fear or confusion. The public charge rule and enforcement action around sensitive locations deter them from seeking medical care. #NationOfImmigrants,2020-04-20 19:52:14
"I'm glad Republicans are calling this out as well. Treasury opened PPP up to big banks w/out any rules for equitable lending. That's why, last week, House Dems sent a letter urging Treasury clarify that PPP should be available to ALL who need it, not just the biggest customers. https://t.co/PeyX518njF",2020-04-20 19:38:52
"Jobs immigrants hold in our workforce:
✔ Health care workers
✔ Farmworkers
✔ Grocery store clerks
✔ Other essential jobs
As they risk their lives, our bill H.R. 6437, ensures immigrants have access to key relief measures &amp; work authorization #NationofImmigrants",2020-04-20 18:23:25
I completely agree. A climate resiliency corps would put people back to work with good jobs that improve living standards and adapt to the changing climate. A win-win at a time we need both. That's why I introduced HR 5176 to do just that. https://t.co/H8xK1YwHOq,2020-04-20 16:54:59
That's exactly what happened @Kasie. And it's why we're pushing SBA and Treasury to ensure banks lend to all businesses. The federal gov't assumes all risk for these loans so there's no reason to limit them to just the biggest businesses. https://t.co/xnKzBtoJI9 https://t.co/56BaP8chtu,2020-04-17 20:16:17
"There is a better option, @mcuban. Treasury and SBA can do as we've urged them, and issue a rule requiring equitable lending practices. US gov’t accepts all risk, so banks must lend to everyone, not just the biggest applicants. https://t.co/xnKzBtoJI9 https://t.co/wK11Vm82NN",2020-04-17 19:15:38
"Congress passed the PPP so that businesses could keep paying employees. But big banks turned many small businesses away, even their longtime customers. That's why today, we're urging @SBAJovita &amp; @stevenmnuchin1 to ensure equitable lending from banks! https://t.co/ywPk2Z5uel",2020-04-16 21:52:36
"Stimulus checks are supposed to go to families, not private corporations. We are urging Treasury &amp; IRS to immediately clarify that banks should NOT garnish payments from stimulus checks at a time when families need to put other necessities first. https://t.co/AG9fs31VNw",2020-04-16 19:55:07
"We don't have a border with China. Also, the fact that you can't distinguish between China &amp; Chinese AMERICANS puts Asian American lives at risk. @SpeakerPelosi stood with the #AAPI community as you were stoking xenophobia and downplaying the threat from coronavirus entirely. https://t.co/Q0OHATUsP8",2020-04-16 19:44:15
Your actions TODAY will determine the next 10 years or more. The 2020 Census is our only chance in the next ten years to get a full and accurate count of our communities. Fill yours out today at https://t.co/jkiXym5hXB. #WhyCensusMatters #Census2020,2020-04-16 18:20:00
"When coronavirus hit, people blamed Asian Americans. Chinese restaurants were the first to close. Physical and verbal assaults were rising. @SpeakerPelosi did the right thing and stood up to discourage xenophobia. The President would do well to follow her example, not mock it. https://t.co/3qvNbXkndp",2020-04-16 13:48:50
"Trump knows he cannot adjourn Congress to appoint unqualified judges. But his political distractions are especially dangerous when we still have a virus to contain, families to support, and an economy to rebuild https://t.co/ltEDDH8JoL",2020-04-16 13:30:30
"While growing up right here in Pasadena, it was clear Jackie Robinson was a star. But despite his obvious talent, all the scouts could see was his color. It was their loss, though, as 73 years ago today, Robinson broke the color barrier &amp; started a 10 year hall of fame career. https://t.co/w1w8uZcVrE",2020-04-15 18:12:18
"Electronic stimulus checks to help us weather this crisis are being delivered. If you want to know when yours will be delivered, the IRS has set up a free app you can use: https://t.co/seno2mMKTd",2020-04-15 16:14:00
"The US helped create the WHO to keep people healthy, especially during a global pandemic like this. Many countries depend on the WHO right now to fight coronavirus. But now, more people will needlessly die because Donald Trump needs somebody to blame for his own delayed actions. https://t.co/6RGG7HLXeV",2020-04-15 13:59:20
"Politicians are using pandemic fears to push an anti-abortion agenda, violating reproductive rights. The Supreme Court must protect access to time-sensitive, essential abortion. #AbortionisEssential https://t.co/5XVKrRVWbO",2020-04-13 16:33:48
"""I don't take responsibility at all."" - Donald Trump 

""The governors are supposed to be doing it."" - Donald Trump 

The conflict and confusion are because of the President trying to protect his own image from accountability instead of protecting the people from coronavirus. https://t.co/WABdTgPvvQ",2020-04-13 15:34:03
"Listening to experts works. Social distancing, staying home, &amp; protecting ourselves can slow the spread of coronavirus. That's why it's essential you wear a mask if you go out. And you don't need a professional one. You can make a CDC approved one at home: https://t.co/GVPHecyt1Q",2020-04-13 15:14:16
"This Saturday, the neighborhoods of Altadena are uniting for a round of applause to thank those on the frontlines during this crisis. You can take part by making a large ""Thank you"" sign and, starting at 9 am, applauding for 3 minutes at your window or door #ClapForOurCarers https://t.co/0g2QCtEcAA",2020-04-10 23:38:27
6 years old - that’s how old the average #DACA recipient was when they arrived in the US. #HomeIsHere for #Dreamers. It always has been and always will be. We must #ProtectTheDream at #SCOTUS.,2020-04-10 18:58:05
"We're sending every American $1200 to help weather this crisis. But as it's based on 2018/19 tax filings, those who didn't file may have to wait months for paper checks. 
 
Good news! Non-filers can provide electronic payment info to the IRS online here: https://t.co/Xl3SESmVdl",2020-04-10 17:37:57
"COVID-19 testing is now available in Los Angeles! Tests are limited to those w/symptoms, and prioritized for those who are over 65 or have underlying chronic health conditions. You can learn more at: https://t.co/JzDi8OFqGH",2020-04-10 15:49:52
"When countries started closing their borders, I heard from many constituents with family stuck overseas. So I reached out to State, and this week, some families have finally made it home and I couldn't be happier. If you or a loved one needs help, please contact my office https://t.co/w228FnvPB1",2020-04-10 13:54:22
