tweet,dates
I just introduced a bill to protect our unborn in future COVID-19 healthcare legislation. Read about it👇 https://t.co/R8aMJI7qPk,2020-05-08 16:49:36
"In the midst of this crisis, it's inspiring to see farmers coming together to support their communities #HopeInTheHeartland 
https://t.co/0p1slGLQpg",2020-04-28 14:11:21
🚨 Small businesses looking for support: an additional $310B in funding for PPP loans will be available starting at 10:30 AM ET this morning https://t.co/ukqUPbSOJx,2020-04-27 14:10:43
Glad to be back in D.C. today voting to replenish the Paycheck Protection Program that is quite literally saving small businesses and keeping paychecks in the pockets of our workers. This is long overdue. https://t.co/3DMAOiaAUR,2020-04-23 16:55:56
"The heartbeat of accurate and critical hyper local COVID-19 updates for rural communities are small radio, television, and newspapers. Local media outlets are crucial to continue supporting public awareness. My colleagues and I are calling on the Executive Branch to take action👇🏼 https://t.co/QOXaOLUYoB",2020-04-21 19:44:07
"Check out this #TX11 spotlight on proactivity during this pandemic. Way to go! 

https://t.co/06hDYyR5TN",2020-04-21 19:16:27
De Leon High School in #TX11 has 3D printed face shields for their local hospital. Terrific! 👍🏻 ##AmericaWorksTogether https://t.co/9l7CYjPXo6,2020-04-21 19:11:13
The Paycheck Protection Program has directly supported an estimated 30 MILLION jobs.  We must continue to fuel this resource!,2020-04-21 18:49:03
"The Paycheck Protection Program has sent nearly 28.5 billion dollars directly to small businesses in Texas - with over 134,000 loans approved. PPP is saving the livelihoods of hardworking Americans.",2020-04-20 22:22:09
"#COVID19 triggered countless challenges and obstacles for families across America. Whether they are physically affected by the virus, or battling financial stress and personal chaos due to several unexpected changes. Amidst this uncertain time, Americans are stronger than ever.",2020-04-20 22:10:47
Read my statement on today's oil prices👇 https://t.co/BY5ocxWjX2,2020-04-20 20:46:25
"Mohammad bin Salman, Crown Prince of Saudi Arabia,  must take immediate action to bring stability – not further volatility – to global crude oil markets. Read more 👉 https://t.co/tnCkGOvDhz",2020-04-08 19:16:20
"Democrats threaten vital aid for farmers and ranchers. I agree with @FarmBureau, the nation's largest farm and ranch organization:  Congress should ""pass coronavirus relief including full CCC funding and authority without delay."" https://t.co/dzv43rM0tn",2020-03-23 19:03:04
"Good news, stay tuned for more: https://t.co/ugqrQz4WIz",2020-03-17 22:10:41
Live now on KCRS for the Morning Drive to talk #COVID19 👉 https://t.co/PicyGLKjf4,2020-03-17 13:14:50
Great hearing today with my good friend @SecretarySonny! https://t.co/mZ2vdknI8R,2020-03-04 20:19:49
Live with @agritalk now! Listen here 👉 https://t.co/T2BEZPKBwp,2020-03-02 16:34:53
"On this day March 2, 1836, the great state of Texas gained her independence and the world was forever changed. 

It is also Sam Houston’s birthday, who led Texans to victory at the battle of San Jacinto 🤠 https://t.co/YQdZbVk1uH",2020-03-02 16:19:05
Millions of people are affected by Alzheimer’s every year— its always great to get an update on the work being done to #ENDALZ https://t.co/Q7MEbXcg8s,2020-02-07 17:40:26
Glad to have you in the office! https://t.co/0ZM0XKgdxW,2020-01-30 17:05:09
"Allowing Huawei, and by extension, the Chinese Communist Government, access to any part of the UK's 5G network is mistake. https://t.co/VTqWM0j6iy",2020-01-28 13:19:10
"Throwback to last week when @POTUS signed Phase I of the #ChinaTradeDeal. Thank YOU, Mr. President! https://t.co/wgknvmuxWC",2020-01-21 21:15:00
"It’s been a great two days for trade:

✔️ #USMCA passes the Senate
✔️ @POTUS signs Phase One of the #ChinaTradeDeal",2020-01-16 17:52:28
A powerful moment👇 https://t.co/Z3nNeK1Ig4,2020-01-16 15:43:08
"In 2017, few believed that @realDonaldTrump could successfully negotiate new trade terms with China or renegotiate NAFTA to better serve America’s farmers and ranchers. 

Today, those critics have no ground to stand on. https://t.co/N2Vz75C1Sb",2020-01-15 21:35:08
"Today, we took our last vote of the day, week, month, year, and decade to ratify #USMCA",2019-12-19 21:30:45
