tweet,dates
"An important read by my friend @RepUnderwood. Countless Black mothers should be celebrating Mother’s Day with their families today but they’re dead, in part, because of racial bias in our health care system.

Thinking about them today and every day. https://t.co/yZOE80nMy7",2020-05-10 16:18:29
"My Saving Our Street Act is about getting help to those businesses that need it most. It provides grants to help small, neighborhood business down your street—not Wall Street. https://t.co/lQkJXIUZBm",2020-05-10 02:02:48
Attorney General Bill Barr has corrupted our justice system by acting more like Trump's personal attorney than the nation’s chief law enforcement officer. I'll say it again: Barr must resign.,2020-05-09 19:22:03
"Proud to see California taking steps so our people can safely cast their ballot. Ensuring our elections are safe and accessible during this pandemic must be a national priority.

My VoteSafe Act is critical to doing that nationwide. https://t.co/GhESu0O2xK",2020-05-09 15:45:03
"People need help throughout this crisis. It's just that simple. My new bill will provide $2,000 a month for the duration of the pandemic—and for 3 months after—to ensure folks can get back on their feet.",2020-05-08 23:52:06
"THREAD—let's talk about what's happening at Terminal Island prison.

On March 5, I was the first senator to demand the Bureau of Prisons prepare for COVID-19. Then, on April 2, I called on Terminal Island prison to lay out their plan to prepare for COVID-19.

Neither happened.",2020-05-08 20:04:34
"California has been torn apart by wildfires in recent years, and climate change is making things worse. It's unacceptable that FEMA is dragging its feet planning for natural disasters during this pandemic.

FEMA needs to get its act together. Lives are at stake. https://t.co/jRvtmnDC5e",2020-05-08 18:15:32
"My new bill with @SenSanders and @SenMarkey will provide monthly $2,000 payments to help people get through this crisis.

Bills come in every single month during the pandemic and so should help from our government. https://t.co/9aVuULCUue",2020-05-08 16:11:49
"Today, I'm introducing the Monthly Economic Crisis Support Act to provide $2,000 every month throughout this crisis.

I've been saying it for months: a one-time payment is not enough when millions of people are unemployed and need to eat. We need bold action, immediately.",2020-05-08 13:26:42
"Trump is questioning the accuracy of the COVID-19 death toll because it ultimately highlights his failure of leadership during this pandemic. The American people deserve better than this.

I'm pushing FEMA and HHS to ensure an accurate death toll. https://t.co/IlD0YSuCmf",2020-05-08 02:06:33
"Health care should be a right, not a privilege. But let’s be clear: if Trump and Republicans had their way, the Affordable Care Act would be overturned and millions more would be without health care. This is immoral. https://t.co/n0ZzPR8uKs",2020-05-07 22:49:20
