tweet,dates
"On Friday, the Trump administration vetoed a United Nations resolution that called for a global ceasefire in conflicts to collectively focus on the COVID-19 pandemic.

We have the most deaths and the most infections in the world.

What will it take for this to be taken seriously?",2020-05-10 16:35:01
"Under the leadership of this administration during this pandemic, the United States now has the most CASES of COVID-19 in the world, the most DEATHS from COVID-19 in the world, and the highest unemployment rate since the Great Depression.",2020-05-08 20:16:22
"You can't tell the general public to do social distancing, wear masks and wash their hands and then have the exact opposite in a prison.",2020-05-08 14:42:09
Why fill out the census? Funding for school lunch for kids who can’t afford it. https://t.co/Lv6ko4FvDb https://t.co/zL8nQbl03F,2020-05-08 14:32:22
"Trayvon was walking home.
Oscar was riding the train.
Tamir was playing outside.
Charleena, Atatiana, Aiyana and Botham were all at home.
Eric and Philando were following orders.

Ahmaud was jogging.",2020-05-07 20:06:52
"This Monday, the @TheBlackCaucus will be hosting a town hall to hear the needs of essential workers throughout the country. 

Join us: https://t.co/RG4AHosKFa https://t.co/V7EmNTND8a",2020-05-07 18:34:53
The disproportionate impact this pandemic is having on our communities will be exacerbated in states opening before health officials are advising them to. https://t.co/9vFuUMWnle https://t.co/ptcvIgpHOK,2020-05-06 22:50:15
"Tomorrow at 9:30 AM PT, I'll be joining a virtual town hall with experts and service providers who will be reviewing programs for small businesses and nonprofits in LA. 

Sign up here: https://t.co/ZuSMoRQCjt",2020-05-06 18:00:57
"We're in a pandemic. No one should be in jail because they violated parole by missing a meeting. No one should be in prison because they couldn't make $1,000 bail.

Thanks to @theonlyjasonlee, @MissMelyssaFord, @TheRealDJDAMAGE and the @HollywoodUL team for raising this issue. https://t.co/WwlDZnZsOd",2020-05-06 17:43:21
The Census counts everyone living in the U.S. regardless of immigration status. Fill out yours today at https://t.co/H8DEojxLf6 https://t.co/ANaGvjul7U,2020-05-04 20:31:21
"You answered the call to serve, now we're answering to you.

The @TheBlackCaucus is hosting a virtual town hall tomorrow with first responders throughout the country. More here: https://t.co/RG4AHosKFa https://t.co/quisDB45rI",2020-05-03 20:58:34
No one's 18 year-old daughter should have to go every day wondering if her mother is going to die from COVID-19 while serving a 60-month sentence in prison. https://t.co/4KvGv7llgz,2020-05-01 23:14:46
"Why fill out the census?

Funding for higher education.

#2020Census 

https://t.co/dfYwaRGkmZ https://t.co/hxjm6Y8UyI",2020-05-01 18:19:31
"This May, we come together to celebrate the experiences of the youth who are in, or have been in, the child welfare system and raise awareness about their needs -- especially in the wake of the COVID-19 pandemic.

It is critical now more than ever to raise #fosteryouthvoices. https://t.co/mMl9SlqWaO",2020-05-01 15:20:00
"The @TheBlackCaucus is hosting a virtual town hall on Monday with first responders throughout the country. 

You answered the call to serve, now we're answering to you.

https://t.co/RG4AHosKFa https://t.co/aqDM00IrC6",2020-05-01 13:56:27
