tweet,dates
Tampa small business owners 👉@USFSBDC has made their training seminars available for free online. I encourage you to take advantage of this great local resource. https://t.co/hsfdVrWMRF,2020-05-10 16:08:19
"Voting is a fundamental right, yet @GovRonDeSantis hasn't pulled down $20m in #CARESAct funds that were allocated to the state over 6 weeks ago to safeguard the 2020 election. Bipartisan #FL Members urged him to secure these funds ASAP.

More here: https://t.co/012ULFJCri https://t.co/DdK3gvB962",2020-05-09 15:53:17
"Thankful for the impt work @QEES_HCC is doing with early childhood educators and caregivers year round, especially during these challenging times. 

We are all proud of the work @HillsboroughSch is doing for students no matter their zip code! https://t.co/S32fuGxqSU",2020-05-09 14:49:36
Thank you @kenzietreub! Always part of our Tampa team 😄 https://t.co/jNFSLax0B8,2020-05-09 02:23:23
"To contain #Covid19, the public and local communities must have  all data re infections, disparities, and mortalities.

 @GovRonDeSantis must immediately release all medical examiner and public health data. 

It’s the law in #Florida to provide public records to the public. https://t.co/zrBotckVCc",2020-05-08 21:09:43
"Local female entrepreneurs and small business owners can get good advice from @CentreforWomen including #PaycheckProtectionProgram. The #PPP provides a lifeline to women-owned #smallbiz and their employees.

https://t.co/dw8MWvPRzH",2020-05-08 20:33:49
"New federal laws provide direction for widespread #COVID19 testing, resources and health coverage, and I shared this information today with Tampa Bay leaders.

Read my update here: https://t.co/yTxmdQXzah https://t.co/yMzzygU4G7",2020-05-08 17:58:29
"Every week is #TeacherAppreciationWeek in Tampa. I’m especially grateful to the teachers and parents educating our children during the COVID-19 crisis.  Thank you, educators, for your devotion to kids and families! @HillsboroughSch https://t.co/dlAMGyf1Ge",2020-05-08 16:40:25
"$257M in #CARESAct emergency aid from Congress is available through @HillsboroughFL and the BOCC 👉  Thanks for speeding aid into the hands of those who need it. 

More here:
https://t.co/f0sZDzea9p",2020-05-08 12:29:20
"In times of crisis, true heroes rush to help those in need.
 
Happy #NationalNursesWeek to our dedicated nurses who protect and care for families. I loved seeing #Tampa nurses during their DC fly-in back in February! 
 
Thank you. 🏥 https://t.co/5vVwDaDRxh",2020-05-07 18:22:32
"#TeacherAppreciationWeek- thank you to teachers at Adams Middle School for being #HometownHeroes and serving our students in need. We are grateful for all that you do to serve our kids, in and out of the classroom! @HillsboroughSch  https://t.co/wFG0Zm8Iq3",2020-05-07 15:26:22
I’m working with small biz &amp; local lenders in Tampa around the clock to secure #PPP loans for #smallbiz like Ginger Snips in Seminole Heights. This emergency aid will allow owner Michele Renee to retain two employees and weather the storm in the near term. https://t.co/fOtWxdulmX,2020-05-07 13:01:03
"ATTN: Largest #CARESAct emergency aid in #TampaBay - $257M- is being deployed by @HillsboroughFL to families in need, @FeedingTB, @MetroMinistries, @CareerSourceTB &amp;small biz. Thank you, local partners! Much-needed aid is on the way to first responders &amp; frontline heroes as well. https://t.co/79xRLB2yby",2020-05-06 18:40:01
"Our frontline health care workers here in Tampa and around the country are heroes &amp;I was able to thank local nurse anesthetists for taking good care of all of our neighbors. I appreciated their concerns about personal protective equipment, testing &amp;health coverage. Thanks @FLCRNA https://t.co/99GwnjavfL",2020-05-06 13:10:44
"Great info for you re surviving #covid19 👉@CentreforWomen and @Bay_Area_Legal today. Help for small biz owners, families! Join us! https://t.co/9kbaaaPIbw",2020-05-05 18:33:23
