tweet,dates
Happy Mother's Day to my mom and to all mothers in #ND and beyond. We love and appreciate you for all you do every day of the year. #HappyMothersDay https://t.co/CgZ3GdAJCz,2020-05-10 12:41:00
"In the past days we got confirmation that both the Mueller investigation and the @GenFlynn investigation ignored exonerating evidence and actively pushed baseless narratives, just to target @realDonaldTrump

Now we're going down the same path, during a crisis. https://t.co/FSOksUPCIE",2020-05-09 01:41:04
"They threatened his son.  Let’s have this fight out in the open. While we’re at it let’s bring in Bill Priestap, Kevin Klinesmith, and the FBI personnel who recommended the Flynn case be closed for lack of evidence before the interview ever took place. https://t.co/88DXzQJAkR",2020-05-08 21:05:06
"Tune in! I'm joining @LizMacDonaldFOX tonight to discuss repealing the #LoganAct &amp; the vindication of Gen. Flynn, the House coming back into session, and the Democrats' latest plot to attack the President.

📅 Today 
📺 @EveningEdit on @FoxBusiness
⌚ 6 PM ET/5 PM CT https://t.co/vVhug8v3fU",2020-05-08 20:01:00
"North Dakota feeds and fuels the world, and that’s never lost on @realDonaldTrump. We’re going to keep supporting producers and farmers through the troubles this pandemic has brought down on them. https://t.co/sWmCQNNlRC",2020-05-08 18:24:19
Thank you @realDonaldTrump for inviting me to discuss these issues today. https://t.co/FfB2XabS7H,2020-05-08 17:32:15
The Logan Act has been around for over 200 years. Nobody has actually been successfully prosecuted for violation. Any actual attempt to enforce it would show how clearly unconstitutional it is. https://t.co/EGD9nClpfl,2020-05-08 17:16:26
"We need structural change, not plugging the hole. Too many workers and consumers depend on the @USPS for us to keep the Postal Service on the path to insolvency. https://t.co/dKxJhCHnIT",2020-05-08 16:26:32
"I fully support @TheJusticeDept’s opposition to district court nationwide injunctions. They’re an unconstitutional assertion of judicial authority. 

The Montana District Court’s injunction of #NWP12 affected 38k infrastructure projects nationwide and it must be overturned. https://t.co/LyFoP7HBTC",2020-05-08 13:59:52
"OTD 75 years ago, the Allied Forces accepted Germany's unconditional surrender in #WWII. Victory in Europe Day, or V-E Day, was celebrated throughout the world as the scourge of Nazism was defeated. Today we remember the victory and heroes that made it possible. #VEDay75 https://t.co/5BXyYiRM3Q",2020-05-08 13:14:00
"This decision by GRE is disappointing but isn't the end of the conversation. I'm committed to working w/ local, state &amp; federal officials &amp; GRE to find a solution that will keep more than 800 jobs here in ND and continue to provide clean, reliable power. https://t.co/oi77wMzTlX https://t.co/gqGGiEtzar",2020-05-07 20:58:27
